area	AK	3	3	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	59	39	0.000000852401556144281
case	AK	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	59	39	0.00000026863334932597207
place	AK	2	2	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	59	39	0.0000007989607119059528
model	AK	1	1	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	59	39	0.0000008776033004904924
location	AK	2	2	19916	10821	0.639657575154	-0.889813207206471	-0.997467469884629	59	39	0.000003404127845425363
state	AK	3	3	96220	3360	0.592012529365	-1.9331080058239	-0.992623130664696	59	39	0.0000015853499571955515
weapon	AK	4	4	9581	3284	0.647756138865	-1.08089629681395	-0.998965128479729	59	39	0.000028304607105517807
hand	AK	9	8	419	296	0.516483516483	NULL	NULL	59	39	0.0032765664819384326
rifle	AK	1	1	338	247	0.756097560975	NULL	NULL	59	39	0.00005014542172299669
designer name	AK	1	1	394	221	0.464516129032	NULL	NULL	59	39	0.00004301815366084487
small state	AK	1	1	332	156	0.227941176470	NULL	NULL	59	39	0.00005105166428425567
chiropractic technique	AK	1	1	47	37	0.421052631578	NULL	NULL	59	39	0.0003606202668589975
precancerous lesion	AK	1	1	42	26	0.875000000000	NULL	NULL	59	39	0.0004035512510088781
military rifle	AK	1	1	27	24	0.769230769230	NULL	NULL	59	39	0.0006277463904582548
refractive procedure	AK	1	1	37	23	0.727272727272	NULL	NULL	59	39	0.00045808520384791576
precursor lesion	AK	1	1	15	15	0.750000000000	NULL	NULL	59	39	0.0011299435028248588
top hand	AK	2	2	17	14	0.666666666666	NULL	NULL	59	39	0.003988035892323031
high card	AK	2	2	14	12	0.500000000000	NULL	NULL	59	39	0.004842615012106537
face card	AK	1	1	91	10	0.750000000000	NULL	NULL	59	39	0.00018625442354255916
assignment location	AK	1	1	7	7	NULL	NULL	NULL	59	39	0.0024213075060532684
hyperkeratotic lesion	AK	1	1	8	7	0.333333333333	NULL	NULL	59	39	0.00211864406779661
refractive surgical procedure	AK	1	1	12	7	0.250000000000	NULL	NULL	59	39	0.0014124293785310734
hard-to-reach location	AK	1	1	8	6	NULL	NULL	NULL	59	39	0.00211864406779661
military type rifle	AK	1	1	6	6	0.250000000000	NULL	NULL	59	39	0.002824858757062147
large connector	AK	1	1	5	5	0.500000000000	NULL	NULL	59	39	0.0033898305084745766
AME	AK	2	1	5	4	1.000000000000	NULL	NULL	59	39	0.013559322033898306
remote coastal area	AK	1	1	4	4	0.500000000000	NULL	NULL	59	39	0.00423728813559322
big card	AK	1	1	3	3	0.750000000000	NULL	NULL	59	39	0.005649717514124294
big hand	AK	1	1	5	3	0.500000000000	NULL	NULL	59	39	0.0033898305084745766
dead card	AK	1	1	3	3	NULL	NULL	NULL	59	39	0.005649717514124294
cutaneous skin lesion	AK	1	1	2	2	0.333333333333	NULL	NULL	59	39	0.00847457627118644
magazine fed semi auto rifle	AK	1	1	2	2	NULL	NULL	NULL	59	39	0.00847457627118644
big picture card	AK	1	1	1	1	NULL	NULL	NULL	59	39	0.01694915254237288
hand big connector	AK	1	1	1	1	NULL	NULL	NULL	59	39	0.01694915254237288
non-continental US location	AK	1	1	1	1	NULL	NULL	NULL	59	39	0.01694915254237288
premium broadway hand	AK	1	1	1	1	NULL	NULL	NULL	59	39	0.01694915254237288
russian and eastern bloc weapon	AK	1	1	1	1	NULL	NULL	NULL	59	39	0.01694915254237288
unpaired hand	AK	1	1	1	1	NULL	NULL	NULL	59	39	0.01694915254237288
upscale, bistro style place	AK	1	1	1	1	NULL	NULL	NULL	59	39	0.01694915254237288
variety	AK 12-24	1	1	9381	5681	0.544551475015	-0.811319056205632	-0.997878348645157	1	1	0.00010659844366272253
big star	Ak 1200	2	2	380	304	0.569506726457	NULL	NULL	2	1	0.005263157894736842
gun	AK 47	1	1	831	604	0.704347826086	NULL	NULL	6	6	0.00020056157240272765
rifle	AK 47	1	1	338	247	0.756097560975	NULL	NULL	6	6	0.0004930966469428008
exotic weapon	AK 47	1	1	39	35	0.600000000000	NULL	NULL	6	6	0.004273504273504273
soviet weapon	AK 47	1	1	11	10	1.000000000000	NULL	NULL	6	6	0.015151515151515152
military gun	Ak 47	1	1	3	3	1.000000000000	NULL	NULL	6	6	0.05555555555555555
fully automatic gun	AK 47	1	1	2	2	1.000000000000	NULL	NULL	6	6	0.08333333333333333
imitation firearm	AK 47 airsoft gun	1	1	1	1	NULL	NULL	NULL	1	1	1
add-ons	ak 47 kit	1	1	2254	1580	0.413043478260	-0.652500863716158	-0.989830205647435	1	1	0.00044365572315882877
efficient weapon	AK 47 rifle	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
powerful weapon	AK 47s	1	1	95	81	0.325581395348	NULL	NULL	2	2	0.005263157894736842
small weapon	AK 47s	1	1	57	34	0.260869565217	NULL	NULL	2	2	0.008771929824561403
target	AK 8	1	1	2623	2058	0.400854700854	-0.588577173282076	-0.998320079225478	1	1	0.0003812428516965307
brand	AK Anne Klein	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	1	1	0.000013422098142381616
museum	AK Aviation Heritage Museum	1	1	2952	2023	0.731934731934	-0.76743543537276	-0.996715904958569	1	1	0.00033875338753387534
team	AK Bars	1	1	15768	6094	0.650535648319	-1.13299546763441	-0.978157595840166	2	2	0.000031709791983764585
local bank	Ak Bars	1	1	199	155	0.653333333333	NULL	NULL	2	2	0.002512562814070352
celebrity	AK Best	1	1	33565	9184	0.893075086229	-1.13939452990157	-0.992485699381772	2	2	0.000014896469536719797
speaker	AK Best	1	1	4390	3766	0.671460176991	-0.516355628396599	-0.989901672811068	2	2	0.00011389521640091117
cinematographer	AK Bir on feature film	1	1	33	29	1.000000000000	NULL	NULL	1	1	0.030303030303030304
facility	Ak Care Comfort	1	1	42600	17896	0.658525485436	-1.00701955310555	-0.998916668671258	1	1	0.00002347417840375587
country western group	AK Corral	1	1	1	1	NULL	NULL	NULL	1	1	1
product	AK distillery vodka	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
long-term economic growth model	AK endogenous growth model	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
