feature	AO	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	11	10	0.0000004802864043886651
site	Ao	1	1	48590	20434	0.694470774091	-0.921261035637432	-0.999541053948841	11	10	0.0000018709423936836984
attachment	AO	1	1	3355	1768	0.429115128449	-0.819021103893475	-0.995731151313866	11	10	0.000027096599376778213
tribe	Ao	2	2	2745	1375	0.829439252336	-0.89435060433092	-0.994995797689194	11	10	0.0001324722636198046
pass	AO	1	1	135	107	0.454545454545	NULL	NULL	11	10	0.0006734006734006734
MMORPGs	AO	1	1	172	67	0.775862068965	NULL	NULL	11	10	0.0005285412262156448
diphthong	ao	1	1	5	3	0.750000000000	NULL	NULL	11	10	0.018181818181818184
dog large-bodied species	Ao	1	1	1	1	1.000000000000	NULL	NULL	11	10	0.09090909090909091
Gallifreyan heroes	Ao	1	1	1	1	1.000000000000	NULL	NULL	11	10	0.09090909090909091
supportability factor	Ao	1	1	1	1	1.000000000000	NULL	NULL	11	10	0.09090909090909091
antioxidant	AO 2246	1	1	5996	744	0.605214152700	-1.30357537022465	-0.997238014022859	1	1	0.0001667778519012675
antioxidant	AO 425	1	1	5996	744	0.605214152700	-1.30357537022465	-0.997238014022859	1	1	0.0001667778519012675
organization	AO ASIF Symposium on Surgical Preservation of the Hip	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
parameter	AO assay result	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	1	1	0.00001861538747929038
AO block	AO block 385A of FIG	1	1	1	1	NULL	NULL	NULL	1	1	1
bomber	Ao Bom	1	1	90	70	0.740740740740	NULL	NULL	1	1	0.011111111111111112
mini-driver primitive	AO Channel	1	1	2	2	NULL	NULL	NULL	1	1	0.5
course	AO Courses	1	1	20867	10915	0.644084200338	-0.913241718794283	-0.996914466568383	1	1	0.0000479225571476494
symbol	ao dai	1	1	5253	2514	0.411258278145	-0.933451985576007	-0.993052141172068	1	1	0.00019036740909956216
designer	ao dai influence western designer	1	1	12101	4419	0.791101055806	-1.06086613629433	-0.997034433016623	2	2	0.00004131889926452359
western designer	ao dai influence western designer	1	1	12	10	0.222222222222	NULL	NULL	2	2	0.041666666666666664
program	Ao dai show	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	1	1	0.000010786439288526465
request	ao dais	1	1	2937	2224	0.413345690454	-0.673043129161643	-0.995126840517317	1	1	0.00034048348655090226
AO publication	AO Dialogue	1	1	5	5	NULL	NULL	NULL	1	1	0.2
magical adjudication	Ao Ding	1	1	1	1	NULL	NULL	NULL	1	1	1
brand	AO Eyewear	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	1	1	0.000013422098142381616
AO publication	AO Foundation brochure	1	1	5	5	NULL	NULL	NULL	1	1	0.2
injury-specific factor	AO Fracture Classification	1	1	4	4	0.500000000000	NULL	NULL	1	1	0.25
high level traditional DAQ function	AO Generate Waveform	1	1	1	1	NULL	NULL	NULL	1	1	1
mangas	Ao Haru Ride	1	1	70	49	0.869565217391	NULL	NULL	1	1	0.014285714285714285
beach	Ao Kew	1	1	1766	1366	0.728494623655	-0.641311301162881	-0.988887018809959	1	1	0.0005662514156285391
attractive place	Ao Khanom	1	1	180	162	0.448275862068	NULL	NULL	1	1	0.005555555555555556
white sandy beach	Ao Klong Son	1	1	22	14	1.000000000000	NULL	NULL	1	1	0.045454545454545456
composition mechanism	AO language	1	1	6	4	0.500000000000	NULL	NULL	1	1	0.16666666666666666
bakery company	Ao Lian	1	1	3	3	0.750000000000	NULL	NULL	1	1	0.3333333333333333
idealist	AO Lovejoy	1	1	110	72	0.535714285714	NULL	NULL	1	1	0.00909090909090909
famous song	Ao Lua Ha Dong	1	1	54	53	0.695652173913	NULL	NULL	2	2	0.009259259259259259
well-known film	Ao Lua Ha Dong	1	1	59	44	0.666666666666	NULL	NULL	2	2	0.00847457627118644
