term	BS	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	27	16	0.0000007019243255384637
standard	BS	4	4	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	27	16	0.00007014590347923682
supplement	Bs	1	1	8194	2146	0.595034246575	-1.19722097076361	-0.994149299144637	27	16	0.000004520019164881259
degree	BS	1	1	1494	746	0.483333333333	NULL	NULL	27	16	0.000024790520105111805
international standard	BS	7	7	682	398	0.655502392344	NULL	NULL	27	16	0.002661018790051048
vitamin	Bs	1	1	4165	388	0.513207547169	NULL	NULL	27	16	0.000008892445867235784
national standard	BS	1	1	84	75	0.725000000000	NULL	NULL	27	16	0.0004409171075837742
water soluble vitamin	Bs	1	1	157	38	0.500000000000	NULL	NULL	27	16	0.00023590469450342062
global standard	BS	1	1	37	35	0.454545454545	NULL	NULL	27	16	0.001001001001001001
international quality standard	BS	1	1	44	24	0.769230769230	NULL	NULL	27	16	0.0008417508417508418
natural vitamin	Bs	1	1	24	20	0.117647058823	NULL	NULL	27	16	0.0015432098765432098
national and international standard method	BS	2	2	14	7	0.400000000000	NULL	NULL	27	16	0.010582010582010581
international material standard	BS	1	1	14	6	1.000000000000	NULL	NULL	27	16	0.0026455026455026454
strain-measurement system most international standard	BS	1	1	5	5	0.400000000000	NULL	NULL	27	16	0.007407407407407408
country standard	BS	1	1	4	4	0.500000000000	NULL	NULL	27	16	0.009259259259259259
skin-friendly supplement	Bs	2	1	3	2	0.333333333333	NULL	NULL	27	16	0.04938271604938271
flow measurement code	BS 1042	1	1	1	1	NULL	NULL	NULL	1	1	1
specification	BS 1113	1	1	2736	1773	0.468468468468	-0.740464811573849	-0.998770175660373	1	1	0.0003654970760233918
venerable british standard	BS 12 on cement	1	1	2	2	NULL	NULL	NULL	1	1	0.5
code	BS 1500	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	1	1	0.0005359056806002144
standard accreditation	BS 15000	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
code	BS 1515	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	1	1	0.0005359056806002144
venerable british standard	BS 1881 on concrete testing	1	1	2	2	NULL	NULL	NULL	1	1	0.5
base station	BS 2030	1	1	22	20	0.400000000000	NULL	NULL	1	1	0.045454545454545456
standard	BS 25999	2	2	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	5	4	0.0000946969696969697
international standard	BS 25999	1	1	682	398	0.655502392344	NULL	NULL	5	4	0.0002932551319648094
emerging globally-relevant standard	BS 25999	1	1	1	1	NULL	NULL	NULL	5	4	0.2
national certification standard	BS 25999	1	1	1	1	NULL	NULL	NULL	5	4	0.2
standard	BS 25999 in place	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	1	1	0.00011837121212121212
controller	BS 2p	1	1	718	428	0.534313725490	NULL	NULL	1	1	0.001392757660167131
international standard	BS 3395	2	2	682	398	0.655502392344	NULL	NULL	2	1	0.002932551319648094
above-mentioned preliminary process	BS 3e	1	1	7	7	NULL	NULL	NULL	1	1	0.14285714285714285
international fire standard	BS 476	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
code	BS 5400	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	3	2	0.0001786352268667381
design code	BS 5400	2	2	54	41	0.631578947368	NULL	NULL	3	2	0.024691358024691357
structural code	BS 5400 for bridge	1	1	6	6	0.500000000000	NULL	NULL	1	1	0.16666666666666666
plug type	BS 546	2	2	7	2	NULL	NULL	NULL	2	1	0.2857142857142857
technical standard	BS 5500	1	1	76	69	0.358974358974	NULL	NULL	6	5	0.0021929824561403508
design rule	BS 5500	1	1	21	19	0.461538461538	NULL	NULL	6	5	0.007936507936507936
modern pressure vessel code	BS 5500	1	1	7	4	NULL	NULL	NULL	6	5	0.023809523809523808
pressure vessel code	BS 5500	1	1	2	2	NULL	NULL	NULL	6	5	0.08333333333333333
theoretical design formula	BS 5500	2	1	2	1	1.000000000000	NULL	NULL	6	5	0.3333333333333333
standard	BS 5750	2	2	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	6	4	0.00007891414141414142
quality system	BS 5750	1	1	98	57	0.444444444444	NULL	NULL	6	4	0.0017006802721088435
quality management system	BS 5750	2	2	88	47	0.666666666666	NULL	NULL	6	4	0.007575757575757576
formal certification requirement	BS 5750	1	1	2	2	NULL	NULL	NULL	6	4	0.08333333333333333
code	BS 5930	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	1	1	0.0005359056806002144
code	BS 5950	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	3	3	0.0001786352268667381
design code	BS 5950	1	1	54	41	0.631578947368	NULL	NULL	3	3	0.006172839506172839
british standard	BS 5950	1	1	5	5	0.428571428571	NULL	NULL	3	3	0.06666666666666667
structural code	BS 5950 for building	1	1	6	6	0.500000000000	NULL	NULL	1	1	0.16666666666666666
standard	BS 6700	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	1	1	0.00011837121212121212
document	BS 7671	1	1	30664	12294	0.734716459197	-1.04150304053201	-0.998071381497223	2	2	0.000016305765718758152
standard	BS 7671	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	2	2	0.00005918560606060606
environmental management standard	BS 7750	2	1	13	7	0.666666666666	NULL	NULL	2	1	0.15384615384615385
standard	BS 7799	3	3	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	13	10	0.00008194930069930069
framework	BS 7799	1	1	1955	1231	0.599637681159	-0.886914234298938	-0.996133948574766	13	10	0.00003934684241589612
international standard	BS 7799	1	1	682	398	0.655502392344	NULL	NULL	13	10	0.00011279043537108053
security standard	BS 7799	2	2	93	67	0.658536585365	NULL	NULL	13	10	0.003308519437551696
quality management system	BS 7799	1	1	88	47	0.666666666666	NULL	NULL	13	10	0.0008741258741258741
formal standard	BS 7799	1	1	10	11	0.166666666666	NULL	NULL	13	10	0.007692307692307693
industry security standards certification	BS 7799	1	1	2	2	1.000000000000	NULL	NULL	13	10	0.038461538461538464
international security compliance standard	BS 7799	1	1	1	1	1.000000000000	NULL	NULL	13	10	0.07692307692307693
recognized information security standard	BS 7799	1	0	1	1	1.000000000000	NULL	NULL	13	10	0.07692307692307693
stringent security standard	BS 7799	1	1	1	1	1.000000000000	NULL	NULL	13	10	0.07692307692307693
document	BS 7910	1	1	30664	12294	0.734716459197	-1.04150304053201	-0.998071381497223	1	1	0.000032611531437516305
standard	BS 7925-1 vocabulary of testing term	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	1	1	0.00011837121212121212
standard	BS 7925-2 software component testing	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	1	1	0.00011837121212121212
code	BS 8004	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	1	1	0.0005359056806002144
code	BS 8006	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	1	1	0.0005359056806002144
code	BS 8110	3	2	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	6	4	0.0008038585209003216
design standard	BS 8110	1	1	77	65	0.205128205128	NULL	NULL	6	4	0.0021645021645021645
design code	BS 8110	1	1	54	41	0.631578947368	NULL	NULL	6	4	0.0030864197530864196
british standard	BS 8110	1	1	5	5	0.428571428571	NULL	NULL	6	4	0.03333333333333333
british standard	BS 812	1	1	5	5	0.428571428571	NULL	NULL	1	1	0.2
system	BS 8800	2	2	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	7	4	0.000013941702769867798
criterion	BS 8800	3	3	15406	8935	0.554672447013	-0.823359173945575	-0.99893170285319	7	4	0.00008345542552994195
standard	BS 8800	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	7	4	0.00001691017316017316
guidance material	BS 8800	1	1	23	19	0.375000000000	NULL	NULL	7	4	0.006211180124223602
complex building alternative guidance	BS 9999	1	1	1	1	NULL	NULL	NULL	1	1	1
popular course	BS Administration	1	1	112	82	0.227272727272	NULL	NULL	1	1	0.008928571428571428
