service	CB	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	62	39	0.00000009032937341404202
option	CB	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	62	39	0.00000027620570696231725
parameter	Cb	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	62	39	0.0000003002481851498448
function	CB	3	2	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	62	39	0.0000034388631271340057
device	CB	1	1	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	62	39	0.0000002839468383371392
position	CB	7	6	11681	6979	0.653878942881	-0.841990925188506	-0.992443440012397	62	39	0.00006765881180080141
entity	CB	1	1	10687	5912	0.517112632233	-0.839061328374049	-0.999408309291166	62	39	0.000001509219823904231
standard	CB	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	62	39	0.0000019092130987292278
need	CB	3	3	7600	4353	0.405634890003	-0.858569249249093	-0.995708711080079	62	39	0.000019100169779286926
distraction	CB	1	1	4839	1501	0.400390625000	-1.10401701978483	-0.998669114540965	62	39	0.0000033331333453326134
luxury	CB	1	1	2075	1174	0.379640718562	-0.860567642898119	-0.98079280166254	62	39	0.000007773027594247959
communication	CB	1	1	1694	974	0.384615384615	NULL	NULL	62	39	0.000009521270518337966
communication device	CB	1	1	1559	467	0.492857142857	NULL	NULL	62	39	0.000010345755136667425
certificate	CB	7	7	519	344	0.514644351464	NULL	NULL	62	39	0.0015227795388153397
radio	CB	4	4	258	218	0.456790123456	NULL	NULL	62	39	0.0010002500625156288
railroad	CB	1	1	216	103	0.691176470588	NULL	NULL	62	39	0.00007467144563918757
aftermarket product	CB	2	2	79	78	0.333333333333	NULL	NULL	62	39	0.0008166598611678235
big site	CB	1	1	121	73	0.238095238095	NULL	NULL	62	39	0.00013329778725673153
electronic accessory	CB	1	1	80	69	0.192982456140	NULL	NULL	62	39	0.00020161290322580645
international certificate	CB	1	1	70	49	0.444444444444	NULL	NULL	62	39	0.0002304147465437788
safety certificate	CB	6	6	41	18	0.875000000000	NULL	NULL	62	39	0.014162077104642012
skill position	CB	1	1	24	16	0.750000000000	NULL	NULL	62	39	0.0006720430107526881
cylinder accessory	CB	1	1	8	8	0.285714285714	NULL	NULL	62	39	0.0020161290322580645
great mod	CB	1	1	7	7	0.333333333333	NULL	NULL	62	39	0.002304147465437788
one-way communication device	CB	1	1	6	6	0.500000000000	NULL	NULL	62	39	0.0026881720430107525
2-way radio	CB	1	1	5	5	0.750000000000	NULL	NULL	62	39	0.0032258064516129032
safty certificate	CB	1	1	4	4	0.666666666666	NULL	NULL	62	39	0.004032258064516129
unlicensed service	CB	1	1	3	3	0.333333333333	NULL	NULL	62	39	0.005376344086021505
amateur communication	CB	1	1	2	2	NULL	NULL	NULL	62	39	0.008064516129032258
independent communication system	CB	1	1	2	2	0.500000000000	NULL	NULL	62	39	0.008064516129032258
app site	CB	1	1	1	1	NULL	NULL	NULL	62	39	0.016129032258064516
avatar system	CB	1	1	1	1	NULL	NULL	NULL	62	39	0.016129032258064516
big railroad	CB	1	1	1	1	NULL	NULL	NULL	62	39	0.016129032258064516
electrical interior mod	CB	1	1	1	1	NULL	NULL	NULL	62	39	0.016129032258064516
rewrite act style section reference	CB 23B	1	1	1	1	NULL	NULL	NULL	1	1	1
product	cb accessory related product	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	3	3	0.0000016722771565268143
related product	cb accessory related product	1	1	19491	19491	NULL	NULL	NULL	3	3	0.000017101910283378654
device	CB amplifier	1	1	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	1	1	0.00001760470397690263
factor	CB antennas	2	2	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	8	6	0.0000012898332761507248
device	CB antennas	1	1	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	8	6	0.0000022005879971128287
accessory	CB antennas	1	1	49048	18516	0.718305642867	-1.01867689602357	-0.998203910435349	8	6	0.0000025485238949600393
object	CB antennas	1	1	33728	11257	0.574410317325	-1.08687832414143	-0.99529539081207	8	6	0.0000037061195445920304
playmakers	CB Antoine Winfield	1	1	115	108	0.756097560975	NULL	NULL	1	1	0.008695652173913044
name	CB Aqib Talib	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	1	1	0.00001530901241560907
young vet	CB Aquib Talib	1	1	2	2	NULL	NULL	NULL	1	1	0.5
chief db's	CB Brandon Flowers	1	1	2	2	NULL	NULL	NULL	1	1	0.5
source	CB broadcast	1	1	27658	15963	0.530572289156	-0.87388714983492	-0.997401391679569	1	1	0.00003615590425916552
info	CB Build	1	1	1391	894	0.360515021459	NULL	NULL	1	1	0.0007189072609633358
product	CB Ca	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
cartridge	CB Cap	1	1	253	177	0.529411764705	NULL	NULL	2	2	0.001976284584980237
cartridge feature	CB cap	1	1	7	5	0.500000000000	NULL	NULL	2	2	0.07142857142857142
product	CB Cash	4	3	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	4	1	0.00002006732587832177
veteran	CB Champ Bailey	1	1	2413	1965	0.789473684210	-0.524420258009543	-0.991568545749756	1	1	0.0004144218814753419
veteran	CB Charles Woodson	1	1	2413	1965	0.789473684210	-0.524420258009543	-0.991568545749756	1	1	0.0004144218814753419
designer brand	CB charmlinks	1	1	1144	536	0.649425287356	NULL	NULL	1	1	0.0008741258741258741
key departure	CB Chris Cook	1	1	4	3	1.000000000000	NULL	NULL	1	1	0.25
image transfer mechanism	CB coating	1	1	1	1	NULL	NULL	NULL	1	1	1
corporation	CB Commercial Real Estate Group	1	1	9355	3329	0.608695652173	-1.05823658758956	-0.995284850551755	1	1	0.00010689470871191876
firm	CB Commercial Real Estate Services Group	1	1	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	1	1	0.00006036824630244491
factor	CB content	1	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	1	1	0.0000025796665523014496
player	CB Cord Parks	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	1	1	0.000019996400647883383
great plugins	CB Cores	1	1	5	5	0.600000000000	NULL	NULL	1	1	0.2
top player	CB Darrent Williams	1	1	791	617	0.774410774410	NULL	NULL	1	1	0.0012642225031605564
high-priced backup	CB David Barrett	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
player	CB Deion Sanders	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	1	1	0.000019996400647883383
standout performer	CB Dennis Weathersby	1	1	25	19	1.000000000000	NULL	NULL	1	1	0.04
young up-and-comers	CB Devin McCourty	1	1	6	6	NULL	NULL	NULL	2	2	0.08333333333333333
dynamic defender	CB Devin McCourty	1	1	2	2	NULL	NULL	NULL	2	2	0.25
