issue	CM	1	1	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	22	16	0.00000020173687378857006
variable	Cm	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	22	16	0.000000887836112556311
document	cm	1	1	30664	12294	0.734716459197	-1.04150304053201	-0.998071381497223	22	16	0.0000014823423380689229
unit	cm	3	2	9593	6732	0.471854930109	-0.726678746414521	-0.998094820301806	22	16	0.00004264473148034078
everything	cm	1	1	3605	2588	0.254137746930	-0.674506009213642	-0.991888075741609	22	16	0.000012608750472828142
abbreviation	cm	2	1	722	408	0.618138424821	NULL	NULL	22	16	0.0002518257365902795
standard unit	cm	2	1	42	35	0.379310344827	NULL	NULL	22	16	0.004329004329004329
common measurement	cm	1	1	37	28	0.375000000000	NULL	NULL	22	16	0.0012285012285012285
standardized measurement	cm	1	1	4	4	0.666666666666	NULL	NULL	22	16	0.011363636363636364
mind subunits	cm	1	0	3	3	1.000000000000	NULL	NULL	22	16	0.01515151515151515
ruler unit	cm	1	1	2	2	0.500000000000	NULL	NULL	22	16	0.022727272727272728
internationally conventional abbreviation	cm	2	2	2	1	1.000000000000	NULL	NULL	22	16	0.09090909090909091
metric unit symbol	cm	1	1	1	1	1.000000000000	NULL	NULL	22	16	0.045454545454545456
prefixed unit	cm	2	1	2	1	1.000000000000	NULL	NULL	22	16	0.09090909090909091
standard CSS length measurement	cm	1	1	1	1	0.666666666666	NULL	NULL	22	16	0.045454545454545456
traditional harmony symbol	Cm	1	1	1	1	1.000000000000	NULL	NULL	22	16	0.045454545454545456
cubic unit	cm 3	1	1	21	7	1.000000000000	NULL	NULL	1	1	0.047619047619047616
area	CM activities throughout the intelligence community	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
supplemental record	CM ALS record	1	1	7	6	1.000000000000	NULL	NULL	1	1	0.14285714285714285
structure	CM at risk	1	1	20751	10380	0.599667774086	-0.926517942296366	-0.997520685051926	2	2	0.00002409522432653848
procurement	CM at Risk	1	1	14	14	0.416666666666	NULL	NULL	2	2	0.03571428571428571
single MIDI Controller unit	CM Automation Motor Mix	1	1	2	2	NULL	NULL	NULL	1	1	0.5
design condition	CM bare noise	1	1	25	24	0.363636363636	NULL	NULL	1	1	0.04
expert	CM Capital Markets	1	1	7830	5833	0.627872498146	-0.656662721940283	-0.999370196811427	1	1	0.0001277139208173691
weak cation exchange resin	CM cellulose	1	1	1	1	NULL	NULL	NULL	1	1	1
area	CM clinical service	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
company	CM Constructions	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
datum	cm critical datum	1	1	35536	18119	0.661938879953	-0.871833949328395	-0.999555680636686	2	2	0.000014070238631247186
critical datum	cm critical datum	1	1	326	272	0.355828220858	NULL	NULL	2	2	0.0015337423312883436
mulch	cm deep loose mulch	1	1	586	173	0.614678899082	NULL	NULL	2	2	0.0008532423208191126
loose mulch	cm deep loose mulch	1	1	28	19	0.437500000000	NULL	NULL	2	2	0.017857142857142856
sector player	CM Equity	1	1	16	15	0.285714285714	NULL	NULL	1	1	0.0625
case	CM firm	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
common abbreviation	cm for centimeter	1	1	56	44	0.361702127659	NULL	NULL	1	1	0.017857142857142856
website	CM Frenzy	1	1	18303	6967	0.706939799331	-1.0071618984676	-0.999527434239995	1	1	0.00005463585204611266
polymer	CM Guar	1	1	4837	1316	0.742268041237	-1.18822789105372	-0.994057334255291	1	1	0.0002067397146991937
industry expert	CM Gulati	1	1	424	389	0.432692307692	NULL	NULL	1	1	0.0023584905660377358
pre-1996 case	CM Holdings	1	1	1	1	1.000000000000	NULL	NULL	1	1	1
key CM function	CM identification	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
threat	CM Jirachi	1	1	3887	1851	0.539040451552	-0.900017251151356	-0.998580330809822	2	2	0.00012863390789812196
Pokemon	CM Jirachi	1	1	1197	485	0.984042553191	NULL	NULL	2	2	0.0004177109440267335
company	CM Labs.	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
heavy-duty, american-made hoist	CM Lodestar electric chain hoist	1	1	1	1	NULL	NULL	NULL	1	1	1
leather garment	Cm Men Box Jacket	1	1	31	29	0.500000000000	NULL	NULL	1	1	0.03225806451612903
context	CM method	1	1	3055	2199	0.354637568199	-0.665077172860055	-0.997935156573304	1	1	0.0003273322422258593
design condition	CM noise source impedance	1	1	25	24	0.363636363636	NULL	NULL	1	1	0.04
message	CM notification	2	2	1480	1155	0.409090909090	-0.624533075893761	-0.998333172246864	2	1	0.0013513513513513514
information	CM of external software	4	4	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	4	1	0.000027766208524226018
experienced player	CM on the owner's side	1	1	332	315	0.769230769230	NULL	NULL	1	1	0.0030120481927710845
companion mod	CM Partners	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
key CM function	CM planning	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
healthcare worker	CM practitioner	1	1	137	58	0.236842105263	NULL	NULL	1	1	0.0072992700729927005
content management organization	CM Professionals	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
program	CM program	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	1	1	0.000010786439288526465
name	CM Punk	5	5	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	68	26	0.00000562831338809157
exception	CM Punk	2	2	19088	14859	0.458983156581	-0.64768711059283	-0.998102520812245	68	26	0.0000030817020856959717
star	CM Punk	9	8	22868	10461	0.893266940896	-0.928327925460135	-0.990940352193057	68	26	0.000052089228204838
man	CM Punk	5	5	10739	7227	0.755651237890	-0.722870081447165	-0.998460433646794	68	26	0.00003423475731665233
individual	CM Punk	1	1	10778	6975	0.653951890034	-0.779188737406808	-0.999228064386307	68	26	0.0000013644351784135439
guy	CM Punk	4	2	2518	2193	0.708928571428	-0.501458780576042	-0.995931474541331	68	26	0.00009344484418072232
talent	CM Punk	1	1	2959	1984	0.591872791519	-0.822376497250633	-0.995129949674446	68	26	0.000004969882511977416
face	CM Punk	1	1	1576	1425	0.595598349381	-0.431081640920737	-0.986796167061881	68	26	0.000009331143624962674
superstar	CM Punk	10	8	2362	1280	0.669584245076	-0.854437170199206	-0.991688592814936	68	26	0.0006226029785326493
wrestler	CM Punk	11	9	1395	731	0.802768166089	NULL	NULL	68	26	0.0012755639890364749
fan favorite	CM Punk	1	1	394	335	0.620253164556	NULL	NULL	68	26	0.0000373245744998507
top star	CM Punk	1	1	403	300	0.509933774834	NULL	NULL	68	26	0.00003649102320829076
world champion	CM Punk	1	1	218	181	0.788235294117	NULL	NULL	68	26	0.00006745817593092283
WWE superstar	CM Punk	3	3	136	47	0.769230769230	NULL	NULL	68	26	0.0009731833910034603
wrestling star	CM Punk	1	1	26	23	0.555555555555	NULL	NULL	68	26	0.0005656108597285068
ECW superstar	CM Punk	1	1	7	7	0.800000000000	NULL	NULL	68	26	0.0021008403361344537
wonderful talent	CM Punk	1	1	5	5	0.500000000000	NULL	NULL	68	26	0.0029411764705882353
injured superstar	CM Punk	1	1	4	4	1.000000000000	NULL	NULL	68	26	0.003676470588235294
Modern day cruiserweights	CM Punk	1	1	4	4	1.000000000000	NULL	NULL	68	26	0.003676470588235294
allowed wrestler	CM Punk	1	1	3	3	1.000000000000	NULL	NULL	68	26	0.004901960784313725
popular current star	CM Punk	1	1	3	3	0.333333333333	NULL	NULL	68	26	0.004901960784313725
top face	CM Punk	2	2	4	3	0.500000000000	NULL	NULL	68	26	0.014705882352941176
great new talent	CM Punk	1	1	2	2	1.000000000000	NULL	NULL	68	26	0.007352941176470588
lead superstar	CM Punk	1	1	1	1	1.000000000000	NULL	NULL	68	26	0.014705882352941176
upcoming superstar	CM Punk	1	1	1	1	1.000000000000	NULL	NULL	68	26	0.014705882352941176
veteran superstar	CM Punk	1	1	1	1	1.000000000000	NULL	NULL	68	26	0.014705882352941176
exclusive two-packs	CM Punk & R-Truth	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
superb segment	CM Punk dominating	1	1	1	1	NULL	NULL	NULL	1	1	1
great spot	CM Punk getting an enzuigiri on the top rope	1	1	29	29	0.555555555555	NULL	NULL	1	1	0.034482758620689655
wrestler	CM Punk of ROH	1	1	1395	731	0.802768166089	NULL	NULL	1	1	0.0007168458781362007
scary moment	CM Punk taking over the Nexus	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
classic rivalry	CM Punk vs. Jeff Hardy	2	2	7	4	0.333333333333	NULL	NULL	2	1	0.2857142857142857
input characteristic	CM range	1	1	5	5	NULL	NULL	NULL	1	1	0.2
item	CM record	1	1	275795	85728	0.801978925726	-1.12779255116892	-0.997854971174332	1	1	0.0000036258815424500083
report	Cm report	1	1	4895	3813	0.533820840950	-0.630077678078769	-0.999196279288709	1	1	0.00020429009193054137
area	CM schedule	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
datum	CM server name	1	0	35536	18119	0.661938879953	-0.871833949328395	-0.999555680636686	1	1	0.000028140477262494372
chat manager	CM Stars	1	1	1	1	NULL	NULL	NULL	1	1	1
pad	CM Storm FPS Tactics DC	1	1	170	135	0.414285714285	NULL	NULL	1	1	0.0058823529411764705
pad	CM Storm Weapon of Choice	1	1	170	135	0.414285714285	NULL	NULL	1	1	0.0058823529411764705
company	CM Studios	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
tool	CM synergy	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
others	cm tall, others	1	1	74	74	0.668072773186	-0.781958755865675	-0.998440311963837	1	1	0.013513513513513514
technique	CM technique	1	1	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	1	1	0.000012332280978689818
error	CM timeout	1	1	3191	2476	0.577996715927	-0.619313045269578	-0.999058567723642	1	1	0.00031338138514572234
CM server information	CM tool version	1	1	2	2	NULL	NULL	NULL	1	1	0.5
popular brand	CM Trailers	1	1	3474	1896	0.580645161290	-0.806427056186671	-0.996860392654322	1	1	0.0002878526194588371
popular brand	CM Truck Beds	1	1	3474	1896	0.580645161290	-0.806427056186671	-0.996860392654322	1	1	0.0002878526194588371
proper setting	CM type	1	1	9	9	NULL	NULL	NULL	1	1	0.1111111111111111
posttrans-plant exposure	CM V infection	1	1	1	1	NULL	NULL	NULL	1	1	1
critical task	CM work	1	1	136	117	0.391304347826	NULL	NULL	1	1	0.007352941176470588
machine	CM-2	1	1	7080	3685	0.613341968911	-0.900349544993249	-0.997821919443838	2	2	0.00007062146892655367
supercomputer	CM-2	1	1	45	30	0.500000000000	NULL	NULL	2	2	0.011111111111111112
system	CM-5	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	4	4	0.000006099494961817162
memory machine	CM-5	1	1	13	10	NULL	NULL	NULL	4	4	0.019230769230769232
message passing system	CM-5	1	1	9	5	0.800000000000	NULL	NULL	4	4	0.027777777777777776
multicomputers	CM-5	1	1	2	2	0.500000000000	NULL	NULL	4	4	0.125
purpose	CM-5 implementation	1	1	8095	5696	0.407532956685	-0.713803390883175	-0.997343999911443	1	1	0.00012353304508956145
infinite group smctures	cm-col for second cousin	1	1	1	1	NULL	NULL	NULL	1	1	1
notion	CM-finite algebra	1	1	3052	1954	0.359294636296	-0.721283746678391	-0.994402860487073	1	1	0.000327653997378768
fluorescent dye	CM-H 2 DCFDA	1	1	146	76	0.871794871794	NULL	NULL	1	1	0.00684931506849315
