factor	DM	4	4	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	75	50	0.0000005503288644909759
feature	DM	2	2	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	75	50	0.0000002817680239080168
topic	DM	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	75	50	0.0000000867479494953438
company	DM	2	2	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	75	50	0.00000029682398337785693
term	DM	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	75	50	0.00000025269275719384695
measure	DM	1	1	34443	25423	0.639775668679	-0.679784793664171	-0.997966300549477	75	50	0.00000038711300796485013
condition	DM	3	3	83548	24792	0.748804780876	-1.08809001193368	-0.99878063040379	75	50	0.0000014363000909656726
component	DM	2	2	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	75	50	0.000001151236499953231
field	DM	2	2	32029	10315	0.586045762165	-1.06920113303713	-0.997608223308599	75	50	0.0000016651576175757387
disease	DM	1	1	57289	9067	0.815405777166	-1.3062398534626	-0.996635538198392	75	50	0.00000023273810562818924
instance	DM	1	1	7541	6140	0.384795321637	-0.545776293497805	-0.998301453844207	75	50	0.0000017681120983070326
risk factor	DM	4	4	15416	4424	0.634524321997	-1.01255794194269	-0.998727952427551	75	50	0.000013838436256702992
disorder	DM	3	3	13217	4221	0.660824253908	-1.1222248931531	-0.995424374982298	75	50	0.000009079216161004766
medical condition	DM	1	1	13060	2342	0.630896226415	-1.2596345144734	-0.993297202962936	75	50	0.0000010209290454313425
communication tool	DM	1	1	1728	809	0.391025641025	NULL	NULL	75	50	0.00000771604938271605
chronic disease	DM	2	2	8009	741	0.494880546075	NULL	NULL	75	50	0.0000066591750946851465
pathological condition	DM	1	1	1746	677	0.503239740820	NULL	NULL	75	50	0.000007636502481863307
systemic disease	DM	2	2	1392	452	0.469565217391	NULL	NULL	75	50	0.000038314176245210727
common disease	DM	1	1	1410	429	0.293103448275	NULL	NULL	75	50	0.000009456264775413712
comorbid condition	DM	1	1	665	242	0.234449760765	NULL	NULL	75	50	0.00002005012531328321
marketing method	DM	1	1	295	206	0.342342342342	NULL	NULL	75	50	0.00004519774011299435
cardiovascular risk factor	DM	3	3	1085	202	0.507246376811	NULL	NULL	75	50	0.00011059907834101384
traditional risk factor	DM	4	4	870	198	0.596026490066	NULL	NULL	75	50	0.00024521072796934864
underlying disease	DM	2	2	404	177	0.285714285714	NULL	NULL	75	50	0.000132013201320132
co-morbid condition	DM	2	2	288	154	0.200000000000	NULL	NULL	75	50	0.00018518518518518518
input variable	DM	1	1	182	154	0.372093023255	NULL	NULL	75	50	0.00007326007326007326
metabolic abnormality	DM	1	1	291	118	0.575000000000	NULL	NULL	75	50	0.00004581901489117984
chronic medical condition	DM	1	1	508	113	0.191919191919	NULL	NULL	75	50	0.000026246719160104988
non-communicable disease	DM	1	1	732	92	0.342465753424	NULL	NULL	75	50	0.000018214936247723133
CVD risk factor	DM	1	1	112	54	0.150000000000	NULL	NULL	75	50	0.00011904761904761905
italian company	DM	1	1	52	38	0.611111111111	NULL	NULL	75	50	0.0002564102564102564
maternal disease	DM	1	1	59	35	0.258064516129	NULL	NULL	75	50	0.00022598870056497175
successful retailer	DM	1	1	41	35	0.172413793103	NULL	NULL	75	50	0.0003252032520325203
european retailer	DM	1	1	68	32	0.312500000000	NULL	NULL	75	50	0.000196078431372549
progressive disease	DM	1	1	65	28	0.200000000000	NULL	NULL	75	50	0.00020512820512820514
co-morbid disease	DM	1	1	16	11	NULL	NULL	NULL	75	50	0.0008333333333333334
classic coronary risk factor	DM	1	1	7	6	0.166666666666	NULL	NULL	75	50	0.0019047619047619048
endogenous and exogenous risk factor	DM	1	1	15	6	0.166666666666	NULL	NULL	75	50	0.0008888888888888888
enterprise level application	DM	2	2	12	6	0.500000000000	NULL	NULL	75	50	0.0044444444444444444
good business tool	DM	1	1	5	6	0.500000000000	NULL	NULL	75	50	0.002666666666666667
polymorphic gene	DM	1	1	7	6	0.500000000000	NULL	NULL	75	50	0.0019047619047619048
medical management program	DM	1	1	5	5	0.500000000000	NULL	NULL	75	50	0.002666666666666667
grammar teaching method	DM	1	1	2	2	0.500000000000	NULL	NULL	75	50	0.006666666666666667
isolated CVD risk factor	DM	1	1	2	2	0.666666666666	NULL	NULL	75	50	0.006666666666666667
TMR variable	DM	2	2	4	2	0.666666666666	NULL	NULL	75	50	0.013333333333333334
