factor	Eh	2	2	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	44	27	0.0000002345151411183136
parameter	Eh	9	9	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	44	27	0.000034269236041420926
condition	Eh	3	2	83548	24792	0.748804780876	-1.08809001193368	-0.99878063040379	44	27	0.00000244823879141876
variable	Eh	2	2	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	44	27	0.000001775672225112622
property	Eh	1	1	30845	15896	0.618977796397	-0.958993341286946	-0.998237112803506	44	27	0.0000007368219396100738
physical property	Eh	1	1	4557	1398	0.617896009673	-1.09442556072733	-0.995581093910908	44	27	0.000004987332176272269
environmental condition	Eh	3	3	4411	1372	0.558375634517	-1.06316206022853	-0.99796532012829	44	27	0.000046371674120483915
physical parameter	Eh	1	1	1610	826	0.487755102040	NULL	NULL	44	27	0.000014116318464144551
environmental parameter	Eh	1	1	1094	390	0.462365591397	NULL	NULL	44	27	0.00002077447232840286
water quality parameter	Eh	1	1	1265	211	0.582191780821	NULL	NULL	44	27	0.000017966223499820336
environmental characteristic	Eh	1	1	214	153	0.265486725663	NULL	NULL	44	27	0.00010620220900594731
physicochemical parameter	Eh	1	1	316	143	0.509259259259	NULL	NULL	44	27	0.00007192174913693901
soil condition	Eh	1	1	268	143	0.483870967741	NULL	NULL	44	27	0.00008480325644504748
soil factor	Eh	1	1	261	117	0.443037974683	NULL	NULL	44	27	0.00008707767328456983
soil parameter	Eh	1	1	182	110	0.360000000000	NULL	NULL	44	27	0.00012487512487512488
physical and chemical parameter	Eh	1	1	163	84	0.314285714285	NULL	NULL	44	27	0.00013943112102621306
field parameter	Eh	1	1	190	61	0.414634146341	NULL	NULL	44	27	0.00011961722488038278
local environmental condition	Eh	1	1	59	48	0.297297297297	NULL	NULL	44	27	0.0003852080123266564
water parameter	Eh	3	2	160	43	0.205882352941	NULL	NULL	44	27	0.0012784090909090907
regional condition	Eh	2	2	51	38	0.115384615384	NULL	NULL	44	27	0.0017825311942959
physiochemical parameter	Eh	1	1	40	27	0.217391304347	NULL	NULL	44	27	0.0005681818181818183
intrinsic variable	Eh	1	1	21	18	0.357142857142	NULL	NULL	44	27	0.0010822510822510823
extrinsic variable	Eh	1	1	9	7	0.285714285714	NULL	NULL	44	27	0.002525252525252525
solution variable	Eh	1	1	5	5	0.200000000000	NULL	NULL	44	27	0.004545454545454546
vegetation also regional condition	Eh	1	1	4	4	0.500000000000	NULL	NULL	44	27	0.005681818181818182
common geochemical parameter	Eh	1	1	2	2	0.500000000000	NULL	NULL	44	27	0.011363636363636364
geochemical variable	Eh	1	0	2	2	0.500000000000	NULL	NULL	44	27	0.011363636363636364
typical large helicopter	EH 101 Merlin	1	1	1	1	NULL	NULL	NULL	1	1	1
te-like mode	EH 11	1	1	2	2	NULL	NULL	NULL	1	1	0.5
creative writing course	EH 205	3	1	7	3	NULL	NULL	NULL	3	1	0.42857142857142855
creative writing course	EH 307	3	1	7	3	NULL	NULL	NULL	3	1	0.42857142857142855
type	EH 6CA7	1	1	12278	9276	0.430722891566	-0.636768280802362	-0.996404903617429	1	1	0.00008144648965629581
physicochemical parameter	Eh andph	1	1	316	143	0.509259259259	NULL	NULL	1	1	0.0031645569620253164
particle	eh bien	1	1	3630	1195	0.449093444909	-1.04291048466723	-0.997355368796821	1	1	0.0002754820936639118
individual	EH Brown	1	1	10778	6975	0.653951890034	-0.779188737406808	-0.999228064386307	1	1	0.00009278159213212098
serialization technology	EH Cache	1	1	1	1	1.000000000000	NULL	NULL	1	1	1
realist	EH Carr	2	2	197	124	0.666666666666	NULL	NULL	2	1	0.01015228426395939
version	eh cheaper version	1	1	1462	969	0.478021978021	-0.732325802652968	-0.996343876427447	1	1	0.0006839945280437756
program	EH class	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	1	1	0.000010786439288526465
hit song	Eh Eh	1	1	178	165	0.523809523809	NULL	NULL	1	1	0.0056179775280898875
department code	EH for Environmental Health	1	1	1	1	NULL	NULL	NULL	1	1	1
information	eh forward consolidated information	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	2	2	0.0000034707760655282523
consolidated information	eh forward consolidated information	1	1	15	7	NULL	NULL	NULL	2	2	0.03333333333333333
