airline	EY	3	3	10129	1280	0.797101449275	-1.42991679030138	-0.989677067659715	9	6	0.00009872642906506072
dye	EY	1	1	973	540	0.691176470588	NULL	NULL	9	6	0.00011419435879867535
control variable	EY	1	1	727	474	0.457364341085	NULL	NULL	9	6	0.0001528350909368791
curve	EY	1	1	153	115	0.506666666666	NULL	NULL	9	6	0.0007262164124909223
gulf carrier	EY	2	1	36	13	0.916666666666	NULL	NULL	9	6	0.012345679012345678
staggered J cabin	EY	1	1	1	1	1.000000000000	NULL	NULL	9	6	0.1111111111111111
skill	ey also value ``soft skill''	1	1	34378	13132	0.658647140864	-1.04017675648634	-0.997766084512889	2	2	0.00001454418523474315
soft skill	ey also value ``soft skill''	1	1	1426	533	0.493333333333	NULL	NULL	2	2	0.0003506311360448808
award-winning online recruitment tool	EY Experience	1	1	2	2	NULL	NULL	NULL	1	1	0.5
award-winning online recruitment tool	EY Insight	1	1	2	2	NULL	NULL	NULL	1	1	0.5
criterion	ey use objective criterion	1	1	15406	8935	0.554672447013	-0.823359173945575	-0.99893170285319	2	2	0.00003245488770608854
objective criterion	ey use objective criterion	1	1	336	278	0.351515151515	NULL	NULL	2	2	0.001488095238095238
fsrm's learning & development activity	EY web based learning	1	1	2	2	NULL	NULL	NULL	1	1	0.5
film	Eya Den Loku Lamayek	1	1	24122	10375	0.756059824651	-0.901398594282795	-0.984697282492165	1	1	0.000041455932343918414
service	eya's administrative and management service	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	2	2	0.0000028002105758353026
management service	eya's administrative and management service	1	1	268	233	0.309090909090	NULL	NULL	2	2	0.0018656716417910447
leader	Eyadema	1	1	9185	6588	0.693376068376	-0.757096507540666	-0.997194959172204	1	1	0.00010887316276537834
worst case	Eyadema's Togo	1	1	84	72	0.312500000000	NULL	NULL	1	1	0.011904761904761904
Native peoples	Eyak	1	1	46	42	0.620689655172	NULL	NULL	2	2	0.010869565217391304
Athabascan sub-families	Eyak	1	1	1	1	1.000000000000	NULL	NULL	2	2	0.5
entrepreneur	Eyal Balle	1	1	888	668	0.515283842794	NULL	NULL	1	1	0.0011261261261261261
artist	Eyal Barkan	1	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	1	1	0.000011305183426601097
player	Eyal Berkovic	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	2	2	0.000009998200323941691
seasoned professional	Eyal Berkovic	1	1	36	33	0.500000000000	NULL	NULL	2	2	0.013888888888888888
popular artist	Eyal Golan	1	1	780	517	0.513513513513	NULL	NULL	1	1	0.001282051282051282
manchester united fan	Eyal Goldman	1	1	1	1	NULL	NULL	NULL	1	1	1
israel celebrity	Eyal Kitzis	1	1	4	4	NULL	NULL	NULL	1	1	0.25
analyst	Eyal Ofir of Canaccord Genuity	1	1	1818	1475	0.581508515815	-0.535327392599891	-0.992188249844795	1	1	0.00055005500550055
notable israeli photographer	Eyal Onn	1	1	1	1	NULL	NULL	NULL	1	1	1
scientist	Eyal Ophir	1	1	3988	2458	0.747800586510	-0.76904575050815	-0.998800182882403	1	1	0.00025075225677031093
top level IKMF instructor	Eyal Yanilov	1	1	1	1	NULL	NULL	NULL	1	1	1
expert	Eyal Zisser of Tel Aviv University's Dayan Center	1	1	7830	5833	0.627872498146	-0.656662721940283	-0.999370196811427	1	1	0.0001277139208173691
prejudice	Eyal's homophobia	1	1	68	30	0.375000000000	NULL	NULL	1	1	0.014705882352941176
vendor	Eyam	1	1	12193	5238	0.614473127380	-0.973348269280983	-0.999298244572077	3	3	0.00002733809016102135
historic house	Eyam	1	1	62	57	0.714285714285	NULL	NULL	3	3	0.005376344086021505
well-dressing village	Eyam	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
strange society	Eyam Association for the Prosecution of Felons	1	1	1	1	NULL	NULL	NULL	1	1	1
attraction	Eyam Hall	2	2	22400	13413	0.773365748244	-0.807854697535262	-0.997424616533452	2	1	0.00008928571428571429
performer	Eyam Jazz Band	1	1	5673	3550	0.770087976539	-0.776567688318523	-0.988974854518243	1	1	0.00017627357659086903
leading passive-component supplier	EYANG Technology Development	3	3	3	1	NULL	NULL	NULL	3	1	1
independent designer	Eyani Couture	1	1	9	9	1.000000000000	NULL	NULL	1	1	0.1111111111111111
innocent child	Eyannie Nunez	1	1	5	5	NULL	NULL	NULL	1	1	0.2
position	Eyas	1	1	11681	6979	0.653878942881	-0.841990925188506	-0.992443440012397	1	1	0.0000856091088091773
lake	Eyasi Lake	1	1	1773	1296	0.588336192109	-0.650210049111485	-0.987195775158594	1	1	0.0005640157924421884
questionnaire	Eyberg Child Behavior Inventory	1	1	263	202	0.750000000000	NULL	NULL	2	2	0.0019011406844106464
standardized checklist	Eyberg Child Behavior Inventory	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
project	EYC	1	1	51739	38387	0.631297709923	-0.716913383950669	-0.999422658457143	2	2	0.000009663889908966157
partner	EYC	1	1	8413	5549	0.564818508177	-0.749782952011366	-0.998831663852928	2	2	0.00005943183168905266
comment	eyCCuE watch movies online vHLQawt on a regular basis	1	1	732	646	0.410526315789	-0.504215956222493	-0.993944632278573	1	1	0.001366120218579235
artist	Eydie Gorme	1	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	8	4	0.000001413147928325137
singer	Eydie Gorme	5	5	3708	2264	0.821215733015	-0.77073693492719	-0.988154286080602	8	4	0.00084277238403452
popular artist	Eydie Gorme	1	1	780	517	0.513513513513	NULL	NULL	8	4	0.00016025641025641026
pal	Eydie Gorme	1	1	86	84	0.562500000000	NULL	NULL	8	4	0.0014534883720930232
ophthalmologist	Eydie Miller	1	1	15116	14930	0.936936936936	-0.229145670199857	-0.955361496237637	1	1	0.00006615506747816882
dye	Eydron Blue	1	1	973	540	0.691176470588	NULL	NULL	1	1	0.0010277492291880781
international station	Eydtkuhnen	1	1	18	15	0.250000000000	NULL	NULL	1	1	0.05555555555555555
