product	HD	2	2	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	169	92	0.00000011874157324450751
feature	HD	9	9	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	169	92	0.0000025321608657414235
service	HD	2	2	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	169	92	0.00000013255434678510308
option	HD	4	4	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	169	92	0.0000016212784692699333
technology	HD	8	8	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	169	92	0.00000612661335747219
condition	HD	2	1	83548	24792	0.748804780876	-1.08809001193368	-0.99878063040379	169	92	0.0000002832939035435251
device	HD	3	2	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	169	92	0.0000009375286141545779
brand	HD	2	2	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	169	92	0.0000003176827962693874
form	HD	1	1	19910	11985	0.451241873645	-0.813251190067528	-0.997534881182008	169	92	0.00000029719536731861427
part	HD	4	3	22759	10034	0.593319317916	-1.02492808986947	-0.996158417466313	169	92	0.000004159873290259578
development	HD	3	2	11596	9281	0.547940340909	-0.573276448940065	-0.999728734308029	169	92	0.000004592483431340332
disease	HD	3	3	57289	9067	0.815405777166	-1.3062398534626	-0.996635538198392	169	92	0.0000009295752739587439
innovation	HD	7	7	8256	6280	0.506775067750	-0.616291496683235	-0.998592565726281	169	92	0.00003511880188982157
format	HD	5	5	10875	5636	0.544238683127	-1.04961234925433	-0.996785603287527	169	92	0.000013602666122560021
sector	HD	2	2	28757	5180	0.573163678426	-1.24004993851532	-0.997763984918764	169	92	0.0000008230566141549688
disorder	HD	2	2	13217	4221	0.660824253908	-1.1222248931531	-0.995424374982298	169	92	0.0000017907724183441355
channel	HD	2	2	6080	2994	0.512928022361	-0.971910444306326	-0.996412996167359	169	92	0.000003892868265337901
health issue	HD	2	2	3867	1390	0.381463414634	-1.02809084902507	-0.997912560647866	169	92	0.0000061206721110045095
intangible	HD	5	4	2137	1072	0.352788586251	-0.9128802792389	-0.994509551910417	169	92	0.00006922273939299965
latest technology	HD	3	3	1150	798	0.442129629629	NULL	NULL	169	92	0.000046308206843323907
clinical condition	HD	1	1	669	442	0.386075949367	NULL	NULL	169	92	0.000008844782904803602
online retailer	HD	1	1	1194	425	0.538812785388	NULL	NULL	169	92	0.000004955745195405033
advanced service	HD	1	1	517	419	0.386718750000	NULL	NULL	169	92	0.000011445183294610463
premium service	HD	1	1	408	330	0.367231638418	NULL	NULL	169	92	0.000014502842557141199
video format	HD	3	2	1811	253	0.742857142857	NULL	NULL	169	92	0.00002940609490327028
latest feature	HD	1	1	290	231	0.397849462365	NULL	NULL	169	92	0.00002040399918384003
audio format	HD	2	2	1798	178	0.707865168539	NULL	NULL	169	92	0.000013163870441187118
genetic condition	HD	1	1	335	172	0.631147540983	NULL	NULL	169	92	0.00001766316347257794
resolution	HD	1	1	283	164	0.536082474226	NULL	NULL	169	92	0.00002090869174315763
neurodegenerative disease	HD	2	2	1247	151	0.605263157894	NULL	NULL	169	92	0.000018980464357060495
medium service	HD	1	1	188	146	0.237623762376	NULL	NULL	169	92	0.000031474254060178776
output format	HD	1	1	315	146	0.385416666666	NULL	NULL	169	92	0.000018784634169249552
fancy feature	HD	1	1	176	143	0.366666666666	NULL	NULL	169	92	0.00003362022592791824
medium technology	HD	1	1	209	131	0.178217821782	NULL	NULL	169	92	0.00002831176920245746
neurodegenerative disorder	HD	1	1	686	101	0.696428571428	NULL	NULL	169	92	0.000008625597322614591
external storage device	HD	1	1	198	100	0.462686567164	NULL	NULL	169	92	0.000029884645269260656
popular video format	HD	1	1	3091	95	0.696969696969	NULL	NULL	169	92	0.0000019143189140451666
big box store	HD	3	3	400	94	0.449275362318	NULL	NULL	169	92	0.0001331360946745562
devastating disease	HD	1	1	143	75	0.174603174603	NULL	NULL	169	92	0.00004137873960359168
technology innovation	HD	1	1	85	66	0.265306122448	NULL	NULL	169	92	0.00006961364427427775
digital channel	HD	1	1	99	64	0.370370370370	NULL	NULL	169	92	0.00005976929053852131
speciality service	HD	1	1	68	63	0.326086956521	NULL	NULL	169	92	0.00008701705534284719
cool new feature	HD	1	1	47	48	0.285714285714	NULL	NULL	169	92	0.0001258970162407151
neurodegenerative condition	HD	1	1	116	40	0.193548387096	NULL	NULL	169	92	0.00005100999795960008
missing component	HD	1	1	34	32	0.291666666666	NULL	NULL	169	92	0.00017403411068569438
american retailer	HD	1	1	47	30	0.125000000000	NULL	NULL	169	92	0.0001258970162407151
home store	HD	1	1	55	28	0.157894736842	NULL	NULL	169	92	0.00010758472296933835
spinal disorder	HD	5	3	42	28	0.500000000000	NULL	NULL	169	92	0.0035221189067342912
pro feature	HD	1	1	29	25	0.333333333333	NULL	NULL	169	92	0.00020403999183840033
polygenic disease	HD	1	1	23	17	0.133333333333	NULL	NULL	169	92	0.00025726781579624386
PC part	HD	1	1	20	15	0.214285714285	NULL	NULL	169	92	0.0002958579881656805
enhanced technology	HD	1	1	13	13	0.250000000000	NULL	NULL	169	92	0.0004551661356395084
peripheral storage device	HD	2	2	15	11	0.125000000000	NULL	NULL	169	92	0.0015779092702169625
autosomal dominant disease	HD	1	1	10	10	0.333333333333	NULL	NULL	169	92	0.000591715976331361
high-end function	HD	1	1	10	10	NULL	NULL	NULL	169	92	0.000591715976331361
home center	HD	10	4	74	10	0.714285714285	NULL	NULL	169	92	0.007996161842315688
date technique	HD	1	1	9	9	0.333333333333	NULL	NULL	169	92	0.0006574621959237343
video resolution	HD	1	1	10	9	0.555555555555	NULL	NULL	169	92	0.000591715976331361
easily replaceable part	HD	1	1	8	8	0.200000000000	NULL	NULL	169	92	0.0007396449704142012
lymphoproliferative disease	HD	1	1	9	8	0.750000000000	NULL	NULL	169	92	0.0006574621959237343
resolution format	HD	1	1	9	8	0.428571428571	NULL	NULL	169	92	0.0006574621959237343
polyglutamine disease	HD	1	1	13	7	0.333333333333	NULL	NULL	169	92	0.0004551661356395084
starcraft channel	HD	3	1	18	6	0.666666666666	NULL	NULL	169	92	0.0029585798816568047
durable part	HD	1	1	5	5	0.666666666666	NULL	NULL	169	92	0.001183431952662722
local home center	HD	1	1	9	5	NULL	NULL	NULL	169	92	0.0006574621959237343
polyq disorder	HD	1	1	9	5	0.666666666666	NULL	NULL	169	92	0.0006574621959237343
adult-onset disease	HD	1	1	5	4	NULL	NULL	NULL	169	92	0.001183431952662722
connected health issue	HD	1	1	4	4	NULL	NULL	NULL	169	92	0.0014792899408284023
non-forced aircooled component	HD	1	1	4	4	0.333333333333	NULL	NULL	169	92	0.0014792899408284023
truevisions own advertisement	HD	2	2	8	4	0.200000000000	NULL	NULL	169	92	0.0029585798816568047
VAS service	HD	1	1	4	4	NULL	NULL	NULL	169	92	0.0014792899408284023
human chronic neurodegenerative disease	HD	1	1	3	3	NULL	NULL	NULL	169	92	0.0019723865877712033
key format	HD	2	2	4	3	0.333333333333	NULL	NULL	169	92	0.005917159763313609
