feature	HT	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	19	18	0.00000027806054990922716
case	HT	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	19	18	0.000000834177242643808
option	HT	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	19	18	0.0000009013028332454563
species	HT	1	1	63947	26107	0.835250186706	-1.02390317210948	-0.991440546158199	19	18	0.0000008230500093416176
brand	HT	3	3	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	19	18	0.000006357835962180766
site	HT	1	1	48590	20434	0.694470774091	-0.921261035637432	-0.999541053948841	19	18	0.0000010831771752905623
model	HT	1	1	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	19	18	0.00000272518919625995
publication	HT	1	1	15724	7119	0.676279069767	-0.944959831469237	-0.999057856035507	19	18	0.000003347213110364311
clinical factor	HT	1	1	740	456	0.470817120622	NULL	NULL	19	18	0.00007112375533428166
radical group	HT	1	1	165	113	0.648148148148	NULL	NULL	19	18	0.0003189792663476874
vascular risk factor	HT	1	1	263	64	0.363636363636	NULL	NULL	19	18	0.00020012007204322593
reputable publication	HT	1	1	38	33	0.300000000000	NULL	NULL	19	18	0.0013850415512465374
co-morbidity factor	HT	1	1	14	11	0.222222222222	NULL	NULL	19	18	0.0037593984962406013
operating brand	HT	1	1	14	11	1.000000000000	NULL	NULL	19	18	0.0037593984962406013
top medium publication	HT	1	1	3	3	1.000000000000	NULL	NULL	19	18	0.017543859649122806
yamaha enduro brand	HT	1	1	3	3	0.571428571428	NULL	NULL	19	18	0.017543859649122806
molecular hydrogen species	HT	1	1	2	2	0.500000000000	NULL	NULL	19	18	0.02631578947368421
KSERC consumer group	HT & EHT Consumers Association	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
terrain	Ht 1 wall	1	1	286	174	0.409448818897	NULL	NULL	1	1	0.0034965034965034965
service	HT cable installation service	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	1	1	0.000005600421151670605
gene	ht candidate gene	1	1	2907	1947	0.768867924528	-0.622012195862124	-0.993442363495477	1	1	0.0003439972480220158
company	HT Chen	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
card	HT Claro	1	1	3962	2449	0.554081632653	-0.740446314483	-0.997799523559649	1	1	0.0002523977788995457
non-VHT device	HT device	1	1	1	1	NULL	NULL	NULL	1	1	1
tip-ups	HT Enterprises Polar	1	1	2	2	NULL	NULL	NULL	1	1	0.5
company	HT Forrest	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	2	2	0.000002782724844167409
firm	HT Forrest	1	1	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	2	2	0.000030184123151222456
frame	HT frame	1	1	511	467	0.306818181818	NULL	NULL	1	1	0.0019569471624266144
cell	ht fuel cell	1	1	4445	1788	0.705128205128	-1.08162162835869	-0.995804732089803	2	2	0.0001124859392575928
fuel cell	ht fuel cell	1	1	155	75	0.800000000000	NULL	NULL	2	2	0.0032258064516129032
automated instrument	HT GPC-IR with concentration	1	1	2	2	0.500000000000	NULL	NULL	1	1	0.5
HT consumer	HT industrial	2	2	5	3	1.000000000000	NULL	NULL	2	1	0.4
Thelaunchofnewproducts	HT iron	1	1	2	2	NULL	NULL	NULL	1	1	0.5
suspect	HT lead	1	1	2203	1785	0.332913782252	-0.521343327726253	-0.996088624836549	2	2	0.00022696323195642307
abotu part	HT LEAD	1	1	10	10	0.500000000000	NULL	NULL	2	2	0.05
setting	HT Link	2	1	13239	7119	0.531927188673	-0.852532636570305	-0.99750745455171	3	2	0.00010071254122919657
step	HT Link	1	1	5406	4493	0.453237410071	-0.522842695552819	-0.995832372948754	3	2	0.00006165988407941794
company	HT Media	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	6	6	0.0000009275749480558029
leader	HT Media	1	1	9185	6588	0.693376068376	-0.757096507540666	-0.997194959172204	6	6	0.000018145527127563055
medium company	HT Media	1	1	639	350	0.478021978021	NULL	NULL	6	6	0.0002608242044861763
first-timers	HT Media	1	1	24	23	0.266666666666	NULL	NULL	6	6	0.006944444444444444
medium counter	HT Media	1	1	3	3	1.000000000000	NULL	NULL	6	6	0.05555555555555555
