marker	KM 19	1	1	2480	1684	0.541095890410	-0.701408410545113	-0.991169197135816	1	1	0.0004032258064516129
automatic weapon	KM 2103 Karbine	1	1	51	27	0.875000000000	NULL	NULL	1	1	0.0196078431372549
issue	KM certification	1	1	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	1	1	0.000004438211223348541
professional community	KM Cluster	1	1	28	25	0.157894736842	NULL	NULL	1	1	0.03571428571428571
commenters	KM Companies	1	1	232	181	0.643835616438	NULL	NULL	1	1	0.004310344827586207
small, temporary interaction	KM conference	1	1	1	1	NULL	NULL	NULL	1	1	1
sensitive component	KM configuration	1	0	78	61	0.275000000000	NULL	NULL	1	1	0.01282051282051282
firm	KM Construction	1	1	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	1	1	0.00006036824630244491
product	km correction	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
acclaimed scholar	KM de Silva	2	2	10	7	1.000000000000	NULL	NULL	2	1	0.2
characteristic	Km for maximal glucose transport	1	1	29333	13753	0.634747145187	-0.91123024666609	-0.999029440011712	1	1	0.00003409129649200559
physical and kinetic property	Km for substrate	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
small-scale process	km for the diurnal baroclinic tide	1	1	17	16	0.571428571428	NULL	NULL	1	1	0.058823529411764705
product	km global	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
organisational aspect	KM initiative	1	1	36	33	0.277777777777	NULL	NULL	1	1	0.027777777777777776
tool	KM intranet portal	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
luminary	KM Munshi	1	1	3778	2951	0.683959451401	-0.507284777551527	-0.992329387316055	1	1	0.00026469031233456857
venue	KM Munshi Marg	1	1	13630	8980	0.589366911507	-0.728644318703483	-0.998901808358986	1	1	0.00007336757153338224
criterion	Km of road	2	2	15406	8935	0.554672447013	-0.823359173945575	-0.99893170285319	2	1	0.00012981955082435416
ALP output	km of roads rehabilitated	1	1	2	2	NULL	NULL	NULL	2	2	0.25
ALP activity	km of roads rehabilitated	1	1	1	1	NULL	NULL	NULL	2	2	0.5
name	KM Playa	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	1	1	0.00001530901241560907
program	KM Player	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	2	2	0.000005393219644263232
software player	KM Player	1	1	47	37	0.500000000000	NULL	NULL	2	2	0.010638297872340425
structure	km post	1	1	20751	10380	0.599667774086	-0.926517942296366	-0.997520685051926	1	1	0.00004819044865307696
knowledge management theory	KM Process Framework presented by Bukowitz	1	1	1	1	NULL	NULL	NULL	1	1	1
practitioner magazine	KM Review	1	1	5	5	1.000000000000	NULL	NULL	1	1	0.2
key management service	KM server	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
industry	KM solution vendor	1	1	56592	8866	0.636221089768	-1.26204464574509	-0.997934887595395	1	1	0.000017670342097823013
overstock product	KM spare part	1	1	5	5	NULL	NULL	NULL	1	1	0.2
framework	KM spectrum	1	1	1955	1231	0.599637681159	-0.886914234298938	-0.996133948574766	1	1	0.0005115089514066496
fundamental	KM strategy	1	1	1975	1263	0.357995226730	-0.766386600868966	-0.997245369066145	1	1	0.0005063291139240507
kasemake machinery	KM Table Cutting Machine	1	1	2	2	NULL	NULL	NULL	1	1	0.5
field	KM technology	1	1	32029	10315	0.586045762165	-1.06920113303713	-0.997608223308599	1	1	0.0000312217053295451
tool	KM tool	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
product	km tractor	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
parameter	Km value	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	4	3	0.000004653846869822595
property	Km value	2	2	30845	15896	0.618977796397	-0.958993341286946	-0.998237112803506	4	3	0.00003242016534284325
physical enzymatic property	Km value	1	1	2	2	1.000000000000	NULL	NULL	4	3	0.125
trade literature periodical	KM World	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
plain pellet	KM's Hayloft	1	1	2	2	NULL	NULL	NULL	1	1	0.5
Natural resource output reporting	km's of stream bank rehabilitated	1	1	2	2	NULL	NULL	NULL	1	1	0.5
unit	km2	1	1	9593	6732	0.471854930109	-0.726678746414521	-0.998094820301806	1	1	0.00010424267695194412
CQB variant	KM4 CQB	1	1	1	1	NULL	NULL	NULL	1	1	1
club	KM5 Ibiza	1	1	9974	5249	0.614726027397	-0.917043025704395	-0.992991585201466	1	1	0.00010026067776218167
mics	KM84	1	1	73	58	0.346153846153	NULL	NULL	1	1	0.0136986301369863
LG mobile phone	KM900 Arena	1	1	7	7	1.000000000000	NULL	NULL	1	1	0.14285714285714285
station	KMA	1	1	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	6	6	0.00005577867023650156
letter	KMA	1	1	308	242	0.543478260869	NULL	NULL	6	6	0.0005411255411255411
st. louis artist	KMA	1	1	4	4	1.000000000000	NULL	NULL	6	6	0.041666666666666664
established association	KMA	1	1	2	2	1.000000000000	NULL	NULL	6	6	0.08333333333333333
family band	KMA	1	1	2	2	1.000000000000	NULL	NULL	6	6	0.08333333333333333
representative clustering method	KMA	1	1	1	1	1.000000000000	NULL	NULL	6	6	0.16666666666666666
training course	KMAC	1	1	440	392	0.333333333333	NULL	NULL	1	1	0.0022727272727272726
place	KMADD city	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	1	1	0.000011784670500612803
application	KMail	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	15	12	0.0000007498725216713158
option	KMail	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	15	12	0.0000011416502554442447
system	kmail	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	15	12	0.00000162653198981791
client	KMail	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	15	12	0.000002747328223302838
apps	KMail	2	2	4713	2227	0.550738007380	-0.943964445220801	-0.997837082002291	15	12	0.000056581087771412404
e-mail client	KMail	2	2	277	76	0.615384615384	NULL	NULL	15	12	0.0009626955475330927
mail client	KMail	2	2	249	71	0.627906976744	NULL	NULL	15	12	0.0010709504685408298
mail application	Kmail	1	1	18	16	0.400000000000	NULL	NULL	15	12	0.0037037037037037034
KDE application	KMail	1	1	23	15	0.857142857142	NULL	NULL	15	12	0.002898550724637681
alternate IMAP email client	KMail	1	1	3	3	1.000000000000	NULL	NULL	15	12	0.02222222222222222
Trinity KDE native apps	KMail	1	1	3	3	1.000000000000	NULL	NULL	15	12	0.02222222222222222
popular KDE application	KMail	1	1	1	1	1.000000000000	NULL	NULL	15	12	0.06666666666666667
system	KMail integration	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
KDE application	KMail mail client	2	1	23	15	0.857142857142	NULL	NULL	2	1	0.08695652173913043
youth movement	Kmara	1	1	38	35	0.529411764705	NULL	NULL	1	1	0.02631578947368421
non-violent youth group	Kmara in Georgia	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
company	Kmart	60	53	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	850	222	0.00002357131632706511
name	Kmart	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	850	222	0.000000018010602841893023
place	Kmart	9	9	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	850	222	0.0000011230097771172201
player	Kmart	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	850	222	0.00000002352517723280398
brand	Kmart	4	4	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	850	222	0.0000002526512591507128
client	Kmart	12	11	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	850	222	0.000006981445838040154
location	Kmart	1	1	19916	10821	0.639657575154	-0.889813207206471	-0.997467469884629	850	222	0.00000005907163025885188
business	Kmart	7	7	22547	10353	0.595273899033	-0.977822147267988	-0.9973583718345	850	222	0.0000025567507350658364
firm	Kmart	3	3	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	850	222	0.0000006391931961435344
partner	Kmart	1	1	8413	5549	0.564818508177	-0.749782952011366	-0.998831663852928	850	222	0.00000013983960397424155
big name	Kmart	3	2	7955	5413	0.620203160270	-0.66856758599635	-0.997347902397205	850	222	0.000001331016378895996
store	Kmart	138	113	15993	5161	0.702809265648	-1.17644688956769	-0.995675362740729	850	222	0.0014009070144658875
retailer	Kmart	126	113	13962	3878	0.712421711899	-1.18663823345769	-0.994345091446987	850	222	0.0013377486791880482
competitor	Kmart	8	8	7051	3650	0.524564796905	-0.82261738441424	-0.996015042358118	850	222	0.000010678502006390416
corporation	Kmart	3	3	9355	3329	0.608695652173	-1.05823658758956	-0.995284850551755	850	222	0.0000011318263275379633
