factor	kv	1	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	20	15	0.00000012898332761507248
information	kv	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	20	15	0.0000003470776065528252
option	kv	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	20	15	0.0000008562376915831835
material	KV	1	1	143930	32598	0.749045497931	-1.1568713498048	-0.999182060889109	20	15	0.00000034739109289237825
parameter	kv	5	5	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	20	15	0.000023269234349112978
spec	kv	1	1	651	506	0.415335463258	NULL	NULL	20	15	0.00007680491551459293
tank	KV	2	2	638	406	0.625766871165	NULL	NULL	20	15	0.0003134796238244514
system characteristic	kv	1	1	177	148	0.350515463917	NULL	NULL	20	15	0.0002824858757062147
exposure factor	kv	1	1	34	33	0.352941176470	NULL	NULL	20	15	0.0014705882352941176
x-ray parameter	kv	1	1	7	7	0.166666666666	NULL	NULL	20	15	0.007142857142857143
mind subunits	kv	1	0	3	3	1.000000000000	NULL	NULL	20	15	0.016666666666666666
radiography parameter	kv	1	1	2	2	0.500000000000	NULL	NULL	20	15	0.025
T5 tank	KV	1	1	2	2	0.666666666666	NULL	NULL	20	15	0.025
examination technique exposure factor	kv	1	1	1	1	1.000000000000	NULL	NULL	20	15	0.05
legendary tank	KV	1	1	1	1	1.000000000000	NULL	NULL	20	15	0.05
commercial successful director	KV Anand	1	1	1	1	NULL	NULL	NULL	1	1	1
continuous control	kV AR	1	1	9	9	0.500000000000	NULL	NULL	1	1	0.1111111111111111
school	KV BHEL	1	1	19689	10019	0.745137491616	-0.943489900089712	-0.997166899613069	1	1	0.000050789781096043474
accessory protein	Kv channel beta subunits	1	1	36	30	0.769230769230	NULL	NULL	1	1	0.027777777777777776
volumetric verification technique	kV cone-beam CT	1	1	2	2	NULL	NULL	NULL	1	1	0.5
professional microphone adapter	KV Connection iPhone Microphone Adapter for higher-quality audio recorded in a noisier environment	1	1	1	1	NULL	NULL	NULL	1	1	1
information	Kv figure	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	1	1	0.0000069415521310565046
iconic business leader	KV Kamath	1	1	7	5	0.333333333333	NULL	NULL	1	1	0.14285714285714285
person	KV KAMATH the driving force behind ICICI bank	1	1	17971	11957	0.688179669030	-0.793992023798539	-0.99898696502396	1	1	0.00005564520616548884
program	KV Ladder Builder for Windows	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	1	1	0.000010786439288526465
world-renowned football club	KV Madrid	1	1	3	3	0.500000000000	NULL	NULL	1	1	0.3333333333333333
product	kV meter	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
exposure datum	kV p	1	1	18	16	0.500000000000	NULL	NULL	1	1	0.05555555555555555
company	KV Pharmaceutical	1	0	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
pharmaceutical company	KV Pharmaceuticals	1	1	779	321	0.807142857142	NULL	NULL	6	6	0.00021394950791613177
best pharmaceutical company	KV Pharmaceuticals	1	1	4	4	0.750000000000	NULL	NULL	6	6	0.041666666666666664
foremost pharmaceutical company	KV Pharmaceuticals	1	1	4	4	0.750000000000	NULL	NULL	6	6	0.041666666666666664
matchless pharmaceutical company	KV Pharmaceuticals	1	1	4	4	0.750000000000	NULL	NULL	6	6	0.041666666666666664
pre-eminent pharmaceutical company	KV Pharmaceuticals	1	1	4	4	0.750000000000	NULL	NULL	6	6	0.041666666666666664
unrivalled pharmaceutical company	KV Pharmaceuticals	1	1	4	4	0.750000000000	NULL	NULL	6	6	0.041666666666666664
team	KV Racing Technology	1	1	15768	6094	0.650535648319	-1.13299546763441	-0.978157595840166	1	1	0.00006341958396752917
high quality scanner	KV S4085CL	1	1	1	1	NULL	NULL	NULL	1	1	1
well-known company	KV Supply	1	1	1238	771	0.340579710144	NULL	NULL	1	1	0.0008077544426494346
stalwart	KV Thangkabalu	1	1	872	781	0.477500000000	NULL	NULL	1	1	0.0011467889908256881
flow information	Kv value	1	1	25	21	0.454545454545	NULL	NULL	1	1	0.04
company	KV Vet Supply	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	2	2	0.000002782724844167409
discount catalog	KV Vet Supply	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
model	KV-1	1	1	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	3	3	0.00001725953157631302
tank	KV-1	1	1	638	406	0.625766871165	NULL	NULL	3	3	0.000522466039707419
trumpeter kit	KV-1	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
heavy tank	KV1	1	1	23	21	0.444444444444	NULL	NULL	1	1	0.043478260869565216
voltage-gated potassium channel	Kv1 .2	1	1	9	6	NULL	NULL	NULL	1	1	0.1111111111111111
ion channel	Kv1.1	1	1	50	36	0.727272727272	NULL	NULL	2	2	0.01
voltage-gated potassium channel	Kv1.1	1	1	9	6	NULL	NULL	NULL	2	2	0.05555555555555555
ion channel	Kv1.2	1	1	50	36	0.727272727272	NULL	NULL	7	4	0.002857142857142857
voltage-gated potassium channel	Kv1.2	3	2	9	6	NULL	NULL	NULL	7	4	0.14285714285714285
voltage-gated channel	Kv1.2	1	1	4	3	NULL	NULL	NULL	7	4	0.03571428571428571
kv1 channel	Kv1.2	2	2	2	1	NULL	NULL	NULL	7	4	0.2857142857142857
kv1.x channel	Kv1.4	1	1	1	1	NULL	NULL	NULL	2	2	0.5
