option	ll	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	5	4	0.000003424950766332734
word	ll	1	1	35206	13586	0.515761448349	-0.93939201984472	-0.981726498555239	5	4	0.000005680849855138328
letter	LL	2	1	308	242	0.543478260869	NULL	NULL	5	4	0.0025974025974025974
compound letter	ll	1	1	1	1	1.000000000000	NULL	NULL	5	4	0.2
heat	ll apply moist heat	1	1	348	101	0.456000000000	NULL	NULL	2	2	0.0014367816091954023
moist heat	ll apply moist heat	1	1	50	23	0.357142857142	NULL	NULL	2	2	0.01
retailer	LL Beam	1	1	13962	3878	0.712421711899	-1.18663823345769	-0.994345091446987	1	1	0.00007162297665090961
company	LL Bean	16	14	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	57	26	0.000024995703863398478
organization	LL Bean	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	57	26	0.00000019374562013807475
place	LL Bean	3	3	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	57	26	0.0000018607374474651795
brand	LL Bean	3	3	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	57	26	0.0000021192786540602554
site	LL Bean	1	1	48590	20434	0.694470774091	-0.921261035637432	-0.999541053948841	57	26	0.00000036105905843018744
vendor	LL Bean	1	1	12193	5238	0.614473127380	-0.973348269280983	-0.999298244572077	57	26	0.000001438846850580071
store	LL Bean	3	3	15993	5161	0.702809265648	-1.17644688956769	-0.995675362740729	57	26	0.000009872740376546317
retailer	LL Bean	8	8	13962	3878	0.712421711899	-1.18663823345769	-0.994345091446987	57	26	0.00008041878080102132
large company	LL Bean	1	1	5376	2152	0.505349276274	-0.968245823152566	-0.997282828429864	57	26	0.0000032633667502088553
name brand	LL Bean	2	2	3958	1558	0.610542879622	-0.983250037137585	-0.994715155153678	57	26	0.000017730024910685
industry giant	LL Bean	1	1	1107	632	0.376321353065	NULL	NULL	57	26	0.000015848111697491244
retail store	LL Bean	2	2	1088	479	0.495238095238	NULL	NULL	57	26	0.00006449948400412796
online store	LL Bean	1	1	924	406	0.522842639593	NULL	NULL	57	26	0.00001898686109212425
designer label	LL Bean	1	1	530	285	0.567708333333	NULL	NULL	57	26	0.000033101621979477
big boy	LL Bean	1	1	266	214	0.328282828282	NULL	NULL	57	26	0.00006595435958316844
great organization	LL Bean	1	1	110	97	0.343750000000	NULL	NULL	57	26	0.0001594896331738437
large american company	LL Bean	1	1	44	36	0.228571428571	NULL	NULL	57	26	0.00039872408293460925
outdoor store	LL Bean	1	1	54	31	0.764705882352	NULL	NULL	57	26	0.0003248862897985705
large US company	LL Bean	1	1	36	30	0.100000000000	NULL	NULL	57	26	0.0004873294346978557
in-house brand	LL Bean	1	1	17	17	0.454545454545	NULL	NULL	57	26	0.0010319917440660474
multinational corps	LL Bean	1	1	11	11	0.090909090909	NULL	NULL	57	26	0.001594896331738437
service retailer	LL Bean	1	1	12	11	0.363636363636	NULL	NULL	57	26	0.0014619883040935672
traditional merchant	LL Bean	1	1	10	10	0.200000000000	NULL	NULL	57	26	0.0017543859649122807
best retail store	LL Bean	1	1	2	2	NULL	NULL	NULL	57	26	0.008771929824561403
ocala company	LL Bean	1	1	2	2	0.500000000000	NULL	NULL	57	26	0.008771929824561403
true outdoor store	LL Bean	2	2	3	2	1.000000000000	NULL	NULL	57	26	0.023391812865497075
competitor	LL Bean & Cabelas	1	1	7051	3650	0.524564796905	-0.82261738441424	-0.996015042358118	1	1	0.00014182385477237272
online store	ll bean online store	1	1	924	406	0.522842639593	NULL	NULL	1	1	0.0010822510822510823
LL Bean parka jacket	LL Bean waterproof parka jacket	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
simple, less-critical application	LL Bean's e-mail notification system	1	1	1	1	NULL	NULL	NULL	1	1	1
boot	LL Bean's River Treads	1	1	193	161	0.478260869565	NULL	NULL	1	1	0.0051813471502590676
homogeneous coalition	LL coalition	1	1	1	1	1.000000000000	NULL	NULL	1	1	1
singer	LL Cool	1	1	3708	2264	0.821215733015	-0.77073693492719	-0.988154286080602	1	1	0.00026968716289104636
name	LL Cool J	2	2	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	212	57	0.0000002888492908605485
