organization	LM	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	11	12	0.0000010039545770791145
name	LM	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	11	12	0.0000013917284014190064
term	LM	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	11	12	0.0000017229051626853199
component	LM	1	1	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	11	12	0.0000019623349431020984
model	LM	2	2	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	11	12	0.000018828579901432382
large company	LM	1	1	5376	2152	0.505349276274	-0.968245823152566	-0.997282828429864	11	12	0.00001691017316017316
popular brand	LM	2	2	3474	1896	0.580645161290	-0.806427056186671	-0.996860392654322	11	12	0.0001046736798032135
global brand	LM	1	1	1235	558	0.338297872340	NULL	NULL	11	12	0.00007361059992638939
evocative name	LM	1	1	134	127	0.677966101694	NULL	NULL	11	12	0.0006784260515603799
raw material	LM 24	1	1	6016	1996	0.408993576017	-1.04604277088943	-0.992769935362765	1	1	0.00016622340425531914
NRB commercial engine	LM 2500	1	1	1	1	NULL	NULL	NULL	1	1	1
manufacturer id's	LM 555	1	1	2	2	NULL	NULL	NULL	1	1	0.5
alloy grade	LM 9	1	1	7	7	0.500000000000	NULL	NULL	1	1	0.14285714285714285
second order algorithm	LM algorithm	1	1	2	2	NULL	NULL	NULL	1	1	0.5
high calcium grit	LM Animal Farms	3	3	3	1	NULL	NULL	NULL	3	1	1
portmanteau test	LM ARCH test	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
species	LM bass	1	1	63947	26107	0.835250186706	-1.02390317210948	-0.991440546158199	1	1	0.000015637950177490735
cell	LM cell	1	1	4445	1788	0.705128205128	-1.08162162835869	-0.995804732089803	1	1	0.0002249718785151856
cheap cigarette	LM cigarette	1	1	9	9	0.571428571428	NULL	NULL	1	1	0.1111111111111111
object	LM descent module	1	1	33728	11257	0.574410317325	-1.08687832414143	-0.99529539081207	1	1	0.000029648956356736243
large company	LM Ericsson	1	1	5376	2152	0.505349276274	-0.968245823152566	-0.997282828429864	2	2	0.00009300595238095238
big company	LM Ericsson	1	1	2421	1110	0.345047923322	-0.97015666448251	-0.994225384518589	2	2	0.00020652622883106156
european rival	LM Ericsson AB of Sweden	1	1	41	34	0.307692307692	NULL	NULL	1	1	0.024390243902439025
traditional competitor	LM Ericsson in Sweden	1	1	77	47	0.075000000000	NULL	NULL	1	1	0.012987012987012988
traditional competitor	LM Ericsson of Sweden	7	6	77	47	0.075000000000	NULL	NULL	7	1	0.09090909090909091
powerful bull	LM Full House	1	1	4	4	NULL	NULL	NULL	1	1	0.25
company	LM Funding	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
producer	LM Glasfiber	1	1	4452	3029	0.583182640144	-0.754481765932228	-0.995057018414916	2	2	0.00011230907457322552
windmill blade manufacturer	LM Glasfiber	1	1	1	1	NULL	NULL	NULL	2	2	0.5
element	LM guide	1	1	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	1	1	0.000016949439821013915
anatomical technique	LM histology	1	1	5	5	NULL	NULL	NULL	1	1	0.2
test	LM immediate recall	1	1	16388	7989	0.673289183222	-0.878617287949355	-0.999331595220943	1	1	0.000061020258725897
