area	MT	2	2	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	39	31	0.0000005731246930200863
community	MT	1	1	67626	46760	0.774091293322	-0.709465276557213	-0.987209441439087	39	31	0.00000037915928253963924
technique	MT	2	2	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	39	31	0.0000012648493311476737
application	MT	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	39	31	0.0000002884125083351215
case	MT	2	2	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	39	31	0.000001625576165152036
group	MT	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	39	31	0.0000003676396249340546
method	MT	2	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	39	31	0.0000016069581286972593
place	MT	2	2	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	39	31	0.0000012086841539090054
task	MT	2	2	29628	19527	0.651123500591	-0.770621031445517	-0.999265603683338	39	31	0.0000034617288566255756
city	MT	1	1	73316	9229	0.888511216859	-1.34683685775317	-0.992382523741537	39	31	0.0000003497330138172519
competitor	MT	1	1	7051	3650	0.524564796905	-0.82261738441424	-0.996015042358118	39	31	0.0000036365090967275054
state	MT	2	2	96220	3360	0.592012529365	-1.9331080058239	-0.992623130664696	39	31	0.0000010659333045531343
principle	MT	1	1	5131	2892	0.449541284403	-0.879481316109056	-0.996440807045131	39	31	0.000004997276484316048
conventional method	MT	2	2	1789	1202	0.451570680628	-0.660093773666401	-0.993791599026207	39	31	0.000057330409482449727
geophysical method	MT	1	1	196	93	0.787878787878	NULL	NULL	39	31	0.00013082155939298794
subarea	MT	1	1	27	24	0.230769230769	NULL	NULL	39	31	0.0009496676163342829
visual area	MT	2	2	46	21	0.636363636363	NULL	NULL	39	31	0.002229654403567447
Non destructive testing	MT	1	1	13	10	0.142857142857	NULL	NULL	39	31	0.0019723865877712033
multilingual application	MT	1	1	6	4	0.500000000000	NULL	NULL	39	31	0.004273504273504273
NDT inspection service	MT	1	1	3	3	0.500000000000	NULL	NULL	39	31	0.008547008547008546
case alternative method	MT	1	1	1	1	NULL	NULL	NULL	39	31	0.02564102564102564
cytoskeletal protein polymer	MT	1	1	1	1	0.500000000000	NULL	NULL	39	31	0.02564102564102564
deep red state	MT	1	1	1	1	NULL	NULL	NULL	39	31	0.02564102564102564
equilibrium polymer	MT	1	1	1	1	0.500000000000	NULL	NULL	39	31	0.02564102564102564
NDE testing	MT	1	1	1	1	NULL	NULL	NULL	39	31	0.02564102564102564
NLPapplication	MT	1	1	1	1	NULL	NULL	NULL	39	31	0.02564102564102564
primate cortical area	MT	1	1	1	1	NULL	NULL	NULL	39	31	0.02564102564102564
resistivity method	MT	1	1	1	1	NULL	NULL	NULL	39	31	0.02564102564102564
single-molecule method	MT	2	1	2	1	1.000000000000	NULL	NULL	39	31	0.05128205128205128
popular model	MT 25-DT	2	1	481	334	0.612149532710	NULL	NULL	2	1	0.004158004158004158
unauthenticated FIN message	MT 999s	1	1	1	1	NULL	NULL	NULL	1	1	1
asset	MT A wide area network	1	1	14703	3988	0.483452031839	-1.11968361126415	-0.998711021566611	1	1	0.0000680133306128001
building	Mt Abu	1	1	10865	5845	0.653405994550	-0.906127443077836	-0.999151562844388	2	2	0.00004601932811780948
destination	Mt Abu	1	1	8649	3822	0.637198067632	-0.985877558664433	-0.99232082280183	2	2	0.00005781015146259683
alpine trip	Mt Adams	1	1	1	1	NULL	NULL	NULL	1	1	1
middle class area	Mt Airy	1	1	15	15	0.400000000000	NULL	NULL	1	1	0.06666666666666667
suburb	Mt Albert	1	1	2094	1389	0.794569067296	-0.624334681501169	-0.982321661136053	2	2	0.0002387774594078319
central suburb	Mt Albert	1	1	12	12	0.833333333333	NULL	NULL	2	2	0.041666666666666664
authority	Mt Albert Borough Council	1	1	3201	2206	0.547000895255	-0.659240424476887	-0.997358029714292	1	1	0.00031240237425804435
template name	MT Alce	1	1	4	4	NULL	NULL	NULL	3	3	0.08333333333333333
theme title	MT Alce	1	1	3	3	NULL	NULL	NULL	3	3	0.1111111111111111
web template brand	MT Alce	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
company	Mt Alvenia Hospital	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
high end commercial medical hub	Mt Alvernia	1	1	2	2	0.333333333333	NULL	NULL	1	1	0.5
surrounding natural attraction	Mt Arapiles-Tooan State Park	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
famous stage	Mt Arrowsmith	1	1	15	12	0.750000000000	NULL	NULL	1	1	0.06666666666666667
area	Mt Aspiring	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
pristine provincial park	Mt Assiniboine in the Rockies	1	1	1	1	NULL	NULL	NULL	1	1	1
facility	Mt Assisted Living Facility	1	1	42600	17896	0.658525485436	-1.00701955310555	-0.998916668671258	1	1	0.00002347417840375587
located right off major connector	Mt Auburn Street	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
natural resort	Mt Avala	1	1	2	2	NULL	NULL	NULL	1	1	0.5
san gabriel mountain summit	Mt Baden-Powell	1	1	2	2	NULL	NULL	NULL	1	1	0.5
eruption point	Mt Bainbridge	1	1	3	3	0.500000000000	NULL	NULL	1	1	0.3333333333333333
local musical performer	Mt Baker Toppers	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
key item	Mt Baldy economic	1	1	3383	3313	0.245762711864	-0.604433616827302	-0.975100744067762	1	1	0.0002955956251847473
local merchant	Mt Baldy Lodge	1	1	174	144	0.393939393939	NULL	NULL	1	1	0.005747126436781609
local merchant	Mt Baldy Trout Pools	1	1	174	144	0.393939393939	NULL	NULL	1	1	0.005747126436781609
regional name	MT Bank	1	1	52	50	0.518518518518	NULL	NULL	7	2	0.0027472527472527475
development	Mt Barker	2	1	11596	9281	0.547940340909	-0.573276448940065	-0.999728734308029	6	4	0.00005749108888122341
town	Mt Barker	2	2	16437	8960	0.841277295139	-0.764543331177126	-0.977213718836513	6	4	0.00004055890166494291
centre	Mt Barker	1	1	2625	1848	0.647982062780	-0.6728719968295	-0.991190872823755	6	4	0.00006349206349206349
regional centre	Mt Barker	1	1	276	179	0.725190839694	NULL	NULL	6	4	0.0006038647342995169
tree change town	Mt Barker in South Australia	1	1	1	1	NULL	NULL	NULL	1	1	1
region's ecotourism operator	Mt Barney Lodge	1	1	1	1	NULL	NULL	NULL	1	1	1
region	Mt Baw Baw	1	1	16190	5709	0.680954306510	-1.05290268279751	-0.994762633709566	2	2	0.00003088326127239036
resort	Mt Baw Baw	1	1	2970	1996	0.748427672955	-0.747909574835678	-0.991139915891714	2	2	0.00016835016835016836
amazing natural attraction	Mt Baw Baw Alpine Resort	1	1	8	8	1.000000000000	NULL	NULL	1	1	0.125
community	Mt Beauty	1	1	67626	46760	0.774091293322	-0.709465276557213	-0.987209441439087	2	2	0.000007393606009522965
town	Mt Beauty	1	1	16437	8960	0.841277295139	-0.764543331177126	-0.977213718836513	2	2	0.000030419176248707186
region	Mt Benson	2	1	16190	5709	0.680954306510	-1.05290268279751	-0.994762633709566	2	1	0.00012353304508956145
event	Mt biking	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	4	4	0.0000020167633368559466
sport	MT Biking	1	1	44244	2688	0.777327935222	-1.59548850292358	-0.997620914592768	4	4	0.000005650483681403128
outdoor activity	Mt biking	1	1	15594	1589	0.685958254269	-1.39400833335734	-0.997210862245146	4	4	0.00001603180710529691
outdoor sport	mt biking	1	1	1623	285	0.500000000000	NULL	NULL	4	4	0.00015403573629081948
spectacular track	Mt Bishop	1	1	4	4	NULL	NULL	NULL	1	1	0.25
ascent	Mt Blanc	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
peak	Mt Blankenship	1	1	389	327	0.617647058823	NULL	NULL	1	1	0.002570694087403599
region	Mt Buffalo	1	1	16190	5709	0.680954306510	-1.05290268279751	-0.994762633709566	1	1	0.00006176652254478072
location	Mt Buggery	1	1	19916	10821	0.639657575154	-0.889813207206471	-0.997467469884629	1	1	0.0000502108857200241
great environmental attraction	Mt Buller	1	1	1	1	NULL	NULL	NULL	1	1	1
alpine villages top establishment	Mt Buller Chalet	1	1	2	2	NULL	NULL	NULL	1	1	0.5
destination	Mt Buller in the Victorian High Country	1	1	8649	3822	0.637198067632	-0.985877558664433	-0.99232082280183	1	1	0.00011562030292519366
event	Mt Buller Sprint	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	2	2	0.000004033526673711893
one-off motorsport event	Mt Buller Sprint	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
destination	Mt Cameroon	1	1	8649	3822	0.637198067632	-0.985877558664433	-0.99232082280183	1	1	0.00011562030292519366
brake specialist	MT Car Products	1	1	1	1	NULL	NULL	NULL	1	1	1
carbon black	MT carbon black	1	1	75	36	0.833333333333	NULL	NULL	1	1	0.013333333333333334
track	Mt Cargill	1	1	3059	2599	0.509742790335	-0.530726421846294	-0.998464665182493	1	1	0.00032690421706440013
generation proposal	Mt Cass Wind Farm	1	1	4	4	NULL	NULL	NULL	1	1	0.25
park	Mt Cavendish	1	1	2646	2095	0.733212341197	-0.663811590558721	-0.995781869016331	1	1	0.0003779289493575208
case	MT chair	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
mountain resort	Mt Changbai	1	1	52	41	0.666666666666	NULL	NULL	1	1	0.019230769230769232
famous landmark	Mt Char	1	1	841	473	0.732851985559	NULL	NULL	1	1	0.0011890606420927466
enhancement	MT charging	1	1	2507	1946	0.420066152149	-0.614369464336217	-0.994923535190018	1	1	0.00039888312724371757
resort	Mt Cheeseman	1	1	2970	1996	0.748427672955	-0.747909574835678	-0.991139915891714	3	3	0.0001122334455667789
club field	Mt Cheeseman	1	1	4	3	0.500000000000	NULL	NULL	3	3	0.08333333333333333
craigieburn range field	Mt Cheeseman	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
area	Mt Claremont	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
area	Mt Clear	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	2	2	0.0000027939828784729207
location	Mt Clear	1	1	19916	10821	0.639657575154	-0.889813207206471	-0.997467469884629	2	2	0.00002510544286001205
michigan track	Mt Clemens	1	1	3	3	1.000000000000	NULL	NULL	2	2	0.16666666666666666
private litigation	Mt Clemens	1	1	1	1	NULL	NULL	NULL	2	2	0.5
outdoor activity	mt climbing	1	1	15594	1589	0.685958254269	-1.39400833335734	-0.997210862245146	1	1	0.00006412722842118764
place	Mt Conner	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	1	1	0.000011784670500612803
function	mt control function	1	1	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	2	2	0.000011844972993461575
control function	mt control function	1	1	326	267	0.385321100917	NULL	NULL	2	2	0.0015337423312883436
attraction	Mt Cook	2	2	22400	13413	0.773365748244	-0.807854697535262	-0.997424616533452	4	3	0.00004464285714285714
must-see destination	Mt Cook	1	1	10	10	0.250000000000	NULL	NULL	4	3	0.025
inner residential area	Mt Cook	1	1	5	5	NULL	NULL	NULL	4	3	0.05
airline	Mt Cook Airline	1	1	10129	1280	0.797101449275	-1.42991679030138	-0.989677067659715	1	1	0.00009872642906506072
signature cocktail	Mt Cook Sunset	1	1	69	69	0.423076923076	NULL	NULL	1	1	0.014492753623188406
community-based group	Mt Coolon Woody Weeds Action Group	1	1	62	63	0.366666666666	NULL	NULL	1	1	0.016129032258064516
local legend	Mt Coolum	1	1	107	100	0.729729729729	NULL	NULL	1	1	0.009345794392523364
place	Mt Coot-tha	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	1	1	0.000011784670500612803
brisbane's landmark	Mt Cootha Lookout	1	1	6	6	NULL	NULL	NULL	1	1	0.16666666666666666
suburb	Mt Cotton	2	1	2094	1389	0.794569067296	-0.624334681501169	-0.982321661136053	3	2	0.0006367398917542184
local area	Mt Cotton	1	1	444	390	0.557768924302	NULL	NULL	3	2	0.0007507507507507507
fish	mt crosby weir native fish	1	1	16585	2563	0.823280423280	-1.31701900927919	-0.997257064168719	2	2	0.000030147723846849564
native fish	mt crosby weir native fish	1	1	250	153	0.573033707865	NULL	NULL	2	2	0.002
medical transcription forum	MT Daily	1	1	2	2	NULL	NULL	NULL	1	1	0.5
location	Mt Dandenong	1	1	19916	10821	0.639657575154	-0.889813207206471	-0.997467469884629	1	1	0.0000502108857200241
