place	NY	2	2	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	52	21	0.000000906513115431754
city	Ny	15	15	73316	9229	0.888511216859	-1.34683685775317	-0.992382523741537	52	21	0.00005901744608166126
destination	NY	1	1	8649	3822	0.637198067632	-0.985877558664433	-0.99232082280183	52	21	0.000002223467363946032
state	NY	9	5	96220	3360	0.592012529365	-1.9331080058239	-0.992623130664696	52	21	0.000016188862062900724
large city	NY	7	7	4639	891	0.711888111888	NULL	NULL	52	21	0.00020312733181886014
big city	NY	2	2	3109	625	0.641732283464	NULL	NULL	52	21	0.00002474206398297746
metropolitan area	Ny	1	1	2021	526	0.488063660477	NULL	NULL	52	21	0.000009515472157728467
exchange	Ny	1	1	675	398	0.461956521739	NULL	NULL	52	21	0.00002849002849002849
large state	NY	1	1	512	89	0.197368421052	NULL	NULL	52	21	0.000037560096153846156
textile material	NY	1	1	123	76	0.192982456140	NULL	NULL	52	21	0.0001563477173233271
hot market	NY	1	1	100	52	0.230769230769	NULL	NULL	52	21	0.0001923076923076923
liberal state	NY	1	1	119	48	0.047619047619	NULL	NULL	52	21	0.00016160310277957336
populated state	NY	1	1	122	48	0.131578947368	NULL	NULL	52	21	0.00015762925598991173
web material	NY	2	2	64	41	0.275862068965	NULL	NULL	52	21	0.001201923076923077
crowded city	Ny	1	1	30	23	0.190476190476	NULL	NULL	52	21	0.000641025641025641
gigantic metropolitan area	NY	1	1	7	7	0.142857142857	NULL	NULL	52	21	0.002747252747252747
big city market	NY	1	1	3	3	0.666666666666	NULL	NULL	52	21	0.00641025641025641
beautiful east coast state	NY	1	1	2	2	0.500000000000	NULL	NULL	52	21	0.009615384615384616
heavily so-called blue state	NY	1	1	1	1	1.000000000000	NULL	NULL	52	21	0.019230769230769232
likewise big metropolitan area	Ny	1	1	1	1	1.000000000000	NULL	NULL	52	21	0.019230769230769232
likewise large metropolitan area	Ny	1	1	1	1	1.000000000000	NULL	NULL	52	21	0.019230769230769232
brand name	NY & Company	1	1	6865	3413	0.622099882029	-0.864932692026327	-0.99303140277181	2	2	0.00007283321194464675
email coupon	NY & Company	1	1	1	1	NULL	NULL	NULL	2	2	0.5
rare exception	NY 23 race	1	1	461	373	0.437209302325	NULL	NULL	1	1	0.0021691973969631237
article	NY 32	1	1	8068	4291	0.382103477523	-0.889130625803099	-0.99391133105096	1	1	0.00012394645513138323
route	NY 434	1	1	1482	1163	0.525773195876	-0.64832577371965	-0.997348285553147	1	1	0.0006747638326585695
traditionally-strong transit corridor	NY 5	1	1	1	1	NULL	NULL	NULL	1	1	1
improved north-south highway	NY 60	1	1	1	1	NULL	NULL	NULL	2	2	0.5
north-south highway	NY 60	1	1	1	1	NULL	NULL	NULL	2	2	0.5
venue	NY Academy of Art	1	1	13630	8980	0.589366911507	-0.728644318703483	-0.998901808358986	1	1	0.00007336757153338224
name	NY Air	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	1	1	0.00001530901241560907
publication	NY Arts Magazine	1	1	15724	7119	0.676279069767	-0.944959831469237	-0.999057856035507	3	3	0.000021199016365640635
notable publication	NY Arts Magazine	1	1	68	43	0.272727272727	NULL	NULL	3	3	0.004901960784313725
respected publication	NY ARTS Magazine	1	1	43	34	0.473684210526	NULL	NULL	3	3	0.007751937984496124
case	NY Bar Exam	1	0	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
organization	NY Bass Round-Up	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
reliable online bookkeeper	NY bookkeeper	1	1	1	1	NULL	NULL	NULL	1	1	1
small market	NY Bradenton	1	1	130	102	0.268292682926	NULL	NULL	1	1	0.007692307692307693
concrete	NY brownstone walk-ups	1	1	18	16	0.357142857142	NULL	NULL	1	1	0.05555555555555555
state	NY CA	1	1	96220	3360	0.592012529365	-1.9331080058239	-0.992623130664696	1	1	0.000010392849719393058
group	NY Cares	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	3	3	0.00000477931512414271
non-profit organization	NY Cares	1	1	1858	1149	0.577731092436	-0.827241889012338	-0.997248490755195	3	3	0.00017940437746681017
non-profits	NY Cares	1	1	567	426	0.486772486772	NULL	NULL	3	3	0.0005878894767783657
charity function	NY Cares Benefit concert	1	1	12	11	NULL	NULL	NULL	1	1	0.08333333333333333
attraction	Ny Carlsberg Glyptotek	1	1	22400	13413	0.773365748244	-0.807854697535262	-0.997424616533452	1	1	0.00004464285714285714
law source	NY case	1	1	188	27	0.571428571428	NULL	NULL	1	1	0.005319148936170213
name	NY Central	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	2	2	0.000007654506207804535
rail road	NY Central	1	1	6	6	0.250000000000	NULL	NULL	2	2	0.08333333333333333
railroad line	NY Central RR	1	1	7	7	NULL	NULL	NULL	1	1	0.14285714285714285
president	NY Chapter President	1	1	1276	400	0.808917197452	NULL	NULL	1	1	0.0007836990595611285
mouth-watering dessert	NY Cheese Cake	1	1	19	19	NULL	NULL	NULL	1	1	0.05263157894736842
sandwich	NY cheese steak	1	1	782	508	0.575000000000	NULL	NULL	1	1	0.0012787723785166241
flavor	NY Cheesecake	1	1	10828	3195	0.613148788927	-1.14641039717172	-0.997207816263152	1	1	0.00009235315847801995
boring, uncreative selection	NY Cheesecake with the gelatin blueberry compote	1	1	1	1	NULL	NULL	NULL	1	1	1
classic style	NY Chic	1	1	211	164	0.443181818181	NULL	NULL	1	1	0.004739336492890996
local directory	NY Circle of Translators	1	1	62	34	0.600000000000	NULL	NULL	1	1	0.016129032258064516
area	NY City	2	2	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	6	5	0.000003725310504630561
place	NY City	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	6	5	0.000001964111750102134
locality	NY City	1	1	1054	809	0.509846827133	NULL	NULL	6	5	0.00015812776723592663
large town	NY City	1	1	302	204	0.600000000000	NULL	NULL	6	5	0.0005518763796909492
high traffic volume city	NY city	1	1	2	2	NULL	NULL	NULL	6	5	0.08333333333333333
company	NY City Center	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
ensemble	ny city ensemble	1	1	1056	774	0.706586826347	NULL	NULL	1	1	0.000946969696969697
clearinghouse	NY Clearing Corp.	1	1	41	26	0.363636363636	NULL	NULL	1	1	0.024390243902439025
organization	NY Club	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
club	NY Comedy Club	1	1	9974	5249	0.614726027397	-0.917043025704395	-0.992991585201466	4	3	0.000025065169440545417
