oi	thrush	1	1	2	2	NULL	NULL	NULL	510	184	0.000980392156862745
oi	WD-40	1	1	2	2	NULL	NULL	NULL	240	119	0.0020833333333333333
OI band	cock sparrer	1	1	1	1	NULL	NULL	NULL	8	4	0.125
OI strategy	joint venture	3	2	4	2	NULL	NULL	NULL	469	263	0.004797441364605544
OI strategy	non-equity alliance	1	1	4	2	NULL	NULL	NULL	2	2	0.125
oi vegetation map	attempted in Yorkshire	1	1	1	1	NULL	NULL	NULL	1	1	1
oia attraction	Naval Museum of Oia	2	1	2	1	NULL	NULL	NULL	3	2	0.6666666666666666
OIA official	famous John Collier	1	1	1	1	NULL	NULL	NULL	1	1	1
oia popular beach	Armenaki	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
oia popular beach	Armeni	1	1	3	3	NULL	NULL	NULL	4	4	0.08333333333333333
oia popular beach	Ammoudi	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
OIA project	bench	1	1	3	3	NULL	NULL	NULL	2012	772	0.0001656726308813784
OIA project	picnic table	1	1	3	3	NULL	NULL	NULL	444	182	0.0007507507507507507
OIA project	purchase of public lighting	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
OIA representative	football coordinator Richard Townsend	1	1	2	2	NULL	NULL	NULL	1	1	0.5
OIA representative	executive secretary Dwight Toyama	1	1	2	2	NULL	NULL	NULL	1	1	0.5
OIB friend	Milton Johnson	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
OIB friend	Sly Salcedo	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
OIB friend	Chico Rivera	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
OIC country	Malaysia	2	2	5	4	NULL	NULL	NULL	6168	917	0.00012970168612191958
OIC country	Kuwait	1	1	5	4	NULL	NULL	NULL	1231	304	0.00016246953696181967
oic country	leading oic country	1	1	5	4	NULL	NULL	NULL	2	2	0.1
OIC country	Pakistan	1	1	5	4	NULL	NULL	NULL	4402	776	0.00004543389368468878
OIC member country	Saudi Arabia	1	1	4	4	NULL	NULL	NULL	4179	898	0.000059822924144532185
OIC member country	Iran	1	1	4	4	NULL	NULL	NULL	4782	970	0.000052279381012128815
OIC member country	Egypt	1	1	4	4	NULL	NULL	NULL	5386	987	0.00004641663572224285
OIC member country	Somalia	1	1	4	4	NULL	NULL	NULL	1167	230	0.00021422450728363326
OIC state	Bangladesh	1	1	2	2	NULL	NULL	NULL	2922	439	0.00017111567419575633
OIC state	Morocco	1	1	2	2	NULL	NULL	NULL	1798	302	0.00027808676307007786
OICR initiative	Cancer Stem Cell Project	1	1	1	1	NULL	NULL	NULL	1	1	1
OICs	Lt. Guy Cline	1	1	2	2	NULL	NULL	NULL	1	1	0.5
OICs	Summit Academy	1	1	2	2	NULL	NULL	NULL	1	1	0.5
OID owner	facility	1	1	1	1	NULL	NULL	NULL	1051	405	0.0009514747859181732
OIE member country	Australia	2	1	3	2	NULL	NULL	NULL	16600	2128	0.00008032128514056225
OIE member country	Brazil	1	1	3	2	NULL	NULL	NULL	12719	1532	0.000026207511072673427
OIE partner organization	EC	1	1	2	2	NULL	NULL	NULL	184	99	0.002717391304347826
OIE partner organization	FAO	1	1	2	2	NULL	NULL	NULL	555	122	0.0009009009009009009
OIF member	IBM	1	1	1	1	NULL	NULL	NULL	11151	2595	0.0000896780557797507
OIG audit technology-based system	Auto Buffer System	1	1	1	1	NULL	NULL	NULL	1	1	1
OIG publication	Special Fraud Alerts	1	1	1	1	NULL	NULL	NULL	5	3	0.2
OIG support cost	rent	3	2	3	1	NULL	NULL	NULL	3485	852	0.000860832137733142
oig's job	medical care inspection	1	1	1	1	NULL	NULL	NULL	1	1	1
oiher cost	costs of seedling	1	1	1	1	NULL	NULL	NULL	1	1	1
OIhEr sport fish	trout	1	1	2	2	NULL	NULL	NULL	2148	455	0.00023277467411545624
OIhEr sport fish	bass	1	1	2	2	NULL	NULL	NULL	1384	447	0.000361271676300578
oil	olive oil	446	307	9976	1874	0.637157107231	-1.47188577392451	-0.983838233353593	4372	1099	0.004560716992511213
oil	olive	417	296	9976	1874	0.637157107231	-1.47188577392451	-0.983838233353593	3387	1028	0.005146363673169904
oil	lavender	316	254	9976	1874	0.637157107231	-1.47188577392451	-0.983838233353593	4569	1150	0.002190768898102217
oil	canola	251	186	9976	1874	0.637157107231	-1.47188577392451	-0.983838233353593	1797	461	0.00351433311957602
