service	OT	5	5	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	17	12	0.000008235913458339125
topic	OT	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	17	12	0.00000038271154189122265
field	OT	1	1	32029	10315	0.586045762165	-1.06920113303713	-0.997608223308599	17	12	0.000001836570901737947
intervention	OT	1	1	6988	4871	0.570004982561	-0.669056586754541	-0.99907762170867	17	12	0.00000841779184484326
provider	OT	1	1	6330	4089	0.522063815342	-0.897127792904335	-0.997891073719355	17	12	0.00000929281665272744
therapy	OT	2	2	9653	2941	0.640114613180	-1.05819998439784	-0.997712606950347	17	12	0.000024375232326433112
support service	Ot	1	1	4521	2153	0.486652977412	-0.954733340073844	-0.994800240134439	17	12	0.000013011176600700002
staff	OT	1	1	1867	1169	0.553380782918	-0.849940144689106	-0.989450968212126	17	12	0.00003150697879580327
good facility	OT	1	1	252	182	0.286764705882	NULL	NULL	17	12	0.0002334267040149393
paper record	OT	1	1	74	56	0.228571428571	NULL	NULL	17	12	0.000794912559618442
HR record	OT	1	1	5	5	0.666666666666	NULL	NULL	17	12	0.011764705882352941
skilled home health service	OT	1	1	2	2	0.666666666666	NULL	NULL	17	12	0.029411764705882353
intervention	OT & speech therapy	1	1	6988	4871	0.570004982561	-0.669056586754541	-0.99907762170867	1	1	0.00014310246136233542
squat	OT 301	1	1	3	3	0.500000000000	NULL	NULL	1	1	0.3333333333333333
scientology service	OT 8	1	1	1	1	NULL	NULL	NULL	1	1	1
trade magazine	OT Advance	1	1	166	142	0.590163934426	NULL	NULL	1	1	0.006024096385542169
solution	OT air conditioning plants for cellular designed building	1	1	13302	10565	0.501522280653	-0.652816379194655	-0.995039391901281	1	1	0.00007517666516313337
prospect	OT Andrus Peat	1	1	798	634	0.670886075949	NULL	NULL	1	1	0.0012531328320802004
role	OT assistant	1	1	9143	5263	0.589459698848	-0.846983305948192	-0.998853286326801	2	2	0.000054686645521163735
complementary provider	OT assistant	1	1	8	7	0.666666666666	NULL	NULL	2	2	0.0625
firewire converter	ot Cameras with FireWire Dv connection	1	1	2	2	NULL	NULL	NULL	1	1	0.5
theological issue	OT canon	1	1	80	69	0.471698113207	NULL	NULL	1	1	0.0125
organization	ot charitable organization	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	2	2	0.00000552175017393513
charitable organization	ot charitable organization	1	1	1261	773	0.614583333333	NULL	NULL	2	2	0.0003965107057890563
all-sec performer	oT Chris Williams	1	1	2	2	NULL	NULL	NULL	1	1	0.5
high-ranked athlete	OT Cyrus Kouandjio	1	1	2	2	NULL	NULL	NULL	1	1	0.5
OSRAM controller	OT DALI DIM	1	1	2	2	NULL	NULL	NULL	1	1	0.5
southern Borneo peoples	Ot Danum	1	1	1	1	NULL	NULL	NULL	1	1	1
service	OT debug	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	1	1	0.000005600421151670605
OSRAM controller	OT DIM	1	1	2	2	NULL	NULL	NULL	1	1	0.5
solution	ot e server-based olap solution	1	1	13302	10565	0.501522280653	-0.652816379194655	-0.995039391901281	1	1	0.00007517666516313337
scheme	ot employment scheme	1	1	5396	4634	0.576700434153	-0.50088000203571	-0.997534743069553	2	2	0.00009266123054114158
employment scheme	ot employment scheme	1	1	11	11	0.666666666666	NULL	NULL	2	2	0.045454545454545456
incoming player	OT Erik Kohler	1	1	16	16	1.000000000000	NULL	NULL	1	1	0.0625
frequently-used term	OT for Old Testament	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
group activity	OT group	1	1	1582	936	0.430400000000	-0.815589302912263	-0.994474910405178	1	1	0.0006321112515802782
narrative	OT historical book	1	1	174	149	0.350515463917	NULL	NULL	1	1	0.005747126436781609
necessity	ot household necessity	1	1	3713	1452	0.272727272727	-0.991564189234841	-0.997650975742865	2	2	0.00013466199838405601
household necessity	ot household necessity	1	1	46	44	0.051282051282	NULL	NULL	2	2	0.010869565217391304
displaced person	OT Israel	1	1	8	7	NULL	NULL	NULL	1	1	0.125
player	OT Jason Peters	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	1	1	0.000019996400647883383
high draft pick	OT Jeff Backus	1	1	18	18	0.750000000000	NULL	NULL	1	1	0.05555555555555555
staff position	OT job	1	1	82	78	0.326530612244	NULL	NULL	1	1	0.012195121951219513
prospect	OT Jordan Diamond	1	1	798	634	0.670886075949	NULL	NULL	1	1	0.0012531328320802004
country	ot latin american country	1	1	284959	5905	0.719014084507	-2.07816919157544	-0.984293333817742	2	2	0.0000017546383865749107
latin american country	ot latin american country	1	1	1364	63	0.631578947368	NULL	NULL	2	2	0.00036656891495601173
law	OT law	1	1	5389	3272	0.608147429679	-0.805669340369659	-0.996662128521993	1	1	0.00018556318426424197
player	OT Michael Oher	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	1	1	0.000019996400647883383
food	ot other healthy food	1	1	97997	9946	0.813448041657	-1.46920836085911	-0.996113178565987	2	2	0.000005102197006030797
healthy food	ot other healthy food	1	1	3283	555	0.380102040816	NULL	NULL	2	2	0.00015229972586049346
trade magazine	OT Practice	1	1	166	142	0.590163934426	NULL	NULL	1	1	0.006024096385542169
impact player	OT Rob Petitti	1	1	70	66	0.888888888888	NULL	NULL	1	1	0.014285714285714285
high sterile area	OT rooms in hospital	3	3	15	8	0.500000000000	NULL	NULL	4	2	0.15000000000000002
high sophisticated area	OT rooms in hospital	1	1	1	1	NULL	NULL	NULL	4	2	0.25
profession	OT s	1	1	9091	1707	0.547895500725	-1.2195817574055	-0.997145850417758	1	1	0.00010999890001099989
top prospect	OT Seantrel Henderson	1	1	149	134	0.970588235294	NULL	NULL	1	1	0.006711409395973154
company	OT Study Club	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
bible course	OT Survey	1	1	5	6	NULL	NULL	NULL	1	1	0.2
hospital supply	OT Tables	1	1	54	34	0.280000000000	NULL	NULL	1	1	0.018518518518518517
issue	OT text	1	1	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	1	1	0.000004438211223348541
discipline	OT theology	1	1	14081	3368	0.555599214145	-1.17164535032735	-0.994440825903289	1	1	0.00007101768340316739
centre	Ot Vaed	1	1	2625	1848	0.647982062780	-0.6728719968295	-0.991190872823755	2	2	0.00019047619047619048
center	Ot Vaed	1	1	2074	1717	0.488095238095	-0.719843410641672	-0.988831734895807	2	2	0.00024108003857280618
band	Ot Vinta	1	1	30649	10132	0.750372578241	-1.08724359942632	-0.990625439226499	1	1	0.000032627491924695746
healthcare professional	OT's	1	1	594	167	0.623762376237	NULL	NULL	1	1	0.0016835016835016834
asset	OT-34 flame tank	1	1	14703	3988	0.483452031839	-1.11968361126415	-0.998711021566611	1	1	0.0000680133306128001
ALOT more pairings	OT3 of LavixKandaxAllen	1	1	5	5	NULL	NULL	NULL	1	1	0.2
work	Ota	1	1	19390	14264	0.547235023041	-0.648757650562423	-0.999184070562712	4	4	0.000012893243940175348
industry standard	OTA	1	1	933	600	0.538461538461	NULL	NULL	4	4	0.0002679528403001072
nigerian university	Ota	1	1	14	10	1.000000000000	NULL	NULL	4	4	0.017857142857142856
pigmentary disorder	Ota	1	1	13	10	0.714285714285	NULL	NULL	4	4	0.019230769230769232
historical standard	OTA American	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
classification	OTA classification	1	1	899	697	0.350993377483	NULL	NULL	1	1	0.0011123470522803114
setting	ota configuration setting	1	1	13239	7119	0.531927188673	-0.852532636570305	-0.99750745455171	2	2	0.00003776720296094871
configuration setting	ota configuration setting	1	1	131	108	0.358490566037	NULL	NULL	2	2	0.003816793893129771
scheme	ota design scheme	1	1	5396	4634	0.576700434153	-0.50088000203571	-0.997534743069553	1	1	0.00018532246108228317
japanese capitalist	Ota Development Co.	1	1	1	1	NULL	NULL	NULL	1	1	1
receiver	ota digital receiver	1	1	634	515	0.586206896551	NULL	NULL	2	2	0.0007886435331230284
digital receiver	ota digital receiver	1	1	27	20	0.454545454545	NULL	NULL	2	2	0.018518518518518517
company	ota member company	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	2	2	0.000002782724844167409
member company	ota member company	1	1	137	117	0.257575757575	NULL	NULL	2	2	0.0036496350364963502
service	OTA provisioning	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	1	1	0.000005600421151670605
good HD source	OTA reception	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
local, organic ingredient	Ota Tofu from SE Portland	1	1	1	1	NULL	NULL	NULL	1	1	1
feature	OTA update	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
product	OTA video download	2	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	2	1	0.000010033662939160885
tokyo's post-war industrial community	Ota Ward	1	1	1	1	NULL	NULL	NULL	1	1	1
deep melanocytic lesion	Ota's nevus	1	1	1	1	NULL	NULL	NULL	2	2	0.5
profound pigmented lesion	Ota's nevus	1	1	1	1	NULL	NULL	NULL	2	2	0.5
modern filter design	OTA-C filter	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
possibility	OTA-food interaction	1	1	4096	3303	0.344339622641	-0.641204847748521	-0.985655271640266	1	1	0.000244140625
area tourist point	Ota-juku on the Nakasendo	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
area	Ota-ku	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
long chain cationic surfactant	OTAB for saponite modification	2	2	4	2	NULL	NULL	NULL	2	1	0.5
vocal man	Otabil into mummy	1	1	1	1	NULL	NULL	NULL	1	1	1
character	Otacon	2	2	26013	14790	0.699093655589	-0.853321336631321	-0.994875121545335	5	4	0.000030753853842309616
icon	Otacon	1	1	3240	1936	0.447879223580	-0.841445374177643	-0.993309070987902	5	4	0.0000617283950617284
ally	Otacon	1	1	1280	603	0.374193548387	NULL	NULL	5	4	0.00015625
anime convention	Otacon	1	1	20	12	1.000000000000	NULL	NULL	5	4	0.01
test	otacoustic emission	2	2	16388	7989	0.673289183222	-0.878617287949355	-0.999331595220943	2	1	0.000122040517451794
well-known japanese household brand	Otafuku Foods	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
share artist	Otagaki Rengetsu	1	1	1	1	NULL	NULL	NULL	1	1	1
area	Otago	3	3	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	12	7	0.000004190974317709381
place	Otago	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	12	7	0.000000982055875051067
region	Otago	4	4	16190	5709	0.680954306510	-1.05290268279751	-0.994762633709566	12	7	0.00008235536339304097
district	Otago	1	1	5670	3642	0.697560975609	-0.665973735086996	-0.992027998573377	12	7	0.000014697236919459142
lowland fluvial area	Otago	1	1	3	3	0.666666666666	NULL	NULL	12	7	0.027777777777777776
south island region	Otago	1	1	3	3	0.666666666666	NULL	NULL	12	7	0.027777777777777776
sheep-reliant region	Otago	1	1	2	2	1.000000000000	NULL	NULL	12	7	0.041666666666666664
purpose-built facility	Otago Central Rail Trail	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
Organisations	Otago Chamber of Commerce	2	2	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	3	2	0.00014653624940469647
local and national organization	Otago Chamber of Commerce	1	1	75	71	0.588235294117	NULL	NULL	3	2	0.0044444444444444444
development	Otago Corrections Facility	1	1	11596	9281	0.547940340909	-0.573276448940065	-0.999728734308029	1	1	0.00008623663332183511
art world luminary	Otago Daily Times cartoonist Garrick Tremain	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
activity	OTAGO Exercise Classes	2	1	171520	57939	0.787842465753	-1.04200579026023	-0.999672175553448	2	1	0.00001166044776119403
evidence based exercise program	Otago Exercise Programme	1	1	1	1	NULL	NULL	NULL	1	1	1
facility	Otago Harbour	1	1	42600	17896	0.658525485436	-1.00701955310555	-0.998916668671258	2	2	0.000011737089201877934
location	Otago Harbour	1	1	19916	10821	0.639657575154	-0.889813207206471	-0.997467469884629	2	2	0.00002510544286001205
large university	Otago in Dunedin	1	1	115	87	0.563380281690	NULL	NULL	1	1	0.008695652173913044
area	Otago in the South Island of NZ	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
speciality	Otago lamb cutlet	1	1	642	524	0.392953929539	NULL	NULL	1	1	0.001557632398753894
city lane	Otago Lane	1	1	1	1	NULL	NULL	NULL	1	1	1
zealand professional training school	Otago law	1	1	1	1	NULL	NULL	NULL	1	1	1
notable local and regional museum	Otago Museum	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
display	Otago Museum's on the first floor	1	1	1362	888	0.421633554083	-0.762028449972784	-0.995348184742111	1	1	0.0007342143906020558
Organisations	Otago Polytechnic	1	1	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	1	1	0.00010990218705352236
exercise program	Otago program	1	1	289	137	0.411764705882	NULL	NULL	1	1	0.0034602076124567475
speciality	Otago Queen scallop	1	1	642	524	0.392953929539	NULL	NULL	1	1	0.001557632398753894
institution	Otago Settlers Museum	3	3	28178	13000	0.720671563483	-0.908752124877403	-0.999786224428357	3	1	0.00010646603733409044
building project	Otago Stadium	1	1	252	207	0.372549019607	NULL	NULL	1	1	0.003968253968253968
