jewish reference	Oy Overlook	1	1	5	5	1.000000000000	NULL	NULL	1	1	0.2
title	Oy Pterodactyl	1	1	15414	9921	0.665151515151	-0.748697031653329	-0.997140005395198	1	1	0.0000648760866744518
manufacturing company	Oy Sulmu Ab in Porvoo	1	1	284	229	0.262626262626	NULL	NULL	1	1	0.0035211267605633804
egg cuisine	oy vegg	1	1	1	1	NULL	NULL	NULL	1	1	1
word	oy vey	1	1	35206	13586	0.515761448349	-0.93939201984472	-0.981726498555239	1	1	0.000028404249275691642
web site	Oy!Chicago.com	1	1	3646	1869	0.617196702002	-0.957190946846995	-0.997877698987756	1	1	0.00027427317608337906
festival	Oya	1	1	5691	3215	0.692737430167	-0.827112027038961	-0.997878363124625	6	6	0.000029286007145785744
god	Oya	1	1	1258	509	0.601398601398	NULL	NULL	6	6	0.00013248542660307367
hit single	Oya	1	1	66	58	0.789473684210	NULL	NULL	6	6	0.0025252525252525255
divinity	Oya	1	1	26	22	0.520000000000	NULL	NULL	6	6	0.006410256410256411
orishas	Oya	1	1	14	10	1.000000000000	NULL	NULL	6	6	0.011904761904761904
river god	Oya	1	1	6	6	0.666666666666	NULL	NULL	6	6	0.027777777777777776
turkish design consultancy company	Oya Design	1	1	2	2	NULL	NULL	NULL	1	1	0.5
case	OYA regional facility	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
global recruiting directory	Oya's Directory of Recruiters	1	1	1	1	NULL	NULL	NULL	1	1	1
single	Oyagala Ani	1	1	256	225	0.552238805970	NULL	NULL	1	1	0.00390625
power cord	Oyaide Tunami	1	1	11	10	0.285714285714	NULL	NULL	1	1	0.09090909090909091
basic flavor	oyako	1	1	82	44	0.179487179487	NULL	NULL	1	1	0.012195121951219513
store	Oyako Tso's Japanese Steakhouse & Sushi Bar on West Main Street	1	1	15993	5161	0.702809265648	-1.17644688956769	-0.995675362740729	1	1	0.00006252735571812669
japanese dish	oyako-donburi	1	1	140	71	0.729729729729	NULL	NULL	1	1	0.007142857142857143
entree	oyakodon	1	1	1645	1144	0.672680412371	-0.797176374420716	-0.99436995688868	1	1	0.0006079027355623101
animal	oyal bengal tiger	1	1	47623	5438	0.828667953667	-1.47687694441136	-0.995120218654726	1	1	0.000020998257144656992
district	Oyam	1	1	5670	3642	0.697560975609	-0.665973735086996	-0.992027998573377	1	1	0.0001763668430335097
name	Oyama	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	3	3	0.000005103004138536357
access point	Oyama	1	1	211	160	0.373737373737	NULL	NULL	3	3	0.0015797788309636653
established in-house brand	Oyama	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
shingen's veteran	Oyamada Nobushige	1	1	4	4	NULL	NULL	NULL	1	1	0.25
street	Oyamel	1	1	1637	1422	0.527874564459	-0.507669947922645	-0.99748212442115	2	2	0.00030543677458766036
top quality restaurant	Oyamel	1	1	9	9	0.250000000000	NULL	NULL	2	2	0.05555555555555555
sankai waterfall park facility	Oyamizu Pond	1	1	1	1	NULL	NULL	NULL	1	1	1
person	Oyana Harris	1	1	17971	11957	0.688179669030	-0.793992023798539	-0.99898696502396	1	1	0.00005564520616548884
simple japanese sentence	OYASUMI NASAI	1	1	5	5	NULL	NULL	NULL	1	1	0.2
work	Oyasumi Punpun	1	1	19390	14264	0.547235023041	-0.648757650562423	-0.999184070562712	1	1	0.00005157297576070139
product	Oyasumiman disposable underwear for kid	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
