product	PF	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	55	29	0.00000009121511762873533
issue	PF	1	1	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	55	29	0.00000008069474951542802
topic	pf	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	55	29	0.00000011829265840274155
technique	PF	1	1	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	55	29	0.00000022422329052163307
parameter	PF	2	2	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	55	29	0.0000013538463621302094
variable	PF	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	55	29	0.0000003551344450225244
facility	PF	1	1	42600	17896	0.658525485436	-1.00701955310555	-0.998916668671258	55	29	0.00000042680324370465216
benefit	PF	14	13	30032	15820	0.635618166526	-0.878063457184251	-0.999703566162433	55	29	0.0001186613067273696
institution	PF	1	1	28178	13000	0.720671563483	-0.908752124877403	-0.999786224428357	55	29	0.0000006452487111156995
agency	PF	1	1	23567	11309	0.723297111052	-0.960797390856237	-0.998365337943026	55	29	0.0000007714948097686673
party	PF	1	1	6645	3791	0.559597090095	-0.875645783535801	-0.991170974526088	55	29	0.0000027361652643819686
law	PF	2	1	5389	3272	0.608147429679	-0.805669340369659	-0.996662128521993	55	29	0.000013495504310126688
force	PF	1	1	3769	2237	0.453172205438	-0.798123755946837	-0.994031813832521	55	29	0.000004824043030463831
deduction	PF	3	3	1299	559	0.519877675840	NULL	NULL	55	29	0.0001259710266638673
political party	PF	1	1	851	502	0.849397590361	NULL	NULL	55	29	0.000021365238756543104
market segment	PF	1	1	677	490	0.280898876404	NULL	NULL	55	29	0.000026856452262656106
liability	PF	6	4	854	432	0.378571428571	NULL	NULL	55	29	0.0007664466680860123
explanatory variable	PF	1	0	499	368	0.403940886699	NULL	NULL	55	29	0.00003643650938240116
government facility	PF	1	1	114	88	0.189655172413	NULL	NULL	55	29	0.0001594896331738437
perquisite	PF	1	1	117	66	0.428571428571	NULL	NULL	55	29	0.00015540015540015543
retirement benefit	PF	1	1	83	48	0.333333333333	NULL	NULL	55	29	0.0002190580503833516
statutory deduction	PF	4	4	81	40	0.406250000000	NULL	NULL	55	29	0.0035914702581369244
monetary benefit	PF	1	1	39	36	0.434782608695	NULL	NULL	55	29	0.0004662004662004662
statutory benefit	PF	2	2	50	33	0.346153846153	NULL	NULL	55	29	0.0014545454545454547
statutory payment	PF	1	0	23	21	0.291666666666	NULL	NULL	55	29	0.0007905138339920949
opposition political party	PF	1	1	14	13	0.600000000000	NULL	NULL	55	29	0.0012987012987012987
terminal benefit	PF	1	1	21	11	0.625000000000	NULL	NULL	55	29	0.0008658008658008658
salary statutory benefit	PF	1	1	5	5	0.200000000000	NULL	NULL	55	29	0.0036363636363636364
customizable deduction	PF	1	1	2	2	NULL	NULL	NULL	55	29	0.00909090909090909
compound	PF . sub .5	3	2	15793	7118	0.651834729846	-0.92318269523691	-0.989178340553131	3	1	0.00018995757614132845
compound	PF 5	1	1	15793	7118	0.651834729846	-0.92318269523691	-0.989178340553131	1	1	0.00006331919204710948
commercially available oxidant	PF 6	1	1	1	1	NULL	NULL	NULL	1	1	1
anion	PF 6 -	2	2	1351	231	0.736000000000	NULL	NULL	4	3	0.0007401924500370096
discrete inorganic anion	PF 6 -	1	1	4	4	NULL	NULL	NULL	4	3	0.0625
non-nucleophlic counter anion	PF 6 -	1	1	2	2	NULL	NULL	NULL	4	3	0.125
protein	Pf 92	2	2	9757	3759	0.747728860936	-0.979506044672148	-0.998531456401191	2	1	0.00020498103925386903
hidden markov model	PF AM	1	1	1	1	NULL	NULL	NULL	1	1	1
feature	PF BB30	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
liability	PF Bonus	2	2	854	432	0.378571428571	NULL	NULL	2	1	0.00234192037470726
restaurant	PF Chang	1	1	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	12	8	0.000011909866133104663
great restaurant	PF Chang	1	1	249	196	0.597560975609	NULL	NULL	12	8	0.00033467202141900936
huge company	PF Chang	1	1	270	187	0.349693251533	NULL	NULL	12	8	0.00030864197530864197
good restaurant	PF Chang	1	1	76	73	0.450000000000	NULL	NULL	12	8	0.0010964912280701754
upscale restaurant	PF Chang	1	1	67	60	0.631578947368	NULL	NULL	12	8	0.0012437810945273632
dollar restaurant	PF Chang	5	5	35	10	0.875000000000	NULL	NULL	12	8	0.059523809523809514
large ethnic food chain	PF Chang	1	1	2	2	0.500000000000	NULL	NULL	12	8	0.041666666666666664
Americanize Asian food	PF Chang	1	1	1	1	1.000000000000	NULL	NULL	12	8	0.08333333333333333
restaurant	PF Chang s	1	1	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	1	1	0.00014291839359725596
restaurant	PF Chang's	5	5	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	13	8	0.0002748430646101076
chain restaurant	PF Chang's	1	1	418	176	0.788990825688	NULL	NULL	13	8	0.0001840264998159735
restaurant chain	PF Chang's	1	1	358	174	0.712765957446	NULL	NULL	13	8	0.00021486892995272884
popular restaurant	PF Chang's	2	2	145	109	0.648148148148	NULL	NULL	13	8	0.002122015915119363
american restaurant	PF Chang's	1	1	20	16	0.500000000000	NULL	NULL	13	8	0.0038461538461538464
high-scale chain restaurant	PF Chang's	1	1	3	3	0.666666666666	NULL	NULL	13	8	0.02564102564102564
mainstream chain restaurant	PF Chang's	1	1	2	2	0.500000000000	NULL	NULL	13	8	0.038461538461538464
upscale national chain	PF Chang's	1	1	1	1	1.000000000000	NULL	NULL	13	8	0.07692307692307693
restaurant	PF Chang's & Il Fornaio	2	2	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	2	1	0.0002858367871945119
popular chain	PF Chang's Bistro	1	1	85	68	0.440000000000	NULL	NULL	1	1	0.011764705882352941
chain	PF Chang's China Bistro	1	1	4610	2288	0.722972972972	-0.961267004381987	-0.99482499222229	4	4	0.00005422993492407809
casual-dining chain	PF Chang's China Bistro	1	1	16	9	0.714285714285	NULL	NULL	4	4	0.015625
popular national restaurant chain	PF Chang's China Bistro	1	1	3	3	0.500000000000	NULL	NULL	4	4	0.08333333333333333
midscale family restaurant	PF Chang's China Bistro	1	1	2	2	NULL	NULL	NULL	4	4	0.125
restaurant	PF Changes	1	1	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	2	2	0.00007145919679862798
chain	PF Changes	1	1	4610	2288	0.722972972972	-0.961267004381987	-0.99482499222229	2	2	0.00010845986984815618
customer	PF Changs	1	1	8342	4944	0.508153204398	-0.810362737365184	-0.993954449352227	31	14	0.0000038669461179727924
restaurant	PF Changs	8	8	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	31	14	0.00029505732871691555
chain	PF Changs	4	3	4610	2288	0.722972972972	-0.961267004381987	-0.99482499222229	31	14	0.00011195857532712896
national chain	PF Changs	1	1	798	439	0.519886363636	NULL	NULL	31	14	0.0000404236397445226
great restaurant	PF Changs	6	6	249	196	0.597560975609	NULL	NULL	31	14	0.004663816556548776
restaurant chain	PF Changs	1	1	358	174	0.712765957446	NULL	NULL	31	14	0.00009010632546404758
popular restaurant	PF Changs	3	3	145	109	0.648148148148	NULL	NULL	31	14	0.0020022246941045607
nice restaurant	PF Changs	1	1	51	41	0.473684210526	NULL	NULL	31	14	0.0006325110689437065
restuarants	PF Changs	1	1	18	18	0.285714285714	NULL	NULL	31	14	0.0017921146953405018
fabulous restaurant	PF Changs	1	1	20	15	0.571428571428	NULL	NULL	31	14	0.0016129032258064516
resteraunts	PF Changs	1	1	5	5	0.500000000000	NULL	NULL	31	14	0.0064516129032258064
mill fancy chain restaurant	PF Changs	1	1	4	4	0.500000000000	NULL	NULL	31	14	0.008064516129032258
great chain restaurant	PF Changs	1	1	3	3	1.000000000000	NULL	NULL	31	14	0.01075268817204301
typically restaurant chain	PF Changs	1	1	1	1	1.000000000000	NULL	NULL	31	14	0.03225806451612903
restaurant	PF Changs & Kirby Steakhouse	1	1	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	1	1	0.00014291839359725596
restaurant	PF Changs & Kirby Steakhouse.Upcoming Concerts Def Leppard with Corporate Limousine's Shuttle availa	1	1	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	1	1	0.00014291839359725596
restaurant	PF Changs & Villagio	1	1	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	1	1	0.00014291839359725596
chain restaurant	PF Changs China Bistro	1	1	418	176	0.788990825688	NULL	NULL	1	1	0.0023923444976076554
serious knee injury	PF dislocation	1	1	10	9	0.600000000000	NULL	NULL	1	1	0.1
brand	PF FLYERS	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	2	2	0.000006711049071190808
popular brand	PF Flyers	1	1	3474	1896	0.580645161290	-0.806427056186671	-0.996860392654322	2	2	0.00014392630972941855
nomination form	PF form	1	1	2	2	NULL	NULL	NULL	1	1	0.5
bigs	PF Glen Big Baby Davis	1	1	15	15	0.666666666666	NULL	NULL	1	1	0.06666666666666667
barring few measure	PF incentive	1	1	2	2	NULL	NULL	NULL	1	1	0.5
interaction	PF key	1	1	872	671	0.451253481894	NULL	NULL	3	3	0.00038226299694189603
Anyinteractions	PF key	1	1	2	2	NULL	NULL	NULL	3	3	0.16666666666666666
ApplinX server request	PF key	1	1	2	2	NULL	NULL	NULL	3	3	0.16666666666666666
blood flow parameter	PF MS	1	1	1	1	NULL	NULL	NULL	1	1	1
particular	PF No.	1	1	852	603	0.291784702549	NULL	NULL	1	1	0.0011737089201877935
government agency	PF office	1	1	4119	1958	0.723076923076	-0.96978759323641	-0.993082959134164	1	1	0.00024277737314882253
fantastic compilation	PF Project	1	1	1	1	NULL	NULL	NULL	1	1	1
statutory register	PF Records	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
option	PF regulation at mains interface	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	1	1	0.00001712475383166367
aldehyde resin	PF resin	1	1	6	3	1.000000000000	NULL	NULL	2	2	0.08333333333333333
structural resin	PF resin	1	1	2	2	NULL	NULL	NULL	2	2	0.25
personnel administration activity	PF return filing	1	1	7	7	0.333333333333	NULL	NULL	1	1	0.14285714285714285
architect	PF Robinson	2	2	1669	988	0.773684210526	NULL	NULL	2	1	0.0011983223487118035
schedulers	PF scheduler	1	1	22	21	0.750000000000	NULL	NULL	1	1	0.045454545454545456
information	PF stick roster	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	1	1	0.0000069415521310565046
resource	PF Training	1	1	43283	17971	0.586939208919	-1.01585950013488	-0.998815568696962	1	1	0.000023103758981586305
spring loaded ejector	PF Winchesters	1	1	2	2	NULL	NULL	NULL	1	1	0.5
denim product	PF yarn	1	1	9	9	0.666666666666	NULL	NULL	1	1	0.1111111111111111
instrument	PF-10 suf fers from a similar type of limitation	1	1	18949	7463	0.618067666550	-1.00559905240589	-0.999187197155796	1	1	0.0000527732334160114
compound	PF3	1	1	15793	7118	0.651834729846	-0.92318269523691	-0.989178340553131	2	2	0.00003165959602355474
molecule	PF3	1	1	5209	2362	0.591439688715	-0.916873224663153	-0.996068708990026	2	2	0.0000959877135726627
protein	Pf3 coat	2	1	9757	3759	0.747728860936	-0.979506044672148	-0.998531456401191	4	3	0.00010249051962693452
membrane protein	Pf3 coat	1	1	233	143	0.745098039215	NULL	NULL	4	3	0.001072961373390558
sec-independent protein	Pf3 coat	1	1	1	1	NULL	NULL	NULL	4	3	0.25
custom option	PF30	1	1	263	218	0.336065573770	NULL	NULL	1	1	0.0038022813688212928
parameter	PF4	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	8	2	0.0000023269234349112975
signal	PF4	7	7	3064	1964	0.430471584038	-0.745225575169458	-0.997156178295879	8	2	0.0019990208877284595
platelet-specific product	PF4 andb-tg	1	1	1	1	NULL	NULL	NULL	1	1	1
molecule	PF5	2	2	5209	2362	0.591439688715	-0.916873224663153	-0.996068708990026	7	5	0.00010970024408304308
shared page	PF5	1	1	6	6	0.500000000000	NULL	NULL	7	5	0.023809523809523808
PF key	PF5	1	1	3	3	1.000000000000	NULL	NULL	7	5	0.047619047619047616
form compound	PF5	1	1	1	1	NULL	NULL	NULL	7	5	0.14285714285714285
trigonal bipyramidal molecule	PF5	2	2	2	1	NULL	NULL	NULL	7	5	0.2857142857142857
PF key	PF6	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
intermec printer	PF8d direct thermal printer with INband wristband	1	1	4	4	NULL	NULL	NULL	1	1	0.25
PF key	PF9 shown on the sample screen	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
product	PFA	2	2	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	117	63	0.00000017151560579762198
name	PFA	2	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	117	63	0.0000005233850398498828
material	PFA	11	11	143930	32598	0.749045497931	-1.1568713498048	-0.999182060889109	117	63	0.000007185354229056028
polymer	PFA	7	6	4837	1316	0.742268041237	-1.18822789105372	-0.994057334255291	117	63	0.00008658329931846575
filler	PFA	1	1	4710	1085	0.476829268292	-1.16217605106351	-0.996766202833407	117	63	0.0000018146514961801586
coating	PFA	2	2	1782	893	0.479262672811	NULL	NULL	117	63	0.000019185204370389556
resin	PFA	4	3	1995	693	0.679442508710	NULL	NULL	117	63	0.0000685474369684896
substitute	PFA	1	1	944	658	0.252427184466	NULL	NULL	117	63	0.00000905403447776329
binder	PFA	1	1	1031	474	0.391304347826	NULL	NULL	117	63	0.000008290017989339036
solid material	PFA	1	1	765	385	0.241258741258	NULL	NULL	117	63	0.000011172560192168034
inert material	PFA	1	1	710	244	0.203389830508	NULL	NULL	117	63	0.000012038040207054292
polymer material	PFA	1	1	324	169	0.375000000000	NULL	NULL	117	63	0.000026379656009285636
coating material	PFA	1	1	255	168	0.194174757281	NULL	NULL	117	63	0.000033517680576504107
thermoplastic	PFA	1	1	639	151	0.696969696969	NULL	NULL	117	63	0.000013375600230060325
thermoplastic material	PFA	1	1	479	150	0.505263157894	NULL	NULL	117	63	0.000017843441643024105
synthetic resin	PFA	1	1	334	140	0.543478260869	NULL	NULL	117	63	0.000025589845949127387
premium material	PFA	1	1	278	139	0.378048780487	NULL	NULL	117	63	0.000030744635061181826
high-grade material	PFA	1	1	61	42	0.151515151515	NULL	NULL	117	63	0.00014011489421325487
parent organization	PFA	1	1	49	40	0.681818181818	NULL	NULL	117	63	0.00017442874585731728
Fluoropolymers	PFA	15	14	176	30	0.894736842105	NULL	NULL	117	63	0.010926573426573426
fluorine resin	PFA	1	1	22	18	0.222222222222	NULL	NULL	117	63	0.0003885003885003885
heat resistant resin	PFA	2	2	24	14	0.384615384615	NULL	NULL	117	63	0.0014245014245014244
fluorocarbon resin	PFA	4	4	22	12	0.600000000000	NULL	NULL	117	63	0.006216006216006216
Fluoroplastics	PFA	2	2	26	12	0.727272727272	NULL	NULL	117	63	0.0013149243918474688
Fluororesins	PFA	1	1	14	11	NULL	NULL	NULL	117	63	0.0006105006105006105
high performance thermoplastic	PFA	1	1	16	11	0.333333333333	NULL	NULL	117	63	0.0005341880341880342
fluorinated polymer	PFA	3	3	19	10	0.555555555555	NULL	NULL	117	63	0.004048582995951417
injection molding resin	PFA	1	1	17	10	0.200000000000	NULL	NULL	117	63	0.0005027652086475615
effective therapeutic agent	PFA	1	1	9	9	0.111111111111	NULL	NULL	117	63	0.0009496676163342829
secondary raw material	PFA	2	2	14	9	0.375000000000	NULL	NULL	117	63	0.002442002442002442
water repellent resin	PFA	1	1	8	8	NULL	NULL	NULL	117	63	0.0010683760683760685
perfluorinated polymer	PFA	1	1	7	7	0.166666666666	NULL	NULL	117	63	0.001221001221001221
Perfluoropolymers	PFA	2	2	9	7	0.333333333333	NULL	NULL	117	63	0.0037986704653371318
fluoropolymer material	PFA	2	2	11	6	0.200000000000	NULL	NULL	117	63	0.003108003108003108
fluoropolymer coating	PFA	3	2	10	5	0.600000000000	NULL	NULL	117	63	0.007692307692307692
suitable release agent	PFA	1	1	6	5	0.200000000000	NULL	NULL	117	63	0.0014245014245014244
fluorine based material	PFA	1	1	4	4	0.500000000000	NULL	NULL	117	63	0.002136752136752137
fluorine polymer	PFA	1	1	4	4	0.400000000000	NULL	NULL	117	63	0.002136752136752137
unmelted fluoropolymer resin	PFA	1	1	4	4	0.333333333333	NULL	NULL	117	63	0.002136752136752137
candidate unmelted fluoropolymer resin	PFA	1	1	3	3	0.333333333333	NULL	NULL	117	63	0.0028490028490028487
common additional binder material	PFA	1	1	3	3	NULL	NULL	NULL	117	63	0.0028490028490028487
fluorinated thermoplastic	PFA	1	1	3	3	0.333333333333	NULL	NULL	117	63	0.0028490028490028487
otherunmelted fluoropolymer resin	PFA	1	1	3	3	0.333333333333	NULL	NULL	117	63	0.0028490028490028487
extruded jacket material	PFA	1	1	2	2	0.500000000000	NULL	NULL	117	63	0.004273504273504274
fluoropolymeric material	PFA	1	1	2	2	NULL	NULL	NULL	117	63	0.004273504273504274
generic coating	PFA	1	1	2	2	NULL	NULL	NULL	117	63	0.004273504273504274
melt-moldable polymer	PFA	1	1	2	2	NULL	NULL	NULL	117	63	0.004273504273504274
perfluorinated material	PFA	1	1	3	2	NULL	NULL	NULL	117	63	0.0028490028490028487
public pension investment organization	PFA	1	1	2	2	NULL	NULL	NULL	117	63	0.004273504273504274
temperature fluoropolymers	PFA	1	1	2	2	NULL	NULL	NULL	117	63	0.004273504273504274
ABSTRACT Fluoropolymers	PFA	1	1	1	1	NULL	NULL	NULL	117	63	0.008547008547008548
