issue	PK	1	1	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	17	14	0.00000026107124843226714
item	PK	1	1	275795	85728	0.801978925726	-1.12779255116892	-0.997854971174332	17	14	0.00000021328714955588285
topic	PK	2	2	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	17	14	0.0000015308461675648906
information	PK	2	2	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	17	14	0.000001633306383778001
method	PK	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	17	14	0.0000009216377502822516
term	pk	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	17	14	0.0000011148209876199128
parameter	PK	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	17	14	0.0000010950227928994342
subject	PK	1	1	39361	15179	0.547630388187	-1.00348181258177	-0.999101119936762	17	14	0.000001494462270058299
instance	PK	1	1	7541	6140	0.384795321637	-0.545776293497805	-0.998301453844207	17	14	0.000007800494551354555
constraint	PK	2	2	5175	3563	0.522727272727	-0.746278902508329	-0.997770085591131	17	14	0.000045467462347257746
rule	PK	1	1	3350	2846	0.442748091603	-0.552877367928375	-0.997551852453839	17	14	0.00001755926251097454
domain	pk	1	1	4182	2417	0.395140664961	-0.827049060138135	-0.993144994255479	17	14	0.000014065884603482714
psychic phenomenon	PK	1	1	62	34	0.607142857142	NULL	NULL	17	14	0.0009487666034155598
metaphysical phenomenon	PK	1	1	5	5	0.200000000000	NULL	NULL	17	14	0.011764705882352941
factor	pK a change	1	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	1	1	0.0000025796665523014496
software package	pK a DB	1	1	1845	1034	0.546370967741	NULL	NULL	1	1	0.0005420054200542005
factor	pK a of the indolyl radical cation	1	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	1	1	0.0000025796665523014496
parameter	pk a of the solute	2	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	2	1	0.00003723077495858076
professional	PK analyst	1	1	17526	3786	0.725694444444	-1.20829556464179	-0.998946643719992	1	1	0.00005705808513066301
property	pK b value	1	1	30845	15896	0.618977796397	-0.958993341286946	-0.998237112803506	1	1	0.00003242016534284325
analyst	PK Basu of Daiwa Capital Markets	1	1	1818	1475	0.581508515815	-0.535327392599891	-0.992188249844795	1	1	0.00055005500550055
PCIs	pk C	1	1	5	5	1.000000000000	NULL	NULL	1	1	0.2
daily event	pk challenge	1	1	119	104	0.260869565217	NULL	NULL	1	1	0.008403361344537815
system	PK Compound	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
big research company	PK Consulting	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
external datum	PK datum	2	2	185	162	0.388349514563	NULL	NULL	2	1	0.010810810810810811
