brand	QS	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	15	13	0.0000008948065428254411
source	QS	1	1	27658	15963	0.530572289156	-0.87388714983492	-0.997401391679569	15	13	0.0000024103936172777013
discount store	QS	1	1	540	153	0.693181818181	NULL	NULL	15	13	0.0001234567901234568
metric	QS	1	1	73	64	0.446808510638	NULL	NULL	15	13	0.0009132420091324201
isometric exercise	QS	1	1	72	43	0.291666666666	NULL	NULL	15	13	0.0009259259259259259
project service	QS	1	1	36	32	0.368421052631	NULL	NULL	15	13	0.0018518518518518517
authentication	QS	1	1	26	22	0.473684210526	NULL	NULL	15	13	0.002564102564102564
simple medical procedure	QS	2	2	21	17	0.636363636363	NULL	NULL	15	13	0.012698412698412698
league table	QS	1	1	12	12	0.250000000000	NULL	NULL	15	13	0.005555555555555555
international quality auditing system	QS	2	2	8	4	0.500000000000	NULL	NULL	15	13	0.03333333333333333
Regular Dino oil	QS	1	1	2	2	1.000000000000	NULL	NULL	15	13	0.03333333333333333
disreputable ranking exercise	QS	1	1	1	1	1.000000000000	NULL	NULL	15	13	0.06666666666666667
SDTM finding domain	QS	1	1	1	1	1.000000000000	NULL	NULL	15	13	0.06666666666666667
QS laser system	QS alexandrite	2	2	4	2	NULL	NULL	NULL	2	1	0.5
layered control network	QS cascadein P. aeruginosa	1	1	1	1	NULL	NULL	NULL	1	1	1
tool	qs core tool	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	2	2	0.0000066281351079060395
core tool	qs core tool	1	1	20	18	NULL	NULL	NULL	2	2	0.025
cost	QS fee	1	1	26743	9313	0.591028394178	-1.06457068898133	-0.997853413801633	1	1	0.00003739296264443032
quick-change tooling system	QS from Sandvik	1	1	2	2	NULL	NULL	NULL	1	1	0.5
poker hand	Qs Js 10s 9s 8s	1	1	11	8	0.600000000000	NULL	NULL	1	1	0.09090909090909091
pigment-specific laser	QS Nd YAG laser	1	1	2	2	NULL	NULL	NULL	1	1	0.5
virulence factor	QS regulator LasR	1	1	277	172	0.642857142857	NULL	NULL	1	1	0.0036101083032490976
QS laser system	QS ruby	2	2	4	2	NULL	NULL	NULL	3	2	0.3333333333333333
q-switched laser system	QS ruby	1	1	2	2	NULL	NULL	NULL	3	2	0.16666666666666666
pigment-specific laser	QS ruby laser	1	1	2	2	NULL	NULL	NULL	1	1	0.5
international consultant	QS services consultant	4	4	26	10	0.666666666666	NULL	NULL	4	1	0.15384615384615385
system	QS system	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
ranking	QS Top Universities	1	1	83	74	0.424242424242	NULL	NULL	1	1	0.012048192771084338
ranking	QS World University Ranking	1	1	83	74	0.424242424242	NULL	NULL	3	3	0.004016064257028113
university ranking	QS World University Ranking	1	1	4	4	NULL	NULL	NULL	3	3	0.08333333333333333
world university ranking	QS World University ranking	1	1	4	4	NULL	NULL	NULL	3	3	0.08333333333333333
renowned higher education world ranking	QS World University Rankings	1	1	2	2	NULL	NULL	NULL	1	1	0.5
function	qs-STAT-based data export	1	1	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	1	1	0.00002368994598692315
adjuvants	QS21	10	8	1312	396	0.461783439490	NULL	NULL	22	5	0.003464523281596452
saponins	QS21	1	1	16	12	0.833333333333	NULL	NULL	22	5	0.002840909090909091
Modern adjuvants	QS21	1	1	3	3	1.000000000000	NULL	NULL	22	5	0.01515151515151515
saponin	QS21	4	2	5	2	1.000000000000	NULL	NULL	22	5	0.14545454545454548
saponin adjuvants	QS21	6	2	6	1	1.000000000000	NULL	NULL	22	5	0.2727272727272727
program	QS9000	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	15	11	0.000000719095952568431
project	QS9000	1	1	51739	38387	0.631297709923	-0.716913383950669	-0.999422658457143	15	11	0.000001288518654528821
standard	QS9000	2	2	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	15	11	0.000031565656565656566
qualification	QS9000	1	1	2043	1302	0.508250825082	-0.795338096528341	-0.997239335220688	15	11	0.000032631750693424706
certification	QS9000	2	2	1956	936	0.673423423423	-0.93132232696246	-0.993977957954089	15	11	0.000136332651670075
quality standard	QS9000	1	1	152	105	0.404255319148	NULL	NULL	15	11	0.00043859649122807013
quality initiative	QS9000	1	1	88	70	0.484848484848	NULL	NULL	15	11	0.0007575757575757576
international quality standard	QS9000	3	3	44	24	0.769230769230	NULL	NULL	15	11	0.013636363636363636
system level industry standard	QS9000	1	1	3	3	0.500000000000	NULL	NULL	15	11	0.02222222222222222
sector-specific variant	QS9000	1	1	2	2	1.000000000000	NULL	NULL	15	11	0.03333333333333333
quality control management system	QS9000	1	1	1	1	1.000000000000	NULL	NULL	15	11	0.06666666666666667
certification	QS9000 certification	1	1	1956	936	0.673423423423	-0.93132232696246	-0.993977957954089	1	1	0.0005112474437627812
entity	QSA	1	1	10687	5912	0.517112632233	-0.839061328374049	-0.999408309291166	2	2	0.00004678581454103116
agreement	QSA	1	1	1248	954	0.551912568306	-0.67074816299992	-0.997222985592754	2	2	0.00040064102564102563
accomplishment	QSAC Report	1	1	564	486	0.384955752212	NULL	NULL	1	1	0.0017730496453900709
competition	QSAC singing competition in Times Square	1	1	3006	2066	0.551989730423	-0.754805816315795	-0.998600322629437	1	1	0.00033266799733865603
information	QSAC website	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	1	1	0.0000069415521310565046
access method	QSAM	1	1	137	113	0.428571428571	NULL	NULL	2	2	0.0036496350364963502
dataset access method	QSAM	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
topic	QSAR	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	9	9	0.000000722899579127865
application	QSAR	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	9	9	0.0000012497875361188599
method	QSAR	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	9	9	0.0000017408713060886975
term	QSAR	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	9	9	0.000002105772976615391
discipline	QSAR	1	1	14081	3368	0.555599214145	-1.17164535032735	-0.994440825903289	9	9	0.000007890853711463043
basic concept	QSAR	1	1	2103	1244	0.339068825910	-0.693174725982587	-0.988478505196169	9	9	0.000052834574945844565
standard method	QSAR	1	1	435	339	0.426470588235	NULL	NULL	9	9	0.00025542784163473816
introduction method	QSAR	1	1	8	6	0.666666666666	NULL	NULL	9	9	0.013888888888888888
abstract computational method	QSAR	1	0	3	3	1.000000000000	NULL	NULL	9	9	0.037037037037037035
cheminformatics technique	QSAR ,3D QSAR	2	2	2	1	NULL	NULL	NULL	2	1	1
process	QSAR analysis	1	1	28369	16152	0.631072790581	-0.856540742669569	-0.996351682570692	1	1	0.000035249744439352814
basic concept	QSAR andpharmacophore modeling	1	1	2103	1244	0.339068825910	-0.693174725982587	-0.988478505196169	1	1	0.00047551117451260106
bindign affinity prediction method	QSAR model	1	1	2	2	NULL	NULL	NULL	1	1	0.5
harmonised template	QSAR Model Reporting FormatQMRF	1	1	1	1	NULL	NULL	NULL	1	1	1
method	QSAR modeling	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	1	1	0.000015667841754798278
term	QSB	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	1	1	0.00001895195678953852
product	QSC	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	26	16	0.0000001929550565223247
company	QSC	2	2	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	26	16	0.0000008562230289745874
name	QSC	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	26	16	0.0000005888081698311181
brand	QSC	4	4	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	26	16	0.000008259752703004072
firm	QSC	1	1	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	26	16	0.000002321855627017112
manufacturer	QSC	2	2	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	26	16	0.000008013655268577657
top brand	QSC	2	2	5245	2431	0.627578718783	-0.877276620753982	-0.989521388822656	26	16	0.00002933196450832294
name brand	QSC	3	3	3958	1558	0.610542879622	-0.983250037137585	-0.994715155153678	26	16	0.0000874567574921289
famous brand	QSC	2	2	1575	945	0.459740259740	-0.789656385799184	-0.987567323928062	26	16	0.00009768009768009768
best brand	QSC	2	2	553	392	0.404040404040	NULL	NULL	26	16	0.00027820280984837946
equipment brand	QSC	1	1	79	59	0.306122448979	NULL	NULL	26	16	0.0004868549172346641
proven product	QSC	1	1	27	27	0.538461538461	NULL	NULL	26	16	0.0014245014245014244
real estate designation	QSC	1	1	35	22	0.764705882352	NULL	NULL	26	16	0.001098901098901099
pro amp	QSC	1	1	2	2	0.333333333333	NULL	NULL	26	16	0.019230769230769232
PA amp	QSC	1	1	1	1	1.000000000000	NULL	NULL	26	16	0.038461538461538464
pro SR amp	QSC	1	1	1	1	0.666666666666	NULL	NULL	26	16	0.038461538461538464
company	QSC Audio	2	2	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	5	4	0.000004452359750667854
brand	QSC Audio	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	5	4	0.000002684419628476323
top brand name	QSC Audio	1	1	476	362	0.460481099656	NULL	NULL	5	4	0.00042016806722689073
pro audio manufacturer	QSC Audio	1	1	3	3	NULL	NULL	NULL	5	4	0.06666666666666667
option	QSC clone	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	1	1	0.00001712475383166367
modern cinema processor	QSC DCP-300	1	1	2	2	NULL	NULL	NULL	1	1	0.5
parametric EQ	QSC DSP3	1	1	1	1	NULL	NULL	NULL	1	1	1
speaker	QSC K-8 over an acoustic amp	1	1	4390	3766	0.671460176991	-0.516355628396599	-0.989901672811068	1	1	0.00022779043280182233
lightweight, high-power power amp	QSC PLX2	1	1	4	4	NULL	NULL	NULL	1	1	0.25
top-quality, professional brand	QSC Speakers	1	1	4	4	NULL	NULL	NULL	1	1	0.25
satellite	QSCAT	1	1	305	232	0.622950819672	NULL	NULL	1	1	0.003278688524590164
system	QseC system	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
function	QSet facility for automatic setting of the weld parameter	2	2	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	2	1	0.0000473798919738463
standard	Qseven	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	4	4	0.00002959280303030303
small form factor board	Qseven	1	1	3	3	NULL	NULL	NULL	4	4	0.08333333333333333
standard SFF board	Qseven	1	1	3	3	1.000000000000	NULL	NULL	4	4	0.08333333333333333
optimized computer-on-module solution	Qseven	1	1	2	2	NULL	NULL	NULL	4	4	0.125
student organization	QSF	1	1	1073	762	0.635658914728	NULL	NULL	1	1	0.0009319664492078285
alternative	Qshell db2 utility	1	1	15859	11477	0.477961182659	-0.702001287860379	-0.996456688264408	2	2	0.000031527839081909326
possibility	Qshell db2 utility	1	1	4096	3303	0.344339622641	-0.641204847748521	-0.985655271640266	2	2	0.0001220703125
school	QSI	1	1	19689	10019	0.745137491616	-0.943489900089712	-0.997166899613069	4	4	0.000012697445274010869
manufacturer	QSI	1	1	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	4	4	0.000013022189811438692
decoder	QSI	1	1	121	57	0.545454545454	NULL	NULL	4	4	0.002066115702479339
ledless storm list	QSI	1	1	1	1	NULL	NULL	NULL	4	4	0.25
chinese and international school	QSI International School	1	1	4	4	NULL	NULL	NULL	1	1	0.25
company	QSI Payments	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
application	QSIG	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	5	3	0.0000022496175650139478
protocol	QSIG	2	2	6290	2503	0.692941176470	-1.11914062104891	-0.99525265868519	5	3	0.0001271860095389507
CCS protocol	QSIG	2	2	8	3	0.500000000000	NULL	NULL	5	3	0.1
standard industry protocol	QSIG & LDAP	1	1	2	2	NULL	NULL	NULL	1	1	0.5
protocol	qsig d channel isdn protocol	1	1	6290	2503	0.692941176470	-1.11914062104891	-0.99525265868519	1	1	0.0001589825119236884
feature	QSig networking	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
service	qsig supplementary service	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	2	2	0.0000028002105758353026
supplementary service	qsig supplementary service	1	1	278	207	0.398305084745	NULL	NULL	2	2	0.0017985611510791368
T1 protocol	QSIG T1 FGD	1	1	2	2	NULL	NULL	NULL	1	1	0.5
colloidal Silica supplement	QSilica capsule	1	1	2	2	NULL	NULL	NULL	1	1	0.5
wrapper inline function	qsin	1	1	2	2	NULL	NULL	NULL	1	1	0.5
restaurant	Qsine	1	1	6997	4351	0.684210526315	-0.837467942720362	-0.996877535704972	1	1	0.00014291839359725596
FDA document	QSIT manual	1	1	5	5	NULL	NULL	NULL	1	1	0.2
basic qt class	QSize	1	1	2	2	NULL	NULL	NULL	1	1	0.5
signal	QSL	2	2	3064	1964	0.430471584038	-0.745225575169458	-0.997156178295879	6	4	0.0002175805047867711
code	QSL	2	2	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	6	4	0.0003572704537334762
acronym	QSL	1	1	392	300	0.544529262086	NULL	NULL	6	4	0.00042517006802721087
instance qualification-like approach	QSL	1	1	1	1	NULL	NULL	NULL	6	4	0.16666666666666666
service	QSL Bureau	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	1	1	0.000005600421151670605
unofficial document	QSL card	1	1	7	7	0.666666666666	NULL	NULL	1	1	0.14285714285714285
information	QSL route	2	2	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	2	1	0.000013883104262113009
information	QSL route in the NOTES field	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	1	1	0.0000069415521310565046
hobby	QSL trading among Ham Radio operator	1	1	6524	1394	0.530530530530	-1.28362642312133	-0.993617824657802	1	1	0.00015328019619865113
restriction	QSLs over 10 years old	1	1	3226	2408	0.465376782077	-0.676643087733201	-0.998281220976974	1	1	0.00030998140111593303
firm	QSM Associates	1	1	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	1	1	0.00006036824630244491
tool	QSM SLIM Suite	2	2	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	2	1	0.000026512540431624158
model	QSM's Slim	1	1	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	1	1	0.000051778594728939054
engine model	QSM11 660	1	1	11	8	0.333333333333	NULL	NULL	1	1	0.09090909090909091
infrastructure	QSN transmission link	1	1	2364	1161	0.405874499332	-0.950164655560375	-0.997175040372333	1	1	0.00042301184433164127
protocol	QsNet	1	1	6290	2503	0.692941176470	-1.11914062104891	-0.99525265868519	2	2	0.0000794912559618442
letedatacenter fabric inexistence	QsNet	1	1	1	1	0.333333333333	NULL	NULL	2	2	0.5
code	QSO	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	1	1	0.0005359056806002144
function	qsort	1	1	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	10	9	0.000002368994598692315
algorithm	qsort	1	1	3982	2907	0.726092089728	-0.73140337006779	-0.998240036835824	10	9	0.000025113008538422907
routine	qsort	2	2	1141	831	0.424657534246	NULL	NULL	10	9	0.00035056967572304995
well-known name	qsort	1	1	946	814	0.467213114754	NULL	NULL	10	9	0.00010570824524312897
sorting algorithm	qsort	1	1	36	18	0.666666666666	NULL	NULL	10	9	0.0027777777777777775
wellknown name	qsort	1	1	18	18	0.461538461538	NULL	NULL	10	9	0.005555555555555555
universal function	qsort	1	1	11	12	0.300000000000	NULL	NULL	10	9	0.00909090909090909
unix function	qsort	1	1	12	12	0.444444444444	NULL	NULL	10	9	0.008333333333333333
object sorting algorithm	qsort	1	1	1	1	1.000000000000	NULL	NULL	10	9	0.1
assessment methodology	QSOS	1	1	12	11	0.428571428571	NULL	NULL	1	1	0.08333333333333333
statistic	QSOs per Band	1	1	4477	2711	0.566334991708	-0.773625155618635	-0.99914096644755	1	1	0.00022336385972749609
region medicare quality improvement organization	QSource in Tennessee	1	1	2	2	NULL	NULL	NULL	1	1	0.5
class	QSP	1	1	14690	7065	0.534200113058	-0.965176733806391	-0.997940506835601	2	2	0.000034036759700476515
Market-leaders	QSP	1	1	7	7	0.200000000000	NULL	NULL	2	2	0.07142857142857142
element	QSP mode	2	2	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	2	1	0.00003389887964202783
company	QSP syndicate	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
fast switching diode	Qspeed diode	1	1	1	1	NULL	NULL	NULL	1	1	1
tool	QSPM	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
method	QSPR	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	2	2	0.000007833920877399139
term	QSPR	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	2	2	0.00000947597839476926
wrapper inline function	qsqrt	1	1	2	2	NULL	NULL	NULL	1	1	0.5
client	QSR	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	10	10	0.000004120992334954257
market	QSR	1	1	22433	4984	0.502815501821	-1.23022123173174	-0.997413021372375	10	10	0.000004457718539651407
environment	QSR	1	1	7297	4437	0.471945701357	-0.846429890683531	-0.995188380902056	10	10	0.000013704262025489926
management system	QSR	1	1	713	452	0.444444444444	NULL	NULL	10	10	0.00014025245441795232
profit center	QSR	1	1	24	15	0.526315789473	NULL	NULL	10	10	0.004166666666666667
F&B counter	QSR	1	1	4	4	1.000000000000	NULL	NULL	10	10	0.025
foodservice segment	QSR	1	1	2	2	0.500000000000	NULL	NULL	10	10	0.05
quick-set cement	QSR	1	1	1	1	1.000000000000	NULL	NULL	10	10	0.1
regular review	QSR	1	1	1	1	1.000000000000	NULL	NULL	10	10	0.1
regulatory and quality guideline	QSR	1	1	1	1	0.666666666666	NULL	NULL	10	10	0.1
leading player	QSR Brands Sdn Bhd	1	1	208	183	0.488372093023	NULL	NULL	1	1	0.004807692307692308
user	QSR chain	2	2	4452	2370	0.488619119878	-0.833413880812705	-0.998212972360844	2	1	0.0004492362982929021
publication	QSR magazine	1	1	15724	7119	0.676279069767	-0.944959831469237	-0.999057856035507	1	1	0.0000635970490969219
FDA document	QSR manual	1	1	5	5	NULL	NULL	NULL	1	1	0.2
qualitative software tool	QSR N6	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
QDA software	QSR NUD-IST	1	1	1	1	NULL	NULL	NULL	1	1	1
software solution	QSR NV ivo	1	1	314	280	0.461538461538	NULL	NULL	1	1	0.0031847133757961785
software solution	QSR NVivo	2	2	314	280	0.461538461538	NULL	NULL	2	1	0.006369426751592357
shop	qsr sandwich shop	1	1	3621	2234	0.532044760935	-0.882863753240203	-0.988525495807329	2	2	0.00013808340237503452
sandwich shop	qsr sandwich shop	1	1	17	11	0.833333333333	NULL	NULL	2	2	0.029411764705882353
reference material	QSR thematic assessment	2	2	1054	447	0.444444444444	NULL	NULL	2	1	0.0018975332068311196
bloomerg terminal search wizard	QSRC	1	1	1	1	0.500000000000	NULL	NULL	1	1	1
sector	QSRs	1	1	28757	5180	0.573163678426	-1.24004993851532	-0.997763984918764	1	1	0.00003477414194804743
defensive item	QSS	1	1	60	32	0.384615384615	NULL	NULL	1	1	0.016666666666666666
leading company	QSSI	1	1	1219	674	0.380308880308	NULL	NULL	1	1	0.0008203445447087777
simple tool	QSSPC method	1	1	1281	817	0.381578947368	NULL	NULL	1	1	0.00078064012490242
characterisation technique	QSSPL lifetime measurement	1	1	49	35	0.250000000000	NULL	NULL	1	1	0.02040816326530612
method	QST	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	13	11	0.0000012052185965229444
procedure	QST	1	1	19074	10216	0.641676168757	-0.904089728626885	-0.99803524701454	13	11	0.000004032876005194344
magazine	QST	2	2	12076	4100	0.628359062321	-1.0321807915433	-0.99751435374698	13	11	0.000025479654495885038
methodology	QST	1	1	2330	1656	0.581473214285	-0.67658228803057	-0.997245093117977	13	11	0.000033014196104324856
national magazine	QST	1	1	409	230	0.546099290780	NULL	NULL	13	11	0.0001880759826970096
tax system	QST	1	1	16	14	0.857142857142	NULL	NULL	13	11	0.004807692307692308
commodity tax	QST	1	1	7	6	0.666666666666	NULL	NULL	13	11	0.010989010989010988
tube era magazine	QST	1	1	2	2	1.000000000000	NULL	NULL	13	11	0.038461538461538464
ARRL publication	QST	1	1	1	1	1.000000000000	NULL	NULL	13	11	0.07692307692307693
ham radio magazine	QST	2	2	2	1	1.000000000000	NULL	NULL	13	11	0.15384615384615385
large circulation ham magazine	QST	1	1	1	1	1.000000000000	NULL	NULL	13	11	0.07692307692307693
excellent archive	QST archive for member	1	1	1	1	NULL	NULL	NULL	1	1	1
instrument	QSTAR system offer premium performance	1	1	18949	7463	0.618067666550	-1.00559905240589	-0.999187197155796	1	1	0.0000527732334160114
MALDI instrument	QStar XL	1	1	1	1	NULL	NULL	NULL	1	1	1
social networking apps	qstatus	1	1	77	16	0.222222222222	NULL	NULL	1	1	0.012987012987012988
JHW product	QSTONE engineered stone	1	1	1	1	NULL	NULL	NULL	1	1	1
independent agency	QSTop MBA	1	1	191	131	0.554216867469	NULL	NULL	1	1	0.005235602094240838
