item	TP	5	3	275795	85728	0.801978925726	-1.12779255116892	-0.997854971174332	63	39	0.0000014388418819246064
tool	TP	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	63	39	0.0000002104169875525727
term	TP	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	63	39	0.0000003008247109450559
parameter	TP	4	4	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	63	39	0.000004727717455057874
variable	TP	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	63	39	0.00000031003800755934674
property	TP	1	1	30845	15896	0.618977796397	-0.958993341286946	-0.998237112803506	63	39	0.00000051460579909275
person	TP	1	1	17971	11957	0.688179669030	-0.793992023798539	-0.99898696502396	63	39	0.0000008832572407220451
indicator	TP	2	1	12385	7982	0.554779295014	-0.769572124989236	-0.998750997846718	63	39	0.000005126529147522285
unit	TP	1	1	9593	6732	0.471854930109	-0.726678746414521	-0.998094820301806	63	39	0.000001654645665903875
essential	TP	1	1	5017	2504	0.317047817047	-0.923204520533535	-0.993188171058074	63	39	0.0000031638460978704152
signal	TP	1	1	3064	1964	0.430471584038	-0.745225575169458	-0.997156178295879	63	39	0.000005180488209208836
contaminant	TP	1	1	8296	1730	0.509754028837	-1.22235410231729	-0.990898722793665	63	39	0.0000019133336394667157
pollutant	TP	2	2	6930	1144	0.530322580645	-1.36264803723727	-0.989331165999204	63	39	0.000009161913923818686
basic need	TP	1	1	3341	593	0.312408759124	NULL	NULL	63	39	0.000004750977513623428
determinant	TP	1	1	844	585	0.365168539325	NULL	NULL	63	39	0.00001880689084480554
non-food item	TP	1	1	1103	489	0.307486631016	NULL	NULL	63	39	0.000014390766883967246
water quality parameter	TP	1	1	1265	211	0.582191780821	NULL	NULL	63	39	0.000012547838634795157
grocery item	TP	1	1	267	160	0.186046511627	NULL	NULL	63	39	0.000059449497651744845
popular format	TP	1	1	390	132	0.330188679245	NULL	NULL	63	39	0.0000407000407000407
video file	TP	2	2	1176	122	0.584415584415	NULL	NULL	63	39	0.00005398984990821725
popular video file	TP	1	1	351	35	0.666666666666	NULL	NULL	63	39	0.00004522226744448967
GPCRs	TP	1	1	41	29	0.736842105263	NULL	NULL	63	39	0.00038714672861014324
regular video format	TP	1	1	62	24	0.250000000000	NULL	NULL	63	39	0.0002560163850486431
regular format	TP	1	1	22	22	0.136363636363	NULL	NULL	63	39	0.0007215007215007215
step rapid test kit	TP	8	3	110	19	0.800000000000	NULL	NULL	63	39	0.009235209235209235
popular input video format	TP	1	1	16	16	0.111111111111	NULL	NULL	63	39	0.000992063492063492
bathroom essential	TP	1	1	23	15	0.214285714285	NULL	NULL	63	39	0.0006901311249137336
non clothing item	TP	1	1	12	12	0.181818181818	NULL	NULL	63	39	0.0013227513227513227
rapid test kit	TP	7	1	59	11	0.428571428571	NULL	NULL	63	39	0.013182674199623353
rapid test kit s	TP	5	1	40	8	0.500000000000	NULL	NULL	63	39	0.00992063492063492
AVCHD file	TP	1	1	2	2	0.500000000000	NULL	NULL	63	39	0.007936507936507936
CPPs	TP	1	1	3	2	0.500000000000	NULL	NULL	63	39	0.005291005291005291
land use related variable	TP	2	2	3	2	1.000000000000	NULL	NULL	63	39	0.021164021164021163
amenietes	TP	1	1	1	1	NULL	NULL	NULL	63	39	0.015873015873015872
Othercotransmitters	TP	1	1	1	1	NULL	NULL	NULL	63	39	0.015873015873015872
capacity battery	tp 1320	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
device	TP 170A	1	1	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	2	2	0.000008802351988451315
HMI device	TP 170A	1	1	2	2	NULL	NULL	NULL	2	2	0.25
HMI device	TP 170micro	1	1	2	2	NULL	NULL	NULL	1	1	0.5
pack	TP 40C 5000mah	1	1	134	126	0.323529411764	NULL	NULL	1	1	0.007462686567164179
TP exposure	TP adjustments from the IRB in TP audit	1	1	1	1	NULL	NULL	NULL	1	1	1
tool	TP Config	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
tank	tp designed for rv use	1	1	638	406	0.625766871165	NULL	NULL	1	1	0.001567398119122257
issue	tp hyrule field slowdown	1	1	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	1	1	0.000004438211223348541
brand	TP Link	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	1	1	0.000013422098142381616
router	TP link router	1	1	252	172	0.658536585365	NULL	NULL	1	1	0.003968253968253968
entertainer	TP Lords	1	1	2202	1252	0.653086419753	-0.79010951671378	-0.996965133465785	1	1	0.00045413260672116256
big name comic	TP Lucas	1	1	7	7	NULL	NULL	NULL	1	1	0.14285714285714285
skill	TP max	1	1	34378	13132	0.658647140864	-1.04017675648634	-0.997766084512889	1	1	0.0000290883704694863
character actor	TP McKenna	1	1	122	98	0.857142857142	NULL	NULL	1	1	0.00819672131147541
cure	TP member Marie's alcohol drip treatment Studers	1	1	122	97	0.277777777777	NULL	NULL	1	1	0.00819672131147541
milled putter	TP Mills	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
difference	Tp minus Tp	1	1	4962	3264	0.408404464871	-0.780296444948348	-0.994767631535264	1	1	0.00020153164046755341
system	TP monitor	2	2	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	5	4	0.000019518383877814917
alternative	TP monitor	1	1	15859	11477	0.477961182659	-0.702001287860379	-0.996456688264408	5	4	0.00001261113563276373
basic system	TP monitor	1	1	85	74	0.207547169811	NULL	NULL	5	4	0.002352941176470588
middleware technology	TP monitor	1	1	100	44	0.777777777777	NULL	NULL	5	4	0.002
system	tp monitor system	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
transactional solution	TP Monitors	1	1	2	2	NULL	NULL	NULL	1	1	0.5
effect animation	TP moves of monster	1	1	2	2	0.500000000000	NULL	NULL	1	1	0.5
accuracy measure	TP rate	1	1	27	19	0.125000000000	NULL	NULL	1	1	0.037037037037037035
effective technique	TP release	1	1	110	102	0.327272727272	NULL	NULL	1	1	0.00909090909090909
component	TP resistive screen	2	2	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	2	1	0.00004317136874824616
element	TP Shuffle	1	1	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	1	1	0.000016949439821013915
variable	TP spr	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	1	1	0.000019532394476238843
product	TP Therapy Grid foam roller	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
