supplementary datum	TS 1	1	1	78	74	0.244444444444	NULL	NULL	1	1	0.01282051282051282
Flattingagents	TS 100 from Degussa	1	1	2	2	NULL	NULL	NULL	1	1	0.5
time stamp	TS 12345	1	1	11	8	0.400000000000	NULL	NULL	1	1	0.09090909090909091
company's procedure	TS 16949	1	1	1	1	NULL	NULL	NULL	1	1	1
supplementary datum	TS 3	1	1	78	74	0.244444444444	NULL	NULL	1	1	0.01282051282051282
Free swing door closers	TS 5000 EFS	1	1	1	1	NULL	NULL	NULL	1	1	1
door closers	TS 5000 L	1	1	1	1	NULL	NULL	NULL	1	1	1
structural datum	TS analog	1	1	28	27	0.428571428571	NULL	NULL	1	1	0.03571428571428571
school	Ts ao-tung school	1	1	19689	10019	0.745137491616	-0.943489900089712	-0.997166899613069	1	1	0.000050789781096043474
document	TS base	1	1	30664	12294	0.734716459197	-1.04150304053201	-0.998071381497223	1	1	0.000032611531437516305
multinational	TS Chemicals of UK	1	1	1597	642	0.401709401709	NULL	NULL	1	1	0.0006261740763932373
commercial windows-based tool	TS Doctor	1	0	2	2	NULL	NULL	NULL	1	1	0.5
author	TS Eliot	1	1	21003	12210	0.850060168471	-0.792669804881659	-0.990698563583463	17	13	0.000002800720345272804
writer	TS Eliot	4	4	20124	10814	0.863496503496	-0.857208883756564	-0.991390547903205	17	13	0.000046768856618377825
poet	TS Eliot	1	1	3526	1857	0.853360488798	-0.8902654296641	-0.984814819173209	17	13	0.000016682793366921357
modern writer	TS Eliot	1	1	276	189	0.573913043478	NULL	NULL	17	13	0.00021312872975277067
modernist author	TS Eliot	1	1	26	21	0.400000000000	NULL	NULL	17	13	0.0022624434389140274
twentieth century writer	TS Eliot	1	1	22	18	0.692307692307	NULL	NULL	17	13	0.0026737967914438505
english romantic poet	TS Eliot	2	2	24	13	0.615384615384	NULL	NULL	17	13	0.00980392156862745
modernist poet	TS Eliot	1	1	19	13	0.666666666666	NULL	NULL	17	13	0.003095975232198142
mountainous figure	TS Eliot	1	1	7	7	0.142857142857	NULL	NULL	17	13	0.008403361344537815
classic dead poet	TS Eliot	1	0	4	4	0.333333333333	NULL	NULL	17	13	0.014705882352941176
pre-war poet	TS Eliot	1	1	4	4	1.000000000000	NULL	NULL	17	13	0.014705882352941176
paleface writer	TS Eliot	1	1	3	3	0.500000000000	NULL	NULL	17	13	0.0196078431372549
western modernist	TS Eliot	1	1	2	2	1.000000000000	NULL	NULL	17	13	0.029411764705882353
writer	TS Elliot	1	1	20124	10814	0.863496503496	-0.857208883756564	-0.991390547903205	2	2	0.000024845955078513218
literary great	TS Elliot	1	1	120	101	0.701298701298	NULL	NULL	2	2	0.004166666666666667
official	Ts en Ch un-hsuan	1	1	1771	1344	0.629629629629	-0.749826975802485	-0.996625510377868	1	1	0.000564652738565782
county code	TS for Tipperary South	1	1	5	5	NULL	NULL	NULL	1	1	0.2
2-character tag	TS for topic	1	1	2	2	NULL	NULL	NULL	1	1	0.5
nice feature	TS gateway	1	1	1276	1138	0.461197339246	-0.569904864816547	-0.99795983627955	3	3	0.0002612330198537095
technical solution	TS Gateway	1	1	234	210	0.312500000000	NULL	NULL	3	3	0.0014245014245014246
terminal service role	TS Gateway	1	1	2	2	1.000000000000	NULL	NULL	3	3	0.16666666666666666
setting	TS Gateway server	1	1	13239	7119	0.531927188673	-0.852532636570305	-0.99750745455171	2	2	0.00003776720296094871
network access server	TS Gateway server	1	1	9	8	0.500000000000	NULL	NULL	2	2	0.05555555555555555
variable	TS inventory shortfall	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	1	1	0.000019532394476238843
traditional sponsor	TS Mahalingam & Sons	1	1	18	10	0.750000000000	NULL	NULL	1	1	0.05555555555555555
local company	TS Manufacturing	1	1	1244	1101	0.489473684210	-0.419864828137662	-0.983157022441299	1	1	0.0008038585209003215
information	TS map	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	1	1	0.0000069415521310565046
exception	TS Maximum Drawdown	1	1	19088	14859	0.458983156581	-0.64768711059283	-0.998102520812245	1	1	0.00005238893545683152
pill driver	ts mod V	1	1	1	1	NULL	NULL	NULL	1	1	1
artist	TS Monk	2	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	2	1	0.000022610366853202193
Anime-Style MMORPGs	Ts Online	2	2	10	5	1.000000000000	NULL	NULL	2	1	0.2
name	TS Open	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	1	1	0.00001530901241560907
software option	TS Packet Editor	1	1	47	45	0.360000000000	NULL	NULL	1	1	0.02127659574468085
statistic	TS packet error rate	1	1	4477	2711	0.566334991708	-0.773625155618635	-0.99914096644755	1	1	0.00022336385972749609
top brand	TS Performance	1	1	5245	2431	0.627578718783	-0.877276620753982	-0.989521388822656	2	2	0.00009532888465204957
performance product	TS Performance	1	1	38	35	0.473684210526	NULL	NULL	2	2	0.013157894736842105
product	ts pro model	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
microsoft's offering	TS RemoteApp	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
carr property	TS renovations of Pennsylvania Ave. building	1	1	1	1	NULL	NULL	NULL	1	1	1
file	TS sequence file	1	1	7367	2700	0.519731318219	-1.0561904279386	-0.998519772389525	1	1	0.00013574046423238766
local business	TS Tech	1	1	2500	1680	0.462623413258	-0.815599038250748	-0.998827241960652	3	2	0.00013333333333333334
federal circuit decision	TS Tech	2	1	5	3	NULL	NULL	NULL	3	2	0.26666666666666666
local business	TS Tech of Boaz	1	1	2500	1680	0.462623413258	-0.815599038250748	-0.998827241960652	1	1	0.0004
service	TS Web Access	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	2	2	0.0000028002105758353026
technology	TS Web Access	1	1	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	2	2	0.000008089044198537501
contemporary	Ts'ui Po	1	1	2009	1550	0.693087557603	-0.555818083080996	-0.989097895430724	1	1	0.0004977600796416127
