program	TT	2	2	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	39	24	0.0000011063014654898938
name	TT	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	39	24	0.0000003925387798874121
model	TT	2	2	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	39	24	0.0000053106251004040055
treatment	TT	5	5	19548	7901	0.632854100106	-0.965641411205732	-0.998881148390312	39	24	0.000032792390066791544
weapon	TT	2	2	9581	3284	0.647756138865	-1.08089629681395	-0.998965128479729	39	24	0.000010704947559138144
letter	TT	1	1	308	242	0.543478260869	NULL	NULL	39	24	0.00008325008325008325
modern weapon	TT	1	1	100	80	0.384615384615	NULL	NULL	39	24	0.0002564102564102564
hands-on therapy	TT	1	1	41	25	0.304347826086	NULL	NULL	39	24	0.0006253908692933083
noninvasive modalities	TT	1	1	32	25	0.380952380952	NULL	NULL	39	24	0.0008012820512820513
compact model	TT	1	1	27	21	0.500000000000	NULL	NULL	39	24	0.0009496676163342829
audi model	TT	6	5	50	20	0.933333333333	NULL	NULL	39	24	0.01846153846153846
routine vaccine	TT	1	1	14	12	0.111111111111	NULL	NULL	39	24	0.0018315018315018315
good leisure facility	TT	1	1	9	9	0.333333333333	NULL	NULL	39	24	0.0028490028490028487
double letter	TT	2	2	7	4	1.000000000000	NULL	NULL	39	24	0.014652014652014652
executive model	TT	1	1	3	3	0.666666666666	NULL	NULL	39	24	0.008547008547008546
Noninvasive mod alities	TT	1	1	3	3	NULL	NULL	NULL	39	24	0.008547008547008546
audi product	TT	1	1	2	2	0.333333333333	NULL	NULL	39	24	0.01282051282051282
countless audi model	TT	1	1	2	2	0.500000000000	NULL	NULL	39	24	0.01282051282051282
liquid injectable vaccine	TT	3	3	6	2	1.000000000000	NULL	NULL	39	24	0.038461538461538464
often-reported treatment parameter	TT	1	1	2	2	0.500000000000	NULL	NULL	39	24	0.01282051282051282
generally lower coffee grade	TT	1	1	1	1	NULL	NULL	NULL	39	24	0.02564102564102564
head-turning model	TT	1	1	1	1	NULL	NULL	NULL	39	24	0.02564102564102564
mission expression product	TT	1	1	1	1	NULL	NULL	NULL	39	24	0.02564102564102564
selector parameter	TT	1	1	1	1	0.500000000000	NULL	NULL	39	24	0.02564102564102564
feature	tt 1.8T Roadster 225hp quattro	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
rule	tt 3	1	1	3350	2846	0.442748091603	-0.552877367928375	-0.997551852453839	1	1	0.00029850746268656717
Cationic surfactants	TT AB	1	1	81	37	0.761904761904	NULL	NULL	1	1	0.012345679012345678
regular	TT Boy	1	1	656	600	0.463636363636	NULL	NULL	1	1	0.001524390243902439
company	TT Boy Productions	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
small artery	tt bronchial artery	1	1	15	9	0.600000000000	NULL	NULL	1	1	0.06666666666666667
high temperature	TT C	1	1	62	42	0.391304347826	NULL	NULL	1	1	0.016129032258064516
strong structured component	TT Ceiling Slabs	1	1	1	1	NULL	NULL	NULL	1	1	1
afrikaans author	TT Cloete	1	1	11	11	1.000000000000	NULL	NULL	1	1	0.09090909090909091
instrument	TT co-financed by private industry	1	1	18949	7463	0.618067666550	-1.00559905240589	-0.999187197155796	1	1	0.0000527732334160114
tool	TT decomposition	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
first responder agency	TT Defense Force	4	2	23	16	0.250000000000	NULL	NULL	4	1	0.17391304347826086
component manufacturer	TT electronics	1	1	58	44	0.435897435897	NULL	NULL	1	1	0.017241379310344827
material expert	TT electronics IRC Advanced Film Div.	1	1	2	2	NULL	NULL	NULL	1	1	0.5
resistor manufacturer	TT electronics IRC Advanced Film Division	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
client	TT Electronics plc	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	1	1	0.00004120992334954257
online wap emulator	TT emulator	1	1	1	1	1.000000000000	NULL	NULL	1	1	1
