airline	UA	3	1	10129	1280	0.797101449275	-1.42991679030138	-0.989677067659715	13	10	0.00006834906627581127
domestic carrier	UA	1	1	83	50	0.540540540540	NULL	NULL	13	10	0.0009267840593141798
global carrier	UA	1	1	40	36	0.433333333333	NULL	NULL	13	10	0.0019230769230769232
standard abbreviation	UA	1	1	47	36	0.500000000000	NULL	NULL	13	10	0.001636661211129296
legacy	UA	1	1	18	17	0.476190476190	NULL	NULL	13	10	0.004273504273504273
star alliance member	UA	1	1	4	4	0.500000000000	NULL	NULL	13	10	0.019230769230769232
vowel sequence	ua	1	1	4	3	1.000000000000	NULL	NULL	13	10	0.019230769230769232
traditional aircraft operator	UA	1	1	2	2	0.500000000000	NULL	NULL	13	10	0.038461538461538464
current-related suffix unit	ua	2	2	2	1	1.000000000000	NULL	NULL	13	10	0.15384615384615385
low fee agency	UA	1	1	1	1	0.666666666666	NULL	NULL	13	10	0.07692307692307693
standard element	UA 741	1	1	82	66	0.226415094339	NULL	NULL	1	1	0.012195121951219513
flight	UA 935 LHR-LAX-HNL	1	1	118	103	0.272727272727	NULL	NULL	1	1	0.00847457627118644
valid photo ID	UA Action Card	2	1	79	30	0.625000000000	NULL	NULL	2	1	0.02531645569620253
engineering design team	UA Baja Racing Team	1	1	1	1	NULL	NULL	NULL	1	1	1
project	UA Bioscience Park	1	1	51739	38387	0.631297709923	-0.716913383950669	-0.999422658457143	1	1	0.000019327779817932315
strategic guidance effort	UA Board of Directors	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
game	UA Chess	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	1	1	0.000021468441391155002
local university	UA Fort Smith	1	1	162	142	0.740740740740	NULL	NULL	1	1	0.006172839506172839
traditional fixture	UA Foundation	1	1	3	3	0.333333333333	NULL	NULL	2	2	0.16666666666666666
university affiliate	UA Foundation	1	1	3	3	1.000000000000	NULL	NULL	2	2	0.16666666666666666
initiative	UA Green line	1	1	23037	18592	0.648032088242	-0.572881608713547	-0.998413820797236	1	1	0.0000434084299170899
auxiliary enterprise	UA Housing	1	1	16	10	0.545454545454	NULL	NULL	1	1	0.0625
biochemical parameter	UA level	2	1	477	255	0.536423841059	NULL	NULL	2	1	0.0041928721174004195
case	UA library	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	2	2	0.000007924683805116176
large institution	UA Library	1	1	764	345	0.390041493775	NULL	NULL	2	2	0.0006544502617801048
outstanding public facility	UA Mirror Lab	1	1	6	6	NULL	NULL	NULL	1	1	0.16666666666666666
UAF location	UA Museum of the North	1	1	4	4	0.500000000000	NULL	NULL	1	1	0.25
EPO plan	UA Net	2	0	2	1	NULL	NULL	NULL	2	1	1
organization	UA Oasis Center	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
entity	UA Office of Sustainability	1	1	10687	5912	0.517112632233	-0.839061328374049	-0.999408309291166	1	1	0.00009357162908206232
sacred ceremonial stave	ua on Rapa Nui	1	1	1	1	NULL	NULL	NULL	1	1	1
partner	ua plug-in partner	1	1	8413	5549	0.564818508177	-0.749782952011366	-0.998831663852928	1	1	0.00011886366337810531
economist	UA Professor	1	1	2586	1371	0.780303030303	-0.864291121214248	-0.997289785667513	1	1	0.0003866976024748647
supporter	UA Project Wet	2	2	1070	957	0.458227848101	-0.417940573297959	-0.998727646136401	2	1	0.001869158878504673
technology	UA protocol	1	1	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	1	1	0.000016178088397075003
algorithm	ua scheduling algorithm	1	1	3982	2907	0.726092089728	-0.73140337006779	-0.998240036835824	2	2	0.00012556504269211453
scheduling algorithm	ua scheduling algorithm	1	1	66	57	0.642857142857	NULL	NULL	2	2	0.007575757575757576
