factor	VR	2	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	43	30	0.00000023996898160943714
feature	VR	3	3	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	43	30	0.000001105775675220415
company	VR	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	43	30	0.00000012942906251941437
application	VR	2	2	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	43	30	0.000001046333751169278
case	VR	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	43	30	0.0000003685899444240082
technology	VR	7	7	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	43	30	0.000018435496080387793
term	VR	2	2	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	43	30	0.0000017629727246082343
resource	VR	1	1	43283	17971	0.586939208919	-1.01585950013488	-0.998815568696962	43	30	0.0000005372967205020071
development	VR	1	1	11596	9281	0.547940340909	-0.573276448940065	-0.999728734308029	43	30	0.000002005503100507793
partner	VR	2	2	8413	5549	0.564818508177	-0.749782952011366	-0.998831663852928	43	30	0.000011057084965405145
environment	VR	1	1	7297	4437	0.471945701357	-0.846429890683531	-0.995188380902056	43	30	0.0000031870376803464945
discipline	VR	1	1	14081	3368	0.555599214145	-1.17164535032735	-0.994440825903289	43	30	0.0000016515740326317998
funding source	VR	1	1	1235	856	0.544943820224	NULL	NULL	43	30	0.000018830618585820544
emerging technology	VR	3	3	1320	810	0.511226252158	-0.692781021660148	-0.997070675406133	43	30	0.00015856236786469344
public institution	VR	1	1	1262	572	0.457413249211	NULL	NULL	43	30	0.000018427744812589837
modern feature	VR	1	1	575	478	0.382812500000	NULL	NULL	43	30	0.00004044489383215369
information technology	VR	1	1	767	400	0.447470817120	NULL	NULL	43	30	0.00003032048755343986
advanced application	VR	1	1	486	361	0.478260869565	NULL	NULL	43	30	0.00004785146904009953
state-owned company	VR	1	1	115	105	0.531914893617	NULL	NULL	43	30	0.00020222446916076846
email service	VR	1	1	283	100	0.521739130434	NULL	NULL	43	30	0.00008217602103706138
virtual environment	VR	1	1	116	69	0.460000000000	NULL	NULL	43	30	0.00020048115477145148
entertainment application	VR	1	1	66	51	0.192307692307	NULL	NULL	43	30	0.00035236081747709656
socio-behavioral discipline	VR	1	1	4	4	NULL	NULL	NULL	43	30	0.005813953488372093
interactive animation application	VR	1	1	4	3	NULL	NULL	NULL	43	30	0.005813953488372093
knowledgeable service	VR	1	1	4	3	NULL	NULL	NULL	43	30	0.005813953488372093
rich-media feature	VR	1	1	3	3	NULL	NULL	NULL	43	30	0.007751937984496124
airspeeds	VR	1	1	1	1	NULL	NULL	NULL	43	30	0.023255813953488372
emerging PA technology	VR	1	1	1	1	NULL	NULL	NULL	43	30	0.023255813953488372
shame expensive therapeutic tool	VR	1	1	1	1	NULL	NULL	NULL	43	30	0.023255813953488372
Virtuaroid series	VR Angelan	1	1	2	2	NULL	NULL	NULL	1	1	0.5
real-time graphic application	VR application	1	1	9	6	0.500000000000	NULL	NULL	1	1	0.1111111111111111
national franchise	VR Business Brokers of Fort Lauderdale	1	1	17	14	0.454545454545	NULL	NULL	1	1	0.058823529411764705
community	VR community	1	1	67626	46760	0.774091293322	-0.709465276557213	-0.987209441439087	1	1	0.00001478721201904593
system	VR Compliant	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
realtime application	VR content	1	1	29	20	0.181818181818	NULL	NULL	1	1	0.034482758620689655
discipline	VR counselor	1	1	14081	3368	0.555599214145	-1.17164535032735	-0.994440825903289	1	1	0.00007101768340316739
custom feature	VR dash conversion	1	1	572	463	0.464454976303	NULL	NULL	1	1	0.0017482517482517483
parameter	vr design parameter	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	2	2	0.00000930769373964519
design parameter	vr design parameter	1	1	1070	806	0.497023809523	NULL	NULL	2	2	0.00046728971962616824
library	vr development library	1	1	1561	1103	0.599147121535	-0.686918900952427	-0.996735286994296	1	1	0.0006406149903907751
