area	WW	1	0	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	24	20	0.00000023283190653941007
company	WW	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	24	20	0.00000023189373701395074
method	WW	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	24	20	0.0000006528267397832616
project	WW	1	1	51739	38387	0.631297709923	-0.716913383950669	-0.999422658457143	24	20	0.0000008053241590805131
source	WW	1	1	27658	15963	0.530572289156	-0.87388714983492	-0.997401391679569	24	20	0.0000015064960107985634
vendor	WW	1	1	12193	5238	0.614473127380	-0.973348269280983	-0.999298244572077	24	20	0.000003417261270127669
domain	WW	3	3	4182	2417	0.395140664961	-0.827049060138135	-0.993144994255479	24	20	0.00008967001434720231
diet	WW	2	2	2090	695	0.614678899082	NULL	NULL	24	20	0.00007974481658692185
protein domain	WW	1	1	18	16	0.888888888888	NULL	NULL	24	20	0.0023148148148148147
good diet	WW	1	1	11	10	0.250000000000	NULL	NULL	24	20	0.003787878787878788
conventional diet	WW	1	1	5	5	0.333333333333	NULL	NULL	24	20	0.008333333333333333
diet group	WW	1	1	6	5	0.400000000000	NULL	NULL	24	20	0.006944444444444444
protein module	WW	1	1	7	5	1.000000000000	NULL	NULL	24	20	0.005952380952380952
weight loss support group	WW	1	1	10	5	0.500000000000	NULL	NULL	24	20	0.004166666666666667
INTRODUCTION protein interaction module	WW	1	1	3	3	1.000000000000	NULL	NULL	24	20	0.013888888888888888
protein interaction module	WW	2	2	6	3	1.000000000000	NULL	NULL	24	20	0.027777777777777776
well-known and biologically important domain	WW	1	1	3	3	1.000000000000	NULL	NULL	24	20	0.013888888888888888
cos diet	WW	1	1	1	1	1.000000000000	NULL	NULL	24	20	0.041666666666666664
input-only format mask	WW	1	1	1	1	1.000000000000	NULL	NULL	24	20	0.041666666666666664
output-only format mask	WW	1	1	1	1	1.000000000000	NULL	NULL	24	20	0.041666666666666664
item	WW 2 item	1	1	275795	85728	0.801978925726	-1.12779255116892	-0.997854971174332	1	1	0.0000036258815424500083
level	WW 9	1	1	1799	1381	0.350728155339	-0.646616452735207	-0.991349177663721	1	1	0.0005558643690939411
physical class	WW barb	1	1	8	8	NULL	NULL	NULL	1	1	0.125
figure	WW Bumblebee	1	1	9462	6959	0.660527151476	-0.669869585808681	-0.995007098367723	1	1	0.0001056859015007398
domain	WW domain	1	1	4182	2417	0.395140664961	-0.827049060138135	-0.993144994255479	4	4	0.000059780009564801534
peptide-binding domain	WW domain	1	1	5	4	1.000000000000	NULL	NULL	4	4	0.05
modular protein interaction domain	WW domain	1	1	3	3	1.000000000000	NULL	NULL	4	4	0.08333333333333333
well-documented protein-binding signaling domain	WW domain	1	1	1	1	1.000000000000	NULL	NULL	4	4	0.25
symbol	WW for wrong word	1	1	5253	2514	0.411258278145	-0.933451985576007	-0.993052141172068	1	1	0.00019036740909956216
greats	WW Gay	1	1	34	34	0.600000000000	NULL	NULL	1	1	0.029411764705882353
company	WW Grainger	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	5	4	0.0000011130899376669635
