company	XL	5	5	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	37	22	0.0000037604389786046064
program	XL	2	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	37	22	0.0000011661015447055639
device	XL	2	2	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	37	22	0.0000019032112407462303
model	XL	1	1	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	37	22	0.000001399421479160515
client	XL	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	37	22	0.0000011137817121497992
operator	XL	2	1	3582	2320	0.552141527001	-0.762338310362533	-0.997824442529568	37	22	0.00003018093470354777
leading company	XL	6	4	1219	674	0.380308880308	NULL	NULL	37	22	0.0007981730705274594
insurer	XL	1	1	1373	582	0.750809061488	NULL	NULL	37	22	0.000019684651876931558
advanced device	XL	1	1	109	91	0.245614035087	NULL	NULL	37	22	0.0002479543763947434
established firm	XL	1	1	78	71	0.326530612244	NULL	NULL	37	22	0.0003465003465003465
large operator	XL	1	1	81	63	0.410714285714	NULL	NULL	37	22	0.00033366700033366696
independent label	XL	1	1	57	53	0.520000000000	NULL	NULL	37	22	0.00047415836889521095
independent record label	XL	1	1	38	34	0.529411764705	NULL	NULL	37	22	0.0007112375533428164
cellular operator	XL	3	3	19	15	0.454545454545	NULL	NULL	37	22	0.012802275960170697
beggar group label	XL	1	1	5	5	0.750000000000	NULL	NULL	37	22	0.005405405405405406
holiday firm	XL	2	2	6	5	1.000000000000	NULL	NULL	37	22	0.018018018018018018
ABKC class	XL	1	1	4	4	NULL	NULL	NULL	37	22	0.006756756756756757
corporate insurer	XL	1	1	4	4	NULL	NULL	NULL	37	22	0.006756756756756757
bermuda company	XL	1	1	3	3	NULL	NULL	NULL	37	22	0.009009009009009009
successful khazanah-owned company	XL	1	1	3	3	NULL	NULL	NULL	37	22	0.009009009009009009
small and heavily indebted firm	XL	1	1	1	1	NULL	NULL	NULL	37	22	0.02702702702702703
wide carriage model	XL	1	1	1	1	NULL	NULL	NULL	37	22	0.02702702702702703
non-opl model	XL & E	1	1	1	1	NULL	NULL	NULL	1	1	1
group order	XL & XXL sizes for the fuller figure	1	1	5	5	NULL	NULL	NULL	1	1	0.2
function	xl 340-s function	1	1	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	1	1	0.00002368994598692315
competitor	XL Airways	1	1	7051	3650	0.524564796905	-0.82261738441424	-0.996015042358118	6	3	0.000023637309128728787
airline	XL Airways	3	3	10129	1280	0.797101449275	-1.42991679030138	-0.989677067659715	6	3	0.00014808964359759109
charter airline	XL Airways	2	2	88	50	0.750000000000	NULL	NULL	6	3	0.007575757575757576
rival telcos	XL Axiata	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
accessory	XL battery	1	1	49048	18516	0.718305642867	-1.01867689602357	-0.998203910435349	1	1	0.000020388191159680315
company	XL Capital	2	2	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	8	7	0.000002782724844167409
