product	BW	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	39	35	0.00000012863670434821646
area	BW	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	39	35	0.00000014328117325502157
company	BW	2	2	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	39	35	0.0000005708153526497249
information	BW	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	39	35	0.00000017798851618093602
option	bw	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	39	35	0.00000043909625209394026
term	BW	1	0	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	39	35	0.0000004859476099881672
system	BW	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	39	35	0.0000006255892268530422
variable	BW	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	39	35	0.0000005008306275958677
characteristic	BW	1	1	29333	13753	0.634747145187	-0.91123024666609	-0.999029440011712	39	35	0.0000008741358074873228
effect	BW	1	1	19522	11467	0.533002481389	-0.859271853112569	-0.999298081617402	39	35	0.0000013134425592165578
indicator	BW	1	1	12385	7982	0.554779295014	-0.769572124989236	-0.998750997846718	39	35	0.0000020703290788070764
external factor	BW	1	1	8828	4557	0.501252086811	-0.88044259784448	-0.997691091683298	39	35	0.0000029045112869308612
measurement	BW	1	1	4282	2660	0.518053375196	-0.794146036171898	-0.999295023117144	39	35	0.000005988095665816357
stock	BW	1	1	3384	2164	0.552560646900	-0.762408561570846	-0.993459093255923	39	35	0.0000075771352367097045
nickname	BW	1	1	844	750	0.553846153846	NULL	NULL	39	35	0.000030380362133916638
beer	BW	1	1	1051	714	0.706666666666	NULL	NULL	39	35	0.000024396789382517263
independent variable	BW	1	1	835	565	0.400576368876	NULL	NULL	39	35	0.00003070781513895286
physiological parameter	BW	1	1	641	329	0.568421052631	NULL	NULL	39	35	0.00004000160006400256
performance datum	BW	1	1	259	202	0.375000000000	NULL	NULL	39	35	0.000099000099000099
niche area	BW	1	1	241	195	0.343511450381	NULL	NULL	39	35	0.00010639429726566656
device parameter	BW	2	2	201	160	0.612500000000	NULL	NULL	39	35	0.0005102691669855849
companys	BW	1	1	147	144	0.378947368421	NULL	NULL	39	35	0.00017442874585731728
domain name	bw	1	1	194	135	0.500000000000	NULL	NULL	39	35	0.00013217023526301876
