language	Cg	5	5	21730	3186	0.722558340535	-1.38049204449127	-0.998004626689092	18	12	0.00006391573349695762
algorithm	CG	1	1	3982	2907	0.726092089728	-0.73140337006779	-0.998240036835824	18	12	0.000013951671410234947
high-level language	Cg	2	2	160	61	0.428571428571	NULL	NULL	18	12	0.001388888888888889
high level language	Cg	2	2	101	38	0.482758620689	NULL	NULL	18	12	0.0022002200220022
higher-level language	Cg	1	1	46	26	0.500000000000	NULL	NULL	18	12	0.0012077294685990338
high-level programming language	Cg	1	1	44	23	0.181818181818	NULL	NULL	18	12	0.0012626262626262627
graphic language	Cg	1	1	14	12	0.375000000000	NULL	NULL	18	12	0.003968253968253968
complicated algorithm	CG	1	1	9	9	0.714285714285	NULL	NULL	18	12	0.006172839506172839
third-party language	Cg	1	1	4	4	0.500000000000	NULL	NULL	18	12	0.013888888888888888
high level shader language	Cg	1	1	2	2	0.500000000000	NULL	NULL	18	12	0.027777777777777776
higher-level shading language	Cg	1	1	2	2	1.000000000000	NULL	NULL	18	12	0.027777777777777776
high-level, c-like language	Cg	1	1	1	1	1.000000000000	NULL	NULL	18	12	0.05555555555555555
CG analytical product	CG Analysis Reports	1	1	4	4	NULL	NULL	NULL	1	1	0.25
film	cg animated film	1	1	24122	10375	0.756059824651	-0.901398594282795	-0.984697282492165	2	2	0.000020727966171959207
animated film	cg animated film	1	1	126	92	0.588235294117	NULL	NULL	2	2	0.003968253968253968
imminent release	CG animated title Bee Movie	1	1	1	1	NULL	NULL	NULL	1	1	1
visual effect	CG animation	1	1	457	287	0.367469879518	NULL	NULL	1	1	0.002188183807439825
game	CG appreciation	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	1	1	0.000021468441391155002
product	CG art	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
contest	CG Artwork Competition	1	1	897	726	0.469696969696	NULL	NULL	1	1	0.0011148272017837235
accessory	cg box	1	1	49048	18516	0.718305642867	-1.01867689602357	-0.998203910435349	1	1	0.000020388191159680315
element	CG building	1	1	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	1	1	0.000016949439821013915
program	cg child's program	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	1	1	0.000010786439288526465
