company	EJ	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	10	10	0.0000005565449688334817
tool	EJ	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	10	10	0.000001325627021581208
place	EJ	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	10	10	0.0000011784670500612802
mechanism	EJ	1	1	14346	10579	0.546547386077	-0.635256840093127	-0.998273911902632	10	10	0.000006970584134950509
forum	EJ	1	1	2459	1990	0.502610966057	-0.579972420962747	-0.995050817652801	10	10	0.000040666937779585194
external source	EJ	1	1	823	612	0.291866028708	NULL	NULL	10	10	0.0001215066828675577
synths	EJ	1	1	50	46	0.588235294117	NULL	NULL	10	10	0.002
bench player	EJ	1	1	30	30	0.687500000000	NULL	NULL	10	10	0.003333333333333333
transportation initiative	EJ	1	1	12	12	0.600000000000	NULL	NULL	10	10	0.008333333333333333
site-specific or network design factor	EJ	1	1	4	4	1.000000000000	NULL	NULL	10	10	0.025
historical source	EJ Brill	1	1	159	123	0.283333333333	NULL	NULL	1	1	0.006289308176100629
material	EJ brochure	1	1	143930	32598	0.749045497931	-1.1568713498048	-0.999182060889109	1	1	0.000006947821857847565
adherent cell line	EJ cell	1	1	2	2	NULL	NULL	NULL	1	1	0.5
english model	EJ Churchill	1	1	6	6	0.666666666666	NULL	NULL	1	1	0.16666666666666666
liberal columnist	EJ Dionne	1	1	11	11	0.857142857142	NULL	NULL	1	1	0.09090909090909091
system	EJ Directory	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
legend	EJ Doubell	1	1	5202	3379	0.801033591731	-0.712825247778865	-0.987293703881072	1	1	0.00019223375624759708
podcasters	EJ Flavors	1	1	9	9	1.000000000000	NULL	NULL	1	1	0.1111111111111111
client	EJ Gallo	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	1	1	0.00004120992334954257
player	EJ Henderson	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	1	1	0.000019996400647883383
australian car	EJ Holden	1	1	7	7	0.666666666666	NULL	NULL	1	1	0.14285714285714285
event	EJ in the Hood	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	1	1	0.000008067053347423786
guy	EJ Manuel	1	1	2518	2193	0.708928571428	-0.501458780576042	-0.995931474541331	1	1	0.0003971405877680699
conservative	EJ Parsons	1	1	1161	736	0.791907514450	NULL	NULL	1	1	0.0008613264427217916
local craft brewery	EJ Phair	1	1	6	6	1.000000000000	NULL	NULL	1	1	0.16666666666666666
internet marketing site	EJ s site www.uidmarkinginfo.com	1	1	1	1	NULL	NULL	NULL	1	1	1
reporter	EJ Schultz	1	1	460	372	0.656565656565	NULL	NULL	1	1	0.002173913043478261
in-state star	EJ Singler of South Medford	2	2	4	2	NULL	NULL	NULL	2	1	0.5
historic character	EJ Smith	1	1	28	28	0.333333333333	NULL	NULL	1	1	0.03571428571428571
artist	EJ the Witchdoctor of the Dungeon Family	1	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	1	1	0.000011305183426601097
player	EJ Vass	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	2	2	0.000009998200323941691
well-known player	EJ Vass	1	1	87	85	0.500000000000	NULL	NULL	2	2	0.005747126436781609
charity football match	EJ Whitten Cup	1	1	1	1	NULL	NULL	NULL	1	1	1
giant	EJ Young	1	1	2780	1586	0.368828654404	-0.924782575176256	-0.998107093889395	1	1	0.00035971223021582735
eatery	EJ's Jazz Cafe	1	1	408	353	0.520000000000	NULL	NULL	1	1	0.0024509803921568627
club	EJ's Landing	1	1	9974	5249	0.614726027397	-0.917043025704395	-0.992991585201466	1	1	0.00010026067776218167
profiling tool	ej-technologies JProfiler	4	2	47	32	0.714285714285	NULL	NULL	4	1	0.0851063829787234
liberal russian commentator	EJ.ru's Dmitry Sidorov	1	1	1	1	NULL	NULL	NULL	1	1	1
proven engine	EJ200	1	1	3	3	0.500000000000	NULL	NULL	1	1	0.3333333333333333
big application	ejabberd	1	0	10	10	0.125000000000	NULL	NULL	2	2	0.05
Jabber server	ejabberd	1	1	2	2	NULL	NULL	NULL	2	2	0.25
counter pill	Ejacotrol in stopping premature ejaculation	1	1	7	6	NULL	NULL	NULL	1	1	0.14285714285714285
factor	ejaculation	3	3	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	39	26	0.0000005953076659157191
issue	ejaculation	2	2	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	39	26	0.0000004552011511126709
topic	ejaculation	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	39	26	0.00000016682297979873808
event	ejaculation	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	39	26	0.00000020684752172881503
term	ejaculation	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	39	26	0.0000004859476099881672
condition	ejaculation	1	1	83548	24792	0.748804780876	-1.08809001193368	-0.99878063040379	39	26	0.0000003069017288388189
function	ejaculation	1	1	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	39	26	0.000000607434512485209
word	ejaculation	2	2	35206	13586	0.515761448349	-0.93939201984472	-0.981726498555239	39	26	0.0000029132563359683736
change	ejaculation	1	1	15868	12457	0.502988643156	-0.662779456243737	-0.999681714815709	39	26	0.000001615895238279912
symptom	ejaculation	1	1	65975	10930	0.761456211812	-1.24142130168269	-0.998797629260764	39	26	0.0000003886476035017149
phenomenon	ejaculation	1	1	8398	5744	0.475541299117	-0.70638104303015	-0.995576806546938	39	26	0.000003053230012029726
goal	ejaculation	1	1	4510	3439	0.493897477624	-0.682475487083511	-0.996012767598636	39	26	0.000005685371539030076
biological factor	ejaculation	1	1	1058	626	0.396373056994	NULL	NULL	39	26	0.00002423537395182008
particular	ejaculation	1	1	852	603	0.291784702549	NULL	NULL	39	26	0.000030095100517635728
typical symptom	ejaculation	1	1	251	167	0.246153846153	NULL	NULL	39	26	0.00010215548064153642
precipitating factor	ejaculation	1	1	132	97	0.240963855421	NULL	NULL	39	26	0.00019425019425019425
in-depth topic	ejaculation	1	1	50	50	0.371428571428	NULL	NULL	39	26	0.0005128205128205128
motor symptom	ejaculation	2	2	81	40	0.545454545454	NULL	NULL	39	26	0.0012662234884457107
autonomic reaction	ejaculation	1	1	20	15	0.357142857142	NULL	NULL	39	26	0.001282051282051282
sexual dysfunction issue	ejaculation	1	1	12	9	0.250000000000	NULL	NULL	39	26	0.0021367521367521365
involuntary physiological reaction	ejaculation	1	1	5	5	NULL	NULL	NULL	39	26	0.005128205128205128
sexual function	ejaculation	1	1	5	5	0.166666666666	NULL	NULL	39	26	0.005128205128205128
explicit sexual term	ejaculation	1	1	3	3	0.333333333333	NULL	NULL	39	26	0.008547008547008546
notable physiological reaction	ejaculation	8	7	12	3	1.000000000000	NULL	NULL	39	26	0.13675213675213674
physical sexual function	ejaculation	2	2	4	2	1.000000000000	NULL	NULL	39	26	0.02564102564102564
male biological function	ejaculation	1	1	1	1	NULL	NULL	NULL	39	26	0.02564102564102564
parameter	ejaculation ability	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	1	1	0.00001861538747929038
helpful guide available online	Ejaculation by Command	1	1	1	1	NULL	NULL	NULL	1	1	1
advantage	ejaculation control	1	1	12109	7913	0.592755214050	-0.769142608655966	-0.999041916218166	1	1	0.00008258320257659592
common condition	ejaculation difficulty	1	1	1603	603	0.281250000000	NULL	NULL	2	2	0.00031191515907673113
sexual function	ejaculation difficulty	1	1	5	5	0.166666666666	NULL	NULL	2	2	0.1
side effect	ejaculation disorder	2	2	23783	4656	0.735266604303	-1.2181089175662	-0.998372649444552	4	3	0.00004204684017996048
adverse event	ejaculation disorder	1	1	1907	884	0.466165413533	NULL	NULL	4	3	0.00013109596224436288
sexual side effect	ejaculation disorder	1	1	108	44	0.863636363636	NULL	NULL	4	3	0.0023148148148148147
disease	ejaculation failure	1	1	57289	9067	0.815405777166	-1.3062398534626	-0.996635538198392	1	1	0.000017455357922114193
parameter	ejaculation frequency	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	2	2	0.00000930769373964519
sexual factor	ejaculation frequency	1	1	8	8	0.400000000000	NULL	NULL	2	2	0.0625
involuntary action	ejaculation in a wet dream	3	2	86	44	0.413793103448	NULL	NULL	3	1	0.03488372093023256
cause	ejaculation inadequate	1	1	11205	6267	0.523076923076	-0.856524692275079	-0.99823492338162	1	1	0.0000892458723784025
sexual dysfunction	ejaculation inhibition	1	1	77	34	0.758620689655	NULL	NULL	1	1	0.012987012987012988
side effect	ejaculation issue	1	1	23783	4656	0.735266604303	-1.2181089175662	-0.998372649444552	1	1	0.00004204684017996048
hot topic	ejaculation joke	1	1	844	679	0.351415094339	NULL	NULL	1	1	0.001184834123222749
parameter	ejaculation latency	2	2	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	2	1	0.00003723077495858076
parameter	ejaculation latency time	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	1	1	0.00001861538747929038
ability	ejaculation Philippines	1	1	3275	2230	0.479659413434	-0.719648959946678	-0.997878767175441	2	2	0.00015267175572519084
