feature	FM	7	7	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	162	121	0.0000015979899504042623
area	FM	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	162	121	0.0000000344936157836163
service	FM	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	162	121	0.000000034570500936238307
technique	FM	1	1	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	162	121	0.00000007612519122648036
application	FM	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	162	121	0.0000000694326408954922
method	FM	2	2	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	162	121	0.0000003868602902419328
technology	FM	1	1	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	162	121	0.00000009986474319182101
term	FM	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	162	121	0.00000011698738758974395
element	Fm	1	0	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	162	121	0.0000001046261717346538
variable	FM	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	162	121	0.00000012057033627307927
function	FM	3	3	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	162	121	0.0000013161081103846194
device	FM	1	1	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	162	121	0.00000010867101220310266
source	FM	2	2	27658	15963	0.530572289156	-0.87388714983492	-0.997401391679569	162	121	0.000000892738376769519
category	FM	1	1	26169	13069	0.463590177815	-0.936758264978358	-0.996156390979964	162	121	0.00000023588366029167488
title	FM	1	1	15414	9921	0.665151515151	-0.748697031653329	-0.997140005395198	162	121	0.0000004004696708299494
entity	FM	1	1	10687	5912	0.517112632233	-0.839061328374049	-0.999408309291166	162	121	0.0000005776026486547057
label	FM	1	1	7709	4687	0.581741787624	-0.771029362938295	-0.99269445398081	162	121	0.0000008007315483425656
scheme	FM	1	1	5396	4634	0.576700434153	-0.50088000203571	-0.997534743069553	162	121	0.0000011439658091498962
provider	FM	1	1	6330	4089	0.522063815342	-0.897127792904335	-0.997891073719355	162	121	0.0000009751721178788055
discipline	FM	1	1	14081	3368	0.555599214145	-1.17164535032735	-0.994440825903289	162	121	0.00000043838076174794687
channel	FM	1	1	6080	2994	0.512928022361	-0.971910444306326	-0.996412996167359	162	121	0.0000010152696556205327
principle	FM	1	1	5131	2892	0.449541284403	-0.879481316109056	-0.996440807045131	162	121	0.00000120304804252053
service provider	FM	2	1	4921	2575	0.553161917998	-0.919593981531786	-0.994069460601779	162	121	0.000005017548877198
domain	fm	1	1	4182	2417	0.395140664961	-0.827049060138135	-0.993144994255479	162	121	0.0000014760496188839885
mode	FM	1	1	3730	2235	0.440476190476	-0.782468985857862	-0.99241603547461	162	121	0.0000016549167576870885
