parameter	Fy	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	7	6	0.000002659341068470054
gene	FY	2	2	2907	1947	0.768867924528	-0.622012195862124	-0.993442363495477	7	6	0.00019656985601258046
key field	FY	1	1	70	60	0.294117647058	NULL	NULL	7	6	0.002040816326530612
ACE-inhibitory peptides	FY	1	1	4	4	1.000000000000	NULL	NULL	7	6	0.03571428571428571
marker locus	FY	1	1	1	1	1.000000000000	NULL	NULL	7	6	0.14285714285714285
ready-made block	FY	1	1	1	1	1.000000000000	NULL	NULL	7	6	0.14285714285714285
periodic cost report	FY cost-budget summary	1	1	2	2	NULL	NULL	NULL	1	1	0.5
FY curricular and experiential requirement	FY seminar	1	1	1	1	NULL	NULL	NULL	1	1	1
product	fy static related product	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	3	3	0.0000016722771565268143
related product	fy static related product	1	1	19491	19491	NULL	NULL	NULL	3	3	0.000017101910283378654
guest performer	Fy Swagga Hip Hop	1	1	97	91	0.535714285714	NULL	NULL	1	1	0.010309278350515464
AAA	FY02 CFAA	1	1	1	1	0.666666666666	NULL	NULL	1	1	1
policy action	FY2011 third supplementary budget	1	1	60	42	0.500000000000	NULL	NULL	1	1	0.016666666666666666
supporting group	FYA girl	1	1	11	11	0.714285714285	NULL	NULL	1	1	0.09090909090909091
established local artist	Fyah B	1	1	13	13	NULL	NULL	NULL	1	1	0.07692307692307693
ensemble	FYAO Orchestra	1	1	1056	774	0.706586826347	NULL	NULL	1	1	0.000946969696969697
brand	Fybogel	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	11	8	0.0000012201907402165106
over-the-counter medication	Fybogel	1	1	2146	379	0.535849056603	NULL	NULL	11	8	0.000042362111327628565
laxative	Fybogel	2	2	319	109	0.472972972972	NULL	NULL	11	8	0.001139925904816187
fiber supplement	Fybogel	1	1	513	82	0.522727272727	NULL	NULL	11	8	0.000177210703526493
stool softener	Fybogel	2	2	227	45	0.655172413793	NULL	NULL	11	8	0.001601922306768122
mild laxative	Fybogel	1	1	52	22	0.520000000000	NULL	NULL	11	8	0.0017482517482517483
bulk-forming agent	Fybogel	2	1	21	12	0.400000000000	NULL	NULL	11	8	0.017316017316017316
fibre supplement	fybogel	1	1	11	9	0.250000000000	NULL	NULL	11	8	0.008264462809917356
ailment	Fybromyalgia	1	1	4601	1326	0.452270620945	-1.13897032987746	-0.991590610851557	4	4	0.00005433601391001956
lifestyle related disease	fybromyalgia	1	1	36	20	0.105263157894	NULL	NULL	4	4	0.006944444444444444
pain issue	fybromyalgia	1	1	14	14	0.200000000000	NULL	NULL	4	4	0.017857142857142856
undiagnosed condition	fybromyalgia	1	1	13	11	0.222222222222	NULL	NULL	4	4	0.019230769230769232
abbreviation	FYC	1	1	722	408	0.618138424821	NULL	NULL	2	2	0.0006925207756232687
first year course	FYC	1	1	17	18	0.600000000000	NULL	NULL	2	2	0.029411764705882353
local store	Fye	1	1	552	309	0.423280423280	NULL	NULL	4	4	0.0004528985507246377
music store	FYE	1	1	116	70	0.571428571428	NULL	NULL	4	4	0.0021551724137931034
popular role	Fye	1	1	7	4	1.000000000000	NULL	NULL	4	4	0.03571428571428571
chain record store	Fye	1	1	2	2	0.500000000000	NULL	NULL	4	4	0.125
activity	FYE kick-off day	1	1	171520	57939	0.787842465753	-1.04200579026023	-0.999672175553448	1	1	0.000005830223880597015
role	Fyedka in Fiddler on the Roof	1	1	9143	5263	0.589459698848	-0.846983305948192	-0.998853286326801	1	1	0.00010937329104232747
corporate communication	FYEO-type report	1	1	55	44	0.289473684210	NULL	NULL	1	1	0.01818181818181818
below-the-radar festival	FYF Fest in Los Angeles	1	1	2	2	NULL	NULL	NULL	1	1	0.5
study	Fyfe	1	1	9181	7010	0.619942787086	-0.618863971645745	-0.997202939851567	3	3	0.00003630686562829031
vendor	Fyfe	1	1	12193	5238	0.614473127380	-0.973348269280983	-0.999298244572077	3	3	0.00002733809016102135
social geographer	Fyfe	1	1	2	2	NULL	NULL	NULL	3	3	0.16666666666666666
specialty contractor	Fyfe Co.	1	1	61	29	0.380952380952	NULL	NULL	1	1	0.01639344262295082
artist	Fyfe Dangerfeild	1	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	1	1	0.000011305183426601097
artist	Fyfe Dangerfield	2	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	2	1	0.000022610366853202193
engineering firm	Fyfe Donald's	1	1	64	61	0.476190476190	NULL	NULL	1	1	0.015625
much-loved maternity home	Fyfe Jamieson	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
baptist activity	Fyfe Society	1	1	1	1	NULL	NULL	NULL	1	1	1
small impoundment	Fyfeshire Pond	1	1	1	1	NULL	NULL	NULL	1	1	1
person	Fyffe	1	1	17971	11957	0.688179669030	-0.793992023798539	-0.99898696502396	1	1	0.00005564520616548884
community	Fyffe Ccd	1	1	67626	46760	0.774091293322	-0.709465276557213	-0.987209441439087	1	1	0.00001478721201904593
item	Fyffe property tax	1	1	275795	85728	0.801978925726	-1.12779255116892	-0.997854971174332	1	1	0.0000036258815424500083
community	Fyffe Town	1	1	67626	46760	0.774091293322	-0.709465276557213	-0.987209441439087	1	1	0.00001478721201904593
international brand	Fyffes	1	1	1532	838	0.426470588235	NULL	NULL	4	4	0.00016318537859007833
big brand	Fyffes	1	1	1380	740	0.335515548281	NULL	NULL	4	4	0.00018115942028985507
national supplier	Fyffes	1	1	15	15	0.222222222222	NULL	NULL	4	4	0.016666666666666666
conventional brand manufacturer	Fyffes	1	1	6	6	NULL	NULL	NULL	4	4	0.041666666666666664
expense	FYHA handout	1	1	23173	6486	0.597800237812	-1.11592885602217	-0.997835378276677	1	1	0.00004315367021965218
feature	FYI	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	24	10	0.00000022013126867813814
term	FYI	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	24	10	0.0000007896648662307717
abbreviation	FYI	12	12	722	408	0.618138424821	NULL	NULL	24	10	0.008310249307479225
common abbreviation	FYI	1	1	56	44	0.361702127659	NULL	NULL	24	10	0.000744047619047619
standard abbreviation	FYI	2	2	47	36	0.500000000000	NULL	NULL	24	10	0.0035460992907801418
common phrase	FYI	2	2	23	18	0.360000000000	NULL	NULL	24	10	0.007246376811594203
internet abbreviation	FYI	2	2	12	8	1.000000000000	NULL	NULL	24	10	0.013888888888888888
initialisms	FYI	1	1	13	6	0.454545454545	NULL	NULL	24	10	0.0032051282051282055
comprehensive activity note	FYI	1	1	2	2	0.333333333333	NULL	NULL	24	10	0.020833333333333332
comprehensive lesson note	FYI	1	1	2	2	0.500000000000	NULL	NULL	24	10	0.020833333333333332
feature	FYI boxes	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
application	FYI Cable Channels	2	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	2	1	0.000022496175650139476
helpful resource	FYI Documents	1	1	255	214	0.316326530612	NULL	NULL	1	1	0.00392156862745098
tool	FYI Email	2	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	2	1	0.000026512540431624158
company	fyi major tech company	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	2	2	0.000002782724844167409
tech company	fyi major tech company	1	1	691	163	0.288659793814	NULL	NULL	2	2	0.000723589001447178
package	fyi many other accounting package	1	1	3871	3031	0.454222222222	-0.658340027869562	-0.99458387829838	2	2	0.0001291655902867476
accounting package	fyi many other accounting package	1	1	73	40	0.428571428571	NULL	NULL	2	2	0.00684931506849315
animal	fyi nocturnal animal	1	1	47623	5438	0.828667953667	-1.47687694441136	-0.995120218654726	2	2	0.000010499128572328496
nocturnal animal	fyi nocturnal animal	1	1	445	129	0.400000000000	NULL	NULL	2	2	0.0011235955056179776
