area	gh	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	6	6	0.0000009313276261576403
benefit	GH	1	1	30032	15820	0.635618166526	-0.878063457184251	-0.999703566162433	6	6	0.000005549635943882081
gene	gh	1	1	2907	1947	0.768867924528	-0.622012195862124	-0.993442363495477	6	6	0.00005733287467033597
letter	GH	1	1	308	242	0.543478260869	NULL	NULL	6	6	0.0005411255411255411
action code	GH	1	1	5	5	0.375000000000	NULL	NULL	6	6	0.03333333333333333
unexpected pattern	gh	1	1	4	4	1.000000000000	NULL	NULL	6	6	0.041666666666666664
missiologists	GH Anderson	1	1	15	15	NULL	NULL	NULL	1	1	0.06666666666666667
mage spell	GH at bare minimum	1	1	2	2	NULL	NULL	NULL	1	1	0.5
foliar spray	GH Bio Protect	1	1	23	18	0.500000000000	NULL	NULL	1	1	0.043478260869565216
schmoozing fan regular	GH board poster Cottie	1	1	1	1	NULL	NULL	NULL	1	1	1
quality item	GH bomber jacket	1	1	225	144	0.221153846153	NULL	NULL	1	1	0.0044444444444444444
chemical	GH booster	1	1	18373	4307	0.653846153846	-1.17729264166527	-0.992376200790867	1	1	0.00005442769281010178
water chemical	GH buffer	1	1	4	4	NULL	NULL	NULL	1	1	0.25
variable	GH concentration	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	1	1	0.000019532394476238843
cardiovascular risk factor	GH deficiency	1	1	1085	202	0.507246376811	NULL	NULL	3	3	0.00030721966205837174
growth-inhibiting condition	GH deficiency	1	1	5	3	NULL	NULL	NULL	3	3	0.06666666666666667
coexistent defect	GH deficiency	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
peptides	gh dependent peptides	1	1	736	383	0.706586826347	NULL	NULL	1	1	0.001358695652173913
condition	gh excess condition	1	1	83548	24792	0.748804780876	-1.08809001193368	-0.99878063040379	2	2	0.000005984583712356968
excess condition	gh excess condition	1	1	11	9	0.250000000000	NULL	NULL	2	2	0.045454545454545456
color system	GH Expanded Series	1	1	31	28	0.555555555555	NULL	NULL	1	1	0.03225806451612903
hole-shape material	GH gypsum board for reducing the sound from inner	1	1	1	1	NULL	NULL	NULL	1	1	1
soft water	GH in 100 range	1	1	29	13	0.428571428571	NULL	NULL	1	1	0.034482758620689655
joint	GH joint	1	1	1922	306	0.486666666666	NULL	NULL	1	1	0.0005202913631633715
supplement	GH Kick	2	2	8194	2146	0.595034246575	-1.19722097076361	-0.994149299144637	2	1	0.000244081034903588
good guitar hero edition	GH Metallica	1	1	1	1	NULL	NULL	NULL	1	1	1
victorian biographer	GH Moberly	1	1	1	1	NULL	NULL	NULL	1	1	1
returning feature	GH Music Studio	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
software solution	gh Player	1	1	314	280	0.461538461538	NULL	NULL	1	1	0.0031847133757961785
high level place	GH prison	1	1	1	1	NULL	NULL	NULL	1	1	1
non-pituitary tumor	GH PRL tumor	1	1	1	1	NULL	NULL	NULL	1	1	1
serum hormone	gh relin	1	1	14	6	0.500000000000	NULL	NULL	1	1	0.07142857142857142
factor	GH response in childhood	1	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	1	1	0.0000025796665523014496
system	GH scale	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
heavy duty machine	GH Series	1	1	15	11	0.111111111111	NULL	NULL	1	1	0.06666666666666667
color system	GH Standard Series in Black	1	1	31	28	0.555555555555	NULL	NULL	1	1	0.03225806451612903
organization	GH Steppers	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
mode	GH Tunes	1	1	3730	2235	0.440476190476	-0.782468985857862	-0.99241603547461	1	1	0.00026809651474530834
novel	gh's regency novel	1	1	2763	1974	0.696696696696	-0.655084795470645	-0.995939759333884	1	1	0.0003619254433586681
marker	gh-dependent serum marker	1	1	2480	1684	0.541095890410	-0.701408410545113	-0.991169197135816	2	2	0.00020161290322580645
serum marker	gh-dependent serum marker	1	1	142	106	0.614285714285	NULL	NULL	2	2	0.0035211267605633804
acid	gh-releasing amino acid	1	1	4201	1218	0.577348066298	NULL	NULL	2	2	0.00011901928112354201
amino acid	gh-releasing amino acid	1	1	3004	368	0.688524590163	NULL	NULL	2	2	0.00016644474034620507
factor	GH-releasing hormone	1	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	1	1	0.0000025796665523014496
drug	GH-releasing substance	1	1	47321	7994	0.819392185238	-1.33453894741195	-0.987990797743138	1	1	0.000021132266858265886
effect	gh-stimulated metabolic effect	1	1	19522	11467	0.533002481389	-0.859271853112569	-0.999298081617402	2	2	0.000025612129904722878
metabolic effect	gh-stimulated metabolic effect	1	1	31	28	0.250000000000	NULL	NULL	2	2	0.016129032258064516
study	GH-withdrawal study	1	1	9181	7010	0.619942787086	-0.618863971645745	-0.997202939851567	1	1	0.00010892059688487092
PM mod	GH0	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
game	GH1	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	2	2	0.000010734220695577501
light camera	GH1	1	1	5	4	0.500000000000	NULL	NULL	2	2	0.1
case	GH1 gene from soybean	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
case	GH18 family	3	2	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	3	1	0.00004754810283069706
brand	GH2	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	9	8	0.0000014913442380424018
game	GH2	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	9	8	0.0000023853823767950002
model	GH2	1	1	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	9	8	0.00000575317719210434
camera	GH2	2	2	1515	1031	0.710204081632	NULL	NULL	9	8	0.00029336266960029337
cam	GH2	1	1	66	45	0.342857142857	NULL	NULL	9	8	0.0016835016835016836
camera design	GH2	1	1	4	4	1.000000000000	NULL	NULL	9	8	0.027777777777777776
micro four-thirds camera	GH2	1	1	3	3	1.000000000000	NULL	NULL	9	8	0.037037037037037035
16mp and 18mp camera	GH2	1	1	1	1	1.000000000000	NULL	NULL	9	8	0.1111111111111111
ingredient	GH3	1	1	41825	9863	0.700221908412	-1.21618849066951	-0.990467442754495	5	5	0.000004781829049611476
promoter	GH3	1	1	639	451	0.366972477064	NULL	NULL	5	5	0.0003129890453834116
downloadable content	GH3	1	1	31	25	0.150000000000	NULL	NULL	5	5	0.0064516129032258064
anterior pituitary tumor cell line	GH3	1	1	1	1	NULL	NULL	NULL	5	5	0.2
non-november release	GH3	1	1	1	1	NULL	NULL	NULL	5	5	0.2
heterologous mammalian expression system	GH4 C1	1	1	1	1	NULL	NULL	NULL	1	1	1
operator	GHA Coaches	1	1	3582	2320	0.552141527001	-0.762338310362533	-0.997824442529568	1	1	0.00027917364600781687
broker	GHA Finance	1	1	512	392	0.568493150684	NULL	NULL	1	1	0.001953125
holistic therapy	Gha Sha massage	1	1	345	119	0.444444444444	NULL	NULL	1	1	0.002898550724637681
player	Ghaali Muhammad	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	1	1	0.000019996400647883383
rasms	Ghaana	1	1	4	4	NULL	NULL	NULL	1	1	0.25
label	ghabrahat in India	1	1	7709	4687	0.581741787624	-0.771029362938295	-0.99269445398081	1	1	0.00012971851083149564
company	Ghacem Limited	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
liberal party	Ghad founded by Ayman Nour	1	1	16	15	0.666666666666	NULL	NULL	1	1	0.0625
legal political party	Ghad Party	1	1	4	4	NULL	NULL	NULL	1	1	0.25
artist	Ghada Ahmer	1	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	1	1	0.000011305183426601097
writer	Ghada al-samman	1	1	20124	10814	0.863496503496	-0.857208883756564	-0.991390547903205	2	2	0.000024845955078513218
encompassing figure	Ghada al-samman	1	1	4	4	NULL	NULL	NULL	2	2	0.125
international artist	Ghada Amer	2	2	1004	781	0.704370179948	NULL	NULL	9	4	0.0004426737494466578
contemporary artist	Ghada Amer	5	5	959	749	0.698412698412	NULL	NULL	9	4	0.002896535743251072
western-based arab artist	Ghada Amer	1	1	3	3	1.000000000000	NULL	NULL	9	4	0.037037037037037035
