feature	GI	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	10	11	0.0000005283150448275315
town	GI	1	1	16437	8960	0.841277295139	-0.764543331177126	-0.977213718836513	10	11	0.000006083835249741437
machine	GI	1	1	7080	3685	0.613341968911	-0.900349544993249	-0.997821919443838	10	11	0.000014124293785310734
specialty	GI	1	1	4289	2439	0.458995549904	-0.811737493266115	-0.996978751497976	10	11	0.000023315458148752622
specialist	GI	1	1	4232	1756	0.576291079812	-1.0921560951983	-0.992585691374521	10	11	0.000023629489603024576
claim	GI	1	1	949	709	0.401960784313	-0.652610792721246	-0.996377669378484	10	11	0.0001053740779768177
consumable item	GI	1	1	1008	532	0.254320987654	NULL	NULL	10	11	0.0000992063492063492
fad diet	GI	1	1	354	133	0.681818181818	NULL	NULL	10	11	0.0002824858757062147
pistol	GI	1	1	148	117	0.741935483870	NULL	NULL	10	11	0.0006756756756756757
steel coil	gi	1	1	11	7	1.000000000000	NULL	NULL	10	11	0.00909090909090909
factor	GI -bleed	1	0	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	1	1	0.0000025796665523014496
good variety	GI 762	1	1	8	8	0.500000000000	NULL	NULL	1	1	0.125
game	gi a n t crossword	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	1	1	0.000021468441391155002
adverse effect	GI adverse effect	1	1	2992	1265	0.516770186335	-0.948729768668646	-0.997076343437884	1	1	0.00033422459893048126
game	gi ant crossword	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	1	1	0.000021468441391155002
topic	GI application development	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	1	1	0.000006506096212150785
nucleated cell	GI aspects of COX structure	1	1	29	21	0.500000000000	NULL	NULL	1	1	0.034482758620689655
Unlicensed assistive personnel	GI assistant	1	1	3	3	0.500000000000	NULL	NULL	1	1	0.3333333333333333
term	gi bi byte	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	1	1	0.00001895195678953852
issue	GI Bill	1	1	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	73	40	0.00000006079741401847317
service	GI Bill	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	73	40	0.00000007671809796809048
event	GI Bill	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	73	40	0.0000001105075801016957
program	GI Bill	11	10	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	73	40	0.000017878892519338384
case	GI Bill	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	73	40	0.00000021711462479770345
option	GI Bill	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	73	40	0.0000002345856689268996
initiative	GI Bill	1	1	23037	18592	0.648032088242	-0.572881608713547	-0.998413820797236	73	40	0.0000005946360262615055
benefit	GI Bill	9	6	30032	15820	0.635618166526	-0.878063457184251	-0.999703566162433	73	40	0.00003694689135242043
policy	GI bill	1	1	8313	6115	0.616790123456	-0.698981299364067	-0.995278970524075	73	40	0.0000016478563860202455
incentive	GI Bill	3	3	8287	4736	0.592505854800	-0.849510138285623	-0.998877711692383	73	40	0.000014877237991176147
