artist	IU	2	2	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	17	12	0.000002660043159200258
team	IU	2	2	15768	6094	0.650535648319	-1.13299546763441	-0.978157595840166	17	12	0.000014922255051183334
singer	IU	4	4	3708	2264	0.821215733015	-0.77073693492719	-0.988154286080602	17	12	0.00025382321213274954
top artist	IU	1	1	484	349	0.551569506726	NULL	NULL	17	12	0.0001215362177929023
idol	IU	1	1	402	329	0.425742574257	NULL	NULL	17	12	0.0001463271875914545
college campus	IU	1	1	104	96	0.652777777777	NULL	NULL	17	12	0.0005656108597285068
perennial power	IU	1	1	83	70	0.333333333333	NULL	NULL	17	12	0.0007087172218284905
large research university	IU	1	1	18	18	0.375000000000	NULL	NULL	17	12	0.00326797385620915
pretty good college	IU	1	1	5	5	0.400000000000	NULL	NULL	17	12	0.011764705882352941
not-for profit school	IU	1	1	4	4	0.250000000000	NULL	NULL	17	12	0.014705882352941176
kpop idol	IU	1	1	3	3	1.000000000000	NULL	NULL	17	12	0.0196078431372549
indiana university	IU	1	1	2	2	0.500000000000	NULL	NULL	17	12	0.029411764705882353
great artist	IU & SNSD	1	1	1634	1158	0.660550458715	-0.600507122136387	-0.994363292313434	1	1	0.0006119951040391676
interface link	Iu 450	2	2	5	3	NULL	NULL	NULL	2	1	0.4
task	iu analysis task	1	1	29628	19527	0.651123500591	-0.770621031445517	-0.999265603683338	2	2	0.00001687592817604968
analysis task	iu analysis task	1	1	16	16	0.333333333333	NULL	NULL	2	2	0.03125
organization	IU Athletics	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
opportunity	IU Bloomington Bands	1	1	6327	4873	0.471820448877	-0.665583707955168	-0.998297196011989	1	1	0.000158052789631737
opportunity	IU Bloomington basketball ticket	1	1	6327	4873	0.471820448877	-0.665583707955168	-0.998297196011989	1	1	0.000158052789631737
facility	IU Bloomington's facility	1	1	42600	17896	0.658525485436	-1.00701955310555	-0.998916668671258	1	1	0.00002347417840375587
university grant program	IU Bloomington's Faculty Research Support Program	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
schools master program	IU Bloomington's masters program	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
university grant program	IU Collaborative Research Grants	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
satellite event	IU Dance Marathon	1	1	21	14	0.200000000000	NULL	NULL	1	1	0.047619047619047616
upcoming event	IU Day	2	1	549	438	0.376884422110	NULL	NULL	2	1	0.0036429872495446266
student event	IU Dorm Energy Challenge	1	1	102	83	0.382978723404	NULL	NULL	1	1	0.00980392156862745
avenue	IU evaluation	1	1	1163	942	0.354294478527	-0.589403558988167	-0.996266955090677	1	1	0.0008598452278589854
game	IU favorite cornhole	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	1	1	0.000021468441391155002
university partner	IU Foundation	1	1	6	6	0.400000000000	NULL	NULL	1	1	0.16666666666666666
local resource	IU Health	1	1	817	625	0.287262872628	NULL	NULL	2	2	0.0006119951040391676
hospital system	IU Health	1	1	54	47	0.476190476190	NULL	NULL	2	2	0.009259259259259259
university expense	IU housing	1	1	13	9	0.333333333333	NULL	NULL	1	1	0.07692307692307693
employee identification information	IU ID number	2	2	5	4	NULL	NULL	NULL	2	1	0.4
college campus	IU in Indianapolis	1	1	104	96	0.652777777777	NULL	NULL	1	1	0.009615384615384616
institutional policy	IU Intellectual Property Policy	1	1	9	8	NULL	NULL	NULL	1	1	0.1111111111111111
initiative	IU Intelligent Infrastructure	2	2	23037	18592	0.648032088242	-0.572881608713547	-0.998413820797236	2	1	0.0000868168598341798
centrally located location	IU knowledge base	1	1	1	1	NULL	NULL	NULL	1	1	1
campus	IU Kokomo	1	1	542	406	0.663967611336	NULL	NULL	1	1	0.0018450184501845018
local celebrity	IU men's basketball coach Tom Crean	1	1	360	324	0.687500000000	NULL	NULL	1	1	0.002777777777777778
group	Iu Mien	2	2	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	3	2	0.00001911726049657084
Asian tribal peoples	Iu Mien	1	1	2	2	NULL	NULL	NULL	3	2	0.16666666666666666
best practice program	IU Northwest math A007	2	1	8	7	0.666666666666	NULL	NULL	2	1	0.25
organization	IU Optometric Student Association	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
organization	IU Police Department	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
professor	IU Professor of Law Aviva Orenstein	1	1	629	585	0.611111111111	NULL	NULL	1	1	0.001589825119236884
academic institution	IU School of Informatics	1	1	472	353	0.664634146341	NULL	NULL	1	1	0.00211864406779661
academic medical center	IU School of Medicine	1	1	49	40	0.653846153846	NULL	NULL	1	1	0.02040816326530612
great website	IU School of Music's Worldwide Internet Music Resources Outline	2	2	27	25	0.600000000000	NULL	NULL	2	1	0.07407407407407407
audience member	IU senior Chris Barnes	1	1	61	58	0.416666666666	NULL	NULL	1	1	0.01639344262295082
regional campus	IU Southeast	1	1	14	8	0.750000000000	NULL	NULL	1	1	0.07142857142857142
learning measure	IU Story RecallTest	1	1	1	1	NULL	NULL	NULL	1	1	1
organization	IU Student Association	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	2	2	0.00000552175017393513
group	IU Student Association	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	2	2	0.000007168972686214065
path	iu traffic path	1	1	334	292	0.318918918918	NULL	NULL	1	1	0.0029940119760479044
school	IU with rolling admission	2	1	19689	10019	0.745137491616	-0.943489900089712	-0.997166899613069	2	1	0.00010157956219208695
local celebrity	IU women's basketball coach Felisha Legette-Jack	1	1	360	324	0.687500000000	NULL	NULL	1	1	0.002777777777777778
student organization	IU's Asian Culture Center	1	1	1073	762	0.635658914728	NULL	NULL	1	1	0.0009319664492078285
complex construction project	IU's North End Zone project	1	1	27	26	0.200000000000	NULL	NULL	1	1	0.037037037037037035
program	iu's other competitive scholarship program	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	2	2	0.000005393219644263232
scholarship program	iu's other competitive scholarship program	1	1	98	93	0.437500000000	NULL	NULL	2	2	0.00510204081632653
functionalities	Iu-h interface management	1	1	1581	1278	0.431279620853	-0.505240539117712	-0.98882657817318	1	1	0.0006325110689437065
application	IUA	2	2	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	2	1	0.000022496175650139476
core place	IUAV an Ca Foscari university	1	1	4	4	NULL	NULL	NULL	1	1	0.25
private university	IUB	1	1	288	202	0.642857142857	NULL	NULL	2	2	0.001736111111111111
birth control	IUB	1	1	87	42	0.461538461538	NULL	NULL	2	2	0.005747126436781609
interface link	Iub 452	2	2	5	3	NULL	NULL	NULL	2	1	0.4
program	IUB's new Student Academic Support Center	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	1	1	0.000010786439288526465
national facility	IUCAA	1	1	12	12	1.000000000000	NULL	NULL	1	1	0.08333333333333333
dedicated institution	IUCAA in India	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
resource	IUCAT on the Web	1	1	43283	17971	0.586939208919	-1.01585950013488	-0.998815568696962	1	1	0.000023103758981586305
type	IUccMediaDeviceSettings interface	1	1	12278	9276	0.430722891566	-0.636768280802362	-0.996404903617429	1	1	0.00008144648965629581
regular contraceptive	IUCD	1	1	9	8	0.200000000000	NULL	NULL	1	1	0.1111111111111111
service	IUCD insertion	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	5	3	0.000001120084230334121
specialist service	IUCD insertion	3	3	902	669	0.425692695214	NULL	NULL	5	3	0.0019955654101995565
long-acting and permanent method	IUCD insertion	1	1	7	5	0.250000000000	NULL	NULL	5	3	0.02857142857142857
approach	IUCD's	1	1	14934	11609	0.612300123001	-0.593468072124126	-0.997913197725203	1	1	0.00006696129637069774
regional plan	IUCEA	1	1	35	34	0.666666666666	NULL	NULL	1	1	0.02857142857142857
organization	IUCN	25	22	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	157	58	0.00004396297909184021
group	IUCN	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	157	58	0.00000009132449281801357
institution	IUCN	3	3	28178	13000	0.720671563483	-0.908752124877403	-0.999786224428357	157	58	0.000002034382878995359
client	IUCN	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	157	58	0.00000026248358821364696
agency	IUCN	4	4	23567	11309	0.723297111052	-0.960797390856237	-0.998365337943026	157	58	0.000004324302118448581
Organisations	IUCN	3	2	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	157	58	0.000006300125372494912
partner	IUCN	5	4	8413	5549	0.564818508177	-0.749782952011366	-0.998831663852928	157	58	0.00001892733493281932
authority	IUCN	2	2	3201	2206	0.547000895255	-0.659240424476887	-0.997358029714292	157	58	0.000007959296159440621
NGOs	IUCN	8	8	3454	2010	0.683954619124	-0.79242623057138	-0.995410146350636	157	58	0.00011802064623680104
international organization	IUCN	29	27	6574	1467	0.767832167832	-1.20658377854774	-0.998041641997607	157	58	0.0008148293121522926
donor	IUCN	1	1	2622	912	0.503211991434	NULL	NULL	157	58	0.0000024292245429414024
non-governmental organization	IUCN	3	2	1337	878	0.629120879120	NULL	NULL	157	58	0.000042875722336822144
environmental group	IUCN	1	1	1379	542	0.788321167883	NULL	NULL	157	58	0.00000461887364147379
international agency	IUCN	3	3	1333	390	0.696850393700	NULL	NULL	157	58	0.00004300438166866557
external agency	IUCN	1	1	424	339	0.480952380952	NULL	NULL	157	58	0.000015022232904698955
key partner	IUCN	1	1	454	309	0.399014778325	NULL	NULL	157	58	0.000014029574342714444
international institution	IUCN	3	3	1181	308	0.673469387755	NULL	NULL	157	58	0.00004853923858114412
non-government organization	IUCN	1	1	380	303	0.503311258278	NULL	NULL	157	58	0.000016761649346295674
stakeholder group	IUCN	1	1	411	283	0.395209580838	NULL	NULL	157	58	0.000015497388690005733
International NGOs	IUCN	8	8	572	238	0.763513513513	NULL	NULL	157	58	0.0007126631330452986
