product	JL	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	15	14	0.00000033445543130536283
company	JL	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	15	14	0.0000003710299792223212
information	JL	1	1	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	15	14	0.00000046277014207043364
brand	JL	2	2	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	15	14	0.0000035792261713017645
manufacturer	JL	1	1	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	15	14	0.0000034725839497169847
amp	JL	1	1	213	180	0.551282051282	NULL	NULL	15	14	0.0003129890453834116
asian carrier	JL	1	1	70	32	0.695652173913	NULL	NULL	15	14	0.0009523809523809524
alliance partner	JL	1	1	40	30	0.300000000000	NULL	NULL	15	14	0.0016666666666666668
end company	JL	1	1	27	27	0.350000000000	NULL	NULL	15	14	0.0024691358024691358
good amp	JL	1	1	8	8	0.800000000000	NULL	NULL	15	14	0.008333333333333333
channel amp	JL	1	1	4	4	0.666666666666	NULL	NULL	15	14	0.016666666666666666
high-end car audio brand	JL	1	1	3	3	0.333333333333	NULL	NULL	15	14	0.02222222222222222
supposed high quality carrier	JL	1	1	2	2	1.000000000000	NULL	NULL	15	14	0.03333333333333333
high end car audio brand	JL	1	1	1	1	1.000000000000	NULL	NULL	15	14	0.06666666666666667
superior option	JL amp	1	1	7	7	NULL	NULL	NULL	1	1	0.14285714285714285
product	JL AUDIO	2	2	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	45	22	0.0000004459405750738171
company	JL Audio	3	3	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	45	22	0.0000011130899376669635
brand	JL Audio	13	12	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	45	22	0.00005040743524583318
manufacturer	JL Audio	3	3	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	45	22	0.000010417751849150953
vendor	JL Audio	1	1	12193	5238	0.614473127380	-0.973348269280983	-0.999298244572077	45	22	0.0000018225393440680901
brand name	JL Audio	2	2	6865	3413	0.622099882029	-0.864932692026327	-0.99303140277181	45	22	0.0000129481265679372
top brand	JL Audio	2	2	5245	2431	0.627578718783	-0.877276620753982	-0.989521388822656	45	22	0.000016947357271475478
quality brand	JL Audio	2	2	1175	836	0.523489932885	NULL	NULL	45	22	0.0000756501182033097
high quality product	JL Audio	2	2	906	713	0.379134860050	NULL	NULL	45	22	0.00009811135638950208
national brand	JL Audio	1	1	618	470	0.433048433048	NULL	NULL	45	22	0.000035958288385472854
top name brand	JL Audio	2	2	521	395	0.413680781758	NULL	NULL	45	22	0.00017061207080400938
good brand	JL Audio	1	1	377	283	0.465811965811	NULL	NULL	45	22	0.000058944886531093426
amp	JL audio	1	1	213	180	0.551282051282	NULL	NULL	45	22	0.00010432968179447053
name-brands	JL Audio	1	1	57	46	0.342105263157	NULL	NULL	45	22	0.0003898635477582846
service name brand	JL Audio	1	1	9	9	0.375000000000	NULL	NULL	45	22	0.0024691358024691358
today top quality brand	JL Audio	1	1	9	9	0.142857142857	NULL	NULL	45	22	0.0024691358024691358
high-end brand car audio accessory	JL Audio	1	1	11	8	NULL	NULL	NULL	45	22	0.00202020202020202
top quality name brand	JL Audio	1	1	7	7	NULL	NULL	NULL	45	22	0.0031746031746031746
manufacturer's restriction brand	JL Audio	1	1	3	3	NULL	NULL	NULL	45	22	0.007407407407407407
agood quality amp	JL Audio	1	1	1	1	NULL	NULL	NULL	45	22	0.022222222222222223
high end sub	jl audio	1	1	1	1	NULL	NULL	NULL	45	22	0.022222222222222223
sealed sub	JL Audio	2	2	2	1	1.000000000000	NULL	NULL	45	22	0.044444444444444446
option	JL Audio Cleansweep	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	4	4	0.000004281188457915918
signal processor	JL Audio Cleansweep	1	1	63	29	0.222222222222	NULL	NULL	4	4	0.003968253968253968
great new product	JL Audio Cleansweep	1	1	12	12	0.428571428571	NULL	NULL	4	4	0.020833333333333332
in-between device	JL Audio CleanSweep	1	1	4	4	NULL	NULL	NULL	4	4	0.0625
speaker	JL Audio component	1	1	4390	3766	0.671460176991	-0.516355628396599	-0.989901672811068	1	1	0.00022779043280182233
single sub	JL Audio W6v2	1	1	6	6	1.000000000000	NULL	NULL	1	1	0.16666666666666666
grounding lug	JL Audio XB-MGLU	1	1	1	1	NULL	NULL	NULL	1	1	1
pure copper power wire	JL Audio's Premium Power Wire	1	1	1	1	NULL	NULL	NULL	1	1	1
company	JL Childress	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
factory integration adapter	JL Cleansweep	1	1	2	2	NULL	NULL	NULL	4	4	0.125
signal proccessor	JL Cleansweep	1	1	2	2	NULL	NULL	NULL	4	4	0.125
factory integration device	JL CleanSweep	1	1	1	1	NULL	NULL	NULL	4	4	0.25
LOCs	JL Cleansweep	1	1	1	1	NULL	NULL	NULL	4	4	0.25
application	JL Cmdlet	2	2	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	2	1	0.000022496175650139476
name	JL Construction	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	1	1	0.00001530901241560907
MIDI fader boxes	JL Cooper CS1	1	1	1	1	NULL	NULL	NULL	1	1	1
Third-party sync boxes	JL Cooper PPS II	1	1	1	1	NULL	NULL	NULL	1	1	1
hardware controller	JL Cooper's veteran CS10	2	1	9	8	0.600000000000	NULL	NULL	2	1	0.2222222222222222
sub	JL F113	1	1	61	54	0.457142857142	NULL	NULL	1	1	0.01639344262295082
high profile company	JL Fisher	1	1	291	219	0.240963855421	NULL	NULL	1	1	0.003436426116838488
brand	JL Germany	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	1	1	0.000013422098142381616
manufacturer	JL Industried EverGkow	1	1	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	1	1	0.00005208875924575477
initiative	JL Krafts kitchen vignette	1	1	23037	18592	0.648032088242	-0.572881608713547	-0.998413820797236	1	1	0.0000434084299170899
mega sub	JL Labs	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
company	JL Manufacturing	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
area	Jl oberoi	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
athlete	JL Ratchel	1	1	4307	2242	0.827631578947	-0.947746735113805	-0.997926130774525	1	1	0.00023218017181332715
local business	JL Rocks	1	1	2500	1680	0.462623413258	-0.815599038250748	-0.998827241960652	1	1	0.0004
expansion chamber	JL RZ	1	1	1	1	NULL	NULL	NULL	1	1	1
amp	JL Slash	1	1	213	180	0.551282051282	NULL	NULL	1	1	0.004694835680751174
subwoofer	JL W7	1	1	8	6	1.000000000000	NULL	NULL	1	1	0.125
local new york liquor house	JL Wine & Liquors	1	1	2	2	NULL	NULL	NULL	1	1	0.5
local restaurant	JL's Bar-B-Que	1	1	485	422	0.605042016806	NULL	NULL	1	1	0.002061855670103093
system	JL-2	3	3	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	3	1	0.00007319393954180594
JL series	JL190	1	1	5	5	NULL	NULL	NULL	1	1	0.2
item	JL2	1	1	275795	85728	0.801978925726	-1.12779255116892	-0.997854971174332	1	1	0.0000036258815424500083
JL series	JL250	1	1	5	5	NULL	NULL	NULL	1	1	0.2
JL series	JL320	1	1	5	5	NULL	NULL	NULL	1	1	0.2
JL series	JL360	1	1	5	5	NULL	NULL	NULL	1	1	0.2
JL series	JL390	1	1	5	5	NULL	NULL	NULL	1	1	0.2
exception	JLA	1	1	19088	14859	0.458983156581	-0.64768711059283	-0.998102520812245	12	5	0.0000043657446214026265
character	JLA	6	4	26013	14790	0.699093655589	-0.853321336631321	-0.994875121545335	12	5	0.00011532695190866105
book	JLA	1	1	14888	10465	0.636247877758	-0.715835222877908	-0.997239441392897	12	5	0.000005597349095468387
heroes	JLA	3	3	2058	1333	0.600496277915	-0.774199490208616	-0.994390638727438	12	5	0.00036443148688046647
popular book	JLA	1	1	204	166	0.532258064516	NULL	NULL	12	5	0.0004084967320261438
case	JLA Cry for Justice	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
JSA action figure	JLA figures like the Silver Age Batman	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
team	JLA International	1	1	15768	6094	0.650535648319	-1.13299546763441	-0.978157595840166	1	1	0.00006341958396752917
team	JLA West	1	1	15768	6094	0.650535648319	-1.13299546763441	-0.978157595840166	1	1	0.00006341958396752917
scots	jla's b-list scots	1	1	53	49	0.650000000000	NULL	NULL	1	1	0.018867924528301886
facility	JLab	1	1	42600	17896	0.658525485436	-1.00701955310555	-0.998916668671258	3	3	0.00000782472613458529
institution	JLab	1	1	28178	13000	0.720671563483	-0.908752124877403	-0.999786224428357	3	3	0.000011829559703787825
national laboratory	JLab	1	1	77	59	0.846153846153	NULL	NULL	3	3	0.004329004329004329
client	JLab Audio	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	1	1	0.00004120992334954257
cavity	JLAB FEL injector quarter cryomodule	1	1	51	44	0.208333333333	NULL	NULL	1	1	0.0196078431372549
swing component	JLabel	1	1	31	14	0.500000000000	NULL	NULL	2	2	0.016129032258064516
content pane lightweight component	JLabel	1	1	2	2	NULL	NULL	NULL	2	2	0.25
component	JLabel object	1	1	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	1	1	0.00002158568437412308
Good quality car sub	JLAudio W3	1	1	2	2	NULL	NULL	NULL	1	1	0.5
manufacturer	JLB	1	1	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	4	4	0.000013022189811438692
brand name	JLB	1	1	6865	3413	0.622099882029	-0.864932692026327	-0.99303140277181	4	4	0.00003641660597232338
maker	JLB	1	1	2052	1769	0.450271247739	NULL	NULL	4	4	0.00012183235867446393
high-level routine	JLB	1	1	1	1	NULL	NULL	NULL	4	4	0.25
area	JLB Road	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
brand	JLC	4	4	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	13	10	0.000016519505406008144
agency	JLC	1	1	23567	11309	0.723297111052	-0.960797390856237	-0.998365337943026	13	10	0.0000032640165028674383
manufacturer	JLC	1	1	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	13	10	0.0000040068276342888285
watch brand	JLC	1	1	193	92	0.672131147540	NULL	NULL	13	10	0.00039856516540454366
4-H event	JLC	1	1	34	31	0.666666666666	NULL	NULL	13	10	0.002262443438914027
best luxury brand	JLC	1	1	18	18	0.230769230769	NULL	NULL	13	10	0.004273504273504273
escapement	JLC	1	1	8	6	0.312500000000	NULL	NULL	13	10	0.009615384615384616
expensive watch company	JLC	1	1	3	3	0.333333333333	NULL	NULL	13	10	0.02564102564102564
High energy lepton colliders	JLC	1	0	2	2	1.000000000000	NULL	NULL	13	10	0.038461538461538464
london scene	JLC	1	1	1	1	1.000000000000	NULL	NULL	13	10	0.07692307692307693
equipment support package chip	JLCC	2	1	8	4	1.000000000000	NULL	NULL	2	1	0.25
international resuscitation organization	JLCQR-related organization	1	1	4	3	1.000000000000	NULL	NULL	1	1	0.25
public enterprise	Jld	1	1	82	64	0.473684210526	NULL	NULL	1	1	0.012195121951219513
program	jld's community outreach program	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	3	3	0.000003595479762842155
outreach program	jld's community outreach program	1	1	412	376	0.478632478632	NULL	NULL	3	3	0.0008090614886731391
community outreach program	jld's community outreach program	1	1	169	138	0.411764705882	NULL	NULL	3	3	0.0019723865877712033
key scheme	JLE	1	1	7	6	1.000000000000	NULL	NULL	1	1	0.14285714285714285
lexer generator	JLex	1	1	2	2	NULL	NULL	NULL	1	1	0.5
benefit	JLF	1	1	30032	15820	0.635618166526	-0.878063457184251	-0.999703566162433	2	2	0.000016648907831646243
japanese joystick	JLF	1	1	1	1	NULL	NULL	NULL	2	2	0.5
company	JLG	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	34	21	0.00000016368969671572994
name	JLG	3	3	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	34	21	0.00000405238563942593
player	JLG	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	34	21	0.0000005881294308200995
brand	JLG	6	6	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	34	21	0.000014211633327227594
client	JLG	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	34	21	0.0000012120565691041932
manufacturer	JLG	6	6	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	34	21	0.00005515280390726975
vendor	JLG	1	1	12193	5238	0.614473127380	-0.973348269280983	-0.999298244572077	34	21	0.0000024121844259724723
supplier	JLG	1	1	3783	2559	0.473404255319	-0.779829474834244	-0.996414617639681	34	21	0.000007774719721354045
