resource	JS	2	2	43283	17971	0.586939208919	-1.01585950013488	-0.998815568696962	33	23	0.0000028004556341316733
skill	JS	1	1	34378	13132	0.658647140864	-1.04017675648634	-0.997766084512889	33	23	0.0000008814657718026152
class	JS	1	1	14690	7065	0.534200113058	-0.965176733806391	-0.997940506835601	33	23	0.000002062833921241001
unit	JS	1	1	9593	6732	0.471854930109	-0.726678746414521	-0.998094820301806	33	23	0.000003158868998543761
language	JS	4	4	21730	3186	0.722558340535	-1.38049204449127	-0.998004626689092	33	23	0.000022312401511665203
file	JS	6	6	7367	2700	0.519731318219	-1.0561904279386	-0.998519772389525	33	23	0.000148080506435332
user	js	1	1	4452	2370	0.488619119878	-0.833413880812705	-0.998212972360844	33	23	0.000006806610580195486
code	JS	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	33	23	0.000016239566078794376
programming language	JS	1	1	1448	350	0.689265536723	NULL	NULL	33	23	0.000020927507115352418
page element	JS	1	1	279	138	0.303921568627	NULL	NULL	33	23	0.0001086130118388183
text file	JS	1	1	355	92	0.421875000000	NULL	NULL	33	23	0.00008536064874093044
static object	JS	1	1	78	62	0.108695652173	NULL	NULL	33	23	0.0003885003885003885
file extension	js	1	1	67	47	0.289473684210	NULL	NULL	33	23	0.0004522840343735866
static item	js	1	1	38	37	0.130434782608	NULL	NULL	33	23	0.0007974481658692185
static file	JS	2	1	90	34	0.379310344827	NULL	NULL	33	23	0.0013468013468013469
static content	JS	1	1	43	27	0.523809523809	NULL	NULL	33	23	0.0007047216349541931
site asset	JS	1	1	20	13	0.200000000000	NULL	NULL	33	23	0.0015151515151515152
non-php file	js	1	1	7	5	0.400000000000	NULL	NULL	33	23	0.004329004329004329
lib file	js	1	1	3	3	1.000000000000	NULL	NULL	33	23	0.0101010101010101
mambo file	js	1	1	3	3	0.333333333333	NULL	NULL	33	23	0.0101010101010101
theme resource	JS	1	1	3	3	0.333333333333	NULL	NULL	33	23	0.0101010101010101
precompress static resource	js	1	1	2	2	1.000000000000	NULL	NULL	33	23	0.015151515151515152
derivation code	JS	1	1	1	1	1.000000000000	NULL	NULL	33	23	0.030303030303030304
end JS series guitar	JS 1200	1	1	1	1	NULL	NULL	NULL	1	1	1
local dealer	JS Audio	1	1	21	21	0.200000000000	NULL	NULL	1	1	0.047619047619047616
composer	JS Bach	3	3	6306	2516	0.820560747663	-0.980844564939484	-0.989201137634593	3	1	0.0004757373929590866
design	JS Bear	1	1	7624	5193	0.467436489607	-0.74872996406582	-0.998115781240911	1	1	0.00013116474291710389
client	JS Bloor	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	1	1	0.00004120992334954257
departmental initiative	JS career fair	1	1	13	13	0.666666666666	NULL	NULL	1	1	0.07692307692307693
designer	JS Collection	1	1	12101	4419	0.791101055806	-1.06086613629433	-0.997034433016623	1	1	0.00008263779852904718
lovely brand	JS Collections	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
body kit	JS Custom	1	1	8	7	0.166666666666	NULL	NULL	1	1	0.125
tool	js debugger tool	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
steam humidifier	JS ElectroVap	1	1	1	1	NULL	NULL	NULL	1	1	1
component	JS file	1	1	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	10	9	0.0000021585684374123082
file	js file	1	1	7367	2700	0.519731318219	-1.0561904279386	-0.998519772389525	10	9	0.000013574046423238767
static object	js file	1	1	78	62	0.108695652173	NULL	NULL	10	9	0.001282051282051282
static resource	JS file	2	2	70	33	0.250000000000	NULL	NULL	10	9	0.005714285714285714
static content	js file	1	1	43	27	0.523809523809	NULL	NULL	10	9	0.002325581395348837
malicious object	js file	1	1	4	4	0.250000000000	NULL	NULL	10	9	0.025
stock content	JS file	1	1	3	3	0.333333333333	NULL	NULL	10	9	0.03333333333333333
application static resource	JS file	1	1	2	2	0.500000000000	NULL	NULL	10	9	0.05
application's static resource	JS file	1	1	2	2	0.500000000000	NULL	NULL	10	9	0.05
local dealer	JS Gold & Coin Inc.	1	1	21	21	0.200000000000	NULL	NULL	1	1	0.047619047619047616
company	JS International Ltd	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
modern, well-designed atomising spray system	JS JetSpray	1	1	1	1	NULL	NULL	NULL	1	1	1
piece	JS library	1	1	7547	5316	0.460387323943	-0.776844235868752	-0.995033076388282	2	2	0.00006625149065853981
external library	JS library	1	1	32	32	0.454545454545	NULL	NULL	2	2	0.015625
key release	JS Logo	1	1	6	6	0.750000000000	NULL	NULL	1	1	0.16666666666666666
website	JS Made Easy	1	1	18303	6967	0.706939799331	-1.0071618984676	-0.999527434239995	1	1	0.00005463585204611266
element	JS menu	1	1	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	1	1	0.000016949439821013915
person	JS Mill	1	1	17971	11957	0.688179669030	-0.793992023798539	-0.99898696502396	3	3	0.00001854840205516295
capitalism thinker	JS Mill	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
greatest liberal	JS Mill	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
optimization technique	JS minimization	1	1	480	348	0.546296296296	NULL	NULL	1	1	0.0020833333333333333
online new medium site	JS Online	1	1	1	1	NULL	NULL	NULL	1	1	1
mining contractor	JS Redpath	1	1	3	2	0.500000000000	NULL	NULL	1	1	0.3333333333333333
non-serialisable datum	JS reference	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
Anti spam plugins	JS Spamblock	1	1	4	3	1.000000000000	NULL	NULL	1	1	0.25
module	JS Tools Tabs	1	1	5711	4112	0.453670886075	-0.701627176357025	-0.992693949855422	1	1	0.0001751006828926633
design	JS Wings	1	1	7624	5193	0.467436489607	-0.74872996406582	-0.998115781240911	1	1	0.00013116474291710389
blade	JS20	1	1	248	191	0.469387755102	NULL	NULL	1	1	0.004032258064516129
system hardware	JS20 Blade Server	1	1	9	7	0.285714285714	NULL	NULL	1	1	0.1111111111111111
aircraft	JS31	1	1	2866	1567	0.753303964757	-0.852058635286528	-0.976498697176134	1	1	0.0003489183531053733
aircraft	JS41	1	1	2866	1567	0.753303964757	-0.852058635286528	-0.976498697176134	1	1	0.0003489183531053733
benefit	JSA	11	5	30032	15820	0.635618166526	-0.878063457184251	-0.999703566162433	28	14	0.00014389413197351397
book	JSA	1	1	14888	10465	0.636247877758	-0.715835222877908	-0.997239441392897	28	14	0.00000239886389805788
film	JSA	5	4	24122	10375	0.756059824651	-0.901398594282795	-0.984697282492165	28	14	0.00003701422530707001
blockbuster	JSA	1	1	444	298	0.552301255230	NULL	NULL	28	14	0.00008043758043758043
