person	Ju	1	1	17971	11957	0.688179669030	-0.793992023798539	-0.99898696502396	6	6	0.000009274201027581474
top college	JU	1	1	81	44	0.361111111111	NULL	NULL	6	6	0.0020576131687242796
eye	Ju	1	1	46	42	0.243243243243	NULL	NULL	6	6	0.0036231884057971015
auto auction house	JU	1	1	12	12	0.636363636363	NULL	NULL	6	6	0.013888888888888888
grahas	Ju	1	1	3	3	1.000000000000	NULL	NULL	6	6	0.05555555555555555
yue zhongtian eye	Ju	1	1	1	1	1.000000000000	NULL	NULL	6	6	0.16666666666666666
aircraft	Ju 188	1	1	2866	1567	0.753303964757	-0.852058635286528	-0.976498697176134	1	1	0.0003489183531053733
aircraft	Ju 87	2	2	2866	1567	0.753303964757	-0.852058635286528	-0.976498697176134	3	2	0.00046522447080716444
ground attack unit	Ju 87	1	1	2	2	NULL	NULL	NULL	3	2	0.16666666666666666
german aircraft type	Ju 87 dive bomber	1	1	1	1	NULL	NULL	NULL	1	1	1
common type	Ju 87 Stuka	1	1	131	124	0.247422680412	NULL	NULL	2	2	0.003816793893129771
legendary aircraft	Ju 87 Stuka	1	1	9	9	1.000000000000	NULL	NULL	2	2	0.05555555555555555
legendary aircraft	Ju 88	1	1	9	9	1.000000000000	NULL	NULL	2	2	0.05555555555555555
tactical aircraft	Ju 88	1	1	5	5	0.250000000000	NULL	NULL	2	2	0.1
type designation	Ju 88g-7a	1	1	3	3	0.500000000000	NULL	NULL	1	1	0.3333333333333333
beautiful woman	Ju A-min	2	1	135	86	0.543478260869	NULL	NULL	2	1	0.014814814814814815
degree program	JU College of Fine Arts	1	1	357	281	0.431818181818	NULL	NULL	1	1	0.0028011204481792717
enviable male	Ju de Law	1	1	1	1	0.500000000000	NULL	NULL	1	1	1
film	Ju Dou	5	5	24122	10375	0.756059824651	-0.901398594282795	-0.984697282492165	10	6	0.00010363983085979603
title	Ju Dou	1	1	15414	9921	0.665151515151	-0.748697031653329	-0.997140005395198	10	6	0.00000648760866744518
classic	Ju Dou	1	1	8712	5320	0.661906149810	-0.750084855474	-0.994072008785598	10	6	0.00001147842056932966
masterpiece	Ju Dou	1	1	530	426	0.601851851851	NULL	NULL	10	6	0.00018867924528301886
successful film	Ju Dou	1	1	239	146	0.588235294117	NULL	NULL	10	6	0.00041841004184100416
chinese film	Ju Dou	1	1	25	22	0.615384615384	NULL	NULL	10	6	0.004
organization	Ju Eng Home for Senior Citizens	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
project	Ju Er Hutong	2	1	51739	38387	0.631297709923	-0.716913383950669	-0.999422658457143	3	2	0.00002577037309057642
prestigious estate	Ju Er Hutong	1	1	5	5	NULL	NULL	NULL	3	2	0.06666666666666667
variety	Ju Feng	1	1	9381	5681	0.544551475015	-0.811319056205632	-0.997878348645157	1	1	0.00010659844366272253
topic	JU financing	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	1	1	0.000006506096212150785
artist	Ju Gosling	2	2	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	2	1	0.000022610366853202193
traditional penang nyonya dish	Ju Hu Char	1	1	2	2	NULL	NULL	NULL	1	1	0.5
herb	Ju Hua	3	3	28563	3184	0.762784090909	-1.40890549469026	-0.993293024610227	3	1	0.00010503098414032138
skill	Ju Jit Su	1	1	34378	13132	0.658647140864	-1.04017675648634	-0.997766084512889	2	2	0.00001454418523474315
class	Ju Jit Su	1	1	14690	7065	0.534200113058	-0.965176733806391	-0.997940506835601	2	2	0.000034036759700476515
activity	ju jitsu	1	1	171520	57939	0.787842465753	-1.04200579026023	-0.999672175553448	15	8	0.000000388681592039801
style	Ju jitsu	2	2	11857	5834	0.573324485733	-0.902115207783448	-0.996730416282698	15	8	0.000022490230805993644
sport	Ju Jitsu	1	1	44244	2688	0.777327935222	-1.59548850292358	-0.997620914592768	15	8	0.0000015067956483741675
art	Ju Jitsu	2	2	3512	1174	0.488822652757	-1.13603665402795	-0.997158769474132	15	8	0.0000759301442672741
martial art	Ju Jitsu	5	5	1626	382	0.848739495798	NULL	NULL	15	8	0.001025010250102501
external art	Ju Jitsu	2	1	12	8	0.333333333333	NULL	NULL	15	8	0.02222222222222222
mainstream martial art	ju jitsu	1	1	8	7	0.142857142857	NULL	NULL	15	8	0.008333333333333333
combat martial art	Ju Jitsu	1	1	6	6	0.400000000000	NULL	NULL	15	8	0.01111111111111111
activity	Ju Jitsu demonstration	1	1	171520	57939	0.787842465753	-1.04200579026023	-0.999672175553448	1	1	0.000005830223880597015
form	ju jitu	1	1	19910	11985	0.451241873645	-0.813251190067528	-0.997534881182008	1	1	0.00005022601707684581
brand name	Ju Ju Beads	1	1	6865	3413	0.622099882029	-0.864932692026327	-0.99303140277181	1	1	0.0001456664238892935
name brand bag	Ju Ju Bee	1	1	4	4	NULL	NULL	NULL	1	1	0.25
fruit	Ju Ju Bees	1	1	31349	1781	0.618135376756	-1.56672761933018	-0.993911950722726	1	1	0.000031898944144948805
song	Ju Ju Bone	1	1	7936	6110	0.598611111111	-0.573970659401715	-0.99163945342262	1	1	0.00012600806451612903
band	Ju Jus	1	1	30649	10132	0.750372578241	-1.08724359942632	-0.990625439226499	1	1	0.000032627491924695746
martial art	ju jutsu	2	2	1626	382	0.848739495798	NULL	NULL	2	1	0.0012300123001230013
qing painter	Ju Lian	1	1	1	1	NULL	NULL	NULL	1	1	1
shanghai classic	Ju Lu Lu	1	1	2	2	NULL	NULL	NULL	1	1	0.5
cultural and economic construction	Ju Ming Museum	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
notable museum	Ju Ming Museum at Jinshan	1	1	13	11	0.500000000000	NULL	NULL	1	1	0.07692307692307693
work	ju ming's work	1	1	19390	14264	0.547235023041	-0.648757650562423	-0.999184070562712	1	1	0.00005157297576070139
tibetan scholar	Ju Mipham	1	1	8	8	NULL	NULL	NULL	1	1	0.125
herb	Ju Pi	1	1	28563	3184	0.762784090909	-1.40890549469026	-0.993293024610227	1	1	0.0000350103280467738
artist	Ju Ran	1	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	1	1	0.000011305183426601097
large furniture department store	Ju Ran Zhi Jia	1	1	2	2	NULL	NULL	NULL	1	1	0.5
delicious dish	Ju Yim chicken	1	1	283	253	0.462962962962	NULL	NULL	1	1	0.0035335689045936395
jewish controlled medium	Ju York Times	1	1	1	1	NULL	NULL	NULL	1	1	1
experienced player	Ju Young Park	1	1	332	315	0.769230769230	NULL	NULL	1	1	0.0030120481927710845
top business leader	Ju Yung Chung	1	1	12	12	NULL	NULL	NULL	1	1	0.08333333333333333
cargo plane	Ju-52	1	1	14	11	0.666666666666	NULL	NULL	3	3	0.023809523809523808
Luftwaffe Aircraft	JU-52	1	1	4	4	1.000000000000	NULL	NULL	3	3	0.08333333333333333
transport plane	Ju-52	1	1	3	3	NULL	NULL	NULL	3	3	0.1111111111111111
inaccuracy	JU-52 with pre-war marking	1	1	47	45	0.321428571428	NULL	NULL	1	1	0.02127659574468085
Luftwaffe Aircraft	JU-87	1	1	4	4	1.000000000000	NULL	NULL	2	2	0.125
great aircraft	Ju-87	1	1	2	2	NULL	NULL	NULL	2	2	0.25
aircraft	Ju-88	1	1	2866	1567	0.753303964757	-0.852058635286528	-0.976498697176134	1	1	0.0003489183531053733
activity	Ju-Jitsu	1	1	171520	57939	0.787842465753	-1.04200579026023	-0.999672175553448	12	9	0.0000004858519900497512
sport	ju-jitsu	1	1	44244	2688	0.777327935222	-1.59548850292358	-0.997620914592768	12	9	0.0000018834945604677094
art	Ju-Jitsu	2	2	3512	1174	0.488822652757	-1.13603665402795	-0.997158769474132	12	9	0.00009491268033409263
martial art	Ju-Jitsu	1	1	1626	382	0.848739495798	NULL	NULL	12	9	0.000051250512505125055
traditional martial art	Ju-Jitsu	1	1	106	30	0.812500000000	NULL	NULL	12	9	0.0007861635220125786
japanese martial art	Ju-Jitsu	1	1	87	18	1.000000000000	NULL	NULL	12	9	0.0009578544061302681
traditional japanese martial art	Ju-Jitsu	1	1	14	8	0.500000000000	NULL	NULL	12	9	0.005952380952380952
sportbased system	Ju-Jitsu	1	1	4	4	0.750000000000	NULL	NULL	12	9	0.020833333333333332
sport-based system	Ju-Jitsu	3	3	12	4	0.750000000000	NULL	NULL	12	9	0.0625
convertible bag	Ju-Ju-Be BFF	1	1	1	1	NULL	NULL	NULL	1	1	1
style	Ju-Ju-Be BFF bag	1	1	11857	5834	0.573324485733	-0.902115207783448	-0.996730416282698	1	1	0.00008433836552247617
art	Ju-Jutsu	1	1	3512	1174	0.488822652757	-1.13603665402795	-0.997158769474132	4	3	0.00007118451025056947
popular form	ju-jutsu	2	2	77	67	0.236842105263	NULL	NULL	4	3	0.012987012987012988
well-known form	ju-jutsu	1	1	13	13	NULL	NULL	NULL	4	3	0.019230769230769232
film	Ju-on	3	3	24122	10375	0.756059824651	-0.901398594282795	-0.984697282492165	12	9	0.00003109194925793881
movie	ju-on	1	1	15270	6459	0.786216125794	-0.918561055384946	-0.984127808345679	12	9	0.000005457323728443571
horror film	Ju-on	1	1	227	151	0.785714285714	NULL	NULL	12	9	0.00036710719530102793
japanese film	Ju-on	2	2	36	24	0.812500000000	NULL	NULL	12	9	0.009259259259259259
japanese movie	Ju-on	1	1	11	10	0.714285714285	NULL	NULL	12	9	0.007575757575757576
asian horror film	Ju-on	1	1	5	5	1.000000000000	NULL	NULL	12	9	0.016666666666666666
good horror flick	Ju-on	1	1	3	3	0.666666666666	NULL	NULL	12	9	0.027777777777777776
japanese horror movie	Ju-on	1	1	3	3	1.000000000000	NULL	NULL	12	9	0.027777777777777776
japanese scary movie version	Ju-on	1	1	2	2	0.666666666666	NULL	NULL	12	9	0.041666666666666664
dark gory horror movie	Ju-On : the Grudge	1	1	4	4	0.333333333333	NULL	NULL	1	1	0.25
glow-in-the-dark design	Ju-On shirt with the face of the Japanese character in the front	1	1	1	1	NULL	NULL	NULL	1	1	1
maverick artist	Ju-Yeon Ryu	1	1	8	8	0.750000000000	NULL	NULL	1	1	0.125
taxi aircraft	Ju52	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
