guest	KG & The Ranger	1	1	4658	3669	0.660579345088	-0.585118210769617	-0.989328684204053	1	1	0.00021468441391155003
source	KG 102 gyro	1	1	27658	15963	0.530572289156	-0.87388714983492	-0.997401391679569	1	1	0.00003615590425916552
handset	KG 195	2	2	355	240	0.688679245283	NULL	NULL	2	1	0.005633802816901409
unit	KG 27	1	1	9593	6732	0.471854930109	-0.726678746414521	-0.998094820301806	1	1	0.00010424267695194412
traditional song	Kg Ayer	1	1	76	67	0.791666666666	NULL	NULL	1	1	0.013157894736842105
private breeder	KG Bettas	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
mechanical technique	KG blading	1	1	71	58	0.314285714285	NULL	NULL	1	1	0.014084507042253521
builder	KG Builders	1	1	905	681	0.602189781021	NULL	NULL	1	1	0.0011049723756906078
brand	KG by Kurt Geiger	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	1	1	0.000013422098142381616
for-profit hospital	KG eye hospital	1	1	2	2	0.500000000000	NULL	NULL	1	1	0.5
large group	KG Group	1	1	691	460	0.392857142857	NULL	NULL	1	1	0.001447178002894356
healthcare centre	KG Hospital	1	1	6	6	1.000000000000	NULL	NULL	1	1	0.16666666666666666
formal scientific unit	kg LPG	1	1	2	2	NULL	NULL	NULL	1	1	0.5
feature	KG mode	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
figure	Kg of milk solids per Ha	1	1	9462	6959	0.660527151476	-0.669869585808681	-0.995007098367723	1	1	0.0001056859015007398
physical unit	kg of pollutant	1	1	59	39	0.392857142857	NULL	NULL	1	1	0.01694915254237288
musician	KG Price	1	1	11569	6511	0.863097849934	-0.815057167597826	-0.991775845043895	1	1	0.00008643789437289307
village	Kg Pulau Keniogan	1	1	2844	2472	0.741992882562	-0.432694675828312	-0.984602715619261	1	1	0.00035161744022503517
posh locality	KG Road	1	1	23	16	1.000000000000	NULL	NULL	1	1	0.043478260869565216
village	Kg Sentosa	3	3	2844	2472	0.741992882562	-0.432694675828312	-0.984602715619261	3	1	0.0010548523206751054
good cobbler	KG Shoes	1	1	1	1	NULL	NULL	NULL	1	1	1
village	Kg Sidam Kanan	3	3	2844	2472	0.741992882562	-0.432694675828312	-0.984602715619261	3	1	0.0010548523206751054
village	Kg Teluk Binu	3	3	2844	2472	0.741992882562	-0.432694675828312	-0.984602715619261	3	1	0.0010548523206751054
village	Kg Terusan	1	1	2844	2472	0.741992882562	-0.432694675828312	-0.984602715619261	1	1	0.00035161744022503517
rival developer	KG Urban Enterprises	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
bulk encryption device	KG-189	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
bulk encryption device	KG-194	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
hematopoietic cell line	KG-1a	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
Historic or legacy link encryptors	KG-84	1	1	1	1	NULL	NULL	NULL	1	1	1
bulk encryption device	KG-95	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
case	KG10000 film application on train	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
generalized function	KG174 protecting	1	1	6	5	NULL	NULL	NULL	1	1	0.16666666666666666
southeast asian community organization	KGA	1	1	1	1	NULL	NULL	NULL	1	1	1
station	KGA from Spokane	1	1	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	1	1	0.00033467202141900936
american power house	KGA in Spokane	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
literary talent	Kgafela oa Magogodi	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
company	KGAL	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
area	Kgalagadi	2	2	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	10	9	0.0000022351863027783367
group	Kgalagadi	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	10	9	0.0000014337945372428131
region	Kgalagadi	1	1	16190	5709	0.680954306510	-1.05290268279751	-0.994762633709566	10	9	0.0000061766522544780725
agribusiness	Kgalagadi	1	1	42	36	0.322580645161	NULL	NULL	10	9	0.0023809523809523807
game park	Kgalagadi	1	1	22	21	0.777777777777	NULL	NULL	10	9	0.004545454545454545
african national park	Kgalagadi	1	1	11	7	0.833333333333	NULL	NULL	10	9	0.00909090909090909
poorest district	Kgalagadi	1	1	5	5	1.000000000000	NULL	NULL	10	9	0.02
corporate brewery	Kgalagadi	1	1	2	2	1.000000000000	NULL	NULL	10	9	0.05
western and northern district	Kgalagadi	1	1	1	1	1.000000000000	NULL	NULL	10	9	0.1
nonfinancial corporate issuer	Kgalagadi Breweries	1	1	2	2	NULL	NULL	NULL	2	2	0.25
big-hearted sponsor	Kgalagadi Breweries	1	1	1	1	NULL	NULL	NULL	2	2	0.5
successful company	Kgalagadi Breweries Ltd	1	1	476	260	0.235294117647	NULL	NULL	1	1	0.0021008403361344537
NonGovernmental Organisations	Kgalagadi Conservation Society	1	1	2	2	0.500000000000	NULL	NULL	1	1	0.5
municipal council	Kgalagadi district council	1	1	5	5	0.250000000000	NULL	NULL	1	1	0.2
rural area	Kgalagadi District Municipalities	1	1	1283	1027	0.647637795275	-0.578673402779864	-0.997285414857462	1	1	0.000779423226812159
seat	Kgalagadi North	1	1	235	210	0.536585365853	NULL	NULL	1	1	0.00425531914893617
place	Kgalagadi Transfrontier Park	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	5	5	0.0000023569341001225604
park	Kgalagadi Transfrontier Park	1	1	2646	2095	0.733212341197	-0.663811590558721	-0.995781869016331	5	5	0.00007558578987150416
famous national park	Kgalagadi Transfrontier Park	1	1	29	27	0.714285714285	NULL	NULL	5	5	0.006896551724137931
popular national park	Kgalagadi Transfrontier Park	1	1	23	14	0.875000000000	NULL	NULL	5	5	0.008695652173913044
famous nature reserve	Kgalagadi Transfrontier Park	1	1	2	2	NULL	NULL	NULL	5	5	0.1
transfrontier park	Kgalagadi Transfrontier Park between South Africa	1	1	1	1	NULL	NULL	NULL	1	1	1
park	Kgalagadi Transfrontier Park in Botswana	1	1	2646	2095	0.733212341197	-0.663811590558721	-0.995781869016331	1	1	0.0003779289493575208
setting	Kgalagadi Transfrontier Park's	1	1	13239	7119	0.531927188673	-0.852532636570305	-0.99750745455171	1	1	0.00007553440592189743
remote constituency	Kgalagadiand Ghanzi	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
leader	Kgalema Motlanthe	1	1	9185	6588	0.693376068376	-0.757096507540666	-0.997194959172204	2	2	0.00005443658138268917
outsider	Kgalema Motlanthe	1	1	597	423	0.398648648648	NULL	NULL	2	2	0.0008375209380234506
society	Kgatla people of Bechuanaland in Southern Africa	1	1	3416	1947	0.480378890392	-0.907255684163125	-0.997801754298146	1	1	0.0002927400468384075
area	Kgatleng	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
place	Kgatleng East	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	1	1	0.000011784670500612803
service	KGB	2	2	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	33	24	0.0000006788389274752249
company	KGB	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	33	24	0.00000016864999055560052
organization	KGB	2	2	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	33	24	0.0000013386061027721528
place	KGB	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	33	24	0.00000035711122729129707
job	KGB	1	1	14665	8141	0.603428892636	-0.87789111638551	-0.996267135282615	33	24	0.0000020663505150378657
Organisations	KGB	1	1	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	33	24	0.000003330369304652193
big name	KGB	1	1	7955	5413	0.620203160270	-0.66856758599635	-0.997347902397205	33	24	0.00000380930613488753
force	KGB	1	1	3769	2237	0.453172205438	-0.798123755946837	-0.994031813832521	33	24	0.000008040071717439719
government agency	KGB	1	1	4119	1958	0.723076923076	-0.96978759323641	-0.993082959134164	33	24	0.0000073568900954188646
online job	KGB	1	1	137	81	0.491228070175	NULL	NULL	33	24	0.0002211900022119
intelligence agency	KGB	6	6	123	53	0.750000000000	NULL	NULL	33	24	0.00886917960088692
security agency	KGB	2	2	79	50	0.600000000000	NULL	NULL	33	24	0.0015343306482546988
secret service	KGB	1	1	8	7	0.800000000000	NULL	NULL	33	24	0.003787878787878788
national intelligence agency	KGB	1	1	12	6	0.571428571428	NULL	NULL	33	24	0.002525252525252525
secret agency	KGB	1	1	6	6	0.714285714285	NULL	NULL	33	24	0.00505050505050505
texting service	KGB	1	1	5	4	0.333333333333	NULL	NULL	33	24	0.006060606060606061
spy agency organisations	KGB	1	1	3	3	0.666666666666	NULL	NULL	33	24	0.0101010101010101
spy service	KGB	2	2	6	3	0.666666666666	NULL	NULL	33	24	0.0202020202020202
crack intelligence service	KGB	1	1	2	2	1.000000000000	NULL	NULL	33	24	0.015151515151515152
global security agency	KGB	1	1	2	2	0.500000000000	NULL	NULL	33	24	0.015151515151515152
intel agency	KGB	1	1	2	2	1.000000000000	NULL	NULL	33	24	0.015151515151515152
secret police agency	KGB	1	1	3	2	0.500000000000	NULL	NULL	33	24	0.0101010101010101
secret police force	KGB	1	1	2	2	0.500000000000	NULL	NULL	33	24	0.015151515151515152
communist terror organization	KGB	1	1	1	1	1.000000000000	NULL	NULL	33	24	0.030303030303030304
colorful supporting character	KGB agent	1	1	6	6	NULL	NULL	NULL	1	1	0.16666666666666666
target	KGB badgering	1	1	2623	2058	0.400854700854	-0.588577173282076	-0.998320079225478	1	1	0.0003812428516965307
daily deal website	kgb deal	1	1	48	14	1.000000000000	NULL	NULL	2	2	0.010416666666666666
deal website	KGB deal	1	1	5	4	0.333333333333	NULL	NULL	2	2	0.1
site	KGB Deals	3	3	48590	20434	0.694470774091	-0.921261035637432	-0.999541053948841	10	7	0.000018522329697468616
daily deal site	KGB Deals	2	2	133	12	1.000000000000	NULL	NULL	10	7	0.003007518796992481
deal-a-day site	KGB Deals	1	1	6	5	0.600000000000	NULL	NULL	10	7	0.016666666666666666
online coupon place	KGB Deals	1	1	3	3	0.500000000000	NULL	NULL	10	7	0.03333333333333333
UK rival	KGB Deals	1	1	3	2	0.500000000000	NULL	NULL	10	7	0.03333333333333333
hot deal site	KGB Deals	1	1	1	1	1.000000000000	NULL	NULL	10	7	0.1
promotional firm	KGB Deals	1	1	1	1	1.000000000000	NULL	NULL	10	7	0.1
activity	KGB foreign residency	1	1	171520	57939	0.787842465753	-1.04200579026023	-0.999672175553448	1	1	0.000005830223880597015
keylogger	KGB Free-keylogger	1	1	2	2	NULL	NULL	NULL	1	1	0.5
organization	kgb front organization	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
adversity	KGB harassment	1	1	94	72	0.328767123287	NULL	NULL	1	1	0.010638297872340425
highway fight game	KGB Hunter Online & Freeway Fury	1	1	2	2	NULL	NULL	NULL	1	1	0.5
true believer	KGB in AGW	1	1	29	26	0.437500000000	NULL	NULL	1	1	0.034482758620689655
ex-open road agent	KGB in Germany	1	1	2	2	NULL	NULL	NULL	1	1	0.5
horse	KGB Intrigue	1	1	920	713	0.617647058823	NULL	NULL	1	1	0.0010869565217391304
free keystroke logger	KGB Keylogger	1	1	1	1	NULL	NULL	NULL	2	2	0.5
suitable free keyloggers	KGB keylogger	1	1	1	1	NULL	NULL	NULL	2	2	0.5
pro-communist writer	KGB operative Anna Louise Strong	1	1	2	2	NULL	NULL	NULL	1	1	0.5
female-fronted band	KGB Slideshow	1	1	9	9	0.500000000000	NULL	NULL	2	2	0.05555555555555555
guardian new female-fronted band	KGB Slideshow	1	1	2	2	NULL	NULL	NULL	2	2	0.25
character	KGB villain Petre Burov	1	1	26013	14790	0.699093655589	-0.853321336631321	-0.994875121545335	1	1	0.00003844231730288702
villain	KGBeast	1	1	736	459	0.689795918367	NULL	NULL	2	2	0.0006793478260869565
super-agents	KGBeast	1	1	1	1	NULL	NULL	NULL	2	2	0.5
civil work	KGBV	1	1	173	131	0.369863013698	NULL	NULL	1	1	0.005780346820809248
energy supplier	KGC	1	1	50	36	0.538461538461	NULL	NULL	3	3	0.006666666666666667
gold stock	KGC	1	1	67	34	1.000000000000	NULL	NULL	3	3	0.004975124378109453
AR firm	KGC	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
motif	KGD	1	1	1247	824	0.332136445242	-0.726890596315416	-0.996092239616003	1	1	0.0008019246190858059
article	KGDB	1	1	8068	4291	0.382103477523	-0.889130625803099	-0.99391133105096	1	1	0.00012394645513138323
program	KGEN	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	2	2	0.000005393219644263232
Genesis emulator	KGEN	1	1	2	2	NULL	NULL	NULL	2	2	0.25
power market leader	KGen Power Corp	1	1	4	4	NULL	NULL	NULL	1	1	0.25
organization	Kgetsi ya Tsie Fund	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
growth factor	KGF	1	1	2671	604	0.606741573033	NULL	NULL	1	1	0.00037439161362785476
unhardened material	kgf load unhardened material	1	1	3	2	NULL	NULL	NULL	1	1	0.3333333333333333
Organisations	KGF People's Movement	1	1	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	1	1	0.00010990218705352236
factor	KGF-receptor activation	1	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	1	1	0.0000025796665523014496
variation	KGFE	1	1	3927	3271	0.448616600790	-0.536836048397945	-0.998841531245054	1	1	0.00025464731347084286
radio station	KGGO	1	1	956	796	0.533980582524	NULL	NULL	1	1	0.0010460251046025104
client	KGHM Polish Copper SA	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	1	1	0.00004120992334954257
fascinating spot	Kghodwana Traditional Ndebele Village	1	1	9	8	NULL	NULL	NULL	1	1	0.1111111111111111
program	KGI	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	2	2	0.000005393219644263232
online racing crew	KGI	1	1	3	3	1.000000000000	NULL	NULL	2	2	0.16666666666666666
brokerage	KGI Asia	1	1	250	148	0.676923076923	NULL	NULL	1	1	0.004
