place	KL	3	3	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	21	10	0.0000050505730716912016
city	KL	5	5	73316	9229	0.888511216859	-1.34683685775317	-0.992382523741537	21	10	0.000016237604212943835
criterion	KL	2	2	15406	8935	0.554672447013	-0.823359173945575	-0.99893170285319	21	10	0.000012363766745176587
carrier	KL	2	1	4849	1908	0.583633093525	-1.01466023112631	-0.994029611316145	21	10	0.000039281540622023194
airline	KL	4	2	10129	1280	0.797101449275	-1.42991679030138	-0.989677067659715	21	10	0.00007522013643052245
metropolitan city	KL	1	1	374	125	0.290909090909	NULL	NULL	21	10	0.00012732365673542143
asian city	KL	1	1	277	59	0.500000000000	NULL	NULL	21	10	0.00017190991920233798
european carrier	KL	1	1	127	59	0.540540540540	NULL	NULL	21	10	0.0003749531308586427
fm-based partitioning algorithm	KL	1	1	3	3	0.500000000000	NULL	NULL	21	10	0.015873015873015872
hand EU flag carrier	KL	1	1	1	1	1.000000000000	NULL	NULL	21	10	0.047619047619047616
connection	Kl 15	1	1	1175	829	0.376237623762	NULL	NULL	1	1	0.000851063829787234
agency	KL Airport Services	1	1	23567	11309	0.723297111052	-0.960797390856237	-0.998365337943026	1	1	0.0000424322145372767
safety feature	KL Automated Rod Handling System	1	1	3442	1830	0.691525423728	-0.897412139723582	-0.997895598047938	1	1	0.0002905287623474724
favourite tourist attraction	KL Bird Park	1	1	4	4	0.333333333333	NULL	NULL	3	3	0.08333333333333333
KL attraction	KL Bird Park	1	1	2	2	1.000000000000	NULL	NULL	3	3	0.16666666666666666
Tourist favourists	KL Bird Park	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
designer scent	KL by Karl Lagerfeld	1	1	4	4	0.333333333333	NULL	NULL	1	1	0.25
project	KL Central	1	1	51739	38387	0.631297709923	-0.716913383950669	-0.999422658457143	1	1	0.000019327779817932315
place	KL city	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	1	1	0.000011784670500612803
business district	KL City Centre	1	1	67	53	0.740740740740	NULL	NULL	2	2	0.007462686567164179
popular address	KL City Centre	1	1	1	1	NULL	NULL	NULL	2	2	0.5
bus terminal	KL City Shuttle Bus Terminal	2	1	13	11	1.000000000000	NULL	NULL	2	1	0.15384615384615385
favorite	KL claypot pork belly with salted fish	1	1	10255	7613	0.554089087909	-0.639490032979078	-0.997212615069678	1	1	0.00009751340809361287
bus company	KL CNGBUS Transport Corporation	1	1	113	99	0.800000000000	NULL	NULL	1	1	0.008849557522123894
criterion	KL distance	1	1	15406	8935	0.554672447013	-0.823359173945575	-0.99893170285319	2	2	0.00003245488770608854
isotope matching -metric	KL distance	1	1	1	1	NULL	NULL	NULL	2	2	0.5
estimator	KL Divergence	1	1	124	114	0.600000000000	NULL	NULL	4	4	0.0020161290322580645
information theoretic measure	KL divergence	1	1	20	13	0.714285714285	NULL	NULL	4	4	0.0125
distortion measure	KL divergence	1	1	8	7	0.750000000000	NULL	NULL	4	4	0.03125
effective histogram comparison measure	KL divergence	1	1	1	1	1.000000000000	NULL	NULL	4	4	0.25
greenfield project	KL Eco City	1	1	12	10	NULL	NULL	NULL	1	1	0.08333333333333333
key hot spot	KL EcoCity-MidValley	1	1	5	5	NULL	NULL	NULL	1	1	0.2
high-tech company	KL Energy	1	1	367	180	0.322580645161	NULL	NULL	1	1	0.0027247956403269754
company	KL Energy in Upton	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
cool addon tool	KL Extensions	2	2	4	2	NULL	NULL	NULL	2	1	0.5
event	KL Festival	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	1	1	0.000008067053347423786
notable landmark	KL Festival City	2	2	88	67	0.580645161290	NULL	NULL	2	1	0.022727272727272728
well-known company	KL Gates	1	1	1238	771	0.340579710144	NULL	NULL	1	1	0.0008077544426494346
content	KL help-wanted ad	1	1	3511	1805	0.354200988467	-0.891650594190222	-0.996540923582731	1	1	0.0002848191398461977
star hotel	KL Hilton	1	1	420	349	0.561797752808	NULL	NULL	1	1	0.002380952380952381
customer	KL Hilton Hotel in Malaysia	3	3	8342	4944	0.508153204398	-0.810362737365184	-0.993954449352227	3	1	0.0003596259889714697
hospitality program	KL hop-on hop-off bus city tour	1	1	4	4	1.000000000000	NULL	NULL	1	1	0.25
company	KL International Airport	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	2	2	0.000002782724844167409
successful project	KL International Airport	1	1	181	177	0.333333333333	NULL	NULL	2	2	0.0027624309392265192
greenfield project	KL International Financial District	1	1	12	10	NULL	NULL	NULL	1	1	0.08333333333333333
project	KL International Financial District in Kuala Lumpur	1	1	51739	38387	0.631297709923	-0.716913383950669	-0.999422658457143	1	1	0.000019327779817932315
educational institution	KL International School	1	1	1332	851	0.673913043478	NULL	NULL	3	3	0.00025025025025025025
best private educational institution	KL International School	1	1	3	3	NULL	NULL	NULL	3	3	0.1111111111111111
ecuational institution	KL International School	1	1	2	2	NULL	NULL	NULL	3	3	0.16666666666666666
malaysian company	KL Kepong	1	1	46	41	0.750000000000	NULL	NULL	6	5	0.0036231884057971015
planter	KL Kepong	2	1	38	35	0.400000000000	NULL	NULL	6	5	0.017543859649122806
upstream laggard	KL Kepong	1	1	5	5	NULL	NULL	NULL	6	5	0.03333333333333333
plantation counter	KL Kepong	1	1	3	3	1.000000000000	NULL	NULL	6	5	0.05555555555555555
top-five malaysian listed planter	KL Kepong	1	1	3	3	1.000000000000	NULL	NULL	6	5	0.05555555555555555
place	KL Menara	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	1	1	0.000011784670500612803
movie	KL Menjerit	1	1	15270	6459	0.786216125794	-0.918561055384946	-0.984127808345679	1	1	0.00006548788474132285
public transportation	KL Monarail	1	1	367	86	0.618181818181	NULL	NULL	1	1	0.0027247956403269754
public transportation	KL Monorail	1	1	367	86	0.618181818181	NULL	NULL	5	2	0.0005449591280653951
rail-based service	KL Monorail	4	4	17	4	NULL	NULL	NULL	5	2	0.18823529411764706
kimberlite diatreme	Kl on the diagram	1	1	1	1	NULL	NULL	NULL	1	1	1
glamorous mall	KL Pavilion	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
chess association	KL Penang	1	1	1	1	1.000000000000	NULL	NULL	1	1	1
tourist attraction	KL Plaza	1	1	4005	2675	0.785645933014	-0.775899292148288	-0.991027727563105	4	3	0.00006242197253433208
shopping mall	KL Plaza	2	2	556	366	0.685714285714	NULL	NULL	4	3	0.0017985611510791368
complex	KL Plaza	1	1	389	346	0.475409836065	NULL	NULL	4	3	0.0006426735218508997
club	KL Plus	1	1	9974	5249	0.614726027397	-0.917043025704395	-0.992991585201466	1	1	0.00010026067776218167
seedy area	KL s Golden Triangle	1	1	9	5	0.500000000000	NULL	NULL	1	1	0.1111111111111111
actor	KL Saigal	1	1	8970	4759	0.716595339990	-0.861903899066853	-0.98491132998455	2	2	0.00005574136008918618
eminent musician	KL Saigal	1	1	91	82	0.727272727272	NULL	NULL	2	2	0.005494505494505495
great concert	KL Samrah Festival	1	1	20	17	0.454545454545	NULL	NULL	1	1	0.05
place	KL Sentral	3	3	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	7	5	0.000015151719215073605
