event	KQ	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	10	5	0.0000008067053347423787
hand	KQ	6	6	419	296	0.516483516483	NULL	NULL	10	5	0.008591885441527447
high card	KQ	1	1	14	12	0.500000000000	NULL	NULL	10	5	0.007142857142857143
marginal hand	KQ	1	1	6	6	1.000000000000	NULL	NULL	10	5	0.016666666666666666
well hole card	KQ	1	1	3	3	1.000000000000	NULL	NULL	10	5	0.03333333333333333
event	kq kbd chaos elemental	2	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	2	1	0.000016134106694847573
marginal hand	KQ KJ	1	1	6	6	1.000000000000	NULL	NULL	1	1	0.16666666666666666
hand	KQ KJ QJ	1	1	419	296	0.516483516483	NULL	NULL	1	1	0.002386634844868735
route	KQ via Khartoum	1	1	1482	1163	0.525773195876	-0.64832577371965	-0.997348285553147	1	1	0.0006747638326585695
sierra game	KQ2	1	1	13	10	1.000000000000	NULL	NULL	1	1	0.07692307692307693
cause	KQED	1	1	11205	6267	0.523076923076	-0.856524692275079	-0.99823492338162	8	7	0.000011155734047300312
station	KQED	1	1	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	8	7	0.00004183400267737617
public television station	KQED	1	1	8	8	0.333333333333	NULL	NULL	8	7	0.015625
public radio station	KQED	1	1	6	6	1.000000000000	NULL	NULL	8	7	0.020833333333333332
Local pubcasters	KQED	2	2	6	3	1.000000000000	NULL	NULL	8	7	0.08333333333333333
educational broadcasting	KQED	1	1	1	1	1.000000000000	NULL	NULL	8	7	0.125
national and local medium outlet	KQED	1	1	1	1	1.000000000000	NULL	NULL	8	7	0.125
initiative	KQED Digital Storytelling Initiative	1	1	23037	18592	0.648032088242	-0.572881608713547	-0.998413820797236	1	1	0.0000434084299170899
public radio outlet	KQED in San Francisco	1	1	4	4	NULL	NULL	NULL	1	1	0.25
personality	KQED's Michael Krasny	1	1	2683	2224	0.604166666666	-0.543935618125196	-0.98862661483857	1	1	0.0003727171077152441
station	KQED-FM	1	1	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	1	1	0.00033467202141900936
advance	KQemu accelerator	1	1	1592	1254	0.458970792767	-0.553410089761179	-0.993836094121849	1	1	0.000628140703517588
station	KQKE in San Francisco	1	1	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	1	1	0.00033467202141900936
technology	KQML	1	1	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	17	13	0.0000009516522586514708
language	KQML	1	1	21730	3186	0.722558340535	-1.38049204449127	-0.998004626689092	17	13	0.0000027070193010476165
standard protocol	KQML	1	1	231	142	0.500000000000	NULL	NULL	17	13	0.00025464731347084286
communication mechanism	KQML	1	1	129	103	0.281250000000	NULL	NULL	17	13	0.00045599635202918376
complex language	KQML	1	1	47	30	0.136363636363	NULL	NULL	17	13	0.0012515644555694619
agent communication language	KQML	4	4	11	7	0.666666666666	NULL	NULL	17	13	0.08556149732620322
coordination protocol	KQML	1	1	5	5	1.000000000000	NULL	NULL	17	13	0.011764705882352941
interaction protocol	KQML	1	1	3	3	0.666666666666	NULL	NULL	17	13	0.0196078431372549
common communication language	KQML	1	1	1	1	1.000000000000	NULL	NULL	17	13	0.058823529411764705
inter-agent communication language	KQML	1	1	1	1	1.000000000000	NULL	NULL	17	13	0.058823529411764705
multi-agent communication language	KQML	1	1	1	1	1.000000000000	NULL	NULL	17	13	0.058823529411764705
shared common protocol	KQML	1	1	1	1	1.000000000000	NULL	NULL	17	13	0.058823529411764705
shared message protocol	KQML	2	1	2	1	1.000000000000	NULL	NULL	17	13	0.11764705882352941
adult alternative station	KQPT in Sacramento	1	1	7	7	NULL	NULL	NULL	1	1	0.14285714285714285
pool allocation	KQR M PO	1	1	1	1	NULL	NULL	NULL	1	1	1
radio station	KQRS	2	2	956	796	0.533980582524	NULL	NULL	2	1	0.0020920502092050207
mechanism	kqueue	1	1	14346	10579	0.546547386077	-0.635256840093127	-0.998273911902632	2	2	0.000034852920674752545
event interface	kqueue	1	1	2	2	NULL	NULL	NULL	2	2	0.25
radio station	KQXL 106.5 FM	1	1	956	796	0.533980582524	NULL	NULL	1	1	0.0010460251046025104
