factor	ku	2	2	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	8	5	0.0000012898332761507248
form	ku	1	1	19910	11985	0.451241873645	-0.813251190067528	-0.997534881182008	8	5	0.000006278252134605726
protein	Ku	3	3	9757	3759	0.747728860936	-0.979506044672148	-0.998531456401191	8	5	0.00011530183458030132
signal	Ku	1	1	3064	1964	0.430471584038	-0.745225575169458	-0.997156178295879	8	5	0.00004079634464751958
cellular repair protein	Ku	1	1	3	3	1.000000000000	NULL	NULL	8	5	0.041666666666666664
feature	KU A-Z	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
student group	KU Ad Club	1	1	573	464	0.602564102564	NULL	NULL	1	1	0.0017452006980802793
charming seaside resort	Ku adas	1	1	9	7	1.000000000000	NULL	NULL	1	1	0.1111111111111111
organization	KU Amnesty International	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
entity	KU Athletic Association	1	1	10687	5912	0.517112632233	-0.839061328374049	-0.999408309291166	1	1	0.00009357162908206232
protein	Ku autoantigen	1	1	9757	3759	0.747728860936	-0.979506044672148	-0.998531456401191	2	2	0.00005124525981346726
non-sequence-specific dna-binding protein	Ku autoantigen	1	1	3	3	0.500000000000	NULL	NULL	2	2	0.16666666666666666
famous woman	Ku Baba	1	1	99	85	0.460317460317	NULL	NULL	1	1	0.010101010101010102
satellite	KU Band	1	1	305	232	0.622950819672	NULL	NULL	3	3	0.001092896174863388
satellite	ku band communication satellite	1	1	305	232	0.622950819672	NULL	NULL	2	2	0.001639344262295082
communication satellite	ku band communication satellite	1	1	34	15	0.714285714285	NULL	NULL	2	2	0.014705882352941176
product	ku band lnbf related product	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	2	2	0.0000025084157347902213
related product	ku band lnbf related product	1	1	19491	19491	NULL	NULL	NULL	2	2	0.00002565286542506798
bar	Ku Bar	1	1	798	686	0.506211180124	NULL	NULL	1	1	0.0012531328320802004
activity	KU Basketball	1	1	171520	57939	0.787842465753	-1.04200579026023	-0.999672175553448	1	1	0.000005830223880597015
name	Ku Beach	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	1	1	0.00001530901241560907
legal concept	ku bueca	1	1	177	141	0.414141414141	NULL	NULL	1	1	0.005649717514124294
student group	KU Chapter of the Public Relations Student Society of America	1	1	573	464	0.602564102564	NULL	NULL	1	1	0.0017452006980802793
Organisations	KU Children sServicesbasedin Sydney	1	1	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	1	1	0.00010990218705352236
campus organization	KU College Republicans	1	1	220	182	0.746031746031	NULL	NULL	1	1	0.004545454545454545
attraction	Ku damm	1	1	22400	13413	0.773365748244	-0.807854697535262	-0.997424616533452	1	1	0.00004464285714285714
sub-roles	ku dan	1	1	3	3	0.400000000000	NULL	NULL	1	1	0.3333333333333333
upscale restaurant	Ku De Ta	2	2	67	60	0.631578947368	NULL	NULL	5	4	0.011940298507462687
top restaurant	Ku De Ta	1	1	56	54	0.708333333333	NULL	NULL	5	4	0.0035714285714285713
internationally-acclaimed restaurant	Ku De Ta	1	1	4	4	NULL	NULL	NULL	5	4	0.05
bali's most respected restaurant	Ku De Ta	1	1	3	3	NULL	NULL	NULL	5	4	0.06666666666666667
cafe & restaurant	Ku De Ta & La Lucciola	2	2	4	2	NULL	NULL	NULL	2	1	0.5
place	Ku De Ta at Marina Bay Sands	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	1	1	0.000011784670500612803
runner	ku distance runner	1	1	311	291	0.675675675675	NULL	NULL	2	2	0.001607717041800643
distance runner	ku distance runner	1	1	4	4	1.000000000000	NULL	NULL	2	2	0.125
charitable and community organization	KU Endowment	1	1	9	9	0.333333333333	NULL	NULL	1	1	0.1111111111111111
panama gift	KU folder	1	1	1	1	NULL	NULL	NULL	1	1	1
athletic program	KU football team	1	1	516	56	0.295454545454	NULL	NULL	1	1	0.001937984496124031
hawaiian god	Ku god of war	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
herb	ku gua	1	1	28563	3184	0.762784090909	-1.40890549469026	-0.993293024610227	2	2	0.0000175051640233869
potent herb	ku gua	1	1	60	52	0.333333333333	NULL	NULL	2	2	0.008333333333333333
top star	Ku Hye Sun	1	1	403	300	0.509933774834	NULL	NULL	1	1	0.0024813895781637717
popular korean actor	Ku Hye-Sun	1	1	6	6	1.000000000000	NULL	NULL	1	1	0.16666666666666666
school	KU ISU	1	1	19689	10019	0.745137491616	-0.943489900089712	-0.997166899613069	1	1	0.000050789781096043474
scroll	Ku K'ai-chih's Admonitions of the Instructress to the Court Ladies'', date from the 4th century AD	1	1	25	23	0.500000000000	NULL	NULL	1	1	0.04
famous hit	Ku Katakan Dengan Indah	1	1	23	21	0.571428571428	NULL	NULL	1	1	0.043478260869565216
racial supremacy group	Ku Klax Klan	1	1	2	2	NULL	NULL	NULL	1	1	0.5
group	Ku Klux Clan	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	1	1	0.00001433794537242813
issue	Ku Klux Klan	3	2	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	219	82	0.00000018239224205541953
topic	Ku Klux Klan	3	3	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	219	82	0.0000002673738169377035
organization	Ku Klux Klan	25	23	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	219	82	0.000031516838892323806
case	Ku Klux Klan	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	219	82	0.00000007237154159923449
