variable	kw	2	2	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	4	2	0.000019532394476238843
operating parameter	kw	2	1	953	557	0.584313725490	NULL	NULL	4	2	0.001049317943336831
basic electrical power calculation	KW absorbed by an equipment	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
keller williams community service program	KW Cares	1	1	2	2	NULL	NULL	NULL	1	1	0.5
community organization	KW Chamber Orchestra	1	1	2760	1800	0.638640429338	-0.876422859675541	-0.998066902211371	1	1	0.00036231884057971015
brand	KW coilovers	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	2	2	0.000006711049071190808
part	KW Coilovers	1	1	22759	10034	0.593319317916	-1.02492808986947	-0.996158417466313	2	2	0.0000219693308141834
PCOs	KW Conferences	1	1	2	2	NULL	NULL	NULL	1	1	0.5
good head gasket sealant	KW Copper Coat	1	1	1	1	NULL	NULL	NULL	1	1	1
team	KW Cubs	1	1	15768	6094	0.650535648319	-1.13299546763441	-0.978157595840166	1	1	0.00006341958396752917
value	kW Demand	1	1	15387	4656	0.541979010494	-1.10905584587617	-0.998155291570794	1	1	0.00006498992656138298
seobook tool	KW Density tool	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
true balanced tuner	KW Ezee Match	1	1	2	2	NULL	NULL	NULL	1	1	0.5
traditional suspension manufacturer	KW for the Scion TC	1	1	1	1	NULL	NULL	NULL	1	1	1
long-time dealer	KW Honda in Waterloo	1	1	1	1	NULL	NULL	NULL	1	1	1
measurement	KW Hours used by the fan	1	1	4282	2660	0.518053375196	-0.794146036171898	-0.999295023117144	1	1	0.00023353573096683791
space	KW Institute for Contemporary Art	1	1	4204	2245	0.526223776223	-0.945128812276943	-0.99437976435228	1	1	0.0002378686964795433
space	KW Institute for Contemporary Art located in an abandoned margarine factory in Mitte	1	1	4204	2245	0.526223776223	-0.945128812276943	-0.99437976435228	1	1	0.0002378686964795433
dehydrator	KW International's Standard Unit	1	1	31	13	0.200000000000	NULL	NULL	1	1	0.03225806451612903
great coaster	KW Jack Rabbit	2	2	6	3	NULL	NULL	NULL	2	1	0.3333333333333333
auxiliary function	Kw limit	1	1	168	128	0.290909090909	NULL	NULL	1	1	0.005952380952380952
seobook tool	KW list generator	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
information	KW load	2	2	144060	52582	0.777756021147	-0.97214157522955	-0.999784360841893	2	1	0.000013883104262113009
vital information	KW metering	1	1	1067	760	0.334872979214	NULL	NULL	2	2	0.00046860356138706655
directional feature	kw metering	1	1	11	9	0.285714285714	NULL	NULL	2	2	0.045454545454545456
area	kW power scaling of short pulse	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
great coaster	KW Racer	2	2	6	3	NULL	NULL	NULL	2	1	0.3333333333333333
electrical requirement	kW requirement	1	1	25	21	0.250000000000	NULL	NULL	1	1	0.04
SEM service	KW research	1	0	2	2	NULL	NULL	NULL	1	1	0.5
tool	kw research tool	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
organization	KW Roof	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
brand	KW Suspension	1	1	74504	22947	0.794514091808	-1.07291618845842	-0.993941961565925	3	3	0.0000044740327141272054
accessory	KW suspension	1	1	49048	18516	0.718305642867	-1.01867689602357	-0.998203910435349	3	3	0.000006796063719893438
