function	lc	1	1	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	8	7	0.000002961243248365394
type	LC	1	1	12278	9276	0.430722891566	-0.636768280802362	-0.996404903617429	8	7	0.000010180811207036976
connector type	LC	2	2	37	22	0.611111111111	NULL	NULL	8	7	0.013513513513513514
optional connector	LC	1	1	14	13	0.428571428571	NULL	NULL	8	7	0.008928571428571428
standard datacom connector	LC	1	1	6	6	0.500000000000	NULL	NULL	8	7	0.020833333333333332
typical trading world's word	LC	1	1	3	3	0.500000000000	NULL	NULL	8	7	0.041666666666666664
proven lure	LC	1	1	1	1	1.000000000000	NULL	NULL	8	7	0.125
ladder company	LC 104	3	2	3	1	NULL	NULL	NULL	3	1	1
term	LC 50	3	3	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	7	4	0.000024366801586549528
acute animal test	LC 50	2	2	15	7	1.000000000000	NULL	NULL	7	4	0.03809523809523809
datum handling endpoint	LC 50	1	1	2	2	1.000000000000	NULL	NULL	7	4	0.07142857142857142
standardized toxicity endpoint	LC 50	1	1	1	1	1.000000000000	NULL	NULL	7	4	0.14285714285714285
datum	LC 50 animal test	1	1	35536	18119	0.661938879953	-0.871833949328395	-0.999555680636686	1	1	0.000028140477262494372
measurement	LC 50 for gas	1	1	4282	2660	0.518053375196	-0.794146036171898	-0.999295023117144	1	1	0.00023353573096683791
toxic endpoint	LC 50 s	1	1	24	13	0.111111111111	NULL	NULL	1	1	0.041666666666666664
short-term animal test	LC 50 tests in rat	2	1	3	3	NULL	NULL	NULL	2	1	0.6666666666666666
product	Lc 6601 2 Door Window Handles ,7 2 Laptops ,2 2cm Mushrooms	3	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	3	1	0.000015050494408741329
measure	LC 90	1	1	34443	25423	0.639775668679	-0.679784793664171	-0.997966300549477	1	1	0.00002903347559736376
product	lc adapter related product	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	2	2	0.0000025084157347902213
company	LC Audio	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
product	LC Beads	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
feature	LC Cagefighter Club	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
tool	LC Cataloging Service Bulletin	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
display device	LC cell	1	1	1086	358	0.692307692307	NULL	NULL	1	1	0.0009208103130755065
program	LC certification program	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	1	1	0.000010786439288526465
electronic device	LC circuit	1	1	9489	1704	0.631578947368	-1.21302498203585	-0.997544078437461	1	1	0.00010538518284329223
vital database	LC Classification Web	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
unsupervised learning technique	LC cluster	1	1	19	11	0.285714285714	NULL	NULL	1	1	0.05263157894736842
composite multi-layer part	LC composite part	2	1	2	1	NULL	NULL	NULL	2	1	1
ortantfactors	LC concentration	1	1	4	4	NULL	NULL	NULL	1	1	0.25
optical connector	LC connector	1	1	11	10	0.500000000000	NULL	NULL	12	10	0.007575757575757576
commercially available SFF connector	LC connector	1	1	1	1	1.000000000000	NULL	NULL	12	10	0.08333333333333333
small form factor connector product	LC connector	1	1	1	1	1.000000000000	NULL	NULL	12	10	0.08333333333333333
connector	LC connector from Lucent Technologies	1	1	696	473	0.486607142857	NULL	NULL	1	1	0.0014367816091954023
small form factor	LC connector type	1	1	5	5	NULL	NULL	NULL	1	1	0.2
identifiers	LC control number	1	1	1419	716	0.440721649484	NULL	NULL	1	1	0.0007047216349541931
cost	LC cost	1	1	26743	9313	0.591028394178	-1.06457068898133	-0.997853413801633	1	1	0.00003739296264443032
topic	LC decision about series	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	1	1	0.000006506096212150785
key information	LC detail	1	1	1088	811	0.393258426966	NULL	NULL	1	1	0.0009191176470588235
transmitter part	LC display	1	1	2	2	NULL	NULL	NULL	1	1	0.5
SFP transceiver	LC Duplex	2	2	2	1	NULL	NULL	NULL	3	2	0.6666666666666666
basic	LC element	1	1	13033	6608	0.369245601349	-0.896673196609796	-0.996715893595544	2	2	0.000038364152535870484
passive component	LC element	1	1	580	147	0.522727272727	NULL	NULL	2	2	0.0008620689655172414
resource	LC engineering	1	1	43283	17971	0.586939208919	-1.01585950013488	-0.998815568696962	1	1	0.000023103758981586305
fee	LC fee	1	1	5500	2549	0.554600171969	-0.970600523947716	-0.986229964980452	1	1	0.0001818181818181818
fiber optic pigtail	LC fiber optic pigtail	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
conventional technique	LC filter	1	1	986	690	0.454761904761	NULL	NULL	28	16	0.00003622138510576645
electronic component	LC filter	1	1	2000	689	0.559366754617	NULL	NULL	28	16	0.00001785714285714286
electronic apparatus	LC filter	4	2	249	110	0.464285714285	NULL	NULL	28	16	0.002294893861158921
conventional filter	LC filter	1	1	18	17	0.777777777777	NULL	NULL	28	16	0.001984126984126984
low-pass filter	LC filter	1	1	12	12	1.000000000000	NULL	NULL	28	16	0.002976190476190476
complex filter	LC filter	2	2	11	10	0.666666666666	NULL	NULL	28	16	0.012987012987012988
passive design	LC filter	1	1	6	5	1.000000000000	NULL	NULL	28	16	0.005952380952380952
chip-type electronic component	LC filter	1	1	3	3	0.500000000000	NULL	NULL	28	16	0.011904761904761904
LTCC component	LC filter	1	1	3	3	1.000000000000	NULL	NULL	28	16	0.011904761904761904
conventional small size electronic part	LC filter	1	1	2	2	0.500000000000	NULL	NULL	28	16	0.017857142857142856
LC composite component	LC filter	1	1	1	1	1.000000000000	NULL	NULL	28	16	0.03571428571428571
passive type filter design	LC filter	1	1	1	1	1.000000000000	NULL	NULL	28	16	0.03571428571428571
effect	LC firing rate	1	1	19522	11467	0.533002481389	-0.859271853112569	-0.999298081617402	1	1	0.000051224259809445757
third generation intercalating dye	LC Green	1	1	2	2	NULL	NULL	NULL	1	1	0.5
component	LC grille	1	1	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	1	1	0.00002158568437412308
e-commerce site	LC International Inc. of Marlborough	1	1	140	69	0.305555555555	NULL	NULL	1	1	0.007142857142857143
branded diamond	LC International's Hearts	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
program	LC ISO Creator	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	2	2	0.000005393219644263232
free software	LC ISO Creator	1	1	236	160	0.474747474747	NULL	NULL	2	2	0.00211864406779661
fiber jumper	LC jumper	3	3	3	1	NULL	NULL	NULL	7	5	0.42857142857142855
private-label and exclusive brand	LC Lauren Conrad	1	1	4	4	0.500000000000	NULL	NULL	2	2	0.125
popular design house	LC Lauren Conrad	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
trendy celebrity fashion	LC Lauren Conrad at Kohl's	1	1	2	2	NULL	NULL	NULL	1	1	0.5
informal channel	LC meeting	1	1	47	41	0.321428571428	NULL	NULL	1	1	0.02127659574468085
manufacturer	LC Meter	1	1	19198	7607	0.722894807640	-1.00500871404951	-0.9986756666815	2	2	0.000026044379622877384
design	LC meter	1	1	7624	5193	0.467436489607	-0.74872996406582	-0.998115781240911	2	2	0.00006558237145855194
typical ingredient substitution	LC milk for regular milk	1	1	1	1	NULL	NULL	NULL	1	1	1
multi-mode fiber optic	lc multi-mode	1	1	1	1	NULL	NULL	NULL	1	1	1
normal library authority standard	LC name authority	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
standard	LC name authority file	1	1	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	2	2	0.00005918560606060606
local or global registry identifiers	LC Name Authority File	1	1	1	1	NULL	NULL	NULL	2	2	0.5
topic	LC Networks	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	1	1	0.000006506096212150785
charge	LC opening charge	1	1	6164	2628	0.534767025089	-0.946314098122999	-0.996169600436218	1	1	0.00016223231667748214
theme	LC orientation	1	1	24269	10944	0.525784349080	-0.988902541007303	-0.99443739678653	1	1	0.000041204829205982944
typical feedback oscillator	LC oscillator	1	1	6	6	1.000000000000	NULL	NULL	2	2	0.08333333333333333
ILO design parameter	LC oscillator	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
component	LC oscillator circuit	1	1	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	1	1	0.00002158568437412308
criterion	LC peak shape	1	1	15406	8935	0.554672447013	-0.823359173945575	-0.99893170285319	1	1	0.00006490977541217708
system	LC polymer	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
faculty member	LC professor	1	1	362	346	0.517857142857	NULL	NULL	1	1	0.0027624309392265192
example specific fatty acid	LC PUFA	1	1	1	1	NULL	NULL	NULL	1	1	1
feature	LC release	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
electronic part	LC resonance circuit	1	1	404	210	0.446280991735	NULL	NULL	1	1	0.0024752475247524753
electronic apparatus	LC resonator	4	2	249	110	0.464285714285	NULL	NULL	5	2	0.012851405622489959
ceramic electronic part	LC resonator	1	1	15	11	0.500000000000	NULL	NULL	5	2	0.013333333333333332
alternative	LC resonator-based oscillator	1	1	15859	11477	0.477961182659	-0.702001287860379	-0.996456688264408	1	1	0.00006305567816381865
passive network	LC resonators constructed with high quality factor component	1	1	3	3	0.333333333333	NULL	NULL	1	1	0.3333333333333333
fundamental step	LC separ ation	1	1	19	5	1.000000000000	NULL	NULL	1	1	0.05263157894736842
fundamental step	LC separation	5	3	19	5	1.000000000000	NULL	NULL	5	1	0.2631578947368421
payment method	LC settlement for subsequent purchases after the first	1	1	896	275	0.629411764705	NULL	NULL	1	1	0.0011160714285714285
older shotguns	LC Smith	1	1	3	3	NULL	NULL	NULL	2	2	0.16666666666666666
damascus barrel	LC Smith	1	1	2	2	NULL	NULL	NULL	2	2	0.25
common brand	LC Smith Corona	1	1	173	144	0.356521739130	NULL	NULL	1	1	0.005780346820809248
double shotgun	LC Smiths	1	1	6	6	0.500000000000	NULL	NULL	1	1	0.16666666666666666
system	LC subject heading	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	2	2	0.000012198989923634324
subject heading	LC subject heading	1	1	64	54	0.326923076923	NULL	NULL	2	2	0.0078125
descriptive standard	LC subject heading s	1	1	9	6	0.750000000000	NULL	NULL	1	1	0.1111111111111111
passive component	LC tank	1	1	580	147	0.522727272727	NULL	NULL	1	1	0.0017241379310344827
PLL voltage-controlled oscillator	LC tank oscillator	1	1	2	2	NULL	NULL	NULL	1	1	0.5
developer	LC Technologies	1	1	2179	1434	0.580971659919	-0.747369999074863	-0.990309613408759	2	2	0.0002294630564479119
professional recovery company	LC Technologies	1	1	2	2	NULL	NULL	NULL	2	2	0.25
company	LC Technology International	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
notable	LC Tiffany	1	1	2058	1767	0.639106145251	-0.441037541027017	-0.992337272497306	1	1	0.00048590864917395527
traditional LC trap	LC trap 1835	3	3	3	1	NULL	NULL	NULL	3	1	1
strategy	LC trie	1	1	16845	12081	0.600392734413	-0.709822365458688	-0.99660443711614	1	1	0.00005936479667557139
creation	LC tubular steel sofa	1	1	883	725	0.314705882352	NULL	NULL	1	1	0.0011325028312570782
rotation deformity	LC type fracture	1	1	1	1	NULL	NULL	NULL	1	1	1
retailer	LC Waikiki	1	1	13962	3878	0.712421711899	-1.18663823345769	-0.994345091446987	3	3	0.000023874325550303206
clothing brand	LC Waikiki	1	1	302	205	0.468253968253	NULL	NULL	3	3	0.0011037527593818985
big turkish enterprise	LC Waikiki	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
technique	LC with fluorescence detection	1	1	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	1	1	0.000012332280978689818
technique	LC with ultraviolet-visible detection	1	1	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	1	1	0.000012332280978689818
single decision	LC's decision on series authority record	2	1	2	1	NULL	NULL	NULL	2	1	1
cluster	lc's linux cluster	1	1	309	260	0.371951219512	NULL	NULL	1	1	0.003236245954692557
service	LC's recovery platform	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	1	1	0.000005600421151670605
