condition	nh	1	1	83548	24792	0.748804780876	-1.08809001193368	-0.99878063040379	5	4	0.0000023938334849427872
electron donor	NH	1	1	145	82	0.258620689655	NULL	NULL	5	4	0.001379310344827586
daughter fragment	NH	2	2	6	3	1.000000000000	NULL	NULL	5	4	0.13333333333333333
eastern beach	NH	1	1	1	1	0.500000000000	NULL	NULL	5	4	0.2
process gas	NH . sub .2	1	1	97	54	0.382352941176	NULL	NULL	1	1	0.010309278350515464
inert gas	NH . sub .3	1	1	3139	144	0.585714285714	NULL	NULL	6	5	0.00005309546564723373
volatile component	NH . sub .3	1	1	143	85	0.205882352941	NULL	NULL	6	5	0.0011655011655011655
supercritical fluid	NH . sub .3	1	1	71	26	0.125000000000	NULL	NULL	6	5	0.002347417840375587
typical nonmetallic precursor	NH . sub .3	2	1	6	3	NULL	NULL	NULL	6	5	0.1111111111111111
parallel compound	NH . sub .3	1	1	1	1	NULL	NULL	NULL	6	5	0.16666666666666666
inorganic salt	NH . sub .4 Cl	1	1	963	228	0.652941176470	NULL	NULL	2	2	0.0005192107995846313
simple mineral compound	NH . sub .4 Cl	1	1	7	7	NULL	NULL	NULL	2	2	0.07142857142857142
simple mineral compound	NH . sub .4 NO. sub .3	1	1	7	7	NULL	NULL	NULL	1	1	0.14285714285714285
alkalis	NH . sub .4 OH	1	1	192	58	0.490566037735	NULL	NULL	2	2	0.0026041666666666665
simple mineral compound	NH . sub .4 OH	1	1	7	7	NULL	NULL	NULL	2	2	0.07142857142857142
group	NH 2	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	22	15	0.0000006517247896558241
base	NH 2	2	2	2262	916	0.444259567387	-1.03566001409464	-0.996586391114777	22	15	0.0000803793907242183
organic compound	NH 2	1	1	1726	774	0.374269005847	NULL	NULL	22	15	0.00002633519435373433
phase	NH 2	2	2	1023	763	0.419700214132	NULL	NULL	22	15	0.0001777303830089754
column	NH 2	1	1	857	663	0.339393939393	NULL	NULL	22	15	0.000053039142887450934
functional group	NH 2	4	4	1882	475	0.569343065693	NULL	NULL	22	15	0.0003864360931310984
chemical group	NH 2	1	1	96	74	0.266666666666	NULL	NULL	22	15	0.00047348484848484844
substituent group	NH 2	2	2	102	47	0.341463414634	NULL	NULL	22	15	0.0017825311942959
reactive functional group	NH 2	1	1	41	32	0.454545454545	NULL	NULL	22	15	0.0011086474501108647
stationary phase	NH 2	1	1	24	21	0.266666666666	NULL	NULL	22	15	0.0018939393939393938
polyatomic molecule	NH 2	1	1	18	17	0.142857142857	NULL	NULL	22	15	0.002525252525252525
electron-donating group	NH 2	1	1	26	16	0.615384615384	NULL	NULL	22	15	0.0017482517482517483
amino radical X	NH 2	2	2	4	2	1.000000000000	NULL	NULL	22	15	0.045454545454545456
hydro-philicfunctional group	NH 2	1	1	1	1	1.000000000000	NULL	NULL	22	15	0.045454545454545456
nitrogen radical	NH 2	1	1	1	1	1.000000000000	NULL	NULL	22	15	0.045454545454545456
disinfectant	NH 2 Cl	1	1	795	203	0.563909774436	NULL	NULL	1	1	0.0012578616352201257
amino radical	NH 2 dimethylamino	1	1	1	1	NULL	NULL	NULL	1	1	1
reactive group	NH 2 group	1	1	167	90	0.607843137254	NULL	NULL	1	1	0.005988023952095809
reagent solution	NH 2 OH	2	2	9	7	0.500000000000	NULL	NULL	2	1	0.2222222222222222
product	NH 3	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	156	94	0.000000032159176087054116
case	NH 3	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	156	94	0.00000010159851032200225
species	NH 3	2	2	63947	26107	0.835250186706	-1.02390317210948	-0.991440546158199	156	94	0.0000004009730814741214
component	NH 3	2	1	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	156	94	0.0000005534790865159764
exception	NH 3	1	1	19088	14859	0.458983156581	-0.64768711059283	-0.998102520812245	156	94	0.00000033582650933866357
agent	NH 3	1	1	23491	9614	0.635841836734	-0.978005343948924	-0.986305100725774	156	94	0.0000002728813762826789
compound	NH 3	6	5	15793	7118	0.651834729846	-0.92318269523691	-0.989178340553131	156	94	0.000014612121241640649
substance	NH 3	1	1	24774	5986	0.542351453855	-1.14323424172037	-0.993952409644839	156	94	0.00000025874935053913015
molecule	NH 3	9	9	5209	2362	0.591439688715	-0.916873224663153	-0.996068708990026	156	94	0.0000996795487100728
contaminant	NH 3	3	3	8296	1730	0.509754028837	-1.22235410231729	-0.990898722793665	156	94	0.000006954231881907871
gas	NH 3	16	13	11081	1381	0.676789587852	-1.52531357424353	-0.995455942912843	156	94	0.0001480936414606661
pollutant	NH 3	1	1	6930	1144	0.530322580645	-1.36264803723727	-0.989331165999204	156	94	0.000000925000925000925
impurity	NH 3	2	2	4604	1090	0.413542926239	-1.17621648465027	-0.989257157672331	156	94	0.000005569293145313996
reagent	NH 3	1	1	1836	1036	0.487352445193	-0.760263993150986	-0.99551999265666	156	94	0.0000034914250600525114
nutrient	NH 3	2	2	13147	1017	0.579973992197	-1.56259914641919	-0.992797262503394	156	94	0.0000019503328242964664
base	NH 3	1	1	2262	916	0.444259567387	-1.03566001409464	-0.996586391114777	156	94	0.000002833888775533338
composition	NH 3	1	1	1319	882	0.354761904761	NULL	NULL	156	94	0.000004859936626426392
ligands	NH 3	1	1	996	589	0.467455621301	NULL	NULL	156	94	0.000006436000411904026
small molecule	NH 3	1	1	1252	491	0.356164383561	NULL	NULL	156	94	0.000005120013107233554
metabolite	NH 3	1	1	818	410	0.406976744186	NULL	NULL	156	94	0.000007836499279042066
amines	NH 3	1	1	677	295	0.740157480314	NULL	NULL	156	94	0.000009468620990039011
air pollutant	NH 3	1	1	1151	256	0.460606060606	NULL	NULL	156	94	0.000005569293145313996
precursor	NH 3	3	2	273	226	0.426829268292	NULL	NULL	156	94	0.0002113271344040575
chemical treatment	NH 3	1	1	487	221	0.411764705882	NULL	NULL	156	94	0.000013162744168904333
chemical additive	NH 3	1	1	403	208	0.349397590361	NULL	NULL	156	94	0.000015906343449767768
greenhouse gas	NH 3	3	3	2285	181	0.518987341772	NULL	NULL	156	94	0.00002524827470122875
volatile substance	NH 3	1	1	311	118	0.210000000000	NULL	NULL	156	94	0.00002061175694616209
polar compound	NH 3	2	2	204	116	0.267441860465	NULL	NULL	156	94	0.00012569130216189038
reactive gas	NH 3	6	6	342	106	0.285714285714	NULL	NULL	156	94	0.0006747638326585695
contaminates	NH 3	3	2	179	99	0.133333333333	NULL	NULL	156	94	0.00032230339492909325
volatile component	NH 3	2	2	143	85	0.205882352941	NULL	NULL	156	94	0.00017930787161556393
