instrument	NQ	1	1	18949	7463	0.618067666550	-1.00559905240589	-0.999187197155796	6	5	0.000008795538902668566
contaminant	NQ	2	1	8296	1730	0.509754028837	-1.22235410231729	-0.990898722793665	6	5	0.00008036001285760206
qualification	NQ	1	1	2043	1302	0.508250825082	-0.795338096528341	-0.997239335220688	6	5	0.00008157937673356176
blogs	NQ	1	1	1149	868	0.640909090909	NULL	NULL	6	5	0.0001450536698578474
coolant	NQ	1	1	431	129	0.436170212765	NULL	NULL	6	5	0.0003866976024748646
quality name brand air purifier	NQ Clarifier	1	1	1	1	NULL	NULL	NULL	1	1	1
course	NQ Creative Printmaking with Photography	1	1	20867	10915	0.644084200338	-0.913241718794283	-0.996914466568383	1	1	0.0000479225571476494
partnership organisation	NQ Dry Tropics	1	1	1	1	NULL	NULL	NULL	2	2	0.5
partnership organisations	NQ Dry Tropics	1	1	1	1	NULL	NULL	NULL	2	2	0.5
top air purifier brand	NQ Environmental	1	1	2	2	NULL	NULL	NULL	1	1	0.5
course	NQ Photography	1	1	20867	10915	0.644084200338	-0.913241718794283	-0.996914466568383	1	1	0.0000479225571476494
intelligent cloud service	NQ Space	1	1	1	1	NULL	NULL	NULL	1	1	1
fan site	NQ Starlight	1	1	42	40	0.500000000000	NULL	NULL	1	1	0.023809523809523808
cultural development	NQ Street Festival	1	1	35	31	0.416666666666	NULL	NULL	1	1	0.02857142857142857
activity	nq water activity	1	1	171520	57939	0.787842465753	-1.04200579026023	-0.999672175553448	2	2	0.0000029151119402985075
water activity	nq water activity	1	1	1393	292	0.702857142857	NULL	NULL	2	2	0.0003589375448671931
accreditation organization	NQA	1	1	54	42	0.904761904761	NULL	NULL	1	1	0.018518518518518517
application	NQB Dealer	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	1	1	0.000011248087825069738
option	NQC	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	6	6	0.0000028541256386106116
language	NQC	1	1	21730	3186	0.722558340535	-1.38049204449127	-0.998004626689092	6	6	0.000007669888019634913
programming language	NQC	1	1	1448	350	0.689265536723	NULL	NULL	6	6	0.0001151012891344383
alternate compiler	NQC	1	1	1	1	1.000000000000	NULL	NULL	6	6	0.16666666666666666
task-based language	NQC	1	1	1	1	1.000000000000	NULL	NULL	6	6	0.16666666666666666
unofficial programming environment	NQC	1	1	1	1	1.000000000000	NULL	NULL	6	6	0.16666666666666666
key finding mechanism	NQC Quality Council	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
organization	NQF	3	3	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	7	5	0.00001419878616154748
