technology	OO	1	1	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	11	10	0.0000014707353088250003
idea	OO	1	1	14868	11553	0.456193353474	-0.636788448649286	-0.998462789069385	11	10	0.000006114412894073911
development	OO	1	1	11596	9281	0.547940340909	-0.573276448940065	-0.999728734308029	11	10	0.000007839693938348647
domain	OO	1	1	4182	2417	0.395140664961	-0.827049060138135	-0.993144994255479	11	10	0.000021738185296291468
modern technology	OO	1	1	1373	796	0.392628205128	-0.764947516947994	-0.99805619923351	11	10	0.00006621201085876978
paradigm	OO	2	2	350	272	0.491071428571	NULL	NULL	11	10	0.001038961038961039
complex technology	OO	1	1	119	108	0.200000000000	NULL	NULL	11	10	0.0007639419404125286
software development paradigm	OO	1	1	7	6	1.000000000000	NULL	NULL	11	10	0.012987012987012986
endurantist paradigm	OO	1	1	1	1	0.666666666666	NULL	NULL	11	10	0.09090909090909091
robust paradigm	OO	1	1	1	1	1.000000000000	NULL	NULL	11	10	0.09090909090909091
idea	OO approach	1	1	14868	11553	0.456193353474	-0.636788448649286	-0.998462789069385	1	1	0.00006725854183481302
book	OO book	1	1	14888	10465	0.636247877758	-0.715835222877908	-0.997239441392897	1	1	0.00006716818914562064
symptom	oo cause symptom	1	1	65975	10930	0.761456211812	-1.24142130168269	-0.998797629260764	1	1	0.00001515725653656688
fundamental	OO concept	1	1	1975	1263	0.357995226730	-0.766386600868966	-0.997245369066145	2	2	0.00025316455696202533
difficult topic	OO concept	1	1	236	177	0.227941176470	NULL	NULL	2	2	0.00211864406779661
implementation technique	OO database technology	1	1	27	22	0.545454545454	NULL	NULL	1	1	0.037037037037037035
third party defraggers	OO defrag	1	1	8	4	1.000000000000	NULL	NULL	1	1	0.125
topic	OO design	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	2	2	0.0000032530481060753925
domain	OO design	1	1	4182	2417	0.395140664961	-0.827049060138135	-0.993144994255479	2	2	0.00011956001912960307
approach	oo design approach	1	1	14934	11609	0.612300123001	-0.593468072124126	-0.997913197725203	2	2	0.00003348064818534887
design approach	oo design approach	1	1	53	52	0.520000000000	NULL	NULL	2	2	0.009433962264150943
tough topic	OO design issue	1	1	73	64	0.190476190476	NULL	NULL	1	1	0.0136986301369863
technical pattern	OO design pattern	1	1	5	5	0.500000000000	NULL	NULL	2	2	0.1
