big tournament	QW	1	1	37	33	0.615384615384	NULL	NULL	3	3	0.009009009009009009
amino acid sequence	QW	1	1	3	3	NULL	NULL	NULL	3	3	0.1111111111111111
low dimensional medium	QW	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
product	Qw 5004 Raincoats	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
parameter	QW doping density	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	1	1	0.00001861538747929038
code construct	qw list	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
factor	QW number	1	1	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	1	1	0.0000025796665523014496
parameter	QW thickness	1	1	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	1	1	0.00001861538747929038
Blog aggregators	Qwaider Planet	1	1	6	5	0.600000000000	NULL	NULL	1	1	0.16666666666666666
collaborative world	Qwak	1	1	5	3	NULL	NULL	NULL	1	1	0.2
virtual world	Qwaq Forums	1	1	592	146	0.740000000000	NULL	NULL	1	1	0.0016891891891891893
start-ups	Qwaq Inc.	1	1	285	229	0.508064516129	NULL	NULL	1	1	0.0035087719298245615
station	Qwaqwa Radio	2	2	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	2	1	0.0006693440428380187
area	Qwara	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
framework	QWave	1	1	1955	1231	0.599637681159	-0.886914234298938	-0.996133948574766	1	1	0.0005115089514066496
course	QWC's the Novel	1	1	20867	10915	0.644084200338	-0.913241718794283	-0.996914466568383	1	1	0.0000479225571476494
share	Qweb	1	1	234	193	0.380952380952	NULL	NULL	1	1	0.004273504273504274
rapper	Qweezy Reed	1	1	1843	580	0.839080459770	NULL	NULL	1	1	0.0005425935973955507
keyboard layout	QWERTY	1	1	30	21	0.500000000000	NULL	NULL	5	5	0.006666666666666666
character sequence	qwerty	1	1	5	5	0.333333333333	NULL	NULL	5	5	0.04
non-foreign language character layout	QWERTY	1	1	2	2	1.000000000000	NULL	NULL	5	5	0.1
simple sequence	QWERTY	1	1	2	2	0.500000000000	NULL	NULL	5	5	0.1
standard keyboard layout	QWERTY	1	1	1	1	1.000000000000	NULL	NULL	5	5	0.2
feature	QWERTY based launching	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
stand-alone independent	Qwerty Films	1	1	1	1	NULL	NULL	NULL	1	1	1
high end phone feature	QWERTY key pad system	1	1	4	4	NULL	NULL	NULL	1	1	0.25
feature	QWERTY keyboard	34	31	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	73	31	0.00008366194408501731
application	QWERTY keyboard	3	3	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	73	31	0.0000013867505537757211
element	QWERTY keyboard	2	2	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	73	31	0.0000009287364285487077
exception	QWERTY keyboard	1	1	19088	14859	0.458983156581	-0.64768711059283	-0.998102520812245	73	31	0.0000007176566500935824
advanced feature	QWERTY keyboard	2	2	7961	5271	0.576385002797	-0.712794788287214	-0.992980186163504	73	31	0.000006882869055136944
great feature	QWERTY keyboard	1	1	2649	1877	0.525032092426	-0.760837948626818	-0.997544537107502	73	31	0.000005171245804826841
specification	QWERTY keyboard	1	1	2736	1773	0.468468468468	-0.740464811573849	-0.998770175660373	73	31	0.000005006809260594408
interesting feature	QWERTY keyboard	1	1	1002	876	0.426356589147	-0.470620869499408	-0.980530006347676	73	31	0.000013671287561862575
basic necessity	QWERTY keyboard	1	1	2162	694	0.262969588550	NULL	NULL	73	31	0.000006336091645229557
cool feature	QWERTY keyboard	1	1	800	669	0.436170212765	NULL	NULL	73	31	0.000017123287671232875
input device	QWERTY keyboard	2	2	2392	633	0.598639455782	NULL	NULL	73	31	0.000022907408255829936
exciting feature	QWERTY keyboard	1	1	458	314	0.462121212121	NULL	NULL	73	31	0.000029909672788179695
awesome feature	QWERTY keyboard	1	1	182	168	0.457142857142	NULL	NULL	73	31	0.0000752671985548698
conventional technology	QWERTY keyboard	1	1	199	148	0.422413793103	NULL	NULL	73	31	0.00006883733737179046
high-tech feature	QWERTY keyboard	1	1	211	136	0.472727272727	NULL	NULL	73	31	0.00006492241771083555
keyboard	QWERTY keyboard	4	4	166	124	0.528301886792	NULL	NULL	73	31	0.0013203498927215713
best feature	QWERTY keyboard	1	1	117	106	0.583333333333	NULL	NULL	73	31	0.00011708230886313079
fabulous feature	QWERTY keyboard	1	1	97	85	0.457142857142	NULL	NULL	73	31	0.00014122299110295156
well-known case	QWERTY keyboard	1	1	52	51	0.370370370370	NULL	NULL	73	31	0.0002634351949420443
extraordinary feature	QWERTY keyboard	1	1	58	47	0.454545454545	NULL	NULL	73	31	0.00023618327822390173
edge feature	QWERTY keyboard	1	1	41	36	0.434782608695	NULL	NULL	73	31	0.0003341129301703976
traditional prop	QWERTY keyboard	1	1	26	22	0.235294117647	NULL	NULL	73	31	0.0005268703898840886
conventional control	QWERTY keyboard	1	1	23	20	0.133333333333	NULL	NULL	73	31	0.0005955926146515783
pretty good feature	QWERTY keyboard	1	1	12	12	0.300000000000	NULL	NULL	73	31	0.001141552511415525
full laxest feature	QWERTY keyboard	1	1	5	5	1.000000000000	NULL	NULL	73	31	0.0027397260273972603
exciting display feature	QWERTY keyboard	1	1	4	4	1.000000000000	NULL	NULL	73	31	0.003424657534246575
standardized keyboard	QWERTY keyboard	1	1	2	2	1.000000000000	NULL	NULL	73	31	0.00684931506849315
carefully thought-out feature	qwerty keyboard	1	1	1	1	1.000000000000	NULL	NULL	73	31	0.0136986301369863
email-friendly feature	QWERTY keyboard	1	1	1	1	1.000000000000	NULL	NULL	73	31	0.0136986301369863
full character set keyboard	QWERTY keyboard	2	2	2	1	1.000000000000	NULL	NULL	73	31	0.0273972602739726
strong messaging feature	QWERTY keyboard	1	1	1	1	1.000000000000	NULL	NULL	73	31	0.0136986301369863
calculator	qwerty keyboard calculator	1	1	196	115	0.416666666666	NULL	NULL	1	1	0.00510204081632653
feature	QWERTY keyboard comfort	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
fantastic feature	QWERTY keyboard for easy typing	1	1	119	114	0.577777777777	NULL	NULL	2	2	0.004201680672268907
super fabulous feature	QWERTY keyboard for easy typing	1	1	1	1	NULL	NULL	NULL	2	2	0.5
essential	QWERTY keyboard for email purpose	1	1	5017	2504	0.317047817047	-0.923204520533535	-0.993188171058074	1	1	0.00019932230416583617
line	QWERTY keyboard for text	1	1	3987	3065	0.484674329501	-0.64396598027431	-0.998306617300076	1	1	0.00025081514923501377
cool feature	QWERTY keyboard for texting	1	1	800	669	0.436170212765	NULL	NULL	1	1	0.00125
keyboard	Qwerty keyboard for use in a computer system	1	1	166	124	0.528301886792	NULL	NULL	1	1	0.006024096385542169
technology	QWERTY keyboard layout	1	1	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	1	1	0.000016178088397075003
phone	qwerty keyboard phone	1	1	1695	909	0.701694915254	NULL	NULL	1	1	0.0005899705014749262
facility	qwerty keyboard sliding model equipped trackball	1	1	42600	17896	0.658525485436	-1.00701955310555	-0.998916668671258	1	1	0.00002347417840375587
computer skill	QWERTY keyboarding	1	1	438	207	0.360000000000	NULL	NULL	1	1	0.00228310502283105
feature	Qwerty keymat	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
feature	QWERTY keypad	8	8	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	16	8	0.000021132601793101263
advanced feature	QWERTY keypad	1	1	7961	5271	0.576385002797	-0.712794788287214	-0.992980186163504	16	8	0.000007850772516015576
spec	QWERTY keypad	1	1	651	506	0.415335463258	NULL	NULL	16	8	0.00009600614439324117
excellent feature	QWERTY keypad	1	1	801	476	0.564102564102	NULL	NULL	16	8	0.00007802746566791511
helpful feature	QWERTY keypad	1	1	285	221	0.451612903225	NULL	NULL	16	8	0.0002192982456140351
best feature	QWERTY keypad	1	1	117	106	0.583333333333	NULL	NULL	16	8	0.0005341880341880342
blackberry feature	QWERTY keypad	2	2	35	24	0.588235294117	NULL	NULL	16	8	0.007142857142857143
keypad	QWERTY keypad	1	1	5	5	1.000000000000	NULL	NULL	16	8	0.0125
phone feature	QWERTY Keys	2	1	195	122	0.402597402597	NULL	NULL	2	1	0.010256410256410256
move	Qwerty Kick	1	1	1742	1253	0.566343042071	-0.676533287626188	-0.987346129558661	1	1	0.000574052812858783
phone	qwerty mobile phone	1	1	1695	909	0.701694915254	NULL	NULL	2	2	0.0002949852507374631
mobile phone	qwerty mobile phone	1	1	508	255	0.563492063492	NULL	NULL	2	2	0.000984251968503937
text mode	QWERTY mode	1	1	5	5	NULL	NULL	NULL	1	1	0.2
trigger	QWERTY open	1	1	2191	846	0.349137931034	-1.02232617871685	-0.994860736836658	1	1	0.00045641259698767686
device	QWERTY phone	1	1	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	1	1	0.00001760470397690263
book	Qwerty Stevens	1	1	14888	10465	0.636247877758	-0.715835222877908	-0.997239441392897	1	1	0.00006716818914562064
game	QWERTY Warriors	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	1	1	0.000021468441391155002
fast typing game	Qwerty Warriors 2 & The Essay	1	1	8	7	NULL	NULL	NULL	1	1	0.125
rival phone	Qwerty-boasting Samsung Galaxy Pro	1	1	8	5	0.500000000000	NULL	NULL	1	1	0.125
password	qwerty1234	1	1	338	160	0.431372549019	NULL	NULL	1	1	0.0029585798816568047
device	qwerty2 keyboard	1	1	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	1	1	0.00001760470397690263
common keyboard sequence	QWERTYT	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
keyboard pattern	qwertyui	3	2	5	3	1.000000000000	NULL	NULL	3	1	0.6
variant	QWERTZ	1	1	1053	903	0.441901408450	-0.431093353661368	-0.995535378466706	4	3	0.00023741690408357076
character layout	QWERTZ	1	1	2	2	1.000000000000	NULL	NULL	4	3	0.125
standard english-language keyboard arrangement	QWERTZ	2	2	4	2	1.000000000000	NULL	NULL	4	3	0.25
area	Qwest	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	240	125	0.000000023283190653941006
service	Qwest	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	240	125	0.000000023335088131960856
