system	rn	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	7	7	0.0000034854256924669495
title	RN	2	2	15414	9921	0.665151515151	-0.748697031653329	-0.997140005395198	7	7	0.00003707204952825817
staff	RN	1	1	1867	1169	0.553380782918	-0.849940144689106	-0.989450968212126	7	7	0.00007651694850409365
credential	RN	1	1	641	410	0.507936507936	NULL	NULL	7	7	0.00022286605749944285
professional title	RN	1	1	78	47	0.258064516129	NULL	NULL	7	7	0.0018315018315018315
clinical credential	RN	1	1	2	2	1.000000000000	NULL	NULL	7	7	0.07142857142857142
amine monoxide	RN 2 O	2	2	2	1	NULL	NULL	NULL	2	1	1
close-by RNs	RN 704	3	3	3	1	NULL	NULL	NULL	3	1	1
case	RN acceptance	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
need	RN assessment	3	3	7600	4353	0.405634890003	-0.858569249249093	-0.995708711080079	3	1	0.0003947368421052631
task	rn basic configuration task	1	1	29628	19527	0.651123500591	-0.770621031445517	-0.999265603683338	3	3	0.000011250618784033121
configuration task	rn basic configuration task	1	1	46	40	0.416666666666	NULL	NULL	3	3	0.007246376811594203
basic configuration task	rn basic configuration task	1	1	8	8	0.500000000000	NULL	NULL	3	3	0.041666666666666664
error	Rn Brown	1	1	3191	2476	0.577996715927	-0.619313045269578	-0.999058567723642	1	1	0.00031338138514572234
marine fuel supplier	RN Bunker	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
medical training	RN certification	1	1	5	5	NULL	NULL	NULL	1	1	0.2
professional	RN Certified Case Manager	1	1	17526	3786	0.725694444444	-1.20829556464179	-0.998946643719992	1	1	0.00005705808513066301
on-campus medical organization	RN club	1	1	2	2	NULL	NULL	NULL	1	1	0.5
employment opportunity	RN Critical Care	1	1	146	137	0.313253012048	NULL	NULL	1	1	0.00684931506849315
program	RN degree	3	3	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	4	2	0.000024269488399184543
distinct program	RN degree	1	1	9	7	1.000000000000	NULL	NULL	4	2	0.027777777777777776
nurse staffing factor	RN education	1	1	4	4	0.500000000000	NULL	NULL	1	1	0.25
