case	RP	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	34	19	0.0000004661578708891868
condition	RP	8	6	83548	24792	0.748804780876	-1.08809001193368	-0.99878063040379	34	19	0.00002253019750534388
field	RP	2	2	32029	10315	0.586045762165	-1.06920113303713	-0.997608223308599	34	19	0.000003673141803475894
disease	RP	5	5	57289	9067	0.815405777166	-1.3062398534626	-0.996635538198392	34	19	0.000012834822001554552
concern	RP	1	1	8129	5696	0.425893172974	-0.73797161303217	-0.998043958610629	34	19	0.000003618128269883424
disorder	RP	2	1	13217	4221	0.660824253908	-1.1222248931531	-0.995424374982298	34	19	0.000008901192314710555
disease state	RP	1	1	1231	530	0.375609756097	NULL	NULL	34	19	0.000023892578964973478
potential risk factor	RP	1	1	314	203	0.418604651162	NULL	NULL	34	19	0.00009366804046459348
eye disease	RP	2	2	1021	197	0.644859813084	NULL	NULL	34	19	0.00011522728582128248
eye condition	RP	1	1	606	166	0.698275862068	NULL	NULL	34	19	0.000048534265191225004
clustering method	RP	2	2	151	86	0.884615384615	NULL	NULL	34	19	0.0007791195948578107
Conventional imaging modalities	RP	1	1	105	36	0.375000000000	NULL	NULL	34	19	0.0002801120448179272
helpful technique	RP	1	1	22	19	0.272727272727	NULL	NULL	34	19	0.0013368983957219253
radiation parameter	RP	1	1	17	16	0.333333333333	NULL	NULL	34	19	0.0017301038062283738
retinal degenerative disease	RP	1	1	58	16	0.666666666666	NULL	NULL	34	19	0.0005070993914807302
salvage procedure	RP	1	1	7	7	1.000000000000	NULL	NULL	34	19	0.004201680672268907
conclusion conventional imaging modalities	RP	1	1	2	2	0.500000000000	NULL	NULL	34	19	0.014705882352941176
SDRAM field	RP	1	1	1	1	1.000000000000	NULL	NULL	34	19	0.029411764705882353
solid free-form fabrication method	RP	1	1	1	1	1.000000000000	NULL	NULL	34	19	0.029411764705882353
family	Rp 50000	1	1	1972	1480	0.587797619047	-0.599887273547813	-0.994809011752063	1	1	0.0005070993914807302
leader	rp aa leader	1	1	9185	6588	0.693376068376	-0.757096507540666	-0.997194959172204	1	1	0.00010887316276537834
stuff	RP Adventure book	1	1	1724	1489	0.286504424778	-0.550950152934128	-0.99737879611099	1	1	0.000580046403712297
english dealer	RP Armour	1	1	5	5	NULL	NULL	NULL	1	1	0.2
public facility	RP backflow preventers	1	1	1980	710	0.408730158730	NULL	NULL	1	1	0.000505050505050505
complication	RP bleeding	1	1	21046	7185	0.695282014898	-1.01275898075464	-0.997705173291179	1	1	0.000047514967214672624
event	RP Capsule Event	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	1	1	0.000008067053347423786
Organisations	RP Clinic	2	1	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	2	1	0.00021980437410704473
dealer	RP Communications	1	1	652	564	0.366120218579	NULL	NULL	1	1	0.0015337423312883436
big company	RP company in America	1	1	2421	1110	0.345047923322	-0.97015666448251	-0.994225384518589	1	1	0.0004130524576621231
service	RP Data	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	8	7	0.0000007000526439588257
company	RP Data	2	2	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	8	7	0.000002782724844167409
service provider	RP Data	1	1	4921	2575	0.553161917998	-0.919593981531786	-0.994069460601779	8	7	0.000025401341190814875
online resource	RP Data	1	1	1519	1054	0.545263157894	-0.753315886569569	-0.993911164660005	8	7	0.00008229098090849243
information provider	RP Data	1	1	138	117	0.294117647058	NULL	NULL	8	7	0.0009057971014492754
independent analyst	RP Data	1	1	36	28	0.571428571428	NULL	NULL	8	7	0.003472222222222222
property commentator	RP Data	1	1	1	1	1.000000000000	NULL	NULL	8	7	0.125
website	RP Data Information Services	1	1	18303	6967	0.706939799331	-1.0071618984676	-0.999527434239995	1	1	0.00005463585204611266
small margin requirement	RP datum	1	1	1	1	NULL	NULL	NULL	1	1	1
individual	RP Dutt	1	1	10778	6975	0.653951890034	-0.779188737406808	-0.999228064386307	1	1	0.00009278159213212098
germanic language	RP English	3	3	116	34	0.875000000000	NULL	NULL	4	2	0.01939655172413793
Germanic language s	RP English	1	1	3	3	NULL	NULL	NULL	4	2	0.08333333333333333
non-rhotic dialect	RP English in the UK	1	1	2	2	NULL	NULL	NULL	1	1	0.5
social gathering	RP event	1	1	449	214	0.372262773722	NULL	NULL	1	1	0.0022271714922048997
regional brand	RP Explorer Fund Ltd.	1	1	48	45	0.666666666666	NULL	NULL	1	1	0.020833333333333332
case	RP failover	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
flag	RP flag	1	1	164	144	0.289473684210	NULL	NULL	1	1	0.006097560975609756
progressive fracture	RP fracture	1	1	1	1	NULL	NULL	NULL	1	1	1
cluster	RP gene cluster	1	1	309	260	0.371951219512	NULL	NULL	1	1	0.003236245954692557
industrial honcho	RP Goenka	1	1	10	10	1.000000000000	NULL	NULL	1	1	0.1
method	RP hand lay-up with TS plastic	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	1	1	0.000015667841754798278
regional brand	RP Japan Opportunities Fund	1	1	48	45	0.666666666666	NULL	NULL	1	1	0.020833333333333332
