service	RR	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	16	15	0.00000035002632197941283
company	RR	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	16	15	0.0000003478406055209261
program	RR	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	16	15	0.000000674152455532904
technique	RR	1	1	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	16	15	0.0000007707675611681137
parameter	RR	2	2	53719	26851	0.740044901335	-0.851516427369107	-0.999463242764281	16	15	0.000004653846869822595
website	RR	1	1	18303	6967	0.706939799331	-1.0071618984676	-0.999527434239995	16	15	0.0000034147407528820414
physiological parameter	RR	1	1	641	329	0.568421052631	NULL	NULL	16	15	0.00009750390015600624
letter	RR	1	1	308	242	0.543478260869	NULL	NULL	16	15	0.00020292207792207794
raw and calculated parameter	RR	1	1	9	9	0.800000000000	NULL	NULL	16	15	0.006944444444444444
double letter	RR	3	3	7	4	1.000000000000	NULL	NULL	16	15	0.08035714285714285
unofficial site	RR	1	1	4	4	1.000000000000	NULL	NULL	16	15	0.015625
capital letter	RR	1	1	3	3	1.000000000000	NULL	NULL	16	15	0.020833333333333332
heat parameter	RR	1	1	3	3	0.250000000000	NULL	NULL	16	15	0.020833333333333332
option	RR % age	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	1	1	0.00001712475383166367
bulk uxesontheIIBside	RR 3-form uxes	1	1	1	1	NULL	NULL	NULL	1	1	1
incremental search method	RR algorithm	1	1	1	1	NULL	NULL	NULL	1	1	1
human	RR Army	1	1	139	126	0.303030303030	NULL	NULL	1	1	0.007194244604316547
reputable auction firm	RR Auctions	1	1	6	6	1.000000000000	NULL	NULL	1	1	0.16666666666666666
roundup ready crop	RR corn	2	2	12	5	NULL	NULL	NULL	2	1	0.16666666666666666
turboprop	RR Dart	1	1	12	11	0.666666666666	NULL	NULL	1	1	0.08333333333333333
Turbo-props	RR Dart on Viscounts	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
senior executive	RR Dash	2	2	97	71	0.555555555555	NULL	NULL	2	1	0.020618556701030927
physic issue	RR discrimination	1	1	4	4	NULL	NULL	NULL	1	1	0.25
company	RR Donnelley	5	4	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	15	11	0.00000927574948055803
firm	RR Donnelley	1	1	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	15	11	0.000004024549753496327
corporation	RR Donnelley	1	1	9355	3329	0.608695652173	-1.05823658758956	-0.995284850551755	15	11	0.000007126313914127917
