SK	Real Madrit	1	1	2	2	NULL	NULL	NULL	1	1	0.5
SK	SliMP3 Squeezebox	1	1	2	2	NULL	NULL	NULL	1	1	0.5
SK also usesinter-process communication mechanism	shared memory	1	1	2	2	NULL	NULL	NULL	70	52	0.007142857142857143
SK also usesinter-process communication mechanism	messaging	1	1	2	2	NULL	NULL	NULL	685	320	0.00072992700729927
SK channel blocker	apamin	1	1	2	2	1.000000000000	NULL	NULL	10	6	0.05
SK channel blocker	dequalinium	1	1	2	2	1.000000000000	NULL	NULL	5	4	0.1
SK channel inhibitor	apamin	5	2	5	1	1.000000000000	NULL	NULL	10	6	0.5
sk ill	intuition	1	1	1	1	NULL	NULL	NULL	262	156	0.003816793893129771
SK n dehydrins	DHN-COG from Pisum	1	1	1	1	NULL	NULL	NULL	1	1	1
SK peptides	SK3	1	1	2	2	NULL	NULL	NULL	2	2	0.25
SK peptides	SK1	1	1	2	2	NULL	NULL	NULL	3	2	0.16666666666666666
SK proprietor	Jane Coleman	1	1	1	1	NULL	NULL	NULL	1	1	1
sk s	comparison	1	1	2	2	NULL	NULL	NULL	81	51	0.006172839506172839
sk s	price monitoring	1	1	2	2	NULL	NULL	NULL	7	5	0.07142857142857142
SK telecom's smaller domestic rival	KT Freetel	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
SK telecom's smaller domestic rival	LG Telecom	1	1	2	2	1.000000000000	NULL	NULL	13	9	0.038461538461538464
SK toxin	apamin	1	1	1	1	1.000000000000	NULL	NULL	10	6	0.1
SK unit	Cretans	1	1	1	1	NULL	NULL	NULL	4	4	0.25
sk8 idol	Gonz	1	1	2	2	NULL	NULL	NULL	3	3	0.16666666666666666
sk8 idol	Natas	1	1	2	2	NULL	NULL	NULL	3	3	0.16666666666666666
ska act	potshot	1	1	1	1	NULL	NULL	NULL	1	1	1
ska anthem	House of Fun	1	1	2	2	NULL	NULL	NULL	1	1	0.5
ska anthem	Lip Up Fatty	1	1	2	2	NULL	NULL	NULL	1	1	0.5
ska artist	Specials	1	1	2	2	0.666666666666	NULL	NULL	78	27	0.00641025641025641
ska artist	Skatalites	1	1	2	2	0.666666666666	NULL	NULL	31	16	0.016129032258064516
ska band	Reel Big Fish	2	2	14	12	0.714285714285	NULL	NULL	37	13	0.007722007722007721
ska band	Slackers	2	2	14	12	0.714285714285	NULL	NULL	8	4	0.03571428571428571
ska band	Sublime	1	1	14	12	0.714285714285	NULL	NULL	129	42	0.0005537098560354374
ska band	eighty second generation ska band	1	1	14	12	0.714285714285	NULL	NULL	2	2	0.03571428571428571
ska band	Blue Meanies	1	1	14	12	0.714285714285	NULL	NULL	2	2	0.03571428571428571
ska band	Less Than Jake	1	1	14	12	0.714285714285	NULL	NULL	40	14	0.0017857142857142857
ska band	rancid	1	1	14	12	0.714285714285	NULL	NULL	74	32	0.0009652509652509652
ska band	original early ska band	1	1	14	12	0.714285714285	NULL	NULL	2	2	0.03571428571428571
ska band	Specials	1	1	14	12	0.714285714285	NULL	NULL	78	27	0.0009157509157509158
ska band	wave ska band	1	1	14	12	0.714285714285	NULL	NULL	2	2	0.03571428571428571
ska band	hard-core ska band	1	1	14	12	0.714285714285	NULL	NULL	2	2	0.03571428571428571
ska band	Skatalites	1	1	14	12	0.714285714285	NULL	NULL	31	16	0.002304147465437788
ska great	Desmond Dekker & the Aces	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
ska great	Maytals	1	1	3	3	1.000000000000	NULL	NULL	6	5	0.05555555555555555
ska great	Justin Hinds & The Dominos	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
ska group	El Guato	1	1	4	4	0.500000000000	NULL	NULL	1	1	0.25
ska group	Specials	1	1	4	4	0.500000000000	NULL	NULL	78	27	0.003205128205128205
ska group	Jump with Joey	1	1	4	4	0.500000000000	NULL	NULL	6	2	0.041666666666666664
ska group	Skatalites	1	1	4	4	0.500000000000	NULL	NULL	31	16	0.008064516129032258
ska metal band	Flaming Tsunamis	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
ska musician	Skatalites	1	1	2	2	1.000000000000	NULL	NULL	31	16	0.016129032258064516
ska musician	Alton Ellis	1	1	2	2	1.000000000000	NULL	NULL	20	9	0.025
ska pioneer	Tommy McCook	1	1	2	2	1.000000000000	NULL	NULL	12	10	0.041666666666666664
ska pioneer	Roland Alphonso	1	1	2	2	1.000000000000	NULL	NULL	5	5	0.1
ska punk group	Reel Big Fish	2	2	2	1	1.000000000000	NULL	NULL	37	13	0.05405405405405406
ska revival band	Madness	3	3	6	2	1.000000000000	NULL	NULL	136	51	0.011029411764705883
ska revival band	Specials	3	3	6	2	1.000000000000	NULL	NULL	78	27	0.019230769230769232
ska style	versatile Soom T's jazzy Bad Bad Boy	1	1	1	1	NULL	NULL	NULL	1	1	1
ska-influenced band	Sublime	1	1	3	3	0.500000000000	NULL	NULL	129	42	0.0025839793281653744
ska-influenced band	california ska-influenced band	1	1	3	3	0.500000000000	NULL	NULL	2	2	0.16666666666666666
ska-influenced band	No Doubt	1	1	3	3	0.500000000000	NULL	NULL	108	37	0.0030864197530864196
ska-influenced group	No Doubt	1	1	1	1	1.000000000000	NULL	NULL	108	37	0.009259259259259259
ska-inspired tune	first single	1	1	1	1	1.000000000000	NULL	NULL	20	7	0.05
ska-punk band	Less than Jake	1	1	3	3	0.666666666666	NULL	NULL	40	14	0.008333333333333333
ska-punk band	Sublime	1	1	3	3	0.666666666666	NULL	NULL	129	42	0.0025839793281653744
ska-punk band	Operation Ivy	1	1	3	3	0.666666666666	NULL	NULL	15	8	0.02222222222222222
ska-remo band	Flaming Tsunamis	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
skagen watch model	T27901 Timex	1	1	1	1	NULL	NULL	NULL	1	1	1
skagit line	Airflo Compact Skagit	1	1	2	2	NULL	NULL	NULL	1	1	0.5
skagit line	Rio's Skagit Short	1	1	2	2	NULL	NULL	NULL	1	1	0.5
