person	Tj	1	1	17971	11957	0.688179669030	-0.793992023798539	-0.99898696502396	2	2	0.00002782260308274442
jeep	tj	1	1	17	16	0.600000000000	NULL	NULL	2	2	0.029411764705882353
notable company	TJ & Co.	1	1	241	207	0.291338582677	NULL	NULL	1	1	0.004149377593360996
organization	TJ Arts	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
inexperienced defenseman	TJ Brodie	1	1	2	2	NULL	NULL	NULL	1	1	0.5
local venue	TJ Carney's	1	1	452	395	0.503184713375	NULL	NULL	1	1	0.0022123893805309734
player	TJ Cloutier	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	6	5	0.0000033327334413138972
pro	TJ Cloutier	1	1	622	529	0.639730639730	NULL	NULL	6	5	0.0002679528403001072
big name player	TJ Cloutier	1	1	188	168	0.648148148148	NULL	NULL	6	5	0.0008865248226950354
professional player	TJ Cloutier	2	2	141	121	0.716666666666	NULL	NULL	6	5	0.004728132387706856
elite poker name	TJ Cloutier	1	1	3	3	NULL	NULL	NULL	6	5	0.05555555555555555
star	TJ Combo	1	1	22868	10461	0.893266940896	-0.928327925460135	-0.990940352193057	1	1	0.000043729228616407205
young star	TJ Constant	1	1	505	385	0.776699029126	NULL	NULL	1	1	0.0019801980198019802
porn notable	TJ Cummings	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
name	TJ Dawe	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	1	1	0.00001530901241560907
rider	TJ Ellis	1	1	2149	1544	0.728000000000	-0.64511108840376	-0.976829630729689	1	1	0.00046533271288971617
athlete	TJ Fehling	1	1	4307	2242	0.827631578947	-0.947746735113805	-0.997926130774525	1	1	0.00023218017181332715
menu favs	TJ Fondue	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
player	TJ Ford	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	2	2	0.000009998200323941691
layer	TJ Ford	1	1	2927	1715	0.446700507614	-0.847891300772966	-0.996343064692599	2	2	0.00017082336863682952
trade	TJ Ford deal	1	1	2725	1103	0.441780821917	-1.00530766788447	-0.997215713422427	1	1	0.0003669724770642202
site	TJ Formal	4	4	48590	20434	0.694470774091	-0.921261035637432	-0.999541053948841	4	1	0.00008232146532208273
