factor	UV	4	4	387647	135967	0.848391051179	-0.952735253140945	-0.999885315791984	347	203	0.00000011894716091303514
product	UV	2	2	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	347	203	0.00000005783091031216648
feature	UV	6	6	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	347	203	0.0000005481078274867763
service	UV	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	347	203	0.000000016139542223834598
technique	UV	10	9	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	347	203	0.0000035539714635993712
application	UV	3	3	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	347	203	0.00000029173714820065604
option	UV	1	1	58395	39183	0.589030486516	-0.77079202062087	-0.996479246094228	347	203	0.000000049350875595572535
method	UV	8	8	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	347	203	0.0000028897460297034287
technology	UV	6	6	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	347	203	0.0000016784183927801156
system	UV	2	2	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	347	203	0.00000028124472446419193
element	UV	1	1	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	347	203	0.00000004884564789917555
function	UV	2	2	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	347	203	0.00000027308295085790373
component	UV	2	2	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	347	203	0.00000024882633284291734
process	UV	3	3	28369	16152	0.631072790581	-0.856540742669569	-0.996351682570692	347	203	0.0000009142585013088626
benefit	UV	1	1	30032	15820	0.635618166526	-0.878063457184251	-0.999703566162433	347	203	0.0000000959591229489697
approach	UV	1	1	14934	11609	0.612300123001	-0.593468072124126	-0.997913197725203	347	203	0.00000019297203565042578
alternative	UV	1	1	15859	11477	0.477961182659	-0.702001287860379	-0.996456688264408	347	203	0.00000018171665176892983
solution	UV	1	1	13302	10565	0.501522280653	-0.652816379194655	-0.995039391901281	347	203	0.00000021664745003784833
agent	UV	3	3	23491	9614	0.635841836734	-0.978005343948924	-0.986305100725774	347	203	0.0000011041079317028277
requirement	UV	1	1	11922	8247	0.487582781456	-0.710630737413651	-0.997903751586104	347	203	0.00000024172491028379955
