bank	WF	1	1	9229	2473	0.827943078913	-1.17924444382536	-0.997571024930633	3	5	0.00003611803373424351
lender	WF	1	1	3000	917	0.662000000000	NULL	NULL	3	5	0.0001111111111111111
big bank	WF	1	1	499	153	0.586206896551	NULL	NULL	3	5	0.000668002672010688
product	WF Beam Frames	1	1	199329	103249	0.787531308703	-0.990656645104571	-0.996902197791307	1	1	0.0000050168314695804426
conservative	WF Buckley	1	1	1161	736	0.791907514450	NULL	NULL	1	1	0.0008613264427217916
creative scheduling option	WF class	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
rochester area studio	WF Morthorst	1	1	1	1	NULL	NULL	NULL	1	1	1
award	WF Waters award	1	0	5469	4368	0.502504173622	-0.576195560674883	-0.998573091647181	1	1	0.00018284878405558602
benchmarked cabling	Wf100	1	1	2	2	NULL	NULL	NULL	1	1	0.5
single chip LED lamp	WF150 series lamp	1	1	2	2	NULL	NULL	NULL	1	1	0.5
event	WFA	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	4	4	0.0000020167633368559466
conference	WFA	1	1	1423	1058	0.591503267973	-0.66234496475452	-0.997556895391127	4	4	0.00017568517217146873
training	WFA	1	1	1012	866	0.434090909090	NULL	NULL	4	4	0.00024703557312252963
Organistions	WFA	1	1	6	6	0.750000000000	NULL	NULL	4	4	0.041666666666666664
issue	wfa address issue	1	1	225316	95078	0.816907051282	-0.966859518260879	-0.99939018248172	2	2	0.0000022191056116742706
address issue	wfa address issue	1	1	182	177	0.333333333333	NULL	NULL	2	2	0.0027472527472527475
event	WFA Championships	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	1	1	0.000008067053347423786
document	WFA Constitution	1	1	30664	12294	0.734716459197	-1.04150304053201	-0.998071381497223	1	1	0.000032611531437516305
exception	WFAA in Dallas	2	2	19088	14859	0.458983156581	-0.64768711059283	-0.998102520812245	2	1	0.00010477787091366304
radio station	WFAE	1	1	956	796	0.533980582524	NULL	NULL	1	1	0.0010460251046025104
station	WFAE in Charlotte	1	1	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	1	1	0.00033467202141900936
station	WFAN	2	2	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	4	3	0.00033467202141900936
medium outlet	WFAN	1	1	2425	914	0.616379310344	NULL	NULL	4	3	0.00010309278350515464
large station	WFAN	1	1	34	30	0.333333333333	NULL	NULL	4	3	0.007352941176470588
fan	WFAN radio personality Joe Beningo	1	1	846	715	0.503012048192	NULL	NULL	1	1	0.001182033096926714
radio station	WFan Sports radio 66AM	1	1	956	796	0.533980582524	NULL	NULL	1	1	0.0010460251046025104
piece	WFAS	1	1	7547	5316	0.460387323943	-0.776844235868752	-0.995033076388282	1	1	0.00013250298131707962
individual	WFB	1	1	10778	6975	0.653951890034	-0.779188737406808	-0.999228064386307	3	3	0.00003092719737737366
district	WFB	1	1	5670	3642	0.697560975609	-0.665973735086996	-0.992027998573377	3	3	0.00005878894767783657
financial institution	WFB	1	1	4371	1209	0.730706075533	-1.09498420957871	-0.996609643433581	3	3	0.00007626019980172348
small-market debut	WFBC-FM Greenville	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
radio station	WFBQ	1	1	956	796	0.533980582524	NULL	NULL	1	1	0.0010460251046025104
company	WFC	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	12	10	0.00000046378747402790147
variable	WFC	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	12	10	0.0000016276995396865702
bank	WFC	2	2	9229	2473	0.827943078913	-1.17924444382536	-0.997571024930633	12	10	0.00003611803373424351
lender	WFC	1	1	3000	917	0.662000000000	NULL	NULL	12	10	0.000027777777777777776
big bank	WFC	1	1	499	153	0.586206896551	NULL	NULL	12	10	0.000167000668002672
financial stock	WFC	1	0	126	76	0.367346938775	NULL	NULL	12	10	0.0006613756613756613
international cooperation	WFC	2	2	7	5	1.000000000000	NULL	NULL	12	10	0.047619047619047616
professional chiropractic organization	WFC	1	1	3	2	1.000000000000	NULL	NULL	12	10	0.027777777777777776
backside-illuminated CCD	WFC	1	1	1	1	1.000000000000	NULL	NULL	12	10	0.08333333333333333
HATE blogs	WFC	1	1	1	1	1.000000000000	NULL	NULL	12	10	0.08333333333333333
award	WFC Award	1	1	5469	4368	0.502504173622	-0.576195560674883	-0.998573091647181	1	1	0.00018284878405558602
exception	WfC Bumblebee	1	1	19088	14859	0.458983156581	-0.64768711059283	-0.998102520812245	1	1	0.00005238893545683152
broad how-to guide	WFC Resources book	1	1	1	1	NULL	NULL	NULL	1	1	1
flight detector	WFC3	1	1	1	1	NULL	NULL	NULL	1	1	1
facility	WFCAM on UKIRT	1	1	42600	17896	0.658525485436	-1.00701955310555	-0.998916668671258	1	1	0.00002347417840375587
class	WFCase	1	1	14690	7065	0.534200113058	-0.965176733806391	-0.997940506835601	1	1	0.00006807351940095303
conference	WfCCNa conference	1	1	1423	1058	0.591503267973	-0.66234496475452	-0.997556895391127	1	1	0.0007027406886858749
mixed-martial arts legend	WFCGUSA Director	1	1	2	2	NULL	NULL	NULL	1	1	0.5
radio station	WFCJ	1	1	956	796	0.533980582524	NULL	NULL	1	1	0.0010460251046025104
emerging issue	WFCL	1	1	251	188	0.394230769230	NULL	NULL	1	1	0.00398406374501992
good converter	WFCO	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
organization	WFD	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	13	11	0.0000008495000267592508
Organisations	WFD	2	2	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	13	11	0.000033816057554929955
notable exception	WFD	1	1	1801	1438	0.420395421436	-0.497909190430519	-0.998339103754328	13	11	0.00004271131422713877
conference	WFD	1	1	1423	1058	0.591503267973	-0.66234496475452	-0.997556895391127	13	11	0.00005405697605275961
policy instrument	WFD	1	1	431	302	0.553763440860	NULL	NULL	13	11	0.0001784758165268606
statutory requirement	WFD	1	1	121	106	0.387096774193	NULL	NULL	13	11	0.0006357279084551812
planning process	WFD	1	1	77	68	0.380952380952	NULL	NULL	13	11	0.000999000999000999
key policy	WFD	1	1	70	57	0.566666666666	NULL	NULL	13	11	0.001098901098901099
EU directive	WFD	2	2	55	24	0.875000000000	NULL	NULL	13	11	0.005594405594405594
popular heuristic	WFD	1	1	3	3	1.000000000000	NULL	NULL	13	11	0.02564102564102564
regulative requirement	WFD	1	1	1	1	1.000000000000	NULL	NULL	13	11	0.07692307692307693
action-oriented research	WfD aiming at generating policy recommendation	1	1	1	1	NULL	NULL	NULL	1	1	1
media-oriented regulation	WFD Directives	1	1	1	1	1.000000000000	NULL	NULL	1	1	1
featured product	WFD fitting cabinet	1	1	47	46	0.454545454545	NULL	NULL	1	1	0.02127659574468085
multi-party institute	WFD in the United Kingdom	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
remedial statute	WFDL	1	1	7	6	0.166666666666	NULL	NULL	1	1	0.14285714285714285
station	WFDU	1	1	2988	2268	0.511677282377	-0.643858289928945	-0.996731884785342	1	1	0.00033467202141900936
program	WFF	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	6	6	0.0000017977398814210775
tool	WFF	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	6	6	0.000002209378369302013
term	WFF	1	1	52765	27286	0.608603932795	-0.87876919271756	-0.991090983948849	6	6	0.0000031586594649230866
targeted measure	WFF	1	1	26	20	0.750000000000	NULL	NULL	6	6	0.006410256410256411
Good folks	WFF	1	1	3	3	1.000000000000	NULL	NULL	6	6	0.05555555555555555
labor's election bribe	WFF	1	1	1	1	1.000000000000	NULL	NULL	6	6	0.16666666666666666
game	WFF N Proof	1	1	46580	15320	0.731450454763	-1.13332142304043	-0.995342700404109	1	1	0.000021468441391155002
grouos	Wffen SS	1	1	1	1	NULL	NULL	NULL	1	1	1
company	WFG	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
online review	WFG Review for financial service	1	1	11	10	0.333333333333	NULL	NULL	1	1	0.09090909090909091
policy partner	WFGM	1	1	1	1	NULL	NULL	NULL	1	1	1
local field hockey organization	WFHA	1	1	1	1	NULL	NULL	NULL	1	1	1
code	WFHF	1	1	1866	1445	0.491525423728	-0.614374063178918	-0.98474777079012	1	1	0.0005359056806002144
application	WFI	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	7	7	0.0000016068696892956768
instruction	WFI	1	1	1224	895	0.461883408071	-0.650231434338227	-0.996640694610149	7	7	0.00011671335200746966
