model	xb	1	1	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	16	3	0.000003236162170558691
small car	xb	14	14	250	140	0.744444444444	NULL	NULL	16	3	0.049
moderately high demand car	xb	1	1	4	4	0.250000000000	NULL	NULL	16	3	0.015625
portable proxified browser	xB Browser	1	1	1	1	NULL	NULL	NULL	1	1	1
sub-soiler	XB from King Kutter	1	1	1	1	NULL	NULL	NULL	1	1	1
alternative	XB series	1	1	15859	11477	0.477961182659	-0.702001287860379	-0.996456688264408	1	1	0.00006305567816381865
experimental design	XB-15	1	1	65	55	0.722222222222	NULL	NULL	1	1	0.015384615384615385
aircraft	XB-70	1	1	2866	1567	0.753303964757	-0.852058635286528	-0.976498697176134	4	3	0.00008722958827634333
airplane	XB-70	2	2	237	181	0.638554216867	NULL	NULL	4	3	0.004219409282700422
high-speed airplane	XB-70	1	1	1	1	NULL	NULL	NULL	4	3	0.25
high altitude military aircraft	XB-70 in supersonic flight	1	1	1	1	NULL	NULL	NULL	1	1	1
command	XBA	1	1	2998	1628	0.473225404732	-0.832414209985092	-0.996481891599339	2	2	0.0001667778519012675
markup language	XBA	1	1	392	93	0.769230769230	NULL	NULL	2	2	0.0012755102040816326
business	xbailiff	1	1	22547	10353	0.595273899033	-0.977822147267988	-0.9973583718345	15	14	0.0000029567865643618514
professional	xbailiff	1	1	17526	3786	0.725694444444	-1.20829556464179	-0.998946643719992	15	14	0.0000038038723420442007
official	xbailiff	2	1	1771	1344	0.629629629629	-0.749826975802485	-0.996625510377868	15	14	0.00015057406361754187
visitor	xbailiff	1	1	1163	801	0.483263598326	NULL	NULL	15	14	0.00005732301519059903
support staff	xbailiff	1	1	842	431	0.506666666666	NULL	NULL	15	14	0.00007917656373713381
civil servant	xbailiff	1	1	168	79	0.509090909090	NULL	NULL	15	14	0.0003968253968253968
debt collector	xbailiff	1	1	71	65	0.666666666666	NULL	NULL	15	14	0.0009389671361502347
legal professional	xbailiff	1	1	111	53	0.482758620689	NULL	NULL	15	14	0.0006006006006006006
legal service provider	xbailiff	1	1	15	15	0.200000000000	NULL	NULL	15	14	0.0044444444444444444
Court staff	xbailiff	1	1	12	8	0.600000000000	NULL	NULL	15	14	0.005555555555555555
legal official	xbailiff	1	1	9	8	0.400000000000	NULL	NULL	15	14	0.007407407407407407
accountable official	xbailiff	1	1	5	5	0.333333333333	NULL	NULL	15	14	0.013333333333333334
criminal court official	xbailiff	1	1	3	3	0.333333333333	NULL	NULL	15	14	0.02222222222222222
judicial support staff	xbailiff	1	1	2	2	0.500000000000	NULL	NULL	15	14	0.03333333333333333
applied statistic method	Xbar charting	1	1	1	1	NULL	NULL	NULL	1	1	1
language	XBase	1	1	21730	3186	0.722558340535	-1.38049204449127	-0.998004626689092	1	1	0.00004601932811780948
file	xbase format file	1	1	7367	2700	0.519731318219	-1.0561904279386	-0.998519772389525	2	2	0.00006787023211619383
format file	xbase format file	1	1	33	29	0.181818181818	NULL	NULL	2	2	0.015151515151515152
software package	Xbase-type software	1	1	1845	1034	0.546370967741	NULL	NULL	1	1	0.0005420054200542005
program	XBC	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	2	2	0.000005393219644263232
Robot microcontrollers	XBC	1	1	2	2	NULL	NULL	NULL	2	2	0.25
non-official driver	XBCD	1	1	1	1	NULL	NULL	NULL	1	1	1
sector index	XBD	2	1	8	6	0.400000000000	NULL	NULL	2	1	0.25
radio	XBee	1	1	258	218	0.456790123456	NULL	NULL	4	4	0.0009689922480620155
stand-alone device	XBee	1	1	28	27	0.263157894736	NULL	NULL	4	4	0.008928571428571428
RF modem	XBee	1	1	3	2	NULL	NULL	NULL	4	4	0.08333333333333333
digi's lower range device	XBee	1	1	1	1	NULL	NULL	NULL	4	4	0.25
board	XBIB-U from Digi International	1	1	1383	1189	0.515544041450	-0.558690938401344	-0.997671158255393	1	1	0.0007230657989877079
application	xbiff	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	2	2	0.000005624043912534869
typically X client	xbiff	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
site	XBitLabs	1	1	48590	20434	0.694470774091	-0.921261035637432	-0.999541053948841	1	1	0.000020580366330520683
adult industry associate	XBIZ	1	1	2	2	1.000000000000	NULL	NULL	1	1	0.5
hard-copy trade	XBIZ World	1	1	1	1	NULL	NULL	NULL	1	1	1
topic	XBL	1	1	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	7	6	0.0000009294423160215407
technology	XBL	1	1	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	7	6	0.000002311155485296429
prize	XBL	2	2	3495	2109	0.472826086956	-0.840416585134239	-0.996605980151944	7	6	0.00016349887594522788
mozilla's component	XBL	1	1	3	3	1.000000000000	NULL	NULL	7	6	0.047619047619047616
digital prize	XBL	1	1	2	2	1.000000000000	NULL	NULL	7	6	0.07142857142857142
binding layer	XBL	1	1	1	1	1.000000000000	NULL	NULL	7	6	0.14285714285714285
mediums	xbl marketplace	1	1	5587	1588	0.397238017871	-1.16822014406182	-0.994959705307864	1	1	0.00017898693395382138
prize	XBL Point Card	1	1	3495	2109	0.472826086956	-0.840416585134239	-0.996605980151944	1	1	0.0002861230329041488
service	XBLA	2	2	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	8	6	0.0000028002105758353026
platform	XBLA	2	2	6205	2587	0.546561604584	-0.988134634522081	-0.998920005450511	8	6	0.00008058017727639001
