ion	XH	1	1	1944	598	0.372262773722	NULL	NULL	2	2	0.000257201646090535
loon	XH	1	1	5	5	0.600000000000	NULL	NULL	2	2	0.1
instrument	XH-1 Fiber Thermal Shrinkage Tester	1	1	18949	7463	0.618067666550	-1.00559905240589	-0.999187197155796	1	1	0.0000527732334160114
comfort	XH-110 seat with no-tool adjustment	1	1	719	446	0.298360655737	NULL	NULL	1	1	0.0013908205841446453
canon prosumer camcorder	XH-A1	1	1	1	1	NULL	NULL	NULL	1	1	1
megapixels	XH-A1 from Canon	1	1	1	1	NULL	NULL	NULL	1	1	1
router	XH1319 from DSE	1	1	252	172	0.658536585365	NULL	NULL	1	1	0.003968253968253968
linkage isomer	XH3 NO2	1	1	1	1	NULL	NULL	NULL	1	1	1
type	XH90	1	1	12278	9276	0.430722891566	-0.636768280802362	-0.996404903617429	1	1	0.00008144648965629581
popular site	xhampster	1	1	1201	452	0.491467576791	NULL	NULL	1	1	0.0008326394671107411
amatuer content website	Xhamster	1	1	1	1	NULL	NULL	NULL	1	1	1
municipality	Xhariep	2	2	4720	1401	0.656730769230	-0.901102765120956	-0.987929308586515	3	2	0.0002824858757062147
dam	Xhariep	1	1	202	167	0.641025641025	NULL	NULL	3	2	0.0016501650165016502
contractor	Xhasa	1	1	1124	796	0.504021447721	NULL	NULL	1	1	0.0008896797153024911
theme	XHD lockscreen above XHD details in winterboard	1	1	24269	10944	0.525784349080	-0.988902541007303	-0.99443739678653	1	1	0.000041204829205982944
feature	xheated steel frame	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
method	xheight	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	1	1	0.000015667841754798278
talent	Xherdan Shaqiri	1	1	2959	1984	0.591872791519	-0.822376497250633	-0.995129949674446	2	2	0.00016897600540723216
young player	Xherdan Shaqiri	1	1	1102	926	0.834355828220	NULL	NULL	2	2	0.00045372050816696913
single conductor	XHHW	1	1	4	3	1.000000000000	NULL	NULL	1	1	0.25
style	Xhi Chucks	1	1	11857	5834	0.573324485733	-0.902115207783448	-0.996730416282698	1	1	0.00008433836552247617
artist	Xhibit	1	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	1	1	0.000011305183426601097
key infrastructure project	XHIBIT system for providing courtroom automation	2	2	33	30	0.111111111111	NULL	NULL	2	1	0.06060606060606061
Swimwear	Xhilaration Clothing	2	2	35	22	0.500000000000	NULL	NULL	2	1	0.05714285714285714
piece	Xhilaration Juniors Paisley Print Push-Up Swim Top	1	1	7547	5316	0.460387323943	-0.776844235868752	-0.995033076388282	1	1	0.00013250298131707962
Swimwear	Xhilaration Swimwear	3	1	35	22	0.500000000000	NULL	NULL	3	1	0.0857142857142857
shoe	Xhilaration Womens Shoes	2	2	1546	829	0.607142857142	NULL	NULL	2	1	0.00129366106080207
restriction site	Xho-1	2	2	13	9	1.000000000000	NULL	NULL	2	1	0.15384615384615385
group	Xhosa	2	2	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	45	23	0.0000012744840331047227
language	Xhosa	9	9	21730	3186	0.722558340535	-1.38049204449127	-0.998004626689092	45	23	0.00008283479061205706
tribe	Xhosa	5	5	2745	1375	0.829439252336	-0.89435060433092	-0.994995797689194	45	23	0.00020238818053025704
culture	Xhosa	1	1	4081	1363	0.574585635359	-1.14812087898373	-0.988213258976531	45	23	0.000005445288464156388
ethnic group	Xhosa	3	3	2472	953	0.875949367088	NULL	NULL	45	23	0.0000809061488673139
minority	Xhosa	1	1	1682	521	0.682593856655	NULL	NULL	45	23	0.00001321178491214163
ethnicity	Xhosa	1	1	304	144	0.552380952380	NULL	NULL	45	23	0.00007309941520467836
indigenous language	Xhosa	1	1	101	62	0.676470588235	NULL	NULL	45	23	0.00022002200220022002
african language	Xhosa	4	4	114	48	0.892857142857	NULL	NULL	45	23	0.0031189083820662767
african tribe	Xhosa	1	1	46	38	0.700000000000	NULL	NULL	45	23	0.0004830917874396135
exotic language	Xhosa	1	1	44	27	0.391304347826	NULL	NULL	45	23	0.000505050505050505
bantu language	Xhosa	2	2	42	24	1.000000000000	NULL	NULL	45	23	0.002116402116402116
non-indo-european language	Xhosa	1	1	30	14	0.500000000000	NULL	NULL	45	23	0.0007407407407407407
local african language	Xhosa	1	1	11	8	0.750000000000	NULL	NULL	45	23	0.00202020202020202
click language	Xhosa	1	1	4	4	0.666666666666	NULL	NULL	45	23	0.005555555555555556
southern african tribe	Xhosa	1	1	4	4	0.500000000000	NULL	NULL	45	23	0.005555555555555556
fascinating language	Xhosa	1	1	3	3	0.666666666666	NULL	NULL	45	23	0.007407407407407407
predominant tribe	Xhosa	1	1	3	3	0.666666666666	NULL	NULL	45	23	0.007407407407407407
african khoisan language	Xhosa	1	1	2	2	0.500000000000	NULL	NULL	45	23	0.011111111111111112
south african tribe	Xhosa	3	3	3	2	1.000000000000	NULL	NULL	45	23	0.06666666666666667
southern african language	Xhosa	1	1	2	2	1.000000000000	NULL	NULL	45	23	0.011111111111111112
southern bantu language	Xhosa	2	2	3	2	0.500000000000	NULL	NULL	45	23	0.029629629629629627
conjunctively-written language	Xhosa	1	1	1	1	1.000000000000	NULL	NULL	45	23	0.022222222222222223
attire	Xhosa attire	1	0	93	67	0.414634146341	NULL	NULL	1	1	0.010752688172043012
culture	Xhosa culture in South Africa	1	1	4081	1363	0.574585635359	-1.14812087898373	-0.988213258976531	1	1	0.0002450379808870375
historical attraction	Xhosa Exhibit	1	1	191	164	0.461538461538	NULL	NULL	1	1	0.005235602094240838
voluntary module	Xhosa literature	1	1	2	2	NULL	NULL	NULL	1	1	0.5
project	Xhosa narration for elearning	1	1	51739	38387	0.631297709923	-0.716913383950669	-0.999422658457143	1	1	0.000019327779817932315
peoples	XHOSA people of South Africa	1	1	775	492	0.662500000000	NULL	NULL	1	1	0.0012903225806451613
oral tradition	Xhosa poetry	1	1	38	26	0.333333333333	NULL	NULL	1	1	0.02631578947368421
subject	Xhosa resistance movement	1	1	39361	15179	0.547630388187	-1.00348181258177	-0.999101119936762	1	1	0.00002540585859099108
african prophet	Xhosa-speaking Ntsikana Gaba	1	1	2	2	0.333333333333	NULL	NULL	1	1	0.5
ethic group	Xhosas	1	1	13	21	0.100000000000	NULL	NULL	2	2	0.038461538461538464
indigenous Africans	Xhosas	1	1	1	1	1.000000000000	NULL	NULL	2	2	0.5
request broker	XHR	1	1	2	2	NULL	NULL	NULL	2	2	0.25
subrequests	XHR	1	1	1	1	NULL	NULL	NULL	2	2	0.5
transport method	XHR Streaming	1	1	23	22	0.333333333333	NULL	NULL	1	1	0.043478260869565216
feature	XHTML	3	3	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	288	112	0.00000016509845150860362
topic	XHTML	5	3	153702	66509	0.761890903043	-0.980433981430808	-0.997776502791806	288	112	0.0000005647652961936444
program	XHTML	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	288	112	0.000000037452914196272447
technique	xhtml	3	3	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	288	112	0.0000003853837805840568
application	XHTML	2	2	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	288	112	0.00000015622344201485748
tool	XHTML	2	2	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	288	112	0.0000001841148641085011
technology	XHTML	51	47	61812	27761	0.758289432909	-0.960672702177757	-0.998665662528483	288	112	0.0001461083608360836
task	xhtml	1	1	29628	19527	0.651123500591	-0.770621031445517	-0.999265603683338	288	112	0.00000011719394566701168
subject	XHTML	1	1	39361	15179	0.547630388187	-1.00348181258177	-0.999101119936762	288	112	0.00000008821478677427458
skill	XHTML	4	3	34378	13132	0.658647140864	-1.04017675648634	-0.997766084512889	288	112	0.0000016160205816381278
category	xhtml	1	1	26169	13069	0.463590177815	-0.936758264978358	-0.996156390979964	288	112	0.00000013268455891406712
format	XHTML	3	3	10875	5636	0.544238683127	-1.04961234925433	-0.996785603287527	288	112	0.0000028735632183908046
standard	XHTML	20	19	8448	5398	0.528652138821	-0.797621462851181	-0.997482793630728	288	112	0.0001644044612794613
language	XHTML	11	11	21730	3186	0.722558340535	-1.38049204449127	-0.998004626689092	288	112	0.000019334509382829677
text	XHTML	1	1	4207	2728	0.539906103286	-0.782412919923841	-0.996082680662601	288	112	0.000000825344003380609
latest technology	XHTML	4	4	1150	798	0.442129629629	NULL	NULL	288	112	0.00004830917874396135
modern technique	XHTML	2	2	753	585	0.410557184750	NULL	NULL	288	112	0.000018444739560277407
file type	XHTML	1	1	963	422	0.519855595667	NULL	NULL	288	112	0.000003605630552671051
international standard	XHTML	1	1	682	398	0.655502392344	NULL	NULL	288	112	0.000005091234929944607
programming language	XHTML	4	4	1448	350	0.689265536723	NULL	NULL	288	112	0.0000383670963781461
open standard	XHTML	3	3	707	281	0.628415300546	NULL	NULL	288	112	0.000044200848656294196
