player	YP	1	1	50009	28969	0.769252077562	-0.80937354468466	-0.989495551840647	6	6	0.0000033327334413138972
fish	YP	1	1	16585	2563	0.823280423280	-1.31701900927919	-0.997257064168719	6	6	0.000010049241282283188
emcee	YP	1	1	58	49	0.486486486486	NULL	NULL	6	6	0.0028735632183908046
senior fellow	YP	1	1	9	9	0.571428571428	NULL	NULL	6	6	0.018518518518518517
location feature	YP	1	1	6	6	0.400000000000	NULL	NULL	6	6	0.027777777777777776
online yellow page	YP	1	1	4	4	1.000000000000	NULL	NULL	6	6	0.041666666666666664
inhibitor	yp 3a4 inhibitor	1	1	1704	1317	0.535885167464	NULL	NULL	2	2	0.00029342723004694836
3a4 inhibitor	yp 3a4 inhibitor	1	1	11	10	NULL	NULL	NULL	2	2	0.045454545454545456
service	YP contraceptive service	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	1	1	0.000005600421151670605
group	YP in Energy	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	1	1	0.00001433794537242813
keyword	YP keyword	1	1	2686	1936	0.285908781484	-0.571734230567788	-0.997754033648467	1	1	0.00037230081906180194
AT&T service	YP Mobile	1	1	17	16	0.625000000000	NULL	NULL	1	1	0.058823529411764705
system	YP Newsman microcomputer system	1	1	40987	26191	0.591163510777	-0.823338040587594	-0.99756616548328	1	1	0.000024397979847268648
company	YP Unitesters of Israel	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
vehicle	YP Voice educational Webinars	1	1	13884	4913	0.664145234493	-1.02603892870598	-0.999191884167836	1	1	0.00007202535292422933
website	YP.com	1	0	18303	6967	0.706939799331	-1.0071618984676	-0.999527434239995	2	2	0.00002731792602305633
review site	yp.com	1	1	166	121	0.545454545454	NULL	NULL	2	2	0.0030120481927710845
organization	YPA	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	3	3	0.00000368116678262342
favorite	YPA	1	1	10255	7613	0.554089087909	-0.639490032979078	-0.997212615069678	3	3	0.000032504469364537626
Organisations	YPA	1	1	9099	5594	0.665740373163	-0.776095591091071	-0.998476238447227	3	3	0.00003663406235117412
external EQ	YPAO	1	1	4	4	1.000000000000	NULL	NULL	2	2	0.125
automatic setup	YPAO	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
component	YPbPr	1	1	46327	20863	0.589013759058	-0.932052618883357	-0.998220026475941	10	7	0.0000021585684374123082
output	YPbPr	2	2	1039	857	0.380952380952	NULL	NULL	10	7	0.000384985563041386
color space	YPbPr	3	3	198	80	0.680000000000	NULL	NULL	10	7	0.004545454545454545
color component	YPbPr	1	1	25	13	0.300000000000	NULL	NULL	10	7	0.004
input interface	YPbPr	1	1	9	8	0.333333333333	NULL	NULL	10	7	0.01111111111111111
component cable	YPbPr	1	1	2	2	1.000000000000	NULL	NULL	10	7	0.05
component video format	YPbPr	1	1	2	2	0.500000000000	NULL	NULL	10	7	0.05
analog-type input	YPbPr output from cable boxes	1	1	1	1	NULL	NULL	NULL	1	1	1
basic training program	YPC	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
public relation activity	YPC brochure	1	1	111	83	0.266666666666	NULL	NULL	1	1	0.009009009009009009
name	YPD	1	1	65321	44697	0.727063729683	-0.687565711135641	-0.995236043439159	5	4	0.000003061802483121814
medium	YPD	1	1	5039	2246	0.413333333333	-1.03060034721021	-0.996512894493579	5	4	0.000039690414764834295
rich medium	YPD	1	1	90	49	0.466666666666	NULL	NULL	5	4	0.0022222222222222222
complex medium	YPD	2	2	34	23	0.578947368421	NULL	NULL	5	4	0.023529411764705882
rich medium	YPD medium	2	1	90	49	0.466666666666	NULL	NULL	2	1	0.022222222222222223
comment	YPESXJ watch movies online YiRerve common	1	1	732	646	0.410526315789	-0.504215956222493	-0.993944632278573	1	1	0.001366120218579235
company	YPF	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	12	9	0.00000046378747402790147
firm	YPF	1	1	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	12	9	0.000005030687191870409
competitor	YPF	1	1	7051	3650	0.524564796905	-0.82261738441424	-0.996015042358118	12	9	0.000011818654564364394
major	YPF	1	1	2350	838	0.413183279742	NULL	NULL	12	9	0.00003546099290780142
national company	YPF	1	1	412	326	0.373271889400	NULL	NULL	12	9	0.00020226537216828477
holding	YPF	1	1	352	311	0.453551912568	NULL	NULL	12	9	0.00023674242424242425
issuer	YPF	1	1	326	222	0.321839080459	NULL	NULL	12	9	0.0002556237218813906
argentine energy company	YPF	2	2	4	2	1.000000000000	NULL	NULL	12	9	0.08333333333333333
exporting producer	YPF	3	3	3	1	1.000000000000	NULL	NULL	12	9	0.25
state-owned corporation	YPFB	1	1	13	11	0.666666666666	NULL	NULL	1	1	0.07692307692307693
line	YPG	1	1	3987	3065	0.484674329501	-0.64396598027431	-0.998306617300076	1	1	0.00025081514923501377
award	YPG Award for Professional Innovation	1	1	5469	4368	0.502504173622	-0.576195560674883	-0.998573091647181	1	1	0.00018284878405558602
alias	Yphex for hard-techno	1	1	318	295	0.464285714285	NULL	NULL	1	1	0.0031446540880503146
time	ypical out-of-hour time	1	1	2808	1945	0.503184713375	-0.764566095993378	-0.998579727311252	1	1	0.00035612535612535614
constraint	ypicalgeometric configuration constraint	1	1	5175	3563	0.522727272727	-0.746278902508329	-0.997770085591131	1	1	0.0001932367149758454
sag	YPM	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
hotel book	Ypma's Hip Hotels	1	1	1	1	NULL	NULL	NULL	1	1	1
CSROs	YPMD in Jayapura	1	1	1	1	NULL	NULL	NULL	1	1	1
local organization	YPN	1	1	2799	2039	0.611532625189	-0.788215689590326	-0.998315376073653	9	6	0.00003969671708149736
ad	YPN	1	1	273	228	0.381578947368	NULL	NULL	9	6	0.000407000407000407
ad network	YPN	4	4	143	79	0.823529411764	NULL	NULL	9	6	0.012432012432012432
PPC network	YPN	1	1	15	13	0.444444444444	NULL	NULL	9	6	0.007407407407407408
traditional contextual marketing network	YPN	1	1	3	3	0.500000000000	NULL	NULL	9	6	0.037037037037037035
contextual advertiser	YPN	1	1	1	1	1.000000000000	NULL	NULL	9	6	0.1111111111111111
organization	YPO	2	2	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	7	6	0.000006310571627354434
client	YPO	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	7	6	0.00000588713190707751
business	YPO	1	1	22547	10353	0.595273899033	-0.977822147267988	-0.9973583718345	7	6	0.0000063359712093468245
community organization	YPO	1	1	2760	1800	0.638640429338	-0.876422859675541	-0.998066902211371	7	6	0.00005175983436853002
elite group	YPO	1	1	40	39	0.440000000000	NULL	NULL	7	6	0.0035714285714285718
local business best practice group	YPO	1	1	1	1	1.000000000000	NULL	NULL	7	6	0.14285714285714285
group	Yponomeuta	1	1	69745	39030	0.733430577080	-0.877338451303871	-0.998399048566506	1	1	0.00001433794537242813
Euonymus feeding Lepi-doptera	Yponomeuta cagnagella Hb	1	1	1	1	NULL	NULL	NULL	1	1	1
moth species	Yponomeuta spp.	1	1	16	16	1.000000000000	NULL	NULL	1	1	0.0625
family	Yponomeutidae	1	1	1972	1480	0.587797619047	-0.599887273547813	-0.994809011752063	1	1	0.0005070993914807302
company	YPP	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	5	5	0.0000011130899376669635
programme	YPP	1	1	2048	1647	0.517323775388	-0.547008694816512	-0.991045477469369	5	5	0.00009765625
incorporated intervention tool	YPP	1	1	3	3	1.000000000000	NULL	NULL	5	5	0.06666666666666667
increasingly renowned outreach project	YPP	1	1	3	3	NULL	NULL	NULL	5	5	0.06666666666666667
partnership group	YPP	1	1	3	3	NULL	NULL	NULL	5	5	0.06666666666666667
simple procedure	YPR	1	1	372	295	0.416149068322	NULL	NULL	3	3	0.000896057347670251
reference point	YPR	1	1	177	150	0.426966292134	NULL	NULL	3	3	0.0018832391713747645
subsidiary agency	YPR	1	1	1	1	NULL	NULL	NULL	3	3	0.3333333333333333
place	Ypres	3	3	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	13	10	0.000008158618038885786
site	Ypres	1	1	48590	20434	0.694470774091	-0.921261035637432	-0.999541053948841	13	10	0.000001583105102347745
city	Ypres	2	2	73316	9229	0.888511216859	-1.34683685775317	-0.992382523741537	13	10	0.000004196796165807023
town	Ypres	1	1	16437	8960	0.841277295139	-0.764543331177126	-0.977213718836513	13	10	0.000004679873269031875
battlefield	Ypres	1	1	80	51	0.750000000000	NULL	NULL	13	10	0.0009615384615384616
neighbouring city	Ypres	1	1	32	19	0.769230769230	NULL	NULL	13	10	0.002403846153846154
famous battlefield	Ypres	1	1	14	9	0.571428571428	NULL	NULL	13	10	0.005494505494505494
small, seemingly unimportant town	Ypres	1	1	2	2	1.000000000000	NULL	NULL	13	10	0.038461538461538464
well-trodden battlefield	Ypres	1	1	2	2	1.000000000000	NULL	NULL	13	10	0.038461538461538464
WW1 battlefield	Ypres	1	1	1	1	1.000000000000	NULL	NULL	13	10	0.07692307692307693
welfare organization	Ypres League	1	1	43	36	0.733333333333	NULL	NULL	2	2	0.011627906976744186
veteran association	Ypres League	1	1	8	5	0.250000000000	NULL	NULL	2	2	0.0625
drawing	Ypres Salient	1	1	387	276	0.398809523809	NULL	NULL	1	1	0.002583979328165375
nash's painting	Ypres Salient at Night	1	0	2	2	NULL	NULL	NULL	1	1	0.5
masterpiece	Yproc Heresy	1	1	530	426	0.601851851851	NULL	NULL	1	1	0.0018867924528301887
TV output mode	YPrPb	2	1	8	5	0.666666666666	NULL	NULL	2	1	0.25
area	Ypsilanti	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	11	6	0.0000005079968869950765
city	Ypsilanti	6	6	73316	9229	0.888511216859	-1.34683685775317	-0.992382523741537	11	6	0.00004463865012722015
jurisdiction	Ypsilanti	1	1	8383	1196	0.575615474794	-1.46021980425386	-0.977554191706549	11	6	0.00001084445793976988
school district	Ypsilanti	1	1	1117	850	0.558886509635	NULL	NULL	11	6	0.0000813868316106454
local school district	Ypsilanti	1	1	83	76	0.531914893617	NULL	NULL	11	6	0.001095290251916758
michigan city	Ypsilanti	1	1	29	18	0.714285714285	NULL	NULL	11	6	0.003134796238244514
community organization	Ypsilanti Area Kiwanis	1	1	2760	1800	0.638640429338	-0.876422859675541	-0.998066902211371	1	1	0.00036231884057971015
community organization	Ypsilanti Chamber of Commerce	1	1	2760	1800	0.638640429338	-0.876422859675541	-0.998066902211371	1	1	0.00036231884057971015
community	Ypsilanti City	1	1	67626	46760	0.774091293322	-0.709465276557213	-0.987209441439087	1	1	0.00001478721201904593
church	Ypsilanti First UMC	1	1	2272	1517	0.667621776504	-0.891483700235497	-0.996121083997673	1	1	0.00044014084507042255
festival	Ypsilanti Heritage Festival	1	1	5691	3215	0.692737430167	-0.827112027038961	-0.997878363124625	1	1	0.00017571604287471446
partner	Ypsilanti Meals on Wheels	2	2	8413	5549	0.564818508177	-0.749782952011366	-0.998831663852928	2	1	0.00023772732675621063
school	Ypsilanti Middle School	1	1	19689	10019	0.745137491616	-0.943489900089712	-0.997166899613069	1	1	0.000050789781096043474
research study	Ypsilanti Perry Preschool	1	1	108	95	0.475000000000	NULL	NULL	1	1	0.009259259259259259
place	Ypsilanti State Hospital	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	1	1	0.000011784670500612803
community	Ypsilanti Township	3	2	67626	46760	0.774091293322	-0.709465276557213	-0.987209441439087	3	1	0.000044361636057137784
large press	Ypsilanti Wolverine	1	1	2	2	NULL	NULL	NULL	1	1	0.5
unit member	Ypsilanti's 1st Lt. Brandon McCollum	1	1	5	7	0.500000000000	NULL	NULL	1	1	0.2
mark	Ypsilon	1	1	891	640	0.315642458100	NULL	NULL	2	2	0.0005611672278338945
expensive amp	Ypsilon	1	1	2	2	NULL	NULL	NULL	2	2	0.25
company	Ypsomed AG	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
species	Ypthima astrope	1	1	63947	26107	0.835250186706	-1.02390317210948	-0.991440546158199	1	1	0.000015637950177490735
organization	YPU	1	1	90551	46729	0.800860754953	-0.90131533573637	-0.999297404271947	1	1	0.00001104350034787026
consideration	ypur dps feeling	1	1	13898	8940	0.527592180153	-0.769564880833089	-0.99950594939729	1	1	0.0000719527989638797
area	YPWW President	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
tool	YPX	1	1	75436	38515	0.695655601986	-0.921206573420218	-0.998207927869521	1	1	0.000013256270215812079
